season,date,home_team,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,defensive_rating_home,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,defensive_rating_away,during_playoffs,home_won
2009-2010,2009-11-07,ATLANTA HAWKS,240.0,39.0,83.66666666666667,5.333333333333333,17.0,20.5,25.5,10.5,31.166666666666668,19.5,7.0,7.333333333333333,12.5,20.833333333333332,0.5465,0.49666666666666676,0.20350000000000001,0.30616666666666664,25.399999999999995,74.41666666666667,49.38333333333333,49.68333333333334,7.283333333333334,10.966666666666669,11.483333333333334,100.0,109.96666666666668,108.58333333333333,240.0,38.5,78.66666666666667,6.166666666666667,14.5,27.666666666666668,35.333333333333336,10.166666666666666,30.666666666666668,20.333333333333332,8.333333333333334,4.833333333333333,14.0,23.5,0.5868333333333334,0.5255,0.1845,0.4635000000000001,24.8,70.81666666666668,48.56666666666666,50.78333333333333,8.716666666666667,7.083333333333333,12.883333333333335,100.0,115.65000000000002,105.66666666666667,0,1
2009-2010,2009-11-07,LOS ANGELES CLIPPERS,240.0,37.333333333333336,77.33333333333333,5.166666666666667,14.833333333333334,18.833333333333332,26.5,9.166666666666666,33.333333333333336,24.333333333333332,8.166666666666666,7.5,16.166666666666668,23.333333333333332,0.5543333333333335,0.5168333333333333,0.1925,0.347,23.099999999999998,72.46666666666665,49.76666666666667,65.38333333333334,8.600000000000001,10.466666666666667,15.266666666666666,100.0,104.14999999999999,104.3,244.16666666666666,39.333333333333336,82.5,4.166666666666667,10.666666666666666,22.333333333333332,31.166666666666668,14.833333333333334,30.666666666666668,19.166666666666668,6.5,4.666666666666667,16.666666666666668,24.333333333333332,0.5448333333333334,0.4998333333333333,0.13116666666666665,0.38283333333333336,35.18333333333333,72.71666666666667,54.26666666666667,47.88333333333333,6.733333333333333,6.8500000000000005,14.666666666666666,100.0,109.61666666666667,120.38333333333333,0,1
2009-2010,2009-11-07,NEW JERSEY NETS,240.0,33.5,80.66666666666667,3.1666666666666665,11.833333333333334,19.5,25.166666666666668,11.666666666666666,29.166666666666668,17.166666666666668,6.333333333333333,5.5,15.0,22.0,0.4883333333333333,0.43483333333333335,0.14633333333333334,0.31150000000000005,25.833333333333332,71.0,47.21666666666666,50.70000000000001,6.933333333333333,8.516666666666667,14.033333333333333,100.0,97.36666666666666,110.46666666666668,240.0,40.0,78.0,8.666666666666666,20.833333333333332,12.5,18.0,8.5,31.333333333333332,28.0,8.5,5.333333333333333,13.5,19.5,0.592,0.5718333333333333,0.2695,0.23133333333333336,23.2,76.98333333333333,51.26666666666666,70.36666666666666,9.483333333333333,8.916666666666666,13.649999999999999,100.0,112.39999999999999,94.0,0,0
2009-2010,2009-11-08,LOS ANGELES LAKERS,248.33333333333334,39.666666666666664,85.66666666666667,5.833333333333333,16.333333333333332,17.333333333333332,23.833333333333332,13.833333333333334,29.833333333333332,22.0,11.0,3.8333333333333335,15.333333333333334,22.333333333333332,0.5336666666666666,0.4973333333333334,0.19116666666666668,0.2826666666666666,31.183333333333337,67.86666666666667,49.85,54.73333333333333,11.35,5.7,13.800000000000002,100.0,107.66666666666667,103.96666666666668,244.16666666666666,38.333333333333336,80.83333333333333,7.833333333333333,20.0,14.666666666666666,19.5,8.166666666666666,29.666666666666668,21.166666666666668,6.5,4.5,12.5,22.0,0.5533333333333333,0.5213333333333333,0.24650000000000002,0.24633333333333338,20.683333333333334,73.23333333333333,47.28333333333333,55.46666666666667,7.05,6.983333333333333,12.283333333333333,100.0,107.55000000000001,114.56666666666666,0,1
2009-2010,2009-11-08,PORTLAND TRAIL BLAZERS,240.0,32.5,76.66666666666667,6.666666666666667,19.5,22.833333333333332,27.5,11.5,31.166666666666668,17.833333333333332,6.833333333333333,6.666666666666667,13.666666666666666,24.666666666666668,0.5336666666666666,0.46900000000000003,0.25533333333333336,0.36100000000000004,30.316666666666663,75.30000000000001,53.38333333333333,54.9,7.816666666666666,11.483333333333334,13.216666666666667,100.0,108.06666666666668,104.86666666666666,240.0,36.666666666666664,85.5,2.8333333333333335,10.5,14.833333333333334,20.0,12.833333333333334,30.666666666666668,18.333333333333332,9.166666666666666,3.3333333333333335,14.5,21.333333333333332,0.4836666666666667,0.44683333333333336,0.12583333333333332,0.2305,27.433333333333334,70.9,49.050000000000004,49.26666666666666,9.766666666666666,5.383333333333333,13.583333333333334,100.0,97.61666666666667,105.38333333333333,0,1
2009-2010,2009-11-08,WASHINGTON WIZARDS,240.0,35.5,79.33333333333333,5.333333333333333,14.333333333333334,20.166666666666668,27.333333333333332,10.833333333333334,32.166666666666664,18.166666666666668,5.333333333333333,4.833333333333333,13.333333333333334,23.666666666666668,0.5298333333333333,0.48133333333333334,0.18116666666666667,0.3506666666666666,26.26666666666667,73.73333333333333,50.73333333333333,50.43333333333334,5.900000000000001,8.016666666666667,12.683333333333332,100.0,106.64999999999998,108.95,240.0,40.5,80.83333333333333,10.333333333333334,22.0,19.666666666666668,28.0,10.0,31.833333333333332,23.166666666666668,6.0,5.166666666666667,16.666666666666668,20.0,0.5961666666666666,0.5658333333333333,0.2733333333333334,0.3486666666666666,24.483333333333334,73.3,50.13333333333333,57.21666666666667,6.166666666666667,7.383333333333333,15.083333333333334,100.0,113.78333333333335,109.81666666666666,0,0
2009-2010,2009-11-09,LOS ANGELES CLIPPERS,240.0,37.833333333333336,76.83333333333333,5.666666666666667,15.833333333333334,20.833333333333332,29.333333333333332,8.166666666666666,31.833333333333332,24.5,8.333333333333334,7.666666666666667,14.833333333333334,22.5,0.5683333333333335,0.5285,0.20550000000000002,0.3818333333333333,21.400000000000002,71.86666666666666,48.5,64.96666666666667,8.716666666666667,10.533333333333333,14.166666666666666,100.0,107.31666666666666,105.76666666666667,244.16666666666666,37.0,82.0,8.166666666666666,22.0,15.666666666666666,19.666666666666668,9.833333333333334,29.666666666666668,22.166666666666668,7.0,4.166666666666667,12.833333333333334,22.666666666666668,0.5393333333333333,0.5003333333333333,0.2683333333333333,0.24449999999999994,23.166666666666668,74.23333333333333,48.099999999999994,60.56666666666666,7.616666666666666,6.516666666666667,12.450000000000001,100.0,106.36666666666667,113.26666666666665,0,0
2009-2010,2009-11-09,NEW YORK KNICKS,252.5,38.5,89.66666666666667,8.833333333333334,28.166666666666668,16.0,19.5,9.333333333333334,30.166666666666668,22.0,8.333333333333334,4.666666666666667,15.166666666666666,24.333333333333332,0.5165000000000001,0.47783333333333333,0.31,0.21583333333333332,19.28333333333333,73.01666666666667,44.20000000000001,57.30000000000001,8.35,7.150000000000001,13.483333333333333,100.0,100.8,108.41666666666669,240.0,38.166666666666664,80.5,3.5,10.5,21.666666666666668,27.333333333333332,10.0,30.166666666666668,22.833333333333332,6.0,5.333333333333333,13.333333333333334,24.166666666666668,0.5481666666666668,0.49533333333333335,0.13216666666666665,0.3436666666666666,25.566666666666663,73.46666666666665,49.46666666666667,60.11666666666667,6.566666666666666,8.433333333333335,12.633333333333333,100.0,110.35000000000001,112.88333333333333,0,0
2009-2010,2009-11-09,PHILADELPHIA 76ERS,244.16666666666666,36.833333333333336,77.0,4.666666666666667,15.666666666666666,21.333333333333332,28.166666666666668,9.833333333333334,30.5,19.5,8.833333333333334,5.166666666666667,15.833333333333334,19.333333333333332,0.5541666666666666,0.5083333333333333,0.206,0.36633333333333334,25.61666666666667,72.35,49.949999999999996,54.06666666666666,9.483333333333333,8.583333333333334,15.083333333333334,100.0,105.58333333333333,110.36666666666666,240.0,40.666666666666664,82.16666666666667,11.166666666666666,24.0,17.333333333333332,25.833333333333332,10.5,33.666666666666664,25.0,6.0,4.833333333333333,17.666666666666668,20.333333333333332,0.5876666666666667,0.564,0.29316666666666663,0.31883333333333336,25.016666666666666,72.25,50.449999999999996,61.4,6.116666666666667,6.783333333333334,15.799999999999999,100.0,111.69999999999999,106.06666666666666,0,0
2009-2010,2009-11-10,CHARLOTTE BOBCATS,248.33333333333334,30.666666666666668,79.5,5.5,17.166666666666668,18.5,24.666666666666668,13.833333333333334,32.666666666666664,17.666666666666668,7.666666666666667,4.666666666666667,16.833333333333332,20.333333333333332,0.4716666666666667,0.41850000000000004,0.2131666666666667,0.3126666666666667,31.349999999999998,77.53333333333333,53.800000000000004,56.583333333333336,8.550000000000002,7.983333333333333,15.85,100.0,94.18333333333332,97.43333333333334,240.0,34.833333333333336,78.0,9.333333333333334,25.833333333333332,22.0,29.166666666666668,10.833333333333334,29.333333333333332,20.333333333333332,6.0,4.333333333333333,13.166666666666666,22.0,0.5515,0.5021666666666665,0.32949999999999996,0.3783333333333334,25.516666666666666,77.66666666666667,49.5,58.48333333333333,6.583333333333333,6.933333333333334,12.716666666666667,100.0,110.89999999999999,108.64999999999999,0,0
