season,date,home_team,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,defensive_rating_home,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,defensive_rating_away,home_won
2011-2012,2012-01-04,BOSTON CELTICS,240.0,35.833333333333336,75.0,7.166666666666667,14.833333333333334,17.666666666666668,23.166666666666668,9.166666666666666,27.5,23.833333333333332,5.666666666666667,5.833333333333333,15.833333333333334,23.0,0.5683333333333334,0.5278333333333333,0.19833333333333333,0.31033333333333335,23.75,73.21666666666667,48.48333333333334,66.08333333333333,6.216666666666666,9.166666666666666,15.483333333333334,100.0,107.95,108.11666666666666,240.0,30.5,79.33333333333333,6.666666666666667,22.833333333333332,17.666666666666668,22.5,13.166666666666666,28.166666666666668,15.666666666666666,7.333333333333333,5.166666666666667,15.333333333333334,22.0,0.478,0.42483333333333334,0.28833333333333333,0.2881666666666666,30.46666666666667,68.6,49.349999999999994,51.15,8.333333333333334,8.816666666666668,14.75,100.0,97.18333333333334,112.93333333333335,1
2011-2012,2012-01-04,DENVER NUGGETS,240.0,36.666666666666664,81.0,5.5,21.5,23.333333333333332,29.833333333333332,8.5,33.333333333333336,21.5,12.5,3.5,14.166666666666666,18.0,0.5428333333333334,0.48700000000000004,0.26683333333333337,0.37200000000000005,20.150000000000002,78.53333333333333,49.21666666666667,58.800000000000004,12.600000000000001,5.7,13.083333333333334,100.0,103.55,96.60000000000001,240.0,33.333333333333336,82.33333333333333,7.166666666666667,20.0,19.666666666666668,29.333333333333332,15.0,27.833333333333332,14.0,7.166666666666667,4.166666666666667,14.0,20.0,0.4916666666666667,0.45,0.24266666666666667,0.35766666666666663,32.083333333333336,64.91666666666667,47.833333333333336,42.03333333333333,7.766666666666667,5.766666666666667,12.75,100.0,102.25,110.44999999999999,1
2011-2012,2012-01-05,ATLANTA HAWKS,240.0,34.833333333333336,80.0,7.0,18.0,18.333333333333332,25.833333333333332,11.5,31.5,20.0,7.666666666666667,5.0,12.0,18.5,0.5193333333333333,0.4788333333333334,0.22533333333333336,0.327,27.816666666666663,75.45,51.86666666666665,57.98333333333333,8.666666666666666,8.483333333333334,11.616666666666667,100.0,107.2,96.63333333333333,240.0,41.333333333333336,79.83333333333333,5.0,12.5,21.166666666666668,27.333333333333332,6.833333333333333,33.0,25.166666666666668,10.666666666666666,5.166666666666667,14.833333333333334,19.666666666666668,0.5921666666666666,0.5496666666666666,0.15666666666666668,0.3498333333333334,18.266666666666666,76.5,49.61666666666667,60.68333333333334,10.716666666666667,8.733333333333333,13.85,100.0,110.78333333333332,98.13333333333333,0
2011-2012,2012-01-05,SAN ANTONIO SPURS,240.0,37.333333333333336,82.5,8.166666666666666,20.333333333333332,16.5,22.166666666666668,10.666666666666666,30.5,22.833333333333332,6.166666666666667,4.666666666666667,13.5,17.166666666666668,0.5426666666666666,0.5068333333333334,0.24566666666666667,0.27266666666666667,25.23333333333333,75.66666666666667,50.96666666666666,61.099999999999994,6.75,7.650000000000001,12.766666666666666,100.0,109.2,104.26666666666667,240.0,34.666666666666664,81.0,7.333333333333333,23.333333333333332,19.0,24.666666666666668,10.333333333333334,30.333333333333332,22.166666666666668,10.833333333333334,3.8333333333333335,13.833333333333334,21.5,0.5213333333333333,0.4736666666666667,0.29083333333333333,0.3116666666666667,23.21666666666667,75.5,48.400000000000006,63.68333333333334,11.683333333333332,6.5,13.100000000000001,100.0,103.61666666666667,104.18333333333332,1
2011-2012,2012-01-06,BOSTON CELTICS,240.0,35.166666666666664,74.16666666666667,7.833333333333333,16.666666666666668,15.833333333333334,21.5,9.0,28.333333333333332,23.166666666666668,5.666666666666667,5.666666666666667,15.0,21.666666666666668,0.5641666666666667,0.5293333333333333,0.22483333333333336,0.29166666666666663,23.28333333333333,73.03333333333333,48.5,65.55,6.4333333333333345,8.85,15.016666666666667,100.0,107.93333333333334,103.78333333333335,244.16666666666666,32.5,80.83333333333333,6.5,16.0,21.5,27.333333333333332,12.666666666666666,32.0,18.333333333333332,9.333333333333334,5.833333333333333,15.166666666666666,21.833333333333332,0.5035,0.4435,0.20283333333333334,0.34383333333333327,28.46666666666667,74.88333333333334,50.51666666666667,56.133333333333326,10.066666666666668,9.583333333333334,14.050000000000002,100.0,100.78333333333335,101.16666666666667,0
2011-2012,2012-01-06,CHARLOTTE BOBCATS,240.0,38.166666666666664,86.33333333333333,5.5,15.833333333333334,14.666666666666666,19.333333333333332,11.666666666666666,33.166666666666664,22.5,5.666666666666667,4.5,15.166666666666666,20.5,0.509,0.4748333333333333,0.18383333333333338,0.22366666666666668,26.599999999999998,79.41666666666667,52.26666666666667,59.21666666666666,5.883333333333333,6.783333333333334,13.766666666666666,100.0,100.51666666666667,111.83333333333333,252.5,34.5,81.33333333333333,6.0,17.833333333333332,20.5,30.0,11.166666666666666,31.833333333333332,19.833333333333332,7.5,5.166666666666667,12.833333333333334,18.666666666666668,0.5061666666666667,0.4626666666666666,0.21983333333333333,0.3678333333333333,25.766666666666666,74.26666666666667,50.050000000000004,58.083333333333336,8.033333333333333,8.200000000000001,11.916666666666666,100.0,102.91666666666667,100.25,0
2011-2012,2012-01-06,LOS ANGELES LAKERS,240.0,36.666666666666664,79.16666666666667,4.333333333333333,17.333333333333332,19.166666666666668,25.333333333333332,11.0,35.666666666666664,20.5,5.333333333333333,5.666666666666667,14.166666666666666,22.0,0.5386666666666667,0.49300000000000005,0.217,0.3261666666666667,27.166666666666668,78.63333333333334,54.43333333333333,55.75,5.8999999999999995,9.366666666666665,13.466666666666667,100.0,106.68333333333334,99.88333333333333,240.0,35.0,79.5,5.833333333333333,17.666666666666668,14.5,21.666666666666668,10.5,31.5,20.666666666666668,9.0,4.666666666666667,13.5,22.333333333333332,0.5093333333333333,0.4801666666666667,0.22266666666666668,0.2765,23.649999999999995,74.41666666666667,48.98333333333333,58.95000000000001,9.866666666666667,8.083333333333334,13.15,100.0,99.51666666666665,107.21666666666665,1
2011-2012,2012-01-06,MINNESOTA TIMBERWOLVES,240.0,36.0,79.66666666666667,8.166666666666666,21.5,17.666666666666668,25.666666666666668,13.166666666666666,34.333333333333336,17.5,6.166666666666667,3.1666666666666665,19.0,20.833333333333332,0.5421666666666666,0.5056666666666666,0.2688333333333333,0.32816666666666666,30.28333333333333,77.23333333333333,54.300000000000004,48.54999999999999,6.433333333333334,4.916666666666667,17.26666666666667,100.0,103.7,101.06666666666666,244.16666666666666,36.0,82.0,8.5,21.166666666666668,16.5,24.0,11.333333333333334,30.0,21.166666666666668,8.166666666666666,6.166666666666667,14.333333333333334,20.166666666666668,0.5291666666666667,0.4948333333333333,0.25666666666666665,0.291,27.78333333333333,74.23333333333333,50.300000000000004,58.949999999999996,8.883333333333335,10.049999999999999,13.449999999999998,100.0,105.46666666666665,102.68333333333334,0
2011-2012,2012-01-06,NEW ORLEANS HORNETS,240.0,34.166666666666664,81.66666666666667,2.5,12.833333333333334,16.333333333333332,21.833333333333332,14.833333333333334,33.666666666666664,17.833333333333332,5.833333333333333,5.5,13.666666666666666,21.0,0.48166666666666663,0.43816666666666676,0.157,0.2675,32.300000000000004,75.13333333333334,54.166666666666664,52.166666666666664,6.683333333333334,9.100000000000001,12.983333333333333,100.0,100.08333333333333,104.21666666666665,240.0,37.833333333333336,80.5,4.333333333333333,18.5,21.333333333333332,27.833333333333332,8.0,34.333333333333336,23.666666666666668,12.333333333333334,4.833333333333333,16.166666666666668,18.666666666666668,0.5478333333333333,0.49833333333333335,0.22950000000000004,0.34850000000000003,20.349999999999998,76.2,49.56666666666667,62.333333333333336,12.35,7.233333333333333,14.783333333333333,100.0,102.03333333333335,94.41666666666667,0
2011-2012,2012-01-06,OKLAHOMA CITY THUNDER,240.0,34.833333333333336,75.83333333333333,6.666666666666667,19.333333333333332,22.5,27.666666666666668,9.333333333333334,31.833333333333332,18.666666666666668,6.666666666666667,6.333333333333333,16.166666666666668,22.5,0.5651666666666667,0.508,0.25433333333333336,0.3706666666666667,24.25,71.16666666666666,49.70000000000001,53.13333333333333,7.216666666666666,9.799999999999999,15.466666666666667,100.0,107.28333333333335,108.31666666666666,240.0,37.833333333333336,83.33333333333333,8.833333333333334,24.666666666666668,11.5,14.666666666666666,9.5,29.833333333333332,22.333333333333332,6.333333333333333,3.8333333333333335,13.0,21.5,0.5351666666666667,0.5073333333333333,0.2946666666666667,0.18016666666666667,23.016666666666666,77.63333333333334,48.76666666666667,59.01666666666667,6.850000000000001,5.566666666666666,12.616666666666667,100.0,104.66666666666667,110.38333333333333,1
