season,date,home_team,date_home,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,date_away,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,home_won
2013-2014,2013-11-09,CLEVELAND CAVALIERS,240.0,33.833333333333336,85.16666666666667,6.333333333333333,19.666666666666668,14.666666666666666,19.666666666666668,12.333333333333334,30.666666666666668,18.333333333333332,10.0,3.8333333333333335,14.833333333333334,21.833333333333332,0.4723333333333333,0.43450000000000005,0.22999999999999998,0.232,27.05,76.38333333333333,50.26666666666667,54.0,10.683333333333332,6.233333333333333,13.6,100.0,95.08333333333333,101.63333333333334,240.0,40.5,85.83333333333333,7.166666666666667,21.666666666666668,14.5,21.333333333333332,10.666666666666666,35.0,24.0,8.5,4.5,18.833333333333332,17.833333333333332,0.5415,0.5146666666666667,0.2525,0.24966666666666662,25.816666666666666,72.73333333333333,51.083333333333336,59.599999999999994,8.466666666666667,6.883333333333334,16.45,100.0,102.83333333333333,103.03333333333335,1
2013-2014,2013-11-09,HOUSTON ROCKETS,240.0,35.833333333333336,75.0,8.166666666666666,25.0,27.666666666666668,39.833333333333336,11.166666666666666,35.833333333333336,17.5,7.666666666666667,5.0,18.333333333333332,20.833333333333332,0.5831666666666667,0.5335,0.33383333333333326,0.5315,30.03333333333333,73.98333333333333,54.73333333333333,49.26666666666667,7.699999999999999,8.0,16.566666666666666,100.0,109.73333333333333,104.7,240.0,39.833333333333336,83.33333333333333,9.166666666666666,25.666666666666668,21.666666666666668,29.5,11.5,30.166666666666668,25.833333333333332,9.0,4.333333333333333,14.833333333333334,26.333333333333332,0.5758333333333333,0.5365,0.30966666666666665,0.35966666666666675,28.01666666666667,73.61666666666667,50.73333333333333,64.75000000000001,9.133333333333333,7.233333333333333,13.483333333333334,100.0,113.56666666666668,111.48333333333335,0
2013-2014,2013-11-09,MIAMI HEAT,240.0,37.833333333333336,74.66666666666667,10.0,23.333333333333332,18.666666666666668,25.333333333333332,7.0,26.5,28.333333333333332,8.166666666666666,3.6666666666666665,15.833333333333334,23.833333333333332,0.6081666666666666,0.5731666666666666,0.3076666666666667,0.3521666666666667,19.433333333333334,71.28333333333333,45.43333333333334,74.98333333333333,8.866666666666669,6.916666666666667,15.533333333333331,100.0,113.21666666666668,107.46666666666665,240.0,34.0,78.33333333333333,4.333333333333333,16.5,17.333333333333332,22.833333333333332,11.0,30.0,16.333333333333332,9.166666666666666,5.333333333333333,17.333333333333332,23.5,0.5113333333333333,0.46649999999999997,0.2136666666666667,0.2981666666666667,25.566666666666674,67.75,47.76666666666667,47.800000000000004,9.916666666666666,8.133333333333335,16.65,100.0,97.28333333333332,100.71666666666665,0
2013-2014,2013-11-09,TORONTO RAPTORS,240.0,34.5,80.66666666666667,6.333333333333333,19.666666666666668,17.0,23.166666666666668,14.333333333333334,30.666666666666668,16.333333333333332,5.5,3.6666666666666665,14.666666666666666,23.666666666666668,0.5086666666666667,0.4663333333333333,0.24516666666666667,0.29316666666666663,32.983333333333334,78.53333333333333,54.699999999999996,48.01666666666667,6.083333333333333,6.633333333333333,13.866666666666665,100.0,103.39999999999999,105.81666666666666,240.0,32.333333333333336,82.0,4.5,18.166666666666668,18.0,26.166666666666668,15.666666666666666,28.5,17.666666666666668,7.5,3.8333333333333335,19.0,23.333333333333332,0.4671666666666667,0.423,0.22166666666666668,0.3193333333333333,32.43333333333333,71.83333333333333,50.416666666666664,55.63333333333333,8.083333333333334,6.599999999999999,16.866666666666667,100.0,93.46666666666668,105.56666666666666,1
2013-2014,2013-11-10,LOS ANGELES LAKERS,240.0,34.833333333333336,86.66666666666667,9.833333333333334,25.833333333333332,15.833333333333334,21.666666666666668,9.5,35.166666666666664,22.333333333333332,5.5,5.333333333333333,15.5,21.833333333333332,0.49466666666666664,0.4575,0.297,0.25233333333333335,19.383333333333333,78.23333333333333,47.5,64.33333333333333,5.466666666666668,8.3,13.75,100.0,95.55000000000001,106.33333333333333,244.16666666666666,36.5,88.16666666666667,7.166666666666667,22.666666666666668,24.833333333333332,31.0,11.833333333333334,32.0,23.333333333333332,10.0,3.3333333333333335,15.166666666666666,17.5,0.5168333333333334,0.45683333333333326,0.25883333333333336,0.357,25.75,71.73333333333333,48.25,63.916666666666664,10.033333333333333,5.066666666666666,12.966666666666667,100.0,104.71666666666665,99.88333333333333,0
2013-2014,2013-11-10,PHOENIX SUNS,240.0,37.833333333333336,82.0,8.666666666666666,23.666666666666668,15.833333333333334,21.166666666666668,10.333333333333334,34.333333333333336,19.0,9.5,5.0,17.833333333333332,20.5,0.5486666666666667,0.5146666666666667,0.29050000000000004,0.2591666666666667,24.666666666666668,76.89999999999999,51.98333333333333,50.96666666666666,9.833333333333334,7.816666666666667,16.28333333333333,100.0,103.68333333333334,99.63333333333333,240.0,36.0,83.66666666666667,5.833333333333333,12.666666666666666,18.5,22.833333333333332,12.0,31.166666666666668,21.666666666666668,9.333333333333334,8.666666666666666,13.0,22.5,0.517,0.46833333333333327,0.15233333333333332,0.2748333333333333,27.566666666666666,79.26666666666667,52.13333333333333,59.88333333333333,10.2,15.716666666666667,12.200000000000001,100.0,105.36666666666667,102.15000000000002,1
2013-2014,2013-11-11,BOSTON CELTICS,240.0,36.333333333333336,82.16666666666667,5.5,17.833333333333332,15.5,20.0,11.666666666666666,30.333333333333332,17.833333333333332,8.166666666666666,5.0,15.666666666666666,23.166666666666668,0.5175,0.47733333333333333,0.22016666666666665,0.24750000000000003,27.150000000000002,72.7,50.26666666666666,48.68333333333334,8.833333333333334,7.8166666666666655,14.9,100.0,101.64999999999999,103.81666666666666,244.16666666666666,39.833333333333336,84.33333333333333,7.5,19.833333333333332,15.0,21.833333333333332,10.666666666666666,38.5,20.666666666666668,7.5,4.5,17.166666666666668,22.0,0.5471666666666667,0.5198333333333335,0.2363333333333334,0.2648333333333333,24.333333333333332,74.05000000000001,51.583333333333336,52.38333333333333,7.650000000000001,5.8999999999999995,15.516666666666667,100.0,103.56666666666665,97.83333333333333,1
2013-2014,2013-11-11,CHARLOTTE BOBCATS,240.0,32.166666666666664,77.16666666666667,4.166666666666667,15.833333333333334,21.833333333333332,32.0,11.166666666666666,29.5,17.0,6.833333333333333,6.5,13.166666666666666,20.333333333333332,0.49733333333333335,0.44716666666666666,0.20833333333333337,0.4226666666666667,27.216666666666665,72.48333333333333,49.81666666666667,52.43333333333333,7.516666666666666,10.816666666666668,12.483333333333333,100.0,100.03333333333335,105.7,240.0,39.666666666666664,84.66666666666667,8.166666666666666,22.666666666666668,17.5,25.666666666666668,8.5,32.0,28.333333333333332,10.5,5.5,13.0,17.833333333333332,0.5485,0.5178333333333334,0.2698333333333333,0.31083333333333335,19.88333333333333,78.36666666666666,48.46666666666667,71.2,10.716666666666667,9.5,11.983333333333334,100.0,107.46666666666665,105.78333333333335,0
2013-2014,2013-11-11,HOUSTON ROCKETS,240.0,35.666666666666664,75.33333333333333,7.833333333333333,25.166666666666668,28.0,40.333333333333336,10.5,34.5,18.166666666666668,8.666666666666666,4.833333333333333,18.333333333333332,22.0,0.5778333333333334,0.527,0.33449999999999996,0.5365000000000001,28.21666666666667,72.51666666666667,52.9,51.4,8.7,8.049999999999999,16.48333333333333,100.0,108.38333333333334,108.05,240.0,34.833333333333336,80.16666666666667,7.166666666666667,21.0,19.166666666666668,24.166666666666668,13.333333333333334,30.333333333333332,17.666666666666668,5.333333333333333,3.3333333333333335,13.833333333333334,22.833333333333332,0.528,0.47816666666666663,0.26233333333333336,0.30683333333333335,31.649999999999995,76.63333333333334,53.46666666666666,51.01666666666667,5.949999999999999,5.883333333333333,13.216666666666663,100.0,108.08333333333333,107.06666666666666,1
2013-2014,2013-11-11,INDIANA PACERS,240.0,34.833333333333336,77.33333333333333,8.166666666666666,20.833333333333332,16.666666666666668,21.666666666666668,9.5,34.666666666666664,22.333333333333332,6.666666666666667,7.166666666666667,16.0,19.333333333333332,0.5451666666666667,0.5046666666666667,0.2723333333333333,0.2838333333333333,23.716666666666665,75.68333333333334,52.083333333333336,64.25,7.333333333333333,11.066666666666668,15.566666666666665,100.0,103.89999999999999,93.48333333333333,244.16666666666666,38.0,80.16666666666667,5.166666666666667,15.333333333333334,17.333333333333332,22.0,9.666666666666666,30.666666666666668,22.333333333333332,7.333333333333333,3.5,17.166666666666668,22.0,0.5503333333333333,0.5088333333333334,0.19300000000000003,0.27666666666666667,24.683333333333334,76.35000000000001,51.03333333333333,58.583333333333336,7.716666666666666,6.116666666666667,16.13333333333333,100.0,104.83333333333333,106.13333333333333,1
