season,date,home_team,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,defensive_rating_home,points_home,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,defensive_rating_away,points_away,during_playoffs,home_won
2008-2009,2008-11-08,CHICAGO BULLS,240.0,33.5,79.83333333333333,5.666666666666667,14.833333333333334,22.333333333333332,28.833333333333332,12.333333333333334,31.5,18.833333333333332,8.833333333333334,5.833333333333333,15.166666666666666,22.666666666666668,0.5158333333333334,0.459,0.18666666666666668,0.3691666666666667,28.683333333333337,74.78333333333335,51.26666666666667,56.23333333333333,9.516666666666667,9.116666666666667,14.016666666666666,100.0,102.45,100.76666666666665,95.0,240.0,35.333333333333336,75.5,6.0,18.0,21.833333333333332,29.0,10.666666666666666,31.166666666666668,19.666666666666668,8.166666666666666,6.333333333333333,15.0,22.5,0.5575,0.5076666666666666,0.24000000000000002,0.3853333333333333,29.200000000000003,73.08333333333333,52.96666666666667,55.73333333333333,9.133333333333333,10.333333333333334,14.566666666666665,100.0,109.7,102.41666666666667,98.5,0,0
2008-2009,2008-11-08,MILWAUKEE BUCKS,244.16666666666666,36.666666666666664,80.83333333333333,5.166666666666667,14.666666666666666,17.333333333333332,24.833333333333332,11.666666666666666,30.166666666666668,22.833333333333332,7.166666666666667,3.5,17.5,25.333333333333332,0.5221666666666668,0.48500000000000004,0.18183333333333332,0.308,28.98333333333333,73.88333333333334,51.21666666666667,61.23333333333334,7.616666666666667,6.333333333333333,16.016666666666666,100.0,101.8,102.23333333333333,95.83333333333333,240.0,38.0,71.66666666666667,6.666666666666667,15.666666666666666,19.833333333333332,26.5,6.166666666666667,32.0,22.5,6.666666666666667,5.5,16.333333333333332,19.5,0.6166666666666666,0.5781666666666666,0.21983333333333335,0.3701666666666667,18.683333333333334,77.46666666666667,51.56666666666666,58.666666666666664,7.216666666666666,9.216666666666667,16.349999999999998,100.0,112.46666666666668,108.18333333333335,102.5,0,0
2008-2009,2008-11-09,SACRAMENTO KINGS,240.0,37.5,77.33333333333333,4.833333333333333,15.666666666666666,18.166666666666668,22.166666666666668,8.5,28.0,20.166666666666668,5.5,4.166666666666667,16.333333333333332,23.666666666666668,0.5615,0.5156666666666666,0.20199999999999999,0.287,25.583333333333332,68.08333333333333,48.916666666666664,53.599999999999994,6.033333333333332,6.566666666666666,15.716666666666667,100.0,107.83333333333333,119.05,98.0,244.16666666666666,36.833333333333336,87.0,5.666666666666667,19.833333333333332,22.333333333333332,32.666666666666664,14.833333333333334,28.666666666666668,18.333333333333332,7.666666666666667,6.833333333333333,13.5,23.333333333333332,0.5018333333333334,0.45716666666666667,0.22799999999999998,0.389,30.683333333333337,71.15,49.0,49.9,7.983333333333334,9.916666666666666,11.716666666666667,100.0,105.75,107.08333333333333,101.66666666666667,0,1
2008-2009,2008-11-10,BOSTON CELTICS,240.0,34.333333333333336,77.33333333333333,4.0,13.666666666666666,21.166666666666668,29.0,12.0,35.333333333333336,20.5,9.5,6.333333333333333,18.333333333333332,24.5,0.5213333333333333,0.4696666666666666,0.17500000000000002,0.37733333333333335,28.0,73.31666666666666,52.133333333333326,59.28333333333334,10.116666666666667,9.716666666666667,16.833333333333332,100.0,100.03333333333332,92.8,93.83333333333333,244.16666666666666,35.0,74.83333333333333,6.333333333333333,14.166666666666666,19.0,22.666666666666668,6.5,29.833333333333332,23.833333333333332,5.333333333333333,6.166666666666667,12.333333333333334,17.833333333333332,0.5631666666666667,0.5113333333333333,0.19266666666666668,0.307,17.316666666666666,70.53333333333335,45.666666666666664,68.33333333333333,5.983333333333333,9.516666666666667,12.75,100.0,106.84999999999998,105.84999999999998,95.33333333333333,0,1
2008-2009,2008-11-10,ORLANDO MAGIC,240.0,35.666666666666664,79.33333333333333,8.0,25.333333333333332,19.0,28.5,12.833333333333334,31.5,18.166666666666668,8.0,7.166666666666667,14.166666666666666,20.166666666666668,0.5359999999999999,0.5016666666666666,0.32216666666666666,0.36083333333333334,28.75,74.58333333333333,51.333333333333336,50.400000000000006,8.683333333333334,10.700000000000001,13.366666666666665,100.0,107.5,100.05,98.33333333333333,244.16666666666666,35.166666666666664,80.33333333333333,8.0,20.166666666666668,16.0,21.0,13.666666666666666,25.833333333333332,19.833333333333332,6.833333333333333,5.0,11.166666666666666,21.666666666666668,0.5273333333333334,0.48866666666666675,0.2525,0.2675,31.733333333333334,76.55,50.78333333333333,56.83333333333334,8.033333333333333,8.0,11.066666666666668,100.0,110.16666666666667,116.06666666666666,94.33333333333333,0,0
2008-2009,2008-11-10,PHOENIX SUNS,240.0,36.0,68.66666666666667,6.666666666666667,16.5,24.0,31.0,5.833333333333333,32.5,22.0,7.0,4.833333333333333,17.333333333333332,20.166666666666668,0.6243333333333333,0.5715,0.24283333333333335,0.4606666666666667,18.26666666666667,76.45,51.56666666666667,61.38333333333333,7.533333333333334,8.15,17.35,100.0,111.86666666666667,107.08333333333333,102.66666666666667,240.0,32.833333333333336,76.66666666666667,5.0,14.0,22.0,29.5,10.666666666666666,32.5,17.166666666666668,7.666666666666667,4.833333333333333,15.166666666666666,24.333333333333332,0.5165,0.46,0.18433333333333335,0.389,24.716666666666665,72.68333333333334,48.73333333333333,52.53333333333333,8.266666666666667,8.4,14.466666666666669,100.0,99.80000000000001,100.95,92.66666666666667,0,1
2008-2009,2008-11-11,CHARLOTTE BOBCATS,240.0,31.166666666666668,72.33333333333333,4.666666666666667,13.166666666666666,21.5,27.166666666666668,12.166666666666666,25.0,17.5,7.166666666666667,3.3333333333333335,14.5,19.833333333333332,0.5273333333333333,0.46416666666666667,0.18383333333333338,0.3921666666666666,31.150000000000002,69.26666666666667,49.21666666666667,56.81666666666666,8.399999999999999,6.233333333333333,14.633333333333333,100.0,105.11666666666666,111.8,88.5,244.16666666666666,35.666666666666664,81.66666666666667,4.0,15.166666666666666,26.833333333333332,34.666666666666664,10.666666666666666,35.5,22.166666666666668,9.333333333333334,5.666666666666667,17.166666666666668,25.5,0.5275,0.4633333333333334,0.18833333333333335,0.426,23.766666666666666,71.93333333333334,49.0,62.51666666666666,9.383333333333335,8.166666666666668,15.016666666666666,100.0,101.96666666666665,101.83333333333333,102.16666666666667,0,0
2008-2009,2008-11-11,CLEVELAND CAVALIERS,240.0,36.833333333333336,77.83333333333333,6.5,18.166666666666668,21.833333333333332,28.166666666666668,11.333333333333334,29.666666666666668,20.0,7.833333333333333,6.833333333333333,13.333333333333334,21.5,0.5653333333333334,0.5161666666666667,0.2356666666666667,0.36133333333333334,31.350000000000005,70.05,52.20000000000001,54.43333333333334,8.85,10.933333333333335,12.916666666666666,100.0,114.81666666666668,104.89999999999998,102.0,244.16666666666666,36.666666666666664,82.16666666666667,5.0,13.666666666666666,17.666666666666668,25.166666666666668,11.333333333333334,31.666666666666668,23.0,6.833333333333333,3.6666666666666665,16.166666666666668,25.833333333333332,0.5146666666666667,0.47600000000000003,0.16749999999999998,0.308,27.599999999999998,77.61666666666666,52.050000000000004,61.68333333333334,7.233333333333332,7.083333333333333,14.733333333333333,100.0,101.55,101.01666666666667,96.0,0,1
2008-2009,2008-11-11,GOLDEN STATE WARRIORS,244.16666666666666,37.333333333333336,89.16666666666667,4.666666666666667,18.333333333333332,21.5,31.666666666666668,15.5,29.0,18.5,8.0,7.333333333333333,14.0,23.5,0.4891666666666667,0.44583333333333336,0.20583333333333334,0.36966666666666664,31.416666666666668,69.81666666666666,48.88333333333333,49.68333333333334,8.183333333333334,10.416666666666666,11.916666666666666,100.0,103.7,106.91666666666667,100.83333333333333,248.33333333333334,37.333333333333336,86.16666666666667,4.666666666666667,14.833333333333334,19.833333333333332,24.5,11.5,28.833333333333332,23.833333333333332,5.666666666666667,4.5,11.5,22.333333333333332,0.5101666666666667,0.4583333333333333,0.17166666666666666,0.2846666666666667,26.183333333333334,71.48333333333333,47.800000000000004,63.04999999999999,6.099999999999999,6.433333333333333,10.75,100.0,106.33333333333333,111.98333333333333,99.16666666666667,0,1
2008-2009,2008-11-11,PHILADELPHIA 76ERS,240.0,37.333333333333336,83.5,5.5,14.333333333333334,17.166666666666668,22.5,15.0,34.666666666666664,18.833333333333332,5.666666666666667,4.833333333333333,17.833333333333332,18.166666666666668,0.5221666666666668,0.48183333333333334,0.17333333333333334,0.2783333333333334,35.46666666666667,74.89999999999999,56.06666666666667,50.31666666666666,6.1499999999999995,7.533333333333332,16.066666666666666,100.0,105.35000000000002,103.73333333333333,97.33333333333333,240.0,37.833333333333336,78.16666666666667,3.1666666666666665,10.833333333333334,20.166666666666668,26.166666666666668,11.666666666666666,31.333333333333332,24.833333333333332,9.0,3.6666666666666665,14.0,20.833333333333332,0.5535,0.5051666666666667,0.14,0.33866666666666667,29.966666666666665,74.23333333333333,52.93333333333333,65.46666666666667,10.016666666666666,5.699999999999999,13.4,100.0,109.78333333333332,100.39999999999999,99.0,0,0
