season,date,home_team,date_home,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,date_away,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,home_won
2017-2018,2017-10-29,GOLDEN STATE WARRIORS,240.0,43.333333333333336,85.66666666666667,13.833333333333334,35.333333333333336,19.5,22.666666666666668,9.833333333333334,36.166666666666664,30.166666666666668,7.333333333333333,8.666666666666666,17.0,22.333333333333332,0.6291666666666667,0.5881666666666666,0.4106666666666667,0.26666666666666666,23.916666666666668,74.73333333333333,51.46666666666667,69.38333333333334,7.25,14.483333333333333,15.149999999999999,100.0,117.66666666666667,112.05,240.0,40.833333333333336,89.83333333333333,9.666666666666666,28.5,13.166666666666666,17.333333333333332,11.166666666666666,32.0,21.0,9.0,2.8333333333333335,13.166666666666666,23.5,0.5356666666666666,0.5076666666666666,0.3176666666666667,0.19466666666666668,24.883333333333336,78.88333333333334,49.88333333333333,50.65,9.299999999999999,5.75,11.850000000000001,100.0,108.36666666666666,103.23333333333333,0
2017-2018,2017-10-30,BOSTON CELTICS,240.0,35.666666666666664,82.83333333333333,10.0,28.5,19.166666666666668,25.5,9.333333333333334,35.833333333333336,20.833333333333332,9.333333333333334,4.5,13.333333333333334,21.166666666666668,0.5363333333333334,0.49300000000000005,0.3455,0.30983333333333335,20.38333333333333,82.35000000000001,50.833333333333336,58.23333333333334,9.666666666666666,7.7,12.383333333333333,100.0,103.93333333333332,98.13333333333333,240.0,37.833333333333336,87.83333333333333,6.166666666666667,20.333333333333332,17.0,22.166666666666668,13.5,35.5,20.333333333333332,7.666666666666667,7.5,14.5,16.666666666666668,0.5093333333333333,0.47,0.23199999999999998,0.2565,28.116666666666664,84.44999999999999,54.68333333333334,54.333333333333336,7.983333333333334,13.899999999999999,12.866666666666667,100.0,103.06666666666668,101.21666666666665,1
2017-2018,2017-10-30,HOUSTON ROCKETS,240.0,34.5,79.83333333333333,13.333333333333334,44.0,18.5,22.0,8.5,36.666666666666664,20.333333333333332,7.333333333333333,5.166666666666667,15.666666666666666,21.833333333333332,0.5633333333333334,0.5151666666666667,0.5489999999999999,0.27699999999999997,20.133333333333333,82.13333333333333,51.85,59.63333333333333,7.666666666666667,8.916666666666666,14.933333333333335,100.0,105.85000000000001,103.26666666666667,240.0,38.5,87.66666666666667,11.666666666666666,31.0,13.666666666666666,19.833333333333332,10.666666666666666,34.333333333333336,23.666666666666668,8.833333333333334,3.6666666666666665,16.833333333333332,24.666666666666668,0.532,0.5058333333333332,0.3516666666666666,0.2335,23.2,79.21666666666667,50.36666666666667,61.400000000000006,8.966666666666667,7.75,14.883333333333333,100.0,102.64999999999999,108.33333333333333,0
2017-2018,2017-10-30,MEMPHIS GRIZZLIES,240.0,34.5,77.83333333333333,10.166666666666666,28.833333333333332,21.666666666666668,28.0,7.5,33.666666666666664,18.833333333333332,7.666666666666667,4.666666666666667,13.5,23.333333333333332,0.5609999999999999,0.5083333333333333,0.37166666666666665,0.36900000000000005,17.566666666666666,75.98333333333333,48.23333333333333,54.48333333333333,8.183333333333332,9.700000000000001,13.083333333333334,100.0,107.7,100.64999999999999,240.0,37.166666666666664,83.83333333333333,9.5,28.333333333333332,18.833333333333332,27.666666666666668,9.666666666666666,41.166666666666664,19.0,4.833333333333333,4.833333333333333,15.333333333333334,18.0,0.5346666666666666,0.4974999999999999,0.34366666666666673,0.33699999999999997,21.3,82.5,53.21666666666667,50.71666666666667,4.816666666666666,9.166666666666666,13.733333333333334,100.0,102.11666666666667,101.60000000000001,0
2017-2018,2017-10-30,NEW ORLEANS PELICANS,240.0,40.5,86.16666666666667,11.333333333333334,31.333333333333332,17.666666666666668,23.833333333333332,10.333333333333334,36.333333333333336,23.166666666666668,7.666666666666667,5.833333333333333,15.833333333333334,23.333333333333332,0.5683333333333334,0.5323333333333334,0.3638333333333334,0.2833333333333333,23.100000000000005,78.65000000000002,51.76666666666667,56.583333333333336,7.550000000000001,10.033333333333333,14.100000000000001,100.0,109.16666666666667,108.06666666666666,240.0,43.0,88.83333333333333,12.166666666666666,28.0,19.0,24.0,8.833333333333334,35.833333333333336,25.0,8.666666666666666,5.666666666666667,14.5,23.333333333333332,0.5913333333333334,0.5543333333333333,0.314,0.27166666666666667,19.933333333333334,72.85000000000001,47.81666666666666,58.46666666666667,8.35,8.533333333333333,12.75,100.0,112.83333333333333,104.83333333333333,0
2017-2018,2017-10-30,UTAH JAZZ,240.0,36.5,78.33333333333333,8.833333333333334,26.5,12.666666666666666,16.0,8.166666666666666,33.333333333333336,21.833333333333332,9.0,6.5,19.0,20.333333333333332,0.5535,0.5223333333333334,0.3383333333333334,0.205,20.466666666666665,75.64999999999999,49.18333333333334,59.71666666666667,9.583333333333334,11.166666666666666,18.183333333333334,100.0,100.58333333333333,99.68333333333334,240.0,34.333333333333336,82.83333333333333,12.166666666666666,32.166666666666664,16.833333333333332,23.333333333333332,9.0,31.0,20.166666666666668,8.0,2.6666666666666665,13.333333333333334,18.166666666666668,0.5311666666666667,0.4955,0.3941666666666667,0.2841666666666667,18.099999999999998,75.85000000000001,45.73333333333333,58.98333333333333,8.416666666666666,5.366666666666667,12.65,100.0,103.46666666666665,111.65000000000002,1
2017-2018,2017-10-31,BROOKLYN NETS,240.0,39.333333333333336,89.83333333333333,11.833333333333334,32.666666666666664,21.5,29.333333333333332,12.333333333333334,33.833333333333336,22.333333333333332,9.0,4.333333333333333,15.666666666666666,21.833333333333332,0.5441666666666668,0.5035,0.36433333333333334,0.32566666666666666,25.033333333333335,77.0,49.53333333333333,57.11666666666667,8.683333333333332,7.099999999999999,13.299999999999999,100.0,108.40000000000002,111.35000000000001,240.0,36.833333333333336,85.33333333333333,8.666666666666666,25.833333333333332,20.166666666666668,26.666666666666668,9.666666666666666,34.5,17.5,8.5,6.166666666666667,17.833333333333332,24.5,0.5281666666666666,0.48299999999999993,0.30716666666666664,0.3233333333333333,20.333333333333332,76.55000000000001,48.15,48.53333333333333,8.233333333333333,9.533333333333333,15.600000000000001,100.0,98.23333333333333,112.83333333333331,0
2017-2018,2017-10-31,INDIANA PACERS,240.0,41.833333333333336,86.66666666666667,8.333333333333334,24.0,19.166666666666668,25.333333333333332,10.166666666666666,32.833333333333336,21.166666666666668,8.666666666666666,4.0,15.166666666666666,20.666666666666668,0.57,0.5296666666666666,0.2765,0.29483333333333334,24.133333333333336,75.35,50.333333333333336,49.93333333333334,8.5,6.349999999999999,13.566666666666668,100.0,109.73333333333333,110.75,240.0,37.166666666666664,87.0,8.0,22.0,13.666666666666666,17.666666666666668,11.0,31.0,18.5,7.833333333333333,3.1666666666666665,13.666666666666666,20.166666666666668,0.5056666666666668,0.4728333333333334,0.2535,0.2021666666666667,23.5,74.03333333333335,47.35,49.716666666666676,8.250000000000002,6.766666666666667,12.683333333333332,100.0,101.3,110.90000000000002,1
2017-2018,2017-10-31,LOS ANGELES LAKERS,244.16666666666666,39.5,87.66666666666667,6.666666666666667,24.0,16.166666666666668,22.666666666666668,9.166666666666666,36.333333333333336,22.333333333333332,8.5,5.166666666666667,18.666666666666668,23.0,0.5193333333333333,0.48700000000000004,0.2741666666666667,0.2591666666666667,19.666666666666668,77.41666666666667,48.916666666666664,56.71666666666667,8.249999999999998,8.5,16.066666666666666,100.0,96.86666666666666,104.03333333333335,240.0,41.166666666666664,89.33333333333333,10.166666666666666,28.666666666666668,14.166666666666666,18.166666666666668,12.5,29.0,20.666666666666668,9.333333333333334,2.3333333333333335,14.0,21.5,0.547,0.5165000000000001,0.32083333333333336,0.20433333333333337,28.083333333333332,74.55,49.56666666666667,49.43333333333334,9.766666666666666,4.583333333333333,12.549999999999999,100.0,111.43333333333334,106.91666666666667,1
2017-2018,2017-10-31,MILWAUKEE BUCKS,240.0,39.5,80.16666666666667,9.666666666666666,25.166666666666668,15.833333333333334,20.5,5.5,33.166666666666664,23.333333333333332,7.833333333333333,4.0,14.333333333333334,22.666666666666668,0.5850000000000001,0.553,0.3133333333333333,0.2575,14.250000000000002,79.01666666666667,47.833333333333336,59.0,8.116666666666665,7.55,13.866666666666669,100.0,108.21666666666665,107.56666666666666,240.0,40.333333333333336,87.83333333333333,10.666666666666666,31.833333333333332,14.666666666666666,20.333333333333332,11.333333333333334,30.5,23.333333333333332,11.5,7.0,15.333333333333334,22.166666666666668,0.5468333333333334,0.519,0.3638333333333333,0.23283333333333334,26.61666666666667,72.0,48.949999999999996,57.76666666666667,11.983333333333334,13.200000000000001,13.616666666666665,100.0,109.35000000000001,99.46666666666668,0
2017-2018,2017-11-01,BOSTON CELTICS,240.0,36.666666666666664,82.83333333333333,10.5,28.333333333333332,18.166666666666668,24.0,10.333333333333334,36.166666666666664,20.833333333333332,9.166666666666666,4.833333333333333,13.833333333333334,20.833333333333332,0.5476666666666667,0.5071666666666667,0.34349999999999997,0.29283333333333333,23.2,81.7,52.416666666666664,56.63333333333333,9.633333333333331,8.233333333333334,12.85,100.0,106.94999999999999,98.10000000000001,240.0,36.333333333333336,87.0,7.0,20.5,13.5,18.333333333333332,11.0,31.5,17.833333333333332,8.333333333333334,3.3333333333333335,13.166666666666666,19.833333333333332,0.48900000000000005,0.45766666666666667,0.23650000000000002,0.20966666666666667,22.96666666666667,73.81666666666666,46.86666666666667,48.93333333333334,8.783333333333333,6.5,12.25,100.0,98.5,110.38333333333334,1
2017-2018,2017-11-01,CHARLOTTE HORNETS,240.0,38.5,86.5,9.166666666666666,26.166666666666668,18.833333333333332,27.666666666666668,10.833333333333334,41.5,18.833333333333332,4.666666666666667,5.5,14.333333333333334,19.166666666666668,0.5323333333333333,0.4968333333333333,0.30700000000000005,0.32516666666666666,23.633333333333336,82.11666666666666,53.85,48.26666666666667,4.633333333333333,10.466666666666667,12.616666666666667,100.0,104.18333333333334,100.8,240.0,38.5,80.33333333333333,10.0,26.833333333333332,14.666666666666666,19.166666666666668,5.166666666666667,31.166666666666668,24.166666666666668,8.166666666666666,4.0,14.166666666666666,22.666666666666668,0.5716666666666667,0.541,0.3345,0.23933333333333331,13.25,78.51666666666667,46.03333333333333,63.166666666666664,8.516666666666667,7.749999999999999,13.783333333333333,100.0,105.89999999999999,109.98333333333333,1
