season,date,home_team,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,defensive_rating_home,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,defensive_rating_away,during_playoffs,home_won
2007-2008,2007-11-10,ORLANDO MAGIC,240.0,34.833333333333336,76.83333333333333,10.166666666666666,25.666666666666668,22.833333333333332,30.5,9.0,33.166666666666664,20.333333333333332,5.333333333333333,4.5,12.666666666666666,20.666666666666668,0.569,0.5201666666666666,0.33383333333333337,0.4003333333333334,22.21666666666667,72.36666666666667,48.616666666666674,57.98333333333333,5.7,6.8,12.299999999999999,100.0,110.94999999999999,104.89999999999999,240.0,39.666666666666664,87.5,10.0,27.666666666666668,14.666666666666666,19.5,9.666666666666666,31.333333333333332,23.833333333333332,9.5,4.166666666666667,12.833333333333334,17.666666666666668,0.5411666666666666,0.5105000000000001,0.31716666666666665,0.22266666666666668,20.849999999999998,68.63333333333333,44.21666666666667,59.699999999999996,9.683333333333335,5.716666666666666,11.783333333333333,100.0,106.55000000000001,101.91666666666667,0,0
2007-2008,2007-11-12,DENVER NUGGETS,240.0,37.5,82.16666666666667,7.333333333333333,20.5,21.5,28.5,10.166666666666666,33.333333333333336,22.833333333333332,10.166666666666666,5.0,18.333333333333332,22.0,0.5491666666666667,0.5015000000000001,0.24949999999999997,0.35250000000000004,22.71666666666667,73.15,48.23333333333333,60.9,9.966666666666667,7.483333333333333,16.25,100.0,102.63333333333333,102.23333333333335,240.0,38.666666666666664,86.0,7.333333333333333,20.0,16.5,24.333333333333332,13.666666666666666,32.333333333333336,19.666666666666668,7.833333333333333,5.333333333333333,14.833333333333334,23.5,0.5236666666666666,0.4936666666666667,0.23233333333333336,0.2851666666666666,29.833333333333332,76.81666666666668,52.46666666666666,50.65,8.216666666666667,7.800000000000001,13.283333333333333,100.0,105.93333333333334,104.95,0,1
2007-2008,2007-11-12,NEW JERSEY NETS,244.16666666666666,31.0,75.66666666666667,6.0,19.0,23.5,28.833333333333332,10.0,31.166666666666668,22.833333333333332,6.5,6.333333333333333,16.5,25.666666666666668,0.515,0.44849999999999995,0.2521666666666667,0.37966666666666665,24.866666666666664,75.0,49.949999999999996,73.91666666666667,7.016666666666667,10.65,15.833333333333336,100.0,99.2,104.61666666666667,240.0,37.5,83.16666666666667,8.333333333333334,20.166666666666668,15.333333333333334,19.333333333333332,10.833333333333334,33.333333333333336,21.166666666666668,8.333333333333334,3.5,12.5,19.0,0.5398333333333333,0.5031666666666667,0.24333333333333337,0.2306666666666667,25.333333333333332,75.75,50.916666666666664,56.449999999999996,9.133333333333335,5.066666666666666,11.966666666666667,100.0,107.94999999999999,99.73333333333335,0,0
2007-2008,2007-11-12,UTAH JAZZ,240.0,42.0,82.66666666666667,4.166666666666667,11.166666666666666,22.0,29.666666666666668,11.666666666666666,29.0,29.166666666666668,10.166666666666666,4.166666666666667,16.833333333333332,25.5,0.5758333333333333,0.5321666666666667,0.13566666666666666,0.36566666666666675,29.233333333333334,74.48333333333333,51.11666666666667,69.33333333333333,10.283333333333333,6.616666666666666,14.966666666666667,100.0,111.75,106.56666666666666,240.0,32.166666666666664,74.66666666666667,3.5,12.166666666666666,26.666666666666668,31.333333333333332,9.833333333333334,26.166666666666668,14.166666666666666,8.333333333333334,3.3333333333333335,15.333333333333334,21.166666666666668,0.5345,0.45416666666666666,0.1625,0.4235,24.63333333333333,67.71666666666665,45.550000000000004,43.449999999999996,9.100000000000001,5.766666666666667,14.766666666666666,100.0,103.66666666666667,111.14999999999999,0,1
2007-2008,2007-11-13,CHARLOTTE BOBCATS,240.0,30.833333333333332,75.16666666666667,4.833333333333333,15.0,19.5,29.166666666666668,14.833333333333334,29.166666666666668,17.333333333333332,8.333333333333334,4.0,18.666666666666668,23.166666666666668,0.4891666666666667,0.44449999999999995,0.2006666666666667,0.39083333333333337,32.033333333333324,69.18333333333334,50.150000000000006,56.75,9.283333333333333,6.3,17.366666666666667,100.0,95.68333333333334,105.33333333333336,240.0,34.666666666666664,79.83333333333333,5.0,15.666666666666666,10.166666666666666,16.333333333333332,10.666666666666666,32.5,19.5,7.5,5.0,15.166666666666666,17.833333333333332,0.48666666666666664,0.46599999999999997,0.19883333333333333,0.20933333333333334,24.316666666666666,75.1,49.849999999999994,56.79999999999999,8.466666666666667,8.549999999999999,14.883333333333335,100.0,94.81666666666668,99.83333333333336,0,1
2007-2008,2007-11-13,DALLAS MAVERICKS,240.0,36.666666666666664,76.83333333333333,7.0,19.0,22.666666666666668,25.5,8.5,31.833333333333332,21.166666666666668,4.0,6.0,12.833333333333334,22.833333333333332,0.5873333333333334,0.5276666666666666,0.24650000000000002,0.3333333333333333,22.733333333333334,74.4,50.11666666666667,57.050000000000004,4.483333333333333,9.333333333333332,12.816666666666668,100.0,113.75,106.68333333333332,240.0,34.666666666666664,80.0,4.166666666666667,15.0,18.166666666666668,26.5,14.166666666666666,31.0,19.333333333333332,8.5,5.5,16.666666666666668,21.333333333333332,0.49950000000000006,0.459,0.18666666666666665,0.33216666666666667,32.6,71.03333333333333,51.699999999999996,55.949999999999996,9.35,8.733333333333334,15.450000000000001,100.0,100.56666666666668,99.80000000000001,0,1
2007-2008,2007-11-13,ORLANDO MAGIC,240.0,36.166666666666664,78.83333333333333,9.5,25.166666666666668,19.833333333333332,27.833333333333332,9.166666666666666,33.166666666666664,22.0,5.833333333333333,3.5,13.333333333333334,19.333333333333332,0.5585,0.5196666666666666,0.321,0.3578333333333333,22.333333333333332,74.36666666666666,49.26666666666667,60.583333333333336,6.2,5.416666666666667,12.766666666666666,100.0,108.51666666666667,107.80000000000001,240.0,39.0,86.16666666666667,4.333333333333333,13.5,17.666666666666668,22.0,11.5,33.333333333333336,21.0,8.833333333333334,4.5,18.833333333333332,24.5,0.5235,0.47950000000000004,0.15883333333333335,0.2578333333333333,25.566666666666666,72.66666666666666,49.083333333333336,53.85,8.783333333333333,6.683333333333334,16.45,100.0,99.64999999999999,106.23333333333333,0,1
2007-2008,2007-11-13,PORTLAND TRAIL BLAZERS,240.0,37.0,79.16666666666667,5.333333333333333,12.666666666666666,14.666666666666666,19.5,8.833333333333334,31.666666666666668,20.666666666666668,4.5,3.6666666666666665,14.5,21.0,0.536,0.5019999999999999,0.16,0.24849999999999997,21.98333333333333,70.53333333333335,47.63333333333333,55.71666666666666,4.966666666666667,5.483333333333333,14.233333333333334,100.0,103.81666666666666,106.58333333333333,240.0,37.166666666666664,80.16666666666667,6.333333333333333,17.666666666666668,19.666666666666668,27.0,11.0,32.5,23.0,7.666666666666667,5.0,12.833333333333334,20.833333333333332,0.547,0.5048333333333334,0.22033333333333335,0.3406666666666667,26.666666666666668,76.33333333333333,51.85,61.883333333333326,8.333333333333334,8.049999999999999,12.283333333333333,100.0,109.48333333333333,98.39999999999999,0,1
2007-2008,2007-11-14,ATLANTA HAWKS,240.0,32.666666666666664,76.0,4.5,15.0,22.166666666666668,28.666666666666668,11.833333333333334,30.5,18.333333333333332,8.5,6.333333333333333,16.5,20.666666666666668,0.5188333333333334,0.4586666666666666,0.19816666666666669,0.38199999999999995,27.683333333333337,72.71666666666667,49.78333333333333,56.53333333333333,9.366666666666667,10.233333333333334,15.766666666666666,100.0,101.18333333333335,105.86666666666667,240.0,30.333333333333332,75.66666666666667,5.0,14.833333333333334,18.5,25.666666666666668,13.5,31.5,17.666666666666668,7.166666666666667,3.5,17.0,23.0,0.4851666666666667,0.436,0.19716666666666663,0.3428333333333334,29.849999999999998,72.41666666666667,51.333333333333336,58.51666666666666,8.15,5.6499999999999995,16.1,100.0,95.36666666666667,102.64999999999999,0,1
2007-2008,2007-11-14,BOSTON CELTICS,244.16666666666666,38.333333333333336,75.66666666666667,8.0,19.333333333333332,21.833333333333332,29.0,8.666666666666666,34.0,24.5,11.0,4.666666666666667,15.666666666666666,23.5,0.6044999999999999,0.5611666666666667,0.25383333333333336,0.38483333333333336,24.266666666666666,77.68333333333334,53.76666666666666,63.56666666666666,11.483333333333334,7.766666666666666,15.100000000000001,100.0,112.08333333333333,94.91666666666667,240.0,30.666666666666668,74.66666666666667,5.166666666666667,17.333333333333332,20.0,25.5,9.166666666666666,31.5,22.333333333333332,6.333333333333333,6.166666666666667,16.0,22.333333333333332,0.5018333333333334,0.4446666666666667,0.23399999999999999,0.3423333333333334,22.516666666666666,78.93333333333334,50.28333333333334,73.08333333333333,7.0,10.75,15.766666666666666,100.0,95.56666666666666,102.88333333333334,0,1
