season,date,home_team,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,defensive_rating_home,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,defensive_rating_away,during_playoffs,home_won
2015-2016,2015-11-07,MILWAUKEE BUCKS,240.0,34.833333333333336,79.5,6.833333333333333,20.166666666666668,21.833333333333332,25.833333333333332,10.0,27.5,23.333333333333332,6.666666666666667,5.0,14.666666666666666,24.333333333333332,0.543,0.4831666666666667,0.25533333333333336,0.3268333333333333,24.46666666666667,67.73333333333333,46.349999999999994,66.58333333333333,7.166666666666667,8.383333333333333,13.916666666666666,100.0,105.91666666666667,111.39999999999999,240.0,36.666666666666664,84.0,3.6666666666666665,16.166666666666668,14.166666666666666,19.333333333333332,10.666666666666666,30.0,20.5,6.333333333333333,4.666666666666667,15.333333333333334,21.333333333333332,0.4931666666666666,0.4596666666666667,0.19466666666666665,0.229,24.166666666666668,79.66666666666667,49.86666666666667,56.050000000000004,6.6499999999999995,8.5,14.266666666666666,100.0,96.68333333333334,110.61666666666666,0,1
2015-2016,2015-11-07,SACRAMENTO KINGS,240.0,40.833333333333336,91.16666666666667,8.333333333333334,22.666666666666668,16.833333333333332,25.666666666666668,12.666666666666666,31.5,23.0,9.0,3.3333333333333335,14.666666666666666,24.333333333333332,0.5206666666666667,0.4923333333333333,0.25133333333333335,0.2886666666666667,26.61666666666667,77.25,50.150000000000006,56.85,8.899999999999999,5.966666666666666,12.616666666666667,100.0,104.80000000000001,111.01666666666665,240.0,43.0,89.16666666666667,12.166666666666666,29.0,19.666666666666668,26.833333333333332,11.166666666666666,39.0,30.166666666666668,8.5,6.5,14.0,22.666666666666668,0.5845,0.5525,0.3253333333333333,0.30516666666666664,25.116666666666664,77.5,53.48333333333334,70.15,8.333333333333334,9.483333333333334,12.0,100.0,115.84999999999998,96.35000000000001,0,0
2015-2016,2015-11-08,CLEVELAND CAVALIERS,240.0,39.666666666666664,86.0,8.833333333333334,26.333333333333332,14.166666666666666,19.833333333333332,10.666666666666666,37.5,26.333333333333332,5.833333333333333,4.0,14.0,19.333333333333332,0.5418333333333333,0.5135,0.30616666666666664,0.23266666666666666,25.0,82.26666666666667,54.61666666666667,66.31666666666668,6.116666666666667,6.416666666666667,12.883333333333335,100.0,107.38333333333333,96.63333333333333,240.0,34.333333333333336,82.16666666666667,7.5,21.833333333333332,17.5,23.5,11.166666666666666,30.5,19.333333333333332,9.666666666666666,4.166666666666667,16.333333333333332,20.833333333333332,0.507,0.4643333333333333,0.2661666666666667,0.2871666666666667,24.45,70.75,47.23333333333334,55.800000000000004,10.066666666666668,6.383333333333333,15.100000000000001,100.0,98.48333333333335,101.88333333333334,0,1
2015-2016,2015-11-08,MIAMI HEAT,240.0,37.0,79.83333333333333,7.0,20.833333333333332,15.666666666666666,19.666666666666668,7.666666666666667,35.333333333333336,19.333333333333332,7.0,6.666666666666667,13.833333333333334,20.0,0.5471666666666667,0.5081666666666667,0.26,0.24883333333333332,18.0,77.61666666666667,49.5,52.48333333333334,7.416666666666667,10.866666666666667,13.466666666666667,100.0,103.16666666666667,99.25,240.0,35.5,83.16666666666667,7.333333333333333,20.5,24.5,31.333333333333332,12.166666666666666,35.333333333333336,17.833333333333332,9.666666666666666,3.6666666666666665,15.5,22.666666666666668,0.5305,0.47100000000000003,0.24516666666666667,0.38083333333333336,28.266666666666666,80.06666666666666,54.71666666666666,49.78333333333333,10.016666666666667,6.416666666666667,13.683333333333335,100.0,106.48333333333333,98.38333333333333,0,1
2015-2016,2015-11-08,OKLAHOMA CITY THUNDER,248.33333333333334,42.333333333333336,88.66666666666667,8.5,21.666666666666668,18.333333333333332,22.333333333333332,13.333333333333334,36.166666666666664,22.666666666666668,6.833333333333333,8.333333333333334,18.333333333333332,23.5,0.5666666666666667,0.5268333333333334,0.24433333333333337,0.24683333333333335,30.566666666666666,77.06666666666666,54.699999999999996,53.93333333333334,6.716666666666668,12.35,15.65,100.0,110.05000000000001,107.25,240.0,38.0,89.5,9.0,26.166666666666668,17.0,24.5,11.833333333333334,37.833333333333336,18.666666666666668,9.5,4.0,15.5,21.166666666666668,0.511,0.4775,0.29033333333333333,0.2791666666666666,24.616666666666664,84.35000000000001,53.36666666666667,48.78333333333333,9.500000000000002,7.083333333333333,13.399999999999999,100.0,102.0,98.68333333333332,0,1
2015-2016,2015-11-09,DENVER NUGGETS,240.0,35.666666666666664,85.83333333333333,7.833333333333333,23.666666666666668,18.166666666666668,24.0,12.0,33.5,21.666666666666668,7.666666666666667,5.833333333333333,15.666666666666666,21.166666666666668,0.5075000000000001,0.46466666666666673,0.27699999999999997,0.287,25.616666666666664,73.53333333333333,49.416666666666664,59.95000000000001,7.766666666666667,10.2,14.0,100.0,100.03333333333335,106.46666666666665,240.0,39.0,82.33333333333333,10.166666666666666,27.333333333333332,14.166666666666666,22.833333333333332,11.0,33.666666666666664,19.833333333333332,5.666666666666667,4.666666666666667,17.333333333333332,24.333333333333332,0.5548333333333334,0.537,0.33249999999999996,0.28049999999999997,25.666666666666668,74.51666666666667,50.36666666666667,50.95000000000001,5.766666666666667,7.349999999999999,15.733333333333334,100.0,106.55,106.89999999999998,0,1
2015-2016,2015-11-09,GOLDEN STATE WARRIORS,240.0,42.5,88.5,12.0,30.5,19.5,26.833333333333332,10.166666666666666,38.333333333333336,29.833333333333332,9.333333333333334,5.666666666666667,13.666666666666666,20.333333333333332,0.5813333333333333,0.5496666666666666,0.3438333333333334,0.3068333333333333,22.816666666666666,75.68333333333332,51.416666666666664,70.21666666666665,9.166666666666666,8.166666666666666,11.85,100.0,114.59999999999998,96.25,244.16666666666666,37.166666666666664,88.33333333333333,8.166666666666666,25.0,17.166666666666668,27.166666666666668,15.666666666666666,35.333333333333336,17.0,7.5,3.6666666666666665,14.333333333333334,18.666666666666668,0.4991666666666667,0.4698333333333334,0.2823333333333333,0.3186666666666667,30.183333333333326,81.33333333333334,54.333333333333336,46.43333333333334,7.683333333333334,6.216666666666666,12.483333333333333,100.0,103.21666666666668,97.43333333333334,0,1
2015-2016,2015-11-09,INDIANA PACERS,240.0,35.5,82.83333333333333,7.0,21.0,15.333333333333334,21.5,11.833333333333334,31.0,19.166666666666668,8.166666666666666,4.333333333333333,15.333333333333334,19.166666666666668,0.5063333333333333,0.47150000000000003,0.25499999999999995,0.26233333333333336,25.816666666666666,70.43333333333334,48.083333333333336,53.21666666666666,8.733333333333333,6.716666666666666,14.283333333333331,100.0,100.26666666666667,103.26666666666667,252.5,40.333333333333336,89.5,8.0,22.0,17.5,22.0,10.166666666666666,34.166666666666664,24.0,8.0,6.833333333333333,14.833333333333334,23.5,0.5345,0.4951666666666667,0.24483333333333332,0.24399999999999997,23.0,71.06666666666666,48.35,59.900000000000006,7.883333333333334,11.416666666666666,13.049999999999999,100.0,105.05,103.35000000000001,0,1
2015-2016,2015-11-09,LOS ANGELES CLIPPERS,240.0,40.166666666666664,83.33333333333333,6.333333333333333,22.833333333333332,20.666666666666668,30.0,7.333333333333333,36.666666666666664,23.166666666666668,6.0,6.666666666666667,12.333333333333334,20.833333333333332,0.5566666666666666,0.5208333333333334,0.27316666666666667,0.365,16.8,73.28333333333333,47.06666666666667,57.65,6.033333333333332,9.783333333333333,11.300000000000002,100.0,107.58333333333333,103.28333333333335,240.0,34.666666666666664,84.83333333333333,5.833333333333333,20.166666666666668,18.166666666666668,22.833333333333332,11.0,32.0,22.0,7.166666666666667,4.5,12.0,22.333333333333332,0.49649999999999994,0.44983333333333336,0.23883333333333337,0.27333333333333326,23.899999999999995,76.44999999999999,48.63333333333333,64.26666666666667,7.633333333333333,8.2,11.149999999999999,100.0,100.48333333333335,108.25,0,1
2015-2016,2015-11-09,PHILADELPHIA 76ERS,240.0,33.666666666666664,78.5,7.833333333333333,24.166666666666668,16.833333333333332,23.166666666666668,10.0,31.5,19.833333333333332,6.833333333333333,6.5,17.166666666666668,20.5,0.5178333333333334,0.4745000000000001,0.30583333333333335,0.30583333333333335,23.333333333333332,76.2,49.166666666666664,60.416666666666664,7.166666666666667,10.016666666666666,16.2,100.0,97.28333333333335,109.8,248.33333333333334,37.666666666666664,87.0,10.0,26.333333333333332,15.166666666666666,20.0,8.166666666666666,36.166666666666664,21.166666666666668,6.5,5.333333333333333,14.5,21.0,0.5276666666666667,0.49300000000000005,0.3033333333333333,0.2313333333333333,18.116666666666664,72.58333333333333,46.71666666666667,56.65,6.483333333333333,7.233333333333333,13.083333333333334,100.0,101.44999999999999,103.23333333333335,0,0
