team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,2012-10-31,240,33,91,6,17,16,19,15,27,18,12,8,10,18
DALLAS MAVERICKS,2012-10-31,240,32,85,11,22,19,26,8,32,20,8,5,16,32
UTAH JAZZ,2012-10-31,240,38,89,6,14,31,42,20,41,24,10,8,14,25
OKLAHOMA CITY THUNDER,2012-11-01,240,29,77,7,17,19,23,12,36,18,6,5,18,20
SAN ANTONIO SPURS,2012-11-01,240,35,79,5,19,11,16,6,33,27,9,4,13,21
HOUSTON ROCKETS,2012-11-02,240,38,90,8,30,25,29,23,35,22,8,2,21,18
ATLANTA HAWKS,2012-11-02,240,40,85,7,22,15,17,7,29,23,12,4,13,26
MILWAUKEE BUCKS,2012-11-02,240,40,86,8,18,11,12,11,35,26,12,5,18,17
BOSTON CELTICS,2012-11-02,240,33,74,5,14,17,21,6,30,22,9,4,18,18
INDIANA PACERS,2012-11-02,240,33,83,7,26,16,27,14,38,19,5,5,17,16
CHARLOTTE BOBCATS,2012-11-02,240,31,85,7,19,21,24,10,31,18,10,9,10,22
CHICAGO BULLS,2012-11-02,240,44,69,4,10,23,30,5,36,34,7,4,17,21
CLEVELAND CAVALIERS,2012-11-02,240,32,79,8,20,14,27,11,22,23,7,1,17,25
MEMPHIS GRIZZLIES,2012-11-02,240,35,77,6,13,28,34,9,31,22,9,4,13,22
GOLDEN STATE WARRIORS,2012-11-02,240,36,80,10,20,12,17,9,27,21,5,5,18,24
LOS ANGELES CLIPPERS,2012-11-02,240,38,84,8,22,21,27,9,28,24,12,4,11,26
LOS ANGELES LAKERS,2012-11-02,240,34,68,7,16,20,28,7,31,15,7,7,20,23
SACRAMENTO KINGS,2012-11-02,240,32,89,3,16,13,16,11,32,17,7,4,11,34
MINNESOTA TIMBERWOLVES,2012-11-02,240,32,87,2,17,26,36,17,36,17,4,10,11,17
UTAH JAZZ,2012-11-02,240,35,85,10,28,6,12,16,28,19,7,6,14,21
NEW ORLEANS HORNETS,2012-11-02,240,37,81,5,14,9,14,12,30,23,7,4,12,16
MIAMI HEAT,2012-11-02,240,33,71,7,20,11,13,7,34,18,4,5,21,18
NEW YORK KNICKS,2012-11-02,240,36,84,19,36,13,15,13,28,27,10,0,12,22
PORTLAND TRAIL BLAZERS,2012-11-02,240,32,89,9,26,19,24,11,33,17,4,0,11,25
OKLAHOMA CITY THUNDER,2012-11-02,240,39,76,5,9,23,32,8,39,18,2,10,12,22
DENVER NUGGETS,2012-11-02,240,32,84,7,26,18,27,15,30,22,5,5,14,17
ORLANDO MAGIC,2012-11-02,240,42,86,5,15,13,18,11,35,24,8,8,11,24
DETROIT PISTONS,2012-11-02,240,37,90,4,13,11,19,10,29,20,2,5,9,19
PHOENIX SUNS,2012-11-02,240,40,92,2,11,10,14,15,37,15,6,5,12,20
TORONTO RAPTORS,2012-11-03,240,37,82,7,18,19,25,10,27,23,8,5,14,31
BROOKLYN NETS,2012-11-03,240,37,81,6,15,27,37,9,32,20,6,5,17,19
NEW ORLEANS HORNETS,2012-11-03,240,32,75,5,18,20,23,9,35,13,7,9,16,21
CHICAGO BULLS,2012-11-03,240,29,88,3,17,21,25,15,26,21,11,6,12,20
CHARLOTTE BOBCATS,2012-11-03,240,39,91,3,17,18,24,15,23,19,13,2,10,14
DALLAS MAVERICKS,2012-11-03,240,49,80,16,25,12,15,8,35,31,6,7,22,23
PORTLAND TRAIL BLAZERS,2012-11-03,265,39,93,10,24,7,12,10,43,28,11,8,16,18
HOUSTON ROCKETS,2012-11-03,265,34,96,5,26,12,18,16,40,19,12,4,18,16
SACRAMENTO KINGS,2012-11-03,290,37,102,8,22,16,20,16,31,19,15,13,16,26
INDIANA PACERS,2012-11-03,290,39,99,4,22,24,27,21,46,16,10,14,21,19
GOLDEN STATE WARRIORS,2012-11-03,240,41,84,4,16,28,39,16,32,22,7,2,13,34
LOS ANGELES CLIPPERS,2012-11-03,240,30,70,10,21,40,52,7,26,21,6,5,16,31
DENVER NUGGETS,2012-11-03,240,49,95,5,21,13,20,18,29,13,5,3,13,21
MIAMI HEAT,2012-11-03,240,43,83,10,25,23,27,7,25,26,9,8,8,16
CLEVELAND CAVALIERS,2012-11-03,240,39,83,6,16,18,29,9,33,19,9,0,15,21
MILWAUKEE BUCKS,2012-11-03,240,41,79,9,24,14,21,3,34,32,8,9,15,18
UTAH JAZZ,2012-11-03,240,38,77,5,13,19,22,9,23,17,11,7,16,22
SAN ANTONIO SPURS,2012-11-03,240,42,74,7,13,19,23,7,26,29,8,6,18,18
BOSTON CELTICS,2012-11-03,240,36,84,8,21,9,13,6,29,24,8,4,9,12
WASHINGTON WIZARDS,2012-11-03,240,34,78,6,20,12,17,7,39,20,7,4,15,14
DETROIT PISTONS,2012-11-04,240,28,79,4,13,19,23,13,20,19,5,5,16,20
LOS ANGELES LAKERS,2012-11-04,240,40,77,10,22,18,26,16,30,27,11,8,15,20
PHILADELPHIA 76ERS,2012-11-04,240,34,79,8,17,8,10,10,31,14,8,2,18,18
NEW YORK KNICKS,2012-11-04,240,39,77,11,27,11,18,8,31,18,12,5,14,10
ATLANTA HAWKS,2012-11-04,240,41,83,8,25,14,20,12,26,20,12,1,10,20
OKLAHOMA CITY THUNDER,2012-11-04,240,33,71,9,22,20,22,7,30,27,4,9,20,21
PHOENIX SUNS,2012-11-04,240,39,91,5,19,11,18,17,28,19,3,10,16,17
ORLANDO MAGIC,2012-11-04,240,45,92,9,11,16,19,13,33,26,7,1,10,17
MINNESOTA TIMBERWOLVES,2012-11-04,240,29,64,6,16,22,31,8,28,18,8,8,24,17
TORONTO RAPTORS,2012-11-04,240,40,90,10,21,15,17,16,23,18,9,3,11,24
MINNESOTA TIMBERWOLVES,2012-11-05,240,44,88,7,20,12,15,16,29,30,9,7,11,18
BROOKLYN NETS,2012-11-05,240,35,73,13,23,13,18,8,21,24,7,4,13,17
PORTLAND TRAIL BLAZERS,2012-11-05,240,36,93,5,22,14,18,23,25,13,5,3,13,13
DALLAS MAVERICKS,2012-11-05,240,48,78,10,20,8,13,2,35,29,12,5,9,15
CLEVELAND CAVALIERS,2012-11-05,240,40,92,14,29,14,22,18,25,24,12,2,17,18
LOS ANGELES CLIPPERS,2012-11-05,240,39,74,9,25,14,16,9,29,23,7,13,25,24
UTAH JAZZ,2012-11-05,240,40,90,5,15,9,13,11,31,20,8,8,14,22
MEMPHIS GRIZZLIES,2012-11-05,240,38,91,5,14,22,25,14,37,21,9,10,11,17
PHOENIX SUNS,2012-11-05,240,35,88,7,21,22,29,10,28,22,11,7,11,19
MIAMI HEAT,2012-11-05,240,47,86,15,26,15,19,7,42,33,7,4,15,22
NEW YORK KNICKS,2012-11-05,240,39,84,13,32,19,19,9,35,24,7,5,7,17
PHILADELPHIA 76ERS,2012-11-05,240,29,86,8,22,22,26,19,35,19,3,2,13,19
GOLDEN STATE WARRIORS,2012-11-05,240,31,78,6,21,24,28,7,31,21,5,2,13,17
SACRAMENTO KINGS,2012-11-05,240,37,81,4,19,16,23,10,33,13,7,5,13,25
INDIANA PACERS,2012-11-05,240,27,79,6,20,19,22,17,31,11,3,7,19,17
SAN ANTONIO SPURS,2012-11-05,240,41,87,8,18,11,13,11,34,25,11,2,8,17
ORLANDO MAGIC,2012-11-06,240,36,86,8,19,13,17,11,32,23,4,5,11,22
CHICAGO BULLS,2012-11-06,240,40,84,2,6,17,24,9,34,27,7,7,9,12
DETROIT PISTONS,2012-11-06,240,35,78,6,12,21,25,8,27,26,6,9,13,19
DENVER NUGGETS,2012-11-06,240,41,92,10,30,17,22,21,31,23,9,11,15,21
TORONTO RAPTORS,2012-11-06,240,30,84,7,30,21,25,8,29,16,11,2,17,24
OKLAHOMA CITY THUNDER,2012-11-06,240,35,74,9,25,29,34,7,39,24,10,9,17,22
INDIANA PACERS,2012-11-07,240,35,85,8,26,8,9,11,30,18,10,7,15,14
ATLANTA HAWKS,2012-11-07,240,38,87,7,22,6,12,17,34,24,8,3,17,15
WASHINGTON WIZARDS,2012-11-07,265,39,95,10,29,6,7,10,34,25,8,6,19,27
BOSTON CELTICS,2012-11-07,265,34,81,4,13,28,34,6,38,26,9,5,16,17
PHOENIX SUNS,2012-11-07,240,43,93,12,27,19,28,22,28,29,8,11,12,24
CHARLOTTE BOBCATS,2012-11-07,240,38,87,10,22,24,27,15,24,26,4,12,12,20
TORONTO RAPTORS,2012-11-07,240,36,81,5,22,27,31,10,28,21,7,1,8,28
DALLAS MAVERICKS,2012-11-07,240,39,84,8,21,23,35,16,31,21,4,6,11,23
CLEVELAND CAVALIERS,2012-11-07,240,36,86,11,32,13,21,11,28,20,7,1,16,26
GOLDEN STATE WARRIORS,2012-11-07,240,42,78,5,18,17,23,7,37,28,11,4,16,22
DENVER NUGGETS,2012-11-07,240,37,82,7,18,12,21,16,33,20,9,5,21,16
HOUSTON ROCKETS,2012-11-07,240,31,84,8,33,17,23,16,27,18,15,2,18,22
SAN ANTONIO SPURS,2012-11-07,240,30,73,8,23,16,24,6,23,25,7,4,20,11
LOS ANGELES CLIPPERS,2012-11-07,240,46,83,6,17,8,9,9,37,30,13,8,15,19
BROOKLYN NETS,2012-11-07,240,30,80,3,21,10,17,13,27,12,7,1,19,15
MIAMI HEAT,2012-11-07,240,40,77,10,24,13,16,8,32,25,8,5,12,18
MEMPHIS GRIZZLIES,2012-11-07,240,44,83,6,16,14,19,11,38,28,7,5,14,20
MILWAUKEE BUCKS,2012-11-07,240,35,91,6,15,14,21,16,25,22,10,9,10,18
ORLANDO MAGIC,2012-11-07,240,28,80,3,12,16,20,12,29,17,6,7,19,22
MINNESOTA TIMBERWOLVES,2012-11-07,240,34,76,7,20,15,22,13,33,22,11,9,19,18
PHILADELPHIA 76ERS,2012-11-07,240,35,84,4,22,3,5,9,34,19,5,6,15,16
NEW ORLEANS HORNETS,2012-11-07,240,23,69,4,19,12,16,11,36,18,8,9,20,12
DETROIT PISTONS,2012-11-07,240,36,73,8,22,23,31,10,23,23,4,6,17,20
SACRAMENTO KINGS,2012-11-07,240,40,82,7,16,18,24,14,28,15,8,3,13,21
LOS ANGELES LAKERS,2012-11-07,240,25,74,4,23,32,46,15,33,11,10,3,18,14
UTAH JAZZ,2012-11-07,240,37,83,5,17,16,18,9,28,21,12,7,12,30
OKLAHOMA CITY THUNDER,2012-11-08,240,36,73,5,13,20,21,8,30,23,10,8,22,19
CHICAGO BULLS,2012-11-08,240,35,84,5,15,16,18,12,29,22,6,3,20,19
LOS ANGELES CLIPPERS,2012-11-08,240,41,77,3,13,18,25,10,34,20,9,3,13,22
PORTLAND TRAIL BLAZERS,2012-11-08,240,32,75,7,20,19,30,9,22,19,10,4,13,22
MIAMI HEAT,2012-11-09,240,37,76,7,22,14,16,8,28,22,8,2,14,22
ATLANTA HAWKS,2012-11-09,240,34,81,9,25,12,16,7,29,20,4,5,13,16
PHILADELPHIA 76ERS,2012-11-09,240,40,82,7,13,19,23,8,30,27,12,7,16,22
BOSTON CELTICS,2012-11-09,240,37,76,4,10,22,31,7,24,31,7,3,14,19
UTAH JAZZ,2012-11-09,240,32,87,4,23,16,22,14,31,19,5,12,17,21
DENVER NUGGETS,2012-11-09,240,40,92,6,17,18,25,13,40,26,11,12,11,17
GOLDEN STATE WARRIORS,2012-11-09,240,29,86,7,25,12,20,13,34,12,5,3,18,25
LOS ANGELES LAKERS,2012-11-09,240,36,90,8,28,21,28,16,42,22,9,6,16,14
HOUSTON ROCKETS,2012-11-09,240,31,76,9,27,14,15,8,33,17,5,6,20,17
MEMPHIS GRIZZLIES,2012-11-09,240,35,94,6,19,17,23,18,22,16,14,8,9,16
INDIANA PACERS,2012-11-09,240,37,84,5,18,15,17,11,26,18,7,4,13,21
MINNESOTA TIMBERWOLVES,2012-11-09,240,35,70,2,9,24,28,5,29,23,7,5,12,16
CHARLOTTE BOBCATS,2012-11-09,240,40,83,7,21,12,18,15,26,17,7,9,12,17
NEW ORLEANS HORNETS,2012-11-09,240,43,83,8,22,13,21,13,27,29,5,7,9,15
DALLAS MAVERICKS,2012-11-09,240,33,81,8,28,20,23,9,41,17,4,3,20,28
NEW YORK KNICKS,2012-11-09,240,35,84,8,22,26,38,11,32,17,12,4,9,21
DETROIT PISTONS,2012-11-09,240,36,87,6,19,16,22,16,25,24,8,4,15,19
OKLAHOMA CITY THUNDER,2012-11-09,240,38,71,8,20,21,26,8,30,21,8,4,16,25
BROOKLYN NETS,2012-11-09,240,41,82,9,23,16,25,15,33,21,9,6,11,13
ORLANDO MAGIC,2012-11-09,240,30,70,4,11,4,8,7,28,19,3,6,18,22
CLEVELAND CAVALIERS,2012-11-09,240,37,77,9,21,22,27,9,30,19,11,4,20,25
PHOENIX SUNS,2012-11-09,240,38,81,6,17,25,33,12,30,21,12,6,17,19
SAN ANTONIO SPURS,2012-11-09,240,35,72,5,18,22,26,7,41,27,8,9,20,19
SACRAMENTO KINGS,2012-11-09,240,32,91,3,16,19,26,15,28,18,11,3,11,18
MILWAUKEE BUCKS,2012-11-09,240,40,78,6,15,15,19,6,32,21,11,6,21,21
WASHINGTON WIZARDS,2012-11-09,240,34,78,4,18,19,22,10,26,23,13,4,20,24
DALLAS MAVERICKS,2012-11-10,265,32,79,9,19,24,30,8,35,21,9,7,19,24
CHARLOTTE BOBCATS,2012-11-10,265,40,95,3,20,18,28,21,32,15,12,6,17,24
MINNESOTA TIMBERWOLVES,2012-11-10,240,33,85,3,13,11,15,13,27,23,7,3,11,20
CHICAGO BULLS,2012-11-10,240,34,80,6,13,13,16,14,33,19,6,9,14,19
DENVER NUGGETS,2012-11-10,290,43,113,5,24,16,27,23,42,30,9,9,15,21
GOLDEN STATE WARRIORS,2012-11-10,290,39,102,9,25,14,23,13,41,23,11,5,14,26
DETROIT PISTONS,2012-11-10,240,32,80,7,20,11,16,11,34,17,8,9,16,16
HOUSTON ROCKETS,2012-11-10,240,33,82,9,26,21,26,8,34,23,10,3,14,17
WASHINGTON WIZARDS,2012-11-10,240,35,79,10,24,5,7,5,35,26,5,5,12,21
INDIANA PACERS,2012-11-10,240,34,80,7,16,14,24,14,34,16,4,4,12,12
BOSTON CELTICS,2012-11-10,240,32,72,5,15,27,34,7,33,20,4,4,14,22
MILWAUKEE BUCKS,2012-11-10,240,35,88,3,19,19,26,16,28,20,7,3,11,25
SAN ANTONIO SPURS,2012-11-10,240,40,70,7,18,25,31,6,30,20,9,5,21,20
PORTLAND TRAIL BLAZERS,2012-11-10,240,42,89,10,22,15,19,12,25,23,14,5,15,23
PHILADELPHIA 76ERS,2012-11-10,240,34,73,6,14,19,25,9,37,21,8,4,15,19
TORONTO RAPTORS,2012-11-10,240,30,79,12,26,11,16,7,28,20,6,4,12,21
PHOENIX SUNS,2012-11-10,240,32,87,4,16,13,17,10,27,15,12,4,10,25
UTAH JAZZ,2012-11-10,240,38,78,2,14,16,24,10,42,22,3,7,18,18
ORLANDO MAGIC,2012-11-11,240,30,84,1,13,13,18,11,31,22,6,4,11,22
BROOKLYN NETS,2012-11-11,240,29,78,7,24,17,25,12,43,20,5,8,15,17
ATLANTA HAWKS,2012-11-11,240,30,72,9,25,7,16,10,31,20,3,9,22,12
LOS ANGELES CLIPPERS,2012-11-11,240,38,82,5,15,8,8,8,30,21,12,6,13,22
SACRAMENTO KINGS,2012-11-11,240,36,90,7,23,11,14,14,25,20,10,5,11,24
LOS ANGELES LAKERS,2012-11-11,240,36,81,8,25,23,30,18,32,23,6,7,17,13
MIAMI HEAT,2012-11-11,240,30,79,4,15,22,36,15,28,18,8,6,13,16
MEMPHIS GRIZZLIES,2012-11-11,240,38,86,14,24,14,16,11,32,26,8,4,14,22
CLEVELAND CAVALIERS,2012-11-11,240,34,83,7,23,16,23,10,26,19,11,0,12,19
OKLAHOMA CITY THUNDER,2012-11-11,240,40,73,7,15,19,22,4,37,20,7,10,21,22
BOSTON CELTICS,2012-11-12,240,41,81,3,16,16,16,6,28,28,9,5,8,24
CHICAGO BULLS,2012-11-12,240,34,74,3,9,24,31,8,32,24,6,1,13,15
MINNESOTA TIMBERWOLVES,2012-11-12,240,30,65,4,15,26,32,7,42,20,8,7,17,22
DALLAS MAVERICKS,2012-11-12,240,29,80,4,16,20,25,7,28,16,7,2,8,20
OKLAHOMA CITY THUNDER,2012-11-12,240,27,73,1,10,37,42,9,35,10,7,12,14,20
DETROIT PISTONS,2012-11-12,240,33,83,6,17,18,27,13,26,22,8,7,11,28
MIAMI HEAT,2012-11-12,240,45,89,10,21,13,20,13,31,26,4,4,11,24
HOUSTON ROCKETS,2012-11-12,240,36,80,12,34,26,33,11,29,25,5,6,11,20
MILWAUKEE BUCKS,2012-11-12,240,41,80,7,20,16,18,6,42,25,8,7,23,19
PHILADELPHIA 76ERS,2012-11-12,240,37,85,10,24,12,16,4,27,22,13,3,15,14
DENVER NUGGETS,2012-11-12,240,41,76,7,16,11,18,9,34,26,2,10,15,21
PHOENIX SUNS,2012-11-12,240,43,94,7,12,17,21,15,25,29,6,4,6,19
ATLANTA HAWKS,2012-11-12,240,35,79,7,18,18,22,6,35,20,14,4,16,22
PORTLAND TRAIL BLAZERS,2012-11-12,240,30,83,6,23,21,26,16,31,15,13,6,20,19
UTAH JAZZ,2012-11-12,315,46,93,14,26,34,43,11,35,30,10,11,18,26
TORONTO RAPTORS,2012-11-12,315,51,108,8,24,23,30,20,32,31,13,5,17,31
CLEVELAND CAVALIERS,2012-11-13,240,38,87,3,14,22,26,16,19,16,10,0,12,26
BROOKLYN NETS,2012-11-13,240,42,77,5,22,25,31,12,27,27,5,10,13,23
WASHINGTON WIZARDS,2012-11-13,240,25,84,5,31,21,32,18,32,18,5,10,17,24
CHARLOTTE BOBCATS,2012-11-13,240,31,78,3,13,27,32,13,37,17,8,7,12,20
TORONTO RAPTORS,2012-11-13,240,26,72,6,12,16,19,8,37,13,4,1,12,23
INDIANA PACERS,2012-11-13,240,24,75,5,15,19,25,14,35,14,8,7,12,16
SAN ANTONIO SPURS,2012-11-13,240,35,90,7,20,7,11,11,27,22,13,5,8,17
LOS ANGELES LAKERS,2012-11-13,240,31,74,6,20,14,22,13,35,18,5,9,17,14
NEW YORK KNICKS,2012-11-13,240,41,84,9,24,8,11,6,25,15,11,1,9,14
ORLANDO MAGIC,2012-11-13,240,37,75,5,14,10,17,9,33,28,7,5,20,9
PORTLAND TRAIL BLAZERS,2012-11-13,240,35,72,14,27,19,22,11,33,20,9,5,15,18
SACRAMENTO KINGS,2012-11-13,240,36,77,1,11,13,19,10,23,19,7,4,13,20
UTAH JAZZ,2012-11-14,240,33,82,7,15,20,28,18,30,18,3,6,12,19
BOSTON CELTICS,2012-11-14,240,36,72,4,10,22,29,4,29,24,8,4,9,17
WASHINGTON WIZARDS,2012-11-14,240,39,81,13,27,10,11,9,25,24,8,4,16,24
DALLAS MAVERICKS,2012-11-14,240,39,78,3,11,26,33,14,26,20,6,4,13,15
ATLANTA HAWKS,2012-11-14,240,34,78,7,23,13,18,5,24,21,11,4,12,18
GOLDEN STATE WARRIORS,2012-11-14,240,33,71,5,18,21,25,10,34,23,7,1,23,22
NEW ORLEANS HORNETS,2012-11-14,240,34,84,8,24,20,21,9,29,17,6,8,10,16
HOUSTON ROCKETS,2012-11-14,240,36,80,10,29,18,22,7,33,19,3,7,11,17
MIAMI HEAT,2012-11-14,240,35,77,9,21,21,29,11,25,22,11,6,19,25
LOS ANGELES CLIPPERS,2012-11-14,240,35,72,10,21,27,32,9,29,22,11,8,18,25
INDIANA PACERS,2012-11-14,240,30,80,5,20,20,31,16,37,19,3,4,19,18
MILWAUKEE BUCKS,2012-11-14,240,38,91,3,16,20,25,14,32,24,11,8,6,22
CHARLOTTE BOBCATS,2012-11-14,240,38,84,4,16,9,14,9,34,15,11,12,15,26
MINNESOTA TIMBERWOLVES,2012-11-14,240,31,81,5,19,20,37,19,34,20,7,11,17,14
MEMPHIS GRIZZLIES,2012-11-14,240,44,93,7,17,12,14,12,27,22,6,3,8,23
OKLAHOMA CITY THUNDER,2012-11-14,240,35,72,6,13,21,26,10,30,23,6,6,15,19
DETROIT PISTONS,2012-11-14,240,35,73,3,7,21,31,12,45,27,3,7,17,25
PHILADELPHIA 76ERS,2012-11-14,240,25,84,5,16,21,32,11,27,15,10,4,4,21
CHICAGO BULLS,2012-11-14,265,44,88,6,12,18,25,15,31,26,7,5,15,21
PHOENIX SUNS,2012-11-14,265,42,105,6,21,16,17,20,31,19,6,6,12,27
BOSTON CELTICS,2012-11-15,240,35,75,7,13,20,25,12,32,17,8,3,13,24
BROOKLYN NETS,2012-11-15,240,36,85,8,22,22,28,18,29,19,7,7,11,18
MIAMI HEAT,2012-11-15,240,36,77,13,27,13,16,5,24,24,5,9,11,14
DENVER NUGGETS,2012-11-15,240,37,88,6,20,13,19,21,27,19,6,7,13,20
NEW YORK KNICKS,2012-11-15,240,39,86,11,26,15,23,10,31,17,6,6,7,19
SAN ANTONIO SPURS,2012-11-15,240,38,87,8,29,16,21,13,35,21,4,7,10,20
ORLANDO MAGIC,2012-11-16,240,44,89,7,17,15,17,14,30,27,7,3,14,17
DETROIT PISTONS,2012-11-16,240,44,82,2,8,16,20,6,24,21,8,4,14,18
DALLAS MAVERICKS,2012-11-16,240,30,81,2,13,21,25,8,36,16,3,5,11,23
INDIANA PACERS,2012-11-16,240,39,83,6,16,19,31,10,36,23,11,5,8,15
PHOENIX SUNS,2012-11-16,240,45,92,5,14,7,15,12,26,27,8,8,15,25
LOS ANGELES LAKERS,2012-11-16,240,42,89,8,21,22,28,17,31,25,7,9,11,15
NEW YORK KNICKS,2012-11-16,240,37,72,5,19,16,21,10,24,18,7,6,13,26
MEMPHIS GRIZZLIES,2012-11-16,240,37,76,5,15,26,32,12,23,15,7,6,14,24
GOLDEN STATE WARRIORS,2012-11-16,240,43,85,2,15,18,26,17,33,21,3,5,15,26
MINNESOTA TIMBERWOLVES,2012-11-16,240,34,79,7,18,23,29,11,23,19,6,12,12,23
OKLAHOMA CITY THUNDER,2012-11-16,240,40,74,14,29,16,20,7,29,31,7,7,13,24
NEW ORLEANS HORNETS,2012-11-16,240,33,78,7,12,22,28,15,25,23,7,4,11,20
UTAH JAZZ,2012-11-16,240,36,81,7,22,14,18,10,30,23,8,6,11,15
PHILADELPHIA 76ERS,2012-11-16,240,40,87,10,18,9,10,11,32,20,5,7,10,19
HOUSTON ROCKETS,2012-11-16,265,41,88,9,25,26,31,16,31,24,9,3,18,29
PORTLAND TRAIL BLAZERS,2012-11-16,265,44,86,10,25,21,29,10,27,21,4,8,15,24
ATLANTA HAWKS,2012-11-16,240,42,76,8,15,20,27,10,32,24,8,5,15,14
SACRAMENTO KINGS,2012-11-16,240,39,85,8,20,10,14,10,27,25,11,0,14,22
TORONTO RAPTORS,2012-11-17,240,30,70,8,22,21,31,9,26,22,7,4,15,23
BOSTON CELTICS,2012-11-17,240,43,76,6,15,15,19,7,30,37,7,2,13,23
MEMPHIS GRIZZLIES,2012-11-17,240,31,80,2,14,30,34,12,32,17,10,7,14,23
CHARLOTTE BOBCATS,2012-11-17,240,32,85,4,13,19,28,15,31,17,7,5,16,25
DALLAS MAVERICKS,2012-11-17,240,38,74,10,23,17,20,8,34,26,6,14,20,19
CLEVELAND CAVALIERS,2012-11-17,240,36,96,8,25,15,20,13,25,21,12,4,11,15
CHICAGO BULLS,2012-11-17,240,30,89,2,14,18,22,21,24,18,7,4,15,20
LOS ANGELES CLIPPERS,2012-11-17,240,37,75,5,16,22,30,10,31,21,10,10,12,20
NEW ORLEANS HORNETS,2012-11-17,240,41,77,10,21,21,22,8,28,32,4,2,19,26
MILWAUKEE BUCKS,2012-11-17,240,43,93,13,25,18,24,16,25,28,9,4,11,18
MIAMI HEAT,2012-11-17,240,38,71,8,19,13,19,4,32,20,10,3,19,21
PHOENIX SUNS,2012-11-17,240,34,79,5,18,15,21,9,29,16,13,3,16,18
DENVER NUGGETS,2012-11-17,240,39,78,4,11,18,26,12,27,19,8,2,21,19
SAN ANTONIO SPURS,2012-11-17,240,47,88,16,27,16,20,14,26,33,11,6,14,21
UTAH JAZZ,2012-11-17,240,31,82,2,9,19,27,26,34,18,7,6,17,13
WASHINGTON WIZARDS,2012-11-17,240,31,85,5,16,9,12,16,28,18,10,6,15,20
BOSTON CELTICS,2012-11-18,240,32,71,4,17,15,19,7,23,12,7,0,17,21
DETROIT PISTONS,2012-11-18,240,39,72,4,11,21,26,7,32,23,8,1,16,22
HOUSTON ROCKETS,2012-11-18,240,44,90,9,23,11,18,11,31,30,8,1,15,22
LOS ANGELES LAKERS,2012-11-18,240,46,85,9,20,18,28,9,32,27,10,3,13,15
INDIANA PACERS,2012-11-18,240,28,71,8,20,12,18,9,38,21,4,7,19,18
NEW YORK KNICKS,2012-11-18,240,33,90,7,25,15,19,15,33,19,9,4,8,15
GOLDEN STATE WARRIORS,2012-11-18,240,43,82,5,16,18,22,8,27,23,8,4,13,18
OKLAHOMA CITY THUNDER,2012-11-18,240,42,83,13,20,22,26,10,30,31,9,3,10,16
CLEVELAND CAVALIERS,2012-11-18,240,30,84,5,20,14,15,18,30,14,6,4,15,16
PHILADELPHIA 76ERS,2012-11-18,240,34,80,9,20,9,12,9,32,27,8,9,11,15
CHICAGO BULLS,2012-11-18,240,37,75,4,16,16,18,6,29,25,9,3,19,20
