true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.471,0.419,0.27,0.338,24.4,77.8,48.1,55.6,11.3,11.3,16.7,100.0,90.4,99.5
0.55,0.522,0.232,0.362,22.2,75.6,51.9,78.1,6.8,7.4,18.4,100.0,99.5,90.4
0.532,0.462,0.22,0.308,34.8,72.5,54.6,65.8,5.8,9.3,16.2,100.0,107.2,109.1
0.517,0.464,0.219,0.292,27.5,65.2,45.4,52.5,10.7,5.6,10.0,100.0,109.1,107.2
0.568,0.547,0.257,0.216,18.9,56.1,38.5,41.7,3.3,5.5,19.0,100.0,102.7,118.3
0.532,0.516,0.215,0.161,43.9,81.1,61.5,72.1,12.3,3.6,10.8,100.0,118.3,102.7
0.535,0.493,0.167,0.292,17.1,80.0,50.7,70.6,8.6,1.6,19.0,100.0,93.4,102.0
0.526,0.481,0.247,0.259,20.0,82.9,49.3,66.7,5.4,6.7,13.4,100.0,102.0,93.4
0.515,0.432,0.178,0.329,19.0,80.0,46.8,75.9,8.7,5.0,19.3,100.0,93.2,109.5
0.609,0.573,0.2,0.24,20.0,81.0,53.2,70.7,13.0,8.3,16.2,100.0,109.5,93.2
0.495,0.407,0.186,0.614,24.4,73.3,48.9,77.8,7.1,6.7,19.8,100.0,89.6,112.0
0.561,0.475,0.25,0.513,26.7,75.6,51.1,65.7,9.2,3.5,13.3,100.0,112.0,89.6
0.582,0.494,0.184,0.598,32.6,63.2,46.4,58.5,9.0,2.8,7.6,100.0,128.7,132.7
0.638,0.598,0.217,0.283,36.8,67.4,53.6,49.0,5.0,9.9,10.4,100.0,132.7,128.7
0.499,0.455,0.227,0.261,43.8,68.2,55.4,47.2,10.3,9.8,10.9,100.0,112.1,100.7
0.477,0.437,0.228,0.38,31.8,56.3,44.6,59.4,9.2,11.8,14.0,100.0,100.7,112.1
0.635,0.575,0.2,0.388,23.1,79.5,53.0,47.6,7.1,11.7,13.8,100.0,120.2,105.1
0.536,0.488,0.105,0.291,20.5,76.9,47.0,32.5,7.1,6.3,12.6,100.0,105.1,120.2
0.554,0.482,0.129,0.553,28.6,73.8,49.5,64.1,7.8,5.5,11.0,100.0,114.4,113.5
0.561,0.516,0.198,0.308,26.2,71.4,50.5,51.2,4.9,10.8,11.2,100.0,113.5,114.4
0.509,0.494,0.229,0.361,22.2,75.0,45.7,56.8,7.8,4.5,5.9,100.0,109.1,112.4
0.558,0.525,0.175,0.3,25.0,77.8,54.3,43.6,4.5,6.3,10.8,100.0,112.4,109.1
0.509,0.481,0.299,0.364,17.4,86.0,50.6,42.4,4.3,3.2,11.8,100.0,98.4,102.8
0.518,0.456,0.215,0.367,14.0,82.6,49.4,67.6,4.3,0.0,8.9,100.0,102.8,98.4
0.463,0.441,0.151,0.237,30.0,80.0,53.7,52.5,6.1,10.0,12.0,100.0,96.1,107.2
0.537,0.436,0.231,0.603,20.0,70.0,46.3,53.1,11.1,12.7,10.8,100.0,107.2,96.1
0.587,0.536,0.232,0.449,15.2,76.2,49.3,45.5,8.7,9.2,16.2,100.0,106.0,95.1
0.495,0.476,0.217,0.133,23.8,84.8,50.7,66.7,10.9,7.5,15.4,100.0,95.1,106.0
0.61,0.584,0.273,0.364,25.7,75.0,50.7,48.8,8.9,9.5,20.5,100.0,108.1,121.0
0.617,0.56,0.241,0.434,25.0,74.3,49.3,69.0,14.9,8.9,12.4,100.0,121.0,108.1
0.513,0.472,0.273,0.193,28.3,75.0,52.1,31.6,4.1,11.9,13.6,100.0,101.2,96.0
0.445,0.399,0.106,0.255,25.0,71.7,47.9,55.6,6.2,7.8,9.5,100.0,96.0,101.2
0.455,0.397,0.244,0.385,6.7,66.7,32.1,58.6,10.1,5.7,12.5,100.0,83.8,113.0
0.615,0.61,0.312,0.416,33.3,93.3,67.9,46.5,5.0,5.1,18.7,100.0,113.0,83.8
0.579,0.525,0.325,0.425,27.9,69.6,49.4,54.1,11.6,5.6,12.8,100.0,115.8,99.0
