true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.515,0.449,0.221,0.485,23.5,76.7,53.2,55.2,8.6,3.3,20.3,100.0,91.5,96.9
0.506,0.466,0.189,0.459,23.3,76.5,46.8,48.5,10.8,0.0,15.2,100.0,96.9,91.5
0.547,0.513,0.179,0.256,33.3,57.6,44.4,56.8,5.6,5.3,18.0,100.0,105.8,120.3
0.611,0.543,0.174,0.638,42.4,66.7,55.6,77.1,10.0,9.4,16.9,100.0,120.3,105.8
0.421,0.405,0.286,0.167,24.5,77.5,47.3,65.5,9.0,4.3,11.7,100.0,85.3,107.7
0.552,0.513,0.127,0.228,22.5,75.5,52.7,51.4,9.0,11.7,14.7,100.0,107.7,85.3
0.589,0.522,0.179,0.433,15.6,70.2,48.1,54.5,7.4,10.3,20.8,100.0,99.4,105.8
0.51,0.473,0.143,0.176,29.8,84.4,51.9,57.5,11.6,14.5,12.5,100.0,105.8,99.4
0.575,0.543,0.207,0.329,22.2,75.6,51.9,56.1,8.3,10.2,12.2,100.0,112.6,107.4
0.536,0.494,0.28,0.39,24.4,77.8,48.1,50.0,10.4,7.7,11.9,100.0,107.4,112.6
0.409,0.383,0.16,0.16,31.3,75.6,52.7,35.5,8.2,10.0,15.6,100.0,83.1,95.9
0.471,0.401,0.211,0.329,24.4,68.8,47.3,35.7,10.5,2.9,12.1,100.0,95.9,83.1
0.619,0.575,0.238,0.413,38.9,78.7,61.4,68.3,7.5,5.4,14.5,100.0,125.0,84.4
0.448,0.417,0.282,0.295,21.3,61.1,38.6,80.0,9.6,8.2,17.0,100.0,84.4,125.0
0.527,0.481,0.213,0.313,23.7,76.6,52.9,61.1,2.1,10.5,14.2,100.0,101.4,103.5
0.507,0.5,0.126,0.253,23.4,76.3,47.1,59.5,10.6,11.1,10.2,100.0,103.5,101.4
0.54,0.489,0.25,0.359,28.9,70.8,50.5,52.4,7.7,3.2,11.6,100.0,111.4,116.2
0.581,0.534,0.287,0.425,29.2,71.1,49.5,64.3,6.8,0.0,12.7,100.0,116.2,111.4
0.56,0.507,0.237,0.342,38.9,69.0,55.1,48.6,7.8,6.0,17.9,100.0,109.4,97.1
0.502,0.445,0.082,0.425,31.0,61.1,44.9,50.0,10.0,5.2,18.0,100.0,97.1,109.4
0.497,0.471,0.233,0.36,39.1,67.3,54.1,44.7,10.8,11.3,12.3,100.0,106.5,91.5
0.43,0.391,0.287,0.31,32.7,60.9,45.9,31.3,9.7,16.7,13.2,100.0,91.5,106.5
0.537,0.506,0.198,0.21,23.3,50.0,37.1,66.7,9.5,7.8,9.2,100.0,112.8,99.8
0.436,0.375,0.238,0.333,50.0,76.7,62.9,51.7,3.6,12.3,15.0,100.0,99.8,112.8
0.567,0.532,0.19,0.342,22.5,81.1,50.6,61.5,5.7,7.7,9.9,100.0,116.6,110.9
0.555,0.531,0.188,0.238,18.9,77.5,49.4,45.0,4.5,4.7,7.3,100.0,110.9,116.6
0.526,0.494,0.169,0.364,17.1,70.0,43.2,47.2,12.9,4.2,12.7,100.0,100.8,105.1
0.537,0.481,0.101,0.354,30.0,82.9,56.8,45.9,5.4,7.8,14.9,100.0,105.1,100.8
0.553,0.513,0.244,0.231,15.2,71.1,47.4,59.5,7.8,15.0,9.5,100.0,105.7,94.6
0.451,0.401,0.259,0.37,28.9,84.8,52.6,60.0,4.4,8.5,13.7,100.0,94.6,105.7
0.451,0.358,0.162,0.419,29.8,60.6,42.5,64.0,7.2,8.0,12.9,100.0,94.7,115.1
0.566,0.535,0.306,0.403,39.4,70.2,57.5,65.7,8.4,17.7,15.0,100.0,115.1,94.7
0.602,0.525,0.177,0.405,21.1,78.7,52.9,60.5,5.3,4.4,9.7,100.0,119.8,109.1
0.515,0.44,0.19,0.405,21.3,78.9,47.1,65.7,7.5,7.7,7.5,100.0,109.1,119.8
0.598,0.558,0.308,0.359,24.4,76.7,46.5,43.2,11.0,10.0,10.0,100.0,119.2,104.9
0.615,0.596,0.265,0.309,23.3,75.6,53.5,43.2,2.2,5.6,23.7,100.0,104.9,119.2
0.412,0.31,0.095,0.357,24.5,77.5,47.3,44.0,8.0,9.2,17.1,100.0,80.3,96.4
0.532,0.452,0.11,0.534,22.5,75.5,52.7,46.9,8.0,9.2,18.2,100.0,96.4,80.3
0.551,0.465,0.153,0.471,31.9,71.4,54.5,50.0,5.7,12.3,14.9,100.0,108.0,98.5
0.46,0.397,0.165,0.351,28.6,68.1,45.5,45.9,10.5,8.3,11.1,100.0,98.5,108.0
0.522,0.493,0.42,0.377,15.0,82.6,51.2,55.2,7.8,7.9,17.4,100.0,93.6,95.9
0.482,0.408,0.171,0.395,17.4,85.0,48.8,36.7,6.7,17.5,10.1,100.0,95.9,93.6
0.454,0.395,0.25,0.263,25.6,71.1,50.0,34.5,7.3,3.1,22.8,100.0,80.8,108.1
0.542,0.519,0.21,0.395,28.9,74.4,50.0,55.3,15.7,14.0,12.8,100.0,108.1,80.8
