true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.569,0.507,0.264,0.361,18.8,84.2,54.3,62.5,10.2,15.1,14.4,100.0,107.2,100.4
0.529,0.457,0.243,0.457,15.8,81.3,45.7,58.6,7.9,17.0,13.4,100.0,100.4,107.2
0.539,0.488,0.155,0.286,22.5,77.1,52.3,48.7,6.7,6.9,8.7,100.0,113.9,101.6
0.5,0.421,0.237,0.447,22.9,77.5,47.7,53.3,6.7,12.7,9.0,100.0,101.6,113.9
0.489,0.466,0.172,0.184,33.3,67.9,52.0,69.2,10.3,5.9,17.5,100.0,94.4,101.6
0.489,0.435,0.2,0.435,32.1,66.7,48.0,48.6,13.3,5.6,13.6,100.0,101.6,94.4
0.464,0.401,0.222,0.358,20.4,65.7,39.3,60.0,12.4,3.6,14.6,100.0,90.1,99.4
0.554,0.494,0.273,0.286,34.3,79.6,60.7,69.7,9.3,19.0,23.1,100.0,99.4,90.1
0.649,0.603,0.247,0.342,18.2,81.0,53.3,59.0,1.0,5.3,22.9,100.0,108.1,119.0
0.601,0.569,0.138,0.333,19.0,81.8,46.7,65.2,15.9,10.9,9.1,100.0,119.0,108.1
0.347,0.311,0.135,0.338,29.2,76.2,51.1,43.5,7.0,8.5,17.5,100.0,69.1,107.8
0.545,0.507,0.382,0.25,23.8,70.8,48.9,84.8,11.7,12.5,12.5,100.0,107.8,69.1
0.56,0.494,0.123,0.358,26.3,67.4,48.1,70.3,3.1,5.3,13.8,100.0,108.7,118.0
0.558,0.511,0.146,0.337,32.6,73.7,51.9,51.2,5.2,8.5,11.3,100.0,118.0,108.7
0.57,0.535,0.302,0.233,31.7,68.3,50.0,75.0,14.3,9.0,16.0,100.0,110.6,109.6
0.54,0.517,0.124,0.258,31.7,68.3,50.0,56.8,7.2,13.3,13.9,100.0,109.6,110.6
0.593,0.556,0.188,0.338,26.3,78.8,50.7,46.3,6.4,7.8,13.2,100.0,115.4,113.3
0.602,0.597,0.169,0.351,21.2,73.7,49.3,62.8,9.5,10.8,14.4,100.0,113.3,115.4
0.566,0.556,0.222,0.403,23.8,63.0,44.3,54.1,6.1,6.7,9.6,100.0,117.1,90.3
0.432,0.375,0.167,0.431,37.0,76.2,55.7,38.5,3.7,5.4,14.1,100.0,90.3,117.1
