true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.523,0.442,0.325,0.494,28.6,60.4,45.6,55.2,4.5,11.3,9.6,100.0,110.6,107.2
0.468,0.402,0.184,0.379,39.6,71.4,54.4,38.2,5.6,11.5,10.6,100.0,107.2,110.6
0.454,0.417,0.218,0.231,26.5,66.7,43.5,55.2,4.8,17.9,12.3,100.0,94.0,116.9
0.539,0.481,0.152,0.316,33.3,73.5,56.5,44.4,8.4,19.7,9.1,100.0,116.9,94.0
0.548,0.517,0.198,0.209,27.9,81.8,55.2,53.7,12.2,2.9,9.6,100.0,114.6,92.3
0.472,0.425,0.138,0.225,18.2,72.1,44.8,45.5,3.3,4.3,12.0,100.0,92.3,114.6
0.508,0.439,0.27,0.446,21.7,74.1,41.1,58.6,8.9,8.2,11.9,100.0,100.0,127.8
0.664,0.625,0.238,0.188,25.9,78.3,58.9,60.0,3.3,1.9,14.8,100.0,127.8,100.0
0.496,0.438,0.198,0.272,29.3,74.4,51.3,62.5,11.0,3.1,15.0,100.0,99.0,93.5
0.502,0.494,0.19,0.165,25.6,70.7,48.8,58.3,14.3,7.7,18.3,100.0,93.5,99.0
0.417,0.387,0.183,0.215,40.0,64.9,50.0,34.3,4.6,11.9,10.5,100.0,97.9,121.0
0.579,0.559,0.306,0.153,35.1,60.0,50.0,48.8,8.1,10.5,10.8,100.0,121.0,97.9
0.482,0.358,0.328,0.612,20.9,79.3,44.4,71.4,12.7,10.5,12.4,100.0,94.7,114.4
0.599,0.582,0.219,0.301,20.7,79.1,55.6,60.5,6.9,15.6,14.5,100.0,114.4,94.7
0.514,0.472,0.289,0.233,30.4,80.0,50.0,65.8,14.8,2.0,10.8,100.0,107.5,109.6
0.675,0.635,0.222,0.508,20.0,69.6,50.0,51.4,8.4,12.5,25.2,100.0,109.6,107.5
0.452,0.416,0.221,0.273,20.5,75.0,47.7,58.6,5.5,8.3,14.8,100.0,85.8,103.4
0.511,0.5,0.259,0.309,25.0,79.5,52.3,69.4,8.8,6.7,12.4,100.0,103.4,85.8
0.502,0.425,0.23,0.379,6.5,79.4,37.5,48.6,15.4,3.4,6.5,100.0,97.9,106.5
0.623,0.57,0.253,0.291,20.6,93.5,62.5,48.8,2.9,13.4,21.9,100.0,106.5,97.9
0.605,0.575,0.15,0.263,25.0,64.7,49.4,58.1,6.4,7.6,16.8,100.0,114.3,103.7
0.5,0.47,0.205,0.41,35.3,75.0,50.6,37.1,8.5,2.9,12.5,100.0,103.7,114.3
0.556,0.518,0.244,0.171,39.5,62.5,51.3,52.6,8.2,3.2,12.9,100.0,115.2,123.4
0.56,0.506,0.195,0.494,37.5,60.5,48.7,59.5,8.2,9.7,11.4,100.0,123.4,115.2
0.496,0.449,0.203,0.19,32.4,82.1,53.8,52.9,3.8,0.0,9.5,100.0,108.4,122.4
0.637,0.575,0.239,0.284,17.9,67.6,46.2,71.4,5.1,9.5,11.7,100.0,122.4,108.4
0.529,0.512,0.333,0.286,32.6,74.5,54.4,62.2,3.4,10.3,10.4,100.0,113.7,89.8
0.434,0.392,0.181,0.217,25.5,67.4,45.6,63.3,6.8,5.4,11.7,100.0,89.8,113.7
0.538,0.5,0.194,0.25,13.2,82.5,48.7,60.6,8.9,2.1,17.5,100.0,95.3,109.7
0.558,0.493,0.347,0.528,17.5,86.8,51.3,65.6,12.2,6.9,10.1,100.0,109.7,95.3
0.448,0.415,0.284,0.352,17.3,70.2,45.0,38.2,6.6,10.7,15.0,100.0,85.6,92.2
0.453,0.394,0.106,0.34,29.8,82.7,55.0,41.7,8.5,15.9,12.9,100.0,92.2,85.6
0.613,0.545,0.218,0.436,40.5,76.9,59.2,74.4,4.5,3.1,11.4,100.0,129.5,114.7
0.569,0.556,0.188,0.25,23.1,59.5,40.8,63.4,6.8,4.9,11.0,100.0,114.7,129.5
0.535,0.5,0.367,0.228,14.6,79.4,44.0,55.9,9.0,5.3,17.9,100.0,93.2,113.2
0.598,0.563,0.063,0.413,20.6,85.4,56.0,51.1,10.0,14.0,14.5,100.0,113.2,93.2
0.434,0.394,0.212,0.224,18.4,72.2,41.2,63.3,9.5,9.4,13.0,100.0,85.9,108.1
0.607,0.589,0.274,0.342,27.8,81.6,58.8,66.7,5.3,10.4,19.2,100.0,108.1,85.9
0.519,0.511,0.151,0.151,19.6,73.3,46.2,63.0,13.5,11.1,13.1,100.0,99.4,97.5
0.55,0.536,0.349,0.241,26.7,80.4,53.8,53.8,10.6,5.1,21.4,100.0,97.5,99.4
0.53,0.468,0.295,0.282,23.3,60.7,45.2,66.7,3.5,13.2,10.2,100.0,107.6,90.2
0.381,0.306,0.156,0.311,39.3,76.7,54.8,53.8,4.6,9.1,11.3,100.0,90.2,107.6
0.551,0.506,0.169,0.377,17.9,78.6,49.4,51.4,7.5,4.8,11.8,100.0,106.4,109.7
0.545,0.481,0.203,0.418,21.4,82.1,50.6,48.6,8.6,14.1,10.5,100.0,109.7,106.4
0.498,0.428,0.197,0.368,13.3,75.0,42.4,56.7,15.1,7.5,11.1,100.0,95.0,103.6
0.547,0.524,0.183,0.159,25.0,86.7,57.6,64.1,4.3,3.3,17.0,100.0,103.6,95.0
0.578,0.563,0.253,0.392,23.8,70.4,50.0,74.4,13.1,8.3,11.5,100.0,116.6,86.1
0.419,0.404,0.191,0.135,29.6,76.2,50.0,58.8,7.6,3.4,12.9,100.0,86.1,116.6
0.483,0.463,0.2,0.2,15.0,75.6,47.1,45.7,4.5,9.5,12.1,100.0,93.9,106.2
0.541,0.518,0.232,0.159,24.4,85.0,52.9,68.4,7.8,9.4,12.0,100.0,106.2,93.9
0.496,0.469,0.325,0.275,18.2,66.7,41.9,64.7,11.7,8.1,13.5,100.0,94.6,97.8
0.497,0.465,0.279,0.174,33.3,81.8,58.1,61.5,6.4,7.4,17.0,100.0,97.8,94.6
0.494,0.443,0.295,0.261,26.0,75.0,45.1,54.3,9.5,12.7,10.9,100.0,102.1,112.6
0.63,0.591,0.286,0.234,25.0,74.0,54.9,61.0,9.5,9.7,19.8,100.0,112.6,102.1
0.565,0.506,0.315,0.303,37.0,54.2,45.7,65.0,7.8,9.4,10.6,100.0,127.1,102.6
0.442,0.384,0.256,0.477,45.8,63.0,54.3,50.0,7.8,3.3,10.3,100.0,102.6,127.1
0.445,0.382,0.18,0.281,25.5,85.7,48.9,33.3,13.7,15.5,6.5,100.0,93.5,109.3
0.593,0.554,0.216,0.419,14.3,74.5,51.1,72.2,4.2,6.8,17.8,100.0,109.3,93.5
0.355,0.315,0.107,0.167,26.9,60.5,42.1,50.0,11.1,5.6,15.1,100.0,71.3,115.9
0.537,0.494,0.155,0.345,39.5,73.1,57.9,61.5,11.1,16.0,12.6,100.0,115.9,71.3
0.492,0.43,0.31,0.394,23.5,70.6,47.1,59.3,12.1,11.5,20.1,100.0,90.1,107.7
0.592,0.59,0.333,0.141,29.4,76.5,52.9,63.2,12.1,20.4,19.4,100.0,107.7,90.1
0.457,0.42,0.261,0.273,23.5,86.5,50.0,54.3,8.2,7.5,13.2,100.0,92.5,101.8
0.567,0.479,0.254,0.521,13.5,76.5,50.0,63.6,9.3,3.1,14.7,100.0,101.8,92.5
0.502,0.449,0.192,0.282,30.2,80.5,54.8,60.6,9.4,3.9,19.3,100.0,92.3,97.5
0.543,0.52,0.32,0.32,19.5,69.8,45.2,69.4,11.5,3.2,19.7,100.0,97.5,92.3
0.444,0.413,0.196,0.228,20.8,85.3,46.0,57.1,8.7,4.3,13.6,100.0,87.3,125.2
0.689,0.644,0.138,0.388,14.7,79.2,54.0,68.8,9.7,4.1,13.8,100.0,125.2,87.3
0.475,0.422,0.312,0.273,14.0,63.0,39.3,58.6,11.8,14.3,16.5,100.0,88.0,106.2
0.518,0.482,0.259,0.282,37.0,86.0,60.7,41.7,7.5,5.7,14.3,100.0,106.2,88.0
0.58,0.493,0.186,0.414,16.7,77.8,50.0,71.9,4.6,4.2,11.7,100.0,110.7,117.7
0.596,0.573,0.36,0.32,22.2,83.3,50.0,54.1,4.6,10.5,12.3,100.0,117.7,110.7
0.416,0.404,0.169,0.18,43.1,76.0,59.4,66.7,4.4,3.2,16.5,100.0,88.6,106.4
0.509,0.459,0.271,0.247,24.0,56.9,40.6,45.7,13.3,8.1,9.6,100.0,106.4,88.6
0.559,0.534,0.162,0.311,21.6,76.7,51.3,70.3,7.8,8.1,16.0,100.0,104.2,95.3
0.488,0.423,0.205,0.295,23.3,78.4,48.8,46.9,10.0,12.9,13.7,100.0,95.3,104.2
0.494,0.44,0.133,0.277,29.5,70.7,49.4,40.0,11.1,15.9,10.6,100.0,102.0,110.9
0.542,0.518,0.241,0.253,29.3,70.5,50.6,73.7,3.3,5.6,14.0,100.0,110.9,102.0
0.492,0.435,0.247,0.338,28.6,72.5,50.0,38.7,6.9,7.8,12.8,100.0,99.8,114.8
0.563,0.519,0.2,0.25,27.5,71.4,50.0,53.8,9.2,6.9,11.9,100.0,114.8,99.8
0.463,0.449,0.216,0.125,20.0,69.0,43.7,51.4,8.5,12.5,13.1,100.0,91.1,96.4
0.48,0.422,0.229,0.325,31.0,80.0,56.3,66.7,7.4,8.7,14.4,100.0,96.4,91.1
0.54,0.508,0.349,0.333,20.0,65.6,41.8,71.4,14.8,5.6,19.0,100.0,96.5,110.1
0.582,0.516,0.129,0.532,34.4,80.0,58.2,61.3,9.9,7.3,18.2,100.0,110.1,96.5
0.551,0.53,0.195,0.244,24.4,76.9,50.0,48.7,11.2,8.3,9.9,100.0,111.5,102.6
0.539,0.5,0.178,0.384,23.1,75.6,50.0,67.6,5.6,4.5,15.8,100.0,102.6,111.5
0.526,0.482,0.244,0.256,22.5,75.0,44.1,72.2,10.2,6.0,9.0,100.0,108.9,120.2
0.683,0.662,0.296,0.211,25.0,77.5,55.9,43.9,4.5,11.3,19.7,100.0,120.2,108.9
0.628,0.609,0.269,0.231,41.2,58.3,51.2,63.4,8.3,9.8,14.9,100.0,128.3,111.7
0.468,0.41,0.315,0.292,41.7,58.8,48.8,45.5,10.7,17.5,9.1,100.0,111.7,128.3
0.557,0.493,0.25,0.426,10.8,87.0,53.0,70.0,5.4,11.6,18.2,100.0,97.2,91.8
0.478,0.423,0.449,0.321,13.0,89.2,47.0,50.0,8.6,5.9,11.0,100.0,91.8,97.2
0.563,0.549,0.236,0.278,17.5,64.4,42.4,75.0,6.7,4.7,17.4,100.0,102.0,114.4
0.53,0.494,0.264,0.241,35.6,82.5,57.6,59.0,6.7,3.6,10.3,100.0,114.4,102.0
0.555,0.52,0.135,0.216,20.6,76.9,50.7,59.5,5.7,6.6,15.6,100.0,103.0,107.5
0.546,0.52,0.197,0.303,23.1,79.4,49.3,54.1,6.9,9.4,12.2,100.0,107.5,103.0
0.407,0.375,0.188,0.313,21.7,75.6,48.4,67.9,9.0,6.7,11.7,100.0,83.2,85.4
0.43,0.364,0.221,0.338,24.4,78.3,51.6,61.5,7.9,12.3,13.7,100.0,85.4,83.2
0.513,0.467,0.156,0.211,23.8,80.0,52.9,50.0,2.0,8.7,11.7,100.0,102.2,116.4
0.567,0.556,0.233,0.289,20.0,76.2,47.1,55.6,9.1,10.5,8.1,100.0,116.4,102.2
