true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.568,0.507,0.397,0.685,35.9,75.0,56.6,71.0,7.7,4.3,12.0,100.0,118.8,99.0
0.468,0.373,0.127,0.494,25.0,64.1,43.4,57.1,7.7,6.8,10.3,100.0,99.0,118.8
0.45,0.405,0.131,0.25,30.8,60.6,47.5,53.1,5.3,10.7,16.2,100.0,88.2,106.1
0.441,0.426,0.168,0.307,39.4,69.2,52.5,48.8,10.5,23.3,7.3,100.0,106.1,88.2
0.579,0.538,0.269,0.244,23.7,72.7,46.5,44.7,10.5,7.1,10.4,100.0,116.1,117.3
0.656,0.629,0.4,0.229,27.3,76.3,53.5,62.2,5.8,5.3,20.6,100.0,117.3,116.1
0.574,0.531,0.238,0.325,25.7,76.9,52.7,51.3,6.0,10.6,17.9,100.0,105.7,121.8
0.617,0.602,0.25,0.261,23.1,74.3,47.3,57.1,11.1,8.2,10.9,100.0,121.8,105.7
0.585,0.531,0.175,0.3,7.9,68.1,41.2,64.1,8.9,12.5,13.4,100.0,104.8,106.8
0.475,0.436,0.208,0.287,31.9,92.1,58.8,65.9,7.9,13.6,8.1,100.0,106.8,104.8
0.428,0.405,0.31,0.226,17.8,72.5,46.9,48.4,4.2,8.2,14.0,100.0,82.0,92.3
0.451,0.388,0.282,0.365,27.5,82.2,53.1,56.7,7.3,6.9,13.2,100.0,92.3,82.0
0.445,0.416,0.236,0.337,29.4,65.9,45.7,50.0,10.6,8.9,9.7,100.0,96.7,109.5
0.552,0.519,0.309,0.346,34.1,70.6,54.3,57.9,5.3,19.1,15.4,100.0,109.5,96.7
0.525,0.488,0.14,0.267,45.2,73.7,58.8,51.3,8.4,6.0,19.3,100.0,105.5,109.7
0.578,0.549,0.183,0.244,26.3,54.8,41.3,48.8,10.4,6.8,15.8,100.0,109.7,105.5
0.555,0.52,0.253,0.32,17.9,70.7,45.0,55.6,7.7,3.8,14.1,100.0,104.3,117.5
0.587,0.537,0.346,0.284,29.3,82.1,55.0,51.3,9.9,5.4,13.3,100.0,117.5,104.3
0.618,0.556,0.338,0.423,29.4,72.5,55.3,58.3,10.3,5.9,15.1,100.0,119.6,92.0
0.433,0.382,0.2,0.2,27.5,70.6,44.7,61.3,10.3,10.6,10.6,100.0,92.0,119.6
0.51,0.453,0.151,0.291,27.9,74.3,48.7,54.1,9.6,6.0,11.8,100.0,105.7,127.0
0.662,0.646,0.39,0.22,25.7,72.1,51.3,51.1,5.3,4.1,13.5,100.0,127.0,105.7
0.481,0.42,0.198,0.321,32.6,69.0,50.6,57.6,10.1,8.6,12.3,100.0,100.2,119.4
0.548,0.511,0.333,0.253,31.0,67.4,49.4,59.0,4.5,13.8,9.4,100.0,119.4,100.2
0.533,0.48,0.36,0.427,16.7,71.2,46.8,63.6,11.8,13.3,19.8,100.0,93.3,75.6
0.412,0.327,0.231,0.449,28.8,83.3,53.2,54.2,10.8,6.3,21.8,100.0,75.6,93.3
0.583,0.581,0.275,0.213,23.8,66.7,46.7,65.0,6.4,12.5,16.3,100.0,109.1,116.6
0.521,0.456,0.289,0.367,33.3,76.2,53.3,70.3,13.9,15.5,7.9,100.0,116.6,109.1
0.625,0.61,0.351,0.182,27.6,67.5,50.7,45.0,8.0,9.5,17.8,100.0,118.5,106.0
0.526,0.488,0.222,0.21,32.5,72.4,49.3,42.1,9.1,12.0,12.8,100.0,106.0,118.5
0.618,0.58,0.174,0.261,29.0,70.3,51.5,81.1,10.8,2.2,16.3,100.0,114.3,108.3
0.571,0.521,0.343,0.286,29.7,71.0,48.5,68.8,6.0,3.5,19.4,100.0,108.3,114.3
0.561,0.518,0.422,0.217,32.6,65.8,47.6,61.1,6.7,0.0,15.0,100.0,113.9,134.0
0.631,0.6,0.247,0.271,34.2,67.4,52.4,53.2,8.9,10.4,8.6,100.0,134.0,113.9
0.563,0.477,0.323,0.523,29.6,73.6,58.8,82.1,5.5,3.5,21.6,100.0,99.0,102.3
0.474,0.431,0.345,0.287,26.4,70.4,41.3,50.0,11.0,9.1,10.1,100.0,102.3,99.0
0.47,0.456,0.231,0.143,29.8,76.2,51.7,52.6,3.3,7.6,11.0,100.0,100.8,107.4
0.549,0.513,0.132,0.368,23.8,70.2,48.3,48.6,8.9,4.3,12.0,100.0,107.4,100.8
0.574,0.531,0.163,0.325,16.7,91.2,52.9,56.4,10.5,0.0,11.6,100.0,109.7,102.4
0.594,0.556,0.208,0.333,8.8,83.3,47.1,54.1,4.2,1.5,17.9,100.0,102.4,109.7
0.481,0.409,0.144,0.317,39.2,74.4,55.3,43.9,7.9,6.8,7.1,100.0,112.8,106.9
0.554,0.528,0.344,0.189,25.6,60.8,44.7,61.0,4.0,15.7,16.3,100.0,106.9,112.8
0.534,0.487,0.241,0.342,23.9,72.5,46.5,57.1,12.6,3.8,9.0,100.0,111.4,102.2
0.549,0.514,0.284,0.216,27.5,76.1,53.5,55.9,5.7,5.0,18.2,100.0,102.2,111.4
0.653,0.563,0.465,0.62,16.2,76.9,47.4,73.5,6.2,3.2,13.4,100.0,122.0,114.7
0.588,0.555,0.244,0.341,23.1,83.8,52.6,57.1,5.2,5.3,12.9,100.0,114.7,122.0
0.423,0.401,0.267,0.256,23.1,66.7,43.3,62.5,9.3,7.8,14.3,100.0,83.8,96.2
0.478,0.46,0.273,0.239,33.3,76.9,56.7,69.4,10.3,17.5,15.6,100.0,96.2,83.8
0.505,0.462,0.321,0.295,11.6,76.9,47.4,62.5,3.2,4.3,12.0,100.0,96.2,101.6
0.477,0.414,0.207,0.299,23.1,88.4,52.6,42.9,2.2,9.4,6.6,100.0,101.6,96.2
0.514,0.464,0.313,0.229,22.2,66.7,43.7,58.8,5.6,11.3,9.9,100.0,106.1,116.3
0.534,0.444,0.123,0.432,33.3,77.8,56.3,41.2,6.8,3.5,9.4,100.0,116.3,106.1
0.51,0.457,0.395,0.259,24.4,91.7,54.3,80.6,5.4,10.2,16.6,100.0,99.2,110.0
0.611,0.558,0.29,0.478,8.3,75.6,45.7,74.3,10.8,12.2,12.6,100.0,110.0,99.2
0.414,0.381,0.138,0.163,18.8,87.8,50.6,55.2,8.6,0.0,17.4,100.0,76.3,74.1
0.432,0.389,0.194,0.25,12.2,81.3,49.4,65.4,10.7,5.8,20.0,100.0,74.1,76.3
0.55,0.523,0.299,0.149,27.9,78.3,53.9,42.9,3.5,5.1,7.9,100.0,117.6,103.7
0.492,0.428,0.224,0.461,21.7,72.1,46.1,65.6,3.5,4.9,7.1,100.0,103.7,117.6
0.525,0.489,0.159,0.284,35.4,62.5,46.3,51.2,8.9,5.0,18.2,100.0,103.2,126.0
0.666,0.62,0.277,0.337,37.5,64.6,53.8,65.2,9.9,5.4,17.3,100.0,126.0,103.2
0.425,0.383,0.255,0.184,26.4,75.0,47.3,54.1,10.2,19.0,8.6,100.0,92.2,106.6
0.556,0.5,0.447,0.526,25.0,73.6,52.7,62.5,9.2,11.0,15.4,100.0,106.6,92.2
0.612,0.543,0.333,0.58,14.7,71.7,47.5,45.5,3.2,11.0,13.9,100.0,113.7,112.6
0.532,0.471,0.141,0.365,28.3,85.3,52.5,68.4,9.7,8.7,9.2,100.0,112.6,113.7
0.56,0.551,0.281,0.213,25.0,70.2,48.4,54.3,4.1,8.6,11.0,100.0,112.3,107.2
0.513,0.466,0.213,0.315,29.8,75.0,51.6,63.2,8.2,6.3,11.4,100.0,107.2,112.3
0.512,0.481,0.325,0.25,23.9,83.3,50.0,54.3,4.2,16.7,16.1,100.0,95.2,106.7
0.545,0.5,0.25,0.388,16.7,76.1,50.0,64.9,8.4,11.1,12.2,100.0,106.7,95.2
0.519,0.422,0.253,0.578,32.6,79.5,55.6,39.4,4.3,6.6,6.3,100.0,115.5,101.6
0.519,0.512,0.247,0.296,20.5,67.4,44.4,65.8,3.2,11.3,13.3,100.0,101.6,115.5
0.595,0.566,0.289,0.349,21.4,86.7,48.6,80.5,16.2,0.0,14.3,100.0,115.3,97.1
0.612,0.575,0.343,0.388,13.3,78.6,51.4,80.0,9.1,16.9,23.4,100.0,97.1,115.3
0.486,0.454,0.356,0.172,13.3,68.3,39.5,47.2,8.2,11.3,10.5,100.0,93.2,120.8
0.575,0.517,0.295,0.375,31.7,86.7,60.5,45.2,10.2,10.7,11.3,100.0,120.8,93.2
0.536,0.481,0.275,0.3,36.4,81.3,55.3,52.9,11.2,5.0,23.0,100.0,98.3,109.5
0.617,0.575,0.178,0.452,18.8,63.6,44.7,70.0,18.2,8.6,17.8,100.0,109.5,98.3
0.594,0.522,0.147,0.485,27.3,77.1,56.8,61.8,4.4,19.3,18.7,100.0,108.2,101.5
0.473,0.426,0.352,0.239,22.9,72.7,43.2,69.7,11.0,12.1,7.6,100.0,101.5,108.2
0.53,0.494,0.203,0.494,22.0,63.3,39.4,29.7,8.8,10.9,9.4,100.0,112.0,117.5
0.617,0.564,0.343,0.543,36.7,78.0,60.6,62.9,6.6,9.5,15.6,100.0,117.5,112.0
0.562,0.514,0.214,0.414,22.9,78.9,52.1,60.6,8.1,3.2,12.7,100.0,107.8,111.3
0.562,0.551,0.205,0.218,21.1,77.1,47.9,59.0,5.8,0.0,12.3,100.0,111.3,107.8
0.526,0.481,0.235,0.259,15.2,66.7,42.3,61.1,11.2,10.8,15.9,100.0,96.9,91.8
0.458,0.44,0.293,0.152,33.3,84.8,57.7,54.1,9.2,3.2,16.2,100.0,91.8,96.9
0.466,0.439,0.28,0.256,31.3,76.3,51.2,43.8,3.3,4.9,15.7,100.0,94.4,128.8
0.628,0.589,0.274,0.226,23.7,68.8,48.8,56.8,12.2,5.1,8.0,100.0,128.8,94.4
0.518,0.495,0.304,0.157,43.1,79.4,57.6,64.4,9.1,10.5,13.5,100.0,114.3,119.4
0.65,0.622,0.305,0.244,20.6,56.9,42.4,54.5,5.1,12.7,15.8,100.0,119.4,114.3
0.541,0.432,0.111,0.58,34.1,70.6,54.3,61.8,8.0,7.2,12.9,100.0,109.5,104.5
0.488,0.414,0.258,0.355,29.4,65.9,45.7,61.1,4.0,9.7,12.2,100.0,104.5,109.5
0.577,0.532,0.351,0.312,23.1,87.2,55.1,66.7,4.3,3.4,16.3,100.0,108.7,115.2
0.605,0.568,0.284,0.21,12.8,76.9,44.9,68.3,6.5,12.0,10.2,100.0,115.2,108.7
0.41,0.36,0.279,0.337,24.6,79.5,48.5,48.3,5.4,4.8,10.8,100.0,86.8,99.7
0.504,0.434,0.184,0.487,20.5,75.4,51.5,61.3,5.4,9.7,10.7,100.0,99.7,86.8
0.59,0.533,0.453,0.4,34.2,85.0,60.3,84.4,12.9,11.5,19.2,100.0,111.9,100.1
0.553,0.52,0.297,0.311,15.0,65.8,39.7,57.6,12.9,9.8,16.8,100.0,100.1,111.9
0.478,0.466,0.159,0.159,29.2,77.3,52.2,55.3,6.8,10.0,10.5,100.0,101.7,110.7
0.564,0.513,0.2,0.36,22.7,70.8,47.8,65.7,6.8,12.2,12.1,100.0,110.7,101.7
0.505,0.488,0.253,0.084,22.0,66.7,45.3,54.1,13.8,9.3,12.2,100.0,100.0,93.1
0.462,0.436,0.308,0.282,33.3,78.0,54.7,45.2,4.6,14.5,16.2,100.0,93.1,100.0
0.535,0.484,0.198,0.341,29.5,68.4,51.5,68.3,6.0,9.7,11.1,100.0,112.5,106.5
0.5,0.432,0.182,0.466,31.6,70.5,48.5,45.7,7.0,11.0,10.2,100.0,106.5,112.5
0.676,0.64,0.544,0.397,30.0,69.0,52.8,62.9,9.4,10.9,16.7,100.0,127.2,107.2
0.53,0.5,0.378,0.365,31.0,70.0,47.2,51.6,8.2,6.5,14.9,100.0,107.2,127.2
0.531,0.5,0.263,0.163,14.3,71.8,42.0,62.2,6.7,1.6,12.3,100.0,102.1,112.2
0.56,0.5,0.222,0.235,28.2,85.7,58.0,68.4,5.6,10.2,11.8,100.0,112.2,102.1
0.555,0.538,0.225,0.238,26.3,67.4,48.8,66.7,9.0,6.1,12.0,100.0,110.8,93.9
0.464,0.42,0.185,0.235,32.6,73.7,51.2,53.3,5.7,6.5,16.8,100.0,93.9,110.8
0.45,0.418,0.247,0.165,25.0,75.7,46.1,58.1,5.7,6.0,13.3,100.0,93.0,114.6
0.587,0.547,0.333,0.333,24.3,75.0,53.9,56.8,7.9,6.3,11.3,100.0,114.6,93.0
0.579,0.569,0.323,0.385,18.2,74.5,51.3,67.6,4.5,6.0,20.0,100.0,98.4,111.9
0.523,0.444,0.383,0.407,25.5,81.8,48.8,71.9,6.7,6.8,9.5,100.0,111.9,98.4
0.566,0.523,0.184,0.264,13.6,51.4,30.4,42.9,11.6,7.7,6.7,100.0,116.3,113.2
0.623,0.577,0.333,0.231,48.6,86.4,69.6,55.0,5.3,4.2,23.9,100.0,113.2,116.3
0.492,0.45,0.189,0.244,27.1,84.4,54.8,59.5,9.3,6.6,9.9,100.0,101.2,94.0
0.508,0.488,0.256,0.207,15.6,72.9,45.2,47.2,6.2,6.8,16.7,100.0,94.0,101.2
0.491,0.416,0.286,0.403,14.3,69.8,42.4,63.3,6.6,6.3,8.1,100.0,98.6,106.3
0.507,0.457,0.22,0.354,30.2,85.7,57.6,65.7,4.4,16.4,11.2,100.0,106.3,98.6
0.503,0.483,0.222,0.111,23.4,62.7,43.9,64.1,3.4,14.1,8.7,100.0,107.6,111.0
0.483,0.431,0.264,0.379,37.3,76.6,56.1,53.1,5.7,5.7,7.3,100.0,111.0,107.6
0.554,0.506,0.232,0.329,12.5,86.2,43.5,68.4,11.9,4.1,13.0,100.0,103.3,120.2
0.731,0.682,0.338,0.27,13.8,87.5,56.5,67.4,7.0,4.8,21.7,100.0,120.2,103.3
0.551,0.5,0.219,0.411,17.9,66.0,45.7,70.6,8.7,4.1,15.7,100.0,103.2,93.4
0.44,0.388,0.169,0.225,34.0,82.1,54.3,57.6,10.9,5.3,12.5,100.0,93.4,103.2
0.488,0.46,0.227,0.136,30.4,86.0,57.3,35.9,11.0,5.8,20.5,100.0,90.8,88.8
0.511,0.481,0.325,0.299,14.0,69.6,42.7,66.7,12.0,17.6,18.7,100.0,88.8,90.8
0.583,0.556,0.213,0.213,21.1,85.3,51.4,62.5,10.9,2.1,15.5,100.0,111.3,99.3
0.582,0.522,0.304,0.304,14.7,78.9,48.6,40.6,12.0,6.3,18.7,100.0,99.3,111.3
0.57,0.506,0.341,0.378,18.4,73.5,44.4,64.9,4.0,8.9,12.8,100.0,109.6,131.7
0.668,0.605,0.263,0.658,26.5,81.6,55.6,50.0,8.0,5.6,11.7,100.0,131.7,109.6
0.475,0.457,0.272,0.12,20.4,71.1,42.5,68.4,14.8,9.6,11.8,100.0,97.3,99.5
0.548,0.486,0.246,0.551,28.9,79.6,57.5,80.6,7.4,13.4,18.1,100.0,99.5,97.3
0.558,0.458,0.222,0.556,20.0,63.9,42.3,20.0,9.2,7.1,11.8,100.0,114.9,117.2
0.588,0.552,0.273,0.286,36.1,80.0,57.7,66.7,3.4,14.3,12.2,100.0,117.2,114.9
0.476,0.433,0.3,0.222,28.0,86.0,57.0,62.9,3.0,12.2,15.4,100.0,92.5,94.5
0.475,0.412,0.187,0.253,14.0,72.0,43.0,70.6,6.9,11.1,10.6,100.0,94.5,92.5
0.412,0.356,0.222,0.211,25.0,78.4,48.2,54.8,12.4,2.2,12.5,100.0,83.8,101.4
0.566,0.542,0.375,0.458,21.6,75.0,51.8,52.9,7.2,8.6,19.5,100.0,101.4,83.8
0.448,0.394,0.256,0.178,16.3,68.4,39.1,42.4,6.6,8.5,6.7,100.0,95.3,118.3
0.633,0.597,0.39,0.247,31.6,83.7,60.9,62.5,3.3,9.0,16.6,100.0,118.3,95.3
0.523,0.483,0.216,0.148,32.6,75.7,52.5,45.0,2.2,10.3,12.2,100.0,108.3,111.7
0.549,0.512,0.318,0.188,24.3,67.4,47.5,66.7,6.6,4.3,11.5,100.0,111.7,108.3
0.499,0.456,0.211,0.233,30.0,80.0,50.6,59.5,7.4,4.0,12.4,100.0,105.3,117.0
0.644,0.608,0.324,0.351,20.0,70.0,49.4,47.4,6.4,8.5,15.8,100.0,117.0,105.3
0.57,0.532,0.355,0.28,14.9,73.8,42.7,65.1,7.0,3.9,15.4,100.0,104.6,107.3
0.56,0.526,0.216,0.278,26.2,85.1,57.3,64.6,5.3,11.7,14.9,100.0,107.3,104.6
0.558,0.512,0.274,0.393,15.0,81.8,50.0,62.5,5.2,5.4,7.5,100.0,113.8,104.5
0.551,0.535,0.341,0.176,18.2,85.0,50.0,55.0,5.2,8.2,12.4,100.0,104.5,113.8
0.545,0.5,0.26,0.299,24.3,68.4,46.7,72.2,11.2,11.5,13.0,100.0,106.6,109.9
0.573,0.567,0.307,0.32,31.6,75.7,53.3,48.6,7.9,8.8,17.4,100.0,109.9,106.6
0.514,0.475,0.222,0.21,20.9,74.4,46.3,61.8,11.5,7.4,8.3,100.0,104.5,102.2
0.531,0.544,0.316,0.139,25.6,79.1,53.7,43.2,3.4,1.6,16.9,100.0,102.2,104.5
0.495,0.452,0.194,0.269,18.4,70.7,42.2,60.0,8.6,8.6,10.3,100.0,98.1,106.6
0.564,0.533,0.11,0.209,29.3,81.6,57.8,41.3,4.8,8.0,17.4,100.0,106.6,98.1
