true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.459,0.42,0.31,0.23,24.5,72.5,45.2,53.1,6.0,10.2,15.8,100.0,88.1,117.1
0.572,0.548,0.372,0.202,27.5,75.5,54.8,68.9,12.0,8.3,12.0,100.0,117.1,88.1
0.589,0.541,0.245,0.265,43.8,81.0,61.1,53.2,13.2,5.8,10.6,100.0,131.3,101.8
0.538,0.512,0.388,0.212,19.0,56.3,38.9,60.0,11.2,8.1,14.7,100.0,101.8,131.3
0.584,0.537,0.293,0.195,17.1,83.3,47.7,47.5,9.9,8.9,11.0,100.0,114.9,124.8
0.667,0.607,0.253,0.293,16.7,82.9,52.3,56.4,5.5,5.2,12.4,100.0,124.8,114.9
0.553,0.521,0.454,0.206,30.0,70.7,48.4,51.2,7.8,5.3,13.1,100.0,113.6,118.4
0.629,0.601,0.36,0.202,29.3,70.0,51.6,75.0,12.6,17.0,16.4,100.0,118.4,113.6
0.541,0.519,0.462,0.173,18.5,83.0,48.5,57.8,7.0,10.8,11.8,100.0,105.8,113.7
0.602,0.559,0.204,0.366,17.0,81.5,51.5,63.8,9.6,10.7,12.9,100.0,113.7,105.8
0.582,0.552,0.337,0.314,26.3,72.5,50.0,65.9,10.1,1.9,12.5,100.0,114.7,120.7
0.608,0.573,0.393,0.247,27.5,73.7,50.0,46.7,10.1,7.0,13.2,100.0,120.7,114.7
0.496,0.453,0.209,0.337,30.6,73.2,50.0,55.6,6.6,8.9,9.2,100.0,107.5,111.8
0.555,0.519,0.3,0.338,26.8,69.4,50.0,52.8,6.6,16.2,12.4,100.0,111.8,107.5
0.537,0.489,0.258,0.27,23.4,80.0,52.6,67.5,5.2,13.2,9.1,100.0,110.9,99.5
0.476,0.44,0.174,0.217,20.0,76.6,47.4,59.0,4.1,7.6,7.4,100.0,99.5,110.9
0.549,0.494,0.289,0.398,28.2,90.4,63.7,48.6,6.5,5.5,19.7,100.0,99.9,95.3
0.493,0.429,0.207,0.283,9.6,71.8,36.3,81.6,14.9,8.5,9.6,100.0,95.3,99.9
0.519,0.505,0.165,0.165,34.8,70.6,53.6,57.4,5.3,9.9,8.8,100.0,114.5,101.8
0.474,0.416,0.202,0.315,29.4,65.2,46.4,58.8,5.3,4.9,9.8,100.0,101.8,114.5
0.488,0.447,0.234,0.277,25.5,88.9,55.2,48.7,7.0,5.0,8.7,100.0,102.6,96.7
0.511,0.47,0.286,0.298,11.1,74.5,44.8,58.3,5.0,13.9,12.0,100.0,96.7,102.6
0.58,0.547,0.244,0.302,24.4,75.6,50.0,54.5,5.2,8.2,11.8,100.0,116.8,97.1
0.529,0.494,0.208,0.351,24.4,75.6,50.0,55.6,6.2,4.6,16.8,100.0,97.1,116.8
0.486,0.44,0.262,0.262,17.8,69.6,44.0,48.6,8.4,0.0,12.2,100.0,95.6,114.5
0.552,0.494,0.209,0.337,30.4,82.2,56.0,41.5,8.4,0.0,10.0,100.0,114.5,95.6
0.486,0.457,0.213,0.191,24.0,66.7,43.5,62.5,13.5,6.5,15.7,100.0,95.7,110.2
0.594,0.568,0.295,0.205,33.3,76.0,56.5,63.6,12.6,9.5,18.0,100.0,110.2,95.7
0.572,0.553,0.303,0.316,7.5,64.7,39.6,57.9,6.4,9.0,11.3,100.0,105.1,111.5
0.499,0.451,0.272,0.326,35.3,92.5,60.4,69.4,5.3,1.9,10.2,100.0,111.5,105.1
0.512,0.451,0.319,0.505,27.8,78.6,50.0,32.4,9.9,6.0,5.9,100.0,113.1,105.2
0.535,0.482,0.212,0.376,21.4,72.2,50.0,46.2,4.0,6.5,12.4,100.0,105.2,113.1
0.561,0.494,0.228,0.342,20.9,83.8,50.0,63.9,11.0,16.0,9.0,100.0,112.0,103.2
0.542,0.443,0.286,0.543,16.2,79.1,50.0,78.6,7.7,0.0,14.7,100.0,103.2,112.0
