team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,2017-10-22,240,44,90,9,27,15,20,9,29,27,7,6,17,24
MINNESOTA TIMBERWOLVES,2017-10-22,240,43,86,10,25,19,23,10,35,25,5,1,17,17
OKLAHOMA CITY THUNDER,2017-10-22,240,46,96,11,31,10,16,9,27,26,9,6,11,22
GOLDEN STATE WARRIORS,2017-10-23,240,48,86,15,39,22,26,10,40,33,6,8,16,23
DALLAS MAVERICKS,2017-10-23,240,38,96,9,29,18,30,14,28,21,11,0,12,20
WASHINGTON WIZARDS,2017-10-23,240,37,84,9,30,26,28,10,28,24,13,3,15,24
DENVER NUGGETS,2017-10-23,240,39,80,8,23,18,23,9,35,27,5,2,23,22
PHILADELPHIA 76ERS,2017-10-23,240,35,75,9,24,18,24,8,41,25,11,0,21,24
DETROIT PISTONS,2017-10-23,240,33,85,6,30,14,19,9,30,14,5,2,14,21
MEMPHIS GRIZZLIES,2017-10-23,240,29,68,6,19,34,37,3,35,16,5,2,12,21
HOUSTON ROCKETS,2017-10-23,240,32,77,9,38,17,23,9,30,25,5,2,16,31
ATLANTA HAWKS,2017-10-23,240,36,76,7,17,14,18,6,35,14,9,1,20,17
MIAMI HEAT,2017-10-23,240,39,85,14,37,12,18,10,31,21,12,6,19,19
CHARLOTTE HORNETS,2017-10-23,240,33,78,7,26,21,36,10,38,17,3,5,14,21
MILWAUKEE BUCKS,2017-10-23,240,40,85,9,26,14,16,5,37,24,8,4,13,27
SACRAMENTO KINGS,2017-10-23,240,43,99,9,22,20,29,13,24,19,13,2,9,25
PHOENIX SUNS,2017-10-23,240,42,77,10,30,23,27,6,39,20,6,5,20,25
TORONTO RAPTORS,2017-10-23,240,34,80,10,37,19,24,5,29,17,11,4,14,30
SAN ANTONIO SPURS,2017-10-23,240,40,90,5,20,16,23,18,37,19,4,12,20,22
NEW YORK KNICKS,2017-10-24,240,36,85,1,12,16,25,11,32,20,8,2,14,17
BOSTON CELTICS,2017-10-24,240,37,75,14,29,22,27,5,36,26,11,7,12,24
CHICAGO BULLS,2017-10-24,240,42,88,17,33,11,13,8,31,28,3,3,9,20
CLEVELAND CAVALIERS,2017-10-24,240,43,83,16,38,17,22,8,31,28,5,3,9,14
UTAH JAZZ,2017-10-24,240,34,79,7,28,9,11,8,33,20,7,7,18,23
LOS ANGELES CLIPPERS,2017-10-24,240,39,83,10,29,14,21,11,33,21,12,4,13,16
INDIANA PACERS,2017-10-24,240,56,84,10,22,8,11,8,34,31,8,2,17,21
