true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.425,0.4,0.356,0.222,33.3,53.8,41.9,81.3,12.5,16.9,10.8,100.0,95.5,106.9
0.53,0.5,0.253,0.278,46.2,66.7,58.1,61.1,8.0,8.6,18.4,100.0,106.9,95.5
0.533,0.5,0.176,0.212,22.5,67.4,46.5,55.0,9.9,7.8,10.6,100.0,108.7,99.9
0.502,0.513,0.169,0.403,32.6,77.5,53.5,63.2,6.6,7.1,13.4,100.0,99.9,108.7
0.613,0.56,0.173,0.373,18.4,87.2,53.2,61.5,4.2,3.2,14.7,100.0,113.2,127.0
0.645,0.595,0.203,0.405,12.8,81.6,46.8,58.1,8.5,8.1,7.9,100.0,127.0,113.2
0.478,0.44,0.202,0.19,25.6,67.4,46.5,41.2,10.5,7.1,17.3,100.0,91.6,98.0
0.497,0.43,0.114,0.418,32.6,74.4,53.5,63.6,8.4,14.9,16.1,100.0,98.0,91.6
0.589,0.557,0.342,0.291,31.6,76.7,55.6,71.8,12.7,4.8,18.3,100.0,111.0,101.5
0.531,0.481,0.203,0.329,23.3,68.4,44.4,60.0,12.7,7.7,15.0,100.0,101.5,111.0
0.464,0.395,0.163,0.349,35.4,77.1,53.0,72.7,14.4,6.8,15.4,100.0,94.5,103.7
0.582,0.547,0.203,0.392,22.9,64.6,47.0,65.8,12.3,12.5,20.2,100.0,103.7,94.5
0.541,0.513,0.25,0.325,22.7,78.6,50.0,57.9,9.6,12.7,14.1,100.0,105.8,101.6
0.527,0.463,0.213,0.288,21.4,77.3,50.0,74.3,7.5,10.0,12.6,100.0,101.6,105.8
0.404,0.398,0.205,0.125,32.7,73.1,53.5,57.6,9.7,8.3,17.7,100.0,80.8,90.4
0.446,0.394,0.294,0.247,26.9,67.3,46.5,60.0,14.0,15.7,13.7,100.0,90.4,80.8
0.453,0.413,0.198,0.267,34.0,74.4,52.7,57.6,9.6,5.1,15.8,100.0,92.8,90.6
0.474,0.425,0.263,0.275,25.6,66.0,47.3,50.0,10.7,17.4,16.7,100.0,90.6,92.8
0.616,0.556,0.25,0.444,42.9,75.0,60.0,58.3,6.4,3.2,21.8,100.0,113.1,123.7
0.608,0.56,0.241,0.337,25.0,57.1,40.0,45.2,10.7,9.3,11.2,100.0,123.7,113.1
