true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.553,0.483,0.122,0.4,34.8,85.1,60.2,58.5,8.6,13.0,15.2,100.0,111.3,91.3
0.512,0.455,0.299,0.494,14.9,65.2,39.8,59.4,7.6,11.4,17.6,100.0,91.3,111.3
0.542,0.5,0.297,0.419,31.6,77.1,57.0,67.6,10.7,7.4,17.0,100.0,102.1,99.9
0.485,0.434,0.105,0.592,22.9,68.4,43.0,56.3,17.2,5.8,11.1,100.0,99.9,102.1
0.567,0.538,0.167,0.218,22.2,72.7,50.0,38.5,1.1,6.3,15.8,100.0,105.7,115.5
0.538,0.506,0.276,0.299,27.3,77.8,50.0,51.2,8.7,6.2,7.5,100.0,115.5,105.7
0.591,0.543,0.261,0.29,13.9,66.0,43.4,69.7,7.0,12.3,17.1,100.0,107.1,86.1
0.42,0.383,0.156,0.325,34.0,86.1,56.6,46.4,12.8,3.9,14.6,100.0,86.1,107.1
0.477,0.453,0.177,0.281,27.5,74.5,51.0,67.5,8.3,7.8,15.0,100.0,95.4,111.1
0.564,0.522,0.297,0.385,25.5,72.5,49.0,73.8,10.2,12.7,12.4,100.0,111.1,95.4
0.463,0.394,0.202,0.455,35.4,70.2,50.0,41.7,5.5,9.5,13.2,100.0,101.2,109.5
0.552,0.484,0.315,0.391,29.8,64.6,50.0,52.6,11.0,7.6,13.6,100.0,109.5,101.2
0.538,0.506,0.264,0.253,16.3,85.4,50.0,60.5,8.3,8.8,8.5,100.0,108.5,105.4
0.569,0.538,0.288,0.25,14.6,83.7,50.0,55.3,5.2,9.4,13.6,100.0,105.4,108.5
0.479,0.438,0.24,0.271,35.8,65.0,48.4,60.5,7.1,5.2,13.0,100.0,104.5,113.6
0.56,0.457,0.293,0.5,35.0,64.2,51.6,72.7,9.1,9.6,14.5,100.0,113.6,104.5
0.506,0.463,0.123,0.222,19.5,70.3,43.6,58.3,5.4,5.4,14.4,100.0,96.7,111.8
0.603,0.571,0.273,0.273,29.7,80.5,56.4,59.0,6.4,9.9,18.1,100.0,111.8,96.7
0.429,0.402,0.195,0.253,35.3,76.9,53.3,48.5,4.5,7.8,12.6,100.0,94.2,115.7
0.577,0.521,0.301,0.479,23.1,64.7,46.7,46.9,2.3,12.9,10.2,100.0,115.7,94.2
0.526,0.506,0.207,0.28,35.7,75.6,55.4,57.9,3.3,13.0,15.6,100.0,106.8,116.7
0.573,0.535,0.188,0.2,24.4,64.3,44.6,56.1,8.8,6.2,9.8,100.0,116.7,106.8
0.488,0.425,0.238,0.375,25.5,86.5,52.4,61.3,12.2,6.5,9.7,100.0,100.8,88.6
0.49,0.473,0.173,0.2,13.5,74.5,47.6,45.5,4.4,6.6,17.2,100.0,88.6,100.8
0.579,0.565,0.393,0.202,11.4,78.0,46.8,73.8,10.3,2.3,17.2,100.0,99.0,92.5
0.469,0.439,0.131,0.152,22.0,88.6,53.2,58.5,9.3,3.9,14.6,100.0,92.5,99.0
0.569,0.519,0.2,0.375,23.7,68.1,48.2,48.7,9.3,11.9,13.1,100.0,109.9,98.5
0.507,0.463,0.173,0.358,31.9,76.3,51.8,66.7,6.2,6.3,17.6,100.0,98.5,109.9
0.516,0.463,0.3,0.313,15.6,68.9,42.2,40.0,4.3,15.6,9.9,100.0,101.8,109.4
0.545,0.481,0.19,0.392,31.1,84.4,57.8,55.6,6.5,7.1,13.9,100.0,109.4,101.8
0.435,0.35,0.2,0.438,28.0,75.6,49.5,39.3,6.2,8.3,17.3,100.0,85.5,106.0
0.554,0.525,0.259,0.333,24.4,72.0,50.5,51.3,10.3,9.4,13.9,100.0,106.0,85.5
0.531,0.511,0.149,0.161,36.8,63.8,51.8,47.6,7.4,13.3,16.9,100.0,104.2,107.4
0.537,0.526,0.211,0.566,36.2,63.2,48.2,54.1,12.6,9.5,15.9,100.0,107.4,104.2
0.49,0.428,0.133,0.41,42.9,75.5,60.4,51.4,9.5,11.3,17.0,100.0,101.4,89.8
0.45,0.424,0.279,0.221,24.5,57.1,39.6,54.5,11.6,9.7,13.7,100.0,89.8,101.4
0.524,0.505,0.165,0.253,36.6,68.3,52.4,47.6,5.4,8.5,9.8,100.0,115.3,119.7
0.581,0.543,0.272,0.383,31.7,63.4,47.6,47.4,5.4,10.5,12.1,100.0,119.7,115.3
0.418,0.422,0.167,0.135,31.5,74.5,52.4,61.1,7.4,13.2,14.3,100.0,89.6,91.7
0.472,0.44,0.181,0.253,25.5,68.5,47.6,66.7,9.5,16.3,13.2,100.0,91.7,89.6
0.543,0.505,0.298,0.266,22.4,62.5,40.4,52.3,6.9,9.0,8.7,100.0,113.0,119.0
0.595,0.524,0.212,0.424,37.5,77.6,59.6,68.3,5.0,9.1,15.1,100.0,119.0,113.0
0.552,0.486,0.192,0.521,22.5,81.6,55.1,61.8,7.2,13.6,16.7,100.0,102.1,93.8
0.472,0.438,0.25,0.216,18.4,77.5,44.9,65.7,12.4,6.8,11.1,100.0,93.8,102.1
0.631,0.591,0.286,0.208,18.8,79.5,52.1,71.8,11.6,10.4,12.5,100.0,122.9,80.0
0.454,0.412,0.294,0.265,20.5,81.3,47.9,76.0,4.6,10.9,20.0,100.0,80.0,122.9
0.532,0.518,0.157,0.12,22.0,72.4,42.9,57.5,4.6,1.9,12.9,100.0,106.1,128.9
0.664,0.635,0.321,0.205,27.6,78.0,57.1,47.7,8.0,4.3,11.5,100.0,128.9,106.1
0.673,0.637,0.205,0.411,27.3,76.7,55.3,51.2,6.7,13.6,13.1,100.0,128.9,102.2
0.503,0.455,0.234,0.429,23.3,72.7,44.7,51.6,5.6,3.4,11.6,100.0,102.2,128.9
0.634,0.612,0.153,0.235,30.6,82.7,61.4,50.0,8.0,3.4,17.6,100.0,118.7,97.8
0.507,0.477,0.322,0.253,17.3,69.4,38.6,54.1,10.0,12.5,11.9,100.0,97.8,118.7
0.463,0.4,0.16,0.347,13.3,72.5,41.2,51.7,7.6,10.4,13.9,100.0,87.0,104.4
0.558,0.493,0.36,0.333,27.5,86.7,58.8,77.4,8.7,7.9,18.1,100.0,104.4,87.0
0.607,0.521,0.1,0.457,31.4,69.6,46.6,40.0,9.3,0.0,15.1,100.0,118.0,142.3
0.752,0.703,0.203,0.42,30.4,68.6,53.4,64.4,5.8,7.9,14.6,100.0,142.3,118.0
0.479,0.421,0.132,0.224,23.8,69.4,48.4,35.5,3.4,7.2,17.7,100.0,89.7,99.8
0.456,0.429,0.242,0.165,30.6,76.2,51.6,63.9,9.0,0.0,9.3,100.0,99.8,89.7
0.6,0.551,0.202,0.303,24.4,83.3,51.9,48.9,8.4,7.7,14.4,100.0,113.5,104.1
0.628,0.561,0.409,0.773,16.7,75.6,48.1,62.5,4.7,4.2,23.4,100.0,104.1,113.5
0.426,0.383,0.273,0.221,22.7,72.9,48.9,70.4,4.5,8.3,18.4,100.0,80.9,87.6
0.442,0.362,0.211,0.368,27.1,77.3,51.1,64.0,9.0,8.9,14.5,100.0,87.6,80.9
0.511,0.463,0.213,0.313,27.3,74.5,51.6,72.7,7.5,7.6,15.0,100.0,99.6,94.3
0.463,0.414,0.185,0.395,25.5,72.7,48.4,46.9,8.6,6.3,12.8,100.0,94.3,99.6
0.614,0.589,0.392,0.304,29.7,61.3,44.1,57.5,10.4,4.6,18.3,100.0,114.6,138.6
0.713,0.704,0.198,0.346,38.7,70.3,55.9,70.6,9.4,6.3,14.6,100.0,138.6,114.6
0.545,0.494,0.39,0.273,22.0,67.3,47.9,63.6,6.7,6.1,13.1,100.0,104.6,91.2
0.419,0.382,0.258,0.225,32.7,78.0,52.1,48.4,7.8,12.8,13.3,100.0,91.2,104.6
0.477,0.43,0.279,0.302,23.5,73.2,49.5,66.7,10.2,11.1,13.3,100.0,94.7,89.6
0.438,0.389,0.2,0.267,26.8,76.5,50.5,54.5,7.1,11.3,13.0,100.0,89.6,94.7
0.545,0.486,0.139,0.361,33.3,69.0,52.6,45.5,9.1,10.4,18.5,100.0,103.2,104.4
0.51,0.481,0.173,0.259,31.0,66.7,47.4,70.3,11.3,16.1,13.4,100.0,104.4,103.2
0.545,0.5,0.157,0.265,21.7,75.5,49.5,64.1,5.8,5.6,19.2,100.0,98.3,111.9
0.553,0.5,0.202,0.382,24.5,78.3,50.5,61.0,13.6,7.1,10.3,100.0,111.9,98.3
0.557,0.506,0.171,0.439,20.9,79.3,44.4,62.5,8.8,4.8,14.1,100.0,106.2,115.9
0.638,0.578,0.195,0.481,20.7,79.1,55.6,67.4,8.8,8.8,16.2,100.0,115.9,106.2
0.572,0.522,0.261,0.319,24.3,72.1,50.0,59.4,9.4,1.6,18.6,100.0,105.2,102.9
0.509,0.453,0.16,0.347,27.9,75.7,50.0,57.6,7.0,7.8,12.2,100.0,102.9,105.2
0.509,0.5,0.195,0.115,35.0,77.1,54.7,35.9,5.8,9.8,12.5,100.0,107.9,112.6
0.59,0.515,0.215,0.6,22.9,65.0,45.3,58.1,5.8,0.0,14.6,100.0,112.6,107.9
