true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.447,0.435,0.204,0.108,27.7,72.2,47.0,47.2,10.5,11.1,14.9,100.0,91.6,102.1
0.57,0.528,0.239,0.451,27.8,72.3,53.0,50.0,4.2,24.3,19.0,100.0,102.1,91.6
0.553,0.542,0.253,0.277,22.7,62.5,43.5,65.9,11.0,6.3,14.7,100.0,102.6,115.6
0.551,0.527,0.312,0.301,37.5,77.3,56.5,54.8,8.0,9.7,15.3,100.0,115.6,102.6
0.51,0.464,0.313,0.277,23.9,85.7,50.6,65.7,11.3,7.7,16.2,100.0,97.9,110.2
0.631,0.59,0.278,0.403,14.3,76.1,49.4,70.3,10.3,12.3,17.5,100.0,110.2,97.9
0.508,0.457,0.293,0.293,22.0,63.6,43.5,72.7,8.7,11.6,13.9,100.0,101.8,106.2
0.495,0.446,0.179,0.405,36.4,78.0,56.5,60.0,7.6,5.2,10.0,100.0,106.2,101.8
0.596,0.539,0.316,0.461,12.5,80.0,44.0,73.0,15.9,9.4,15.7,100.0,108.3,117.2
0.674,0.643,0.312,0.312,20.0,87.5,56.0,70.5,7.0,3.8,18.6,100.0,117.2,108.3
0.554,0.5,0.321,0.41,28.9,67.6,46.3,67.6,5.3,5.6,14.8,100.0,108.0,119.7
0.611,0.558,0.308,0.423,32.4,71.1,53.7,61.5,6.4,7.5,16.3,100.0,119.7,108.0
0.478,0.438,0.202,0.236,18.0,81.1,44.8,54.3,4.9,6.8,14.0,100.0,91.7,121.9
0.65,0.622,0.314,0.267,18.9,82.0,55.2,73.9,7.8,12.7,13.5,100.0,121.9,91.7
0.42,0.389,0.111,0.222,23.1,64.1,40.7,42.4,8.9,11.8,6.6,100.0,92.7,107.2
0.555,0.533,0.329,0.316,35.9,76.9,59.3,47.2,4.5,7.5,17.2,100.0,107.2,92.7
0.533,0.52,0.27,0.18,28.6,74.1,52.4,44.7,6.3,8.0,14.3,100.0,104.3,108.8
0.522,0.46,0.25,0.34,25.9,71.4,47.6,64.3,6.3,4.1,10.9,100.0,108.8,104.3
0.571,0.5,0.329,0.429,17.6,67.4,46.3,63.3,5.5,16.2,16.1,100.0,104.9,99.4
0.478,0.429,0.129,0.247,32.6,82.4,53.8,50.0,7.7,10.6,13.7,100.0,99.4,104.9
0.523,0.493,0.216,0.162,15.2,81.3,47.7,55.9,10.6,6.9,22.5,100.0,88.3,95.7
0.573,0.528,0.183,0.239,18.8,84.8,52.3,47.2,12.8,10.3,21.9,100.0,95.7,88.3
0.606,0.588,0.471,0.153,17.9,75.0,43.7,71.4,7.0,0.0,17.3,100.0,110.8,114.8
0.629,0.588,0.263,0.3,25.0,82.1,56.3,55.8,16.1,2.2,16.6,100.0,114.8,110.8
0.497,0.457,0.321,0.296,23.4,71.8,45.3,57.6,5.4,7.8,12.4,100.0,98.5,112.6
0.572,0.542,0.229,0.217,28.2,76.6,54.7,41.9,8.7,9.1,14.2,100.0,112.6,98.5
0.509,0.462,0.19,0.215,21.1,75.0,50.0,55.9,3.2,18.3,17.2,100.0,95.1,97.3
0.494,0.457,0.259,0.284,25.0,78.9,50.0,39.4,8.6,10.9,13.3,100.0,97.3,95.1
0.472,0.462,0.161,0.161,23.4,89.2,52.4,61.5,6.2,5.4,12.3,100.0,97.6,104.8
0.608,0.599,0.263,0.211,10.8,76.6,47.6,62.5,3.1,7.7,15.3,100.0,104.8,97.6
0.552,0.508,0.197,0.439,19.4,57.8,40.7,46.9,10.9,10.1,21.8,100.0,95.1,101.6
0.484,0.471,0.198,0.267,42.2,80.6,59.3,39.5,9.8,11.3,15.0,100.0,101.6,95.1
0.529,0.444,0.235,0.407,22.7,77.8,50.6,27.3,15.1,7.0,12.0,100.0,101.9,98.8
0.531,0.494,0.278,0.38,22.2,77.3,49.4,69.4,6.1,8.1,19.3,100.0,98.8,101.9
0.439,0.413,0.279,0.163,27.1,69.0,46.7,64.5,13.5,13.3,14.0,100.0,91.3,92.5
0.486,0.428,0.211,0.25,31.0,72.9,53.3,64.5,5.6,4.8,17.6,100.0,92.5,91.3
0.635,0.605,0.276,0.434,26.3,59.0,42.9,65.0,6.8,3.5,21.0,100.0,111.0,121.6
0.589,0.547,0.329,0.588,41.0,73.7,57.1,64.3,14.5,7.3,14.4,100.0,121.6,111.0
0.504,0.494,0.261,0.159,25.0,82.1,53.2,37.5,5.3,11.1,11.3,100.0,101.4,108.9
0.563,0.532,0.299,0.403,17.9,75.0,46.8,66.7,7.5,4.6,12.5,100.0,108.9,101.4
0.531,0.452,0.179,0.405,33.3,57.1,44.1,51.4,11.4,11.7,6.6,100.0,119.3,111.3
0.528,0.474,0.211,0.5,42.9,66.7,55.9,38.2,5.7,10.1,15.5,100.0,111.3,119.3
0.604,0.53,0.209,0.537,10.8,78.8,42.9,75.0,10.8,3.8,15.3,100.0,107.5,108.6
0.593,0.544,0.235,0.574,21.2,89.2,57.1,63.6,5.4,9.4,17.4,100.0,108.6,107.5
0.448,0.405,0.214,0.262,25.6,86.1,53.2,43.8,9.4,1.6,15.4,100.0,87.9,94.1
0.512,0.473,0.164,0.466,13.9,74.4,46.8,63.6,7.3,12.1,14.6,100.0,94.1,87.9
0.516,0.495,0.214,0.146,31.4,66.1,50.0,56.8,3.2,6.2,6.0,100.0,119.0,103.2
0.43,0.394,0.182,0.343,33.9,68.6,50.0,38.9,6.3,6.2,3.4,100.0,103.2,119.0
0.473,0.425,0.27,0.25,29.6,67.5,45.7,52.6,8.7,15.9,11.2,100.0,101.9,109.6
0.592,0.541,0.397,0.699,32.5,70.4,54.3,50.0,10.7,5.5,18.7,100.0,109.6,101.9
0.454,0.431,0.223,0.149,24.0,82.6,52.1,52.6,7.3,0.0,10.7,100.0,95.2,88.9
0.459,0.415,0.329,0.293,17.4,76.0,47.9,73.3,4.2,9.6,11.5,100.0,88.9,95.2
0.542,0.511,0.236,0.27,31.9,81.3,51.9,50.0,9.8,10.2,16.0,100.0,106.3,109.3
0.615,0.558,0.234,0.39,18.8,68.1,48.1,62.5,12.8,5.9,18.1,100.0,109.3,106.3
0.443,0.392,0.373,0.229,28.6,75.7,48.8,55.2,5.3,10.5,18.7,100.0,85.8,105.9
0.546,0.481,0.26,0.429,24.3,71.4,51.2,63.6,14.8,3.8,14.1,100.0,105.9,85.8
0.435,0.38,0.13,0.283,30.4,84.4,50.0,50.0,7.4,10.4,10.4,100.0,95.5,116.7
0.672,0.636,0.314,0.386,15.6,69.6,50.0,56.4,11.7,8.8,18.0,100.0,116.7,95.5
0.434,0.394,0.2,0.318,42.3,66.0,53.5,64.5,3.3,1.6,17.1,100.0,92.8,96.1
0.465,0.41,0.265,0.289,34.0,57.7,46.5,48.4,11.0,14.7,14.6,100.0,96.1,92.8
0.647,0.586,0.343,0.486,28.6,74.4,52.7,74.3,4.5,8.1,15.0,100.0,124.4,114.2
0.543,0.494,0.215,0.405,25.6,71.4,47.3,58.3,7.9,10.9,8.8,100.0,114.2,124.4
0.544,0.543,0.245,0.149,22.5,71.2,50.0,54.2,7.7,8.8,15.9,100.0,104.3,97.6
0.503,0.484,0.277,0.181,28.8,77.5,50.0,56.1,13.4,8.5,14.3,100.0,97.6,104.3
0.503,0.443,0.184,0.299,35.4,70.8,53.1,54.1,6.3,3.3,14.7,100.0,104.3,116.9
0.554,0.444,0.238,0.575,29.2,64.6,46.9,56.3,12.6,5.6,9.9,100.0,116.9,104.3
0.446,0.379,0.299,0.276,29.1,86.5,52.2,53.3,9.7,2.0,12.5,100.0,93.4,105.2
0.603,0.586,0.355,0.158,13.5,70.9,47.8,71.8,8.6,11.5,18.1,100.0,105.2,93.4
0.413,0.367,0.181,0.181,12.8,75.6,42.0,37.9,15.7,2.0,15.2,100.0,77.5,93.3
0.519,0.481,0.364,0.26,24.4,87.2,58.0,75.0,6.3,8.8,18.9,100.0,93.3,77.5
0.512,0.442,0.295,0.487,36.0,87.5,61.2,61.3,6.3,0.0,15.2,100.0,102.1,94.7
0.49,0.476,0.202,0.214,12.5,64.0,38.8,67.6,7.4,9.1,12.4,100.0,94.7,102.1
0.438,0.394,0.263,0.45,28.6,77.1,48.8,43.3,8.6,6.5,11.9,100.0,90.3,112.9
0.601,0.54,0.173,0.373,22.9,71.4,51.2,81.1,10.8,30.5,16.3,100.0,112.9,90.3
0.513,0.468,0.151,0.204,37.0,77.3,56.7,66.7,8.2,7.8,15.1,100.0,106.2,109.2
0.57,0.552,0.256,0.209,22.7,63.0,43.3,57.1,8.2,7.6,13.8,100.0,109.2,106.2
0.538,0.532,0.128,0.085,27.3,76.7,47.3,51.1,6.3,3.3,11.0,100.0,109.9,120.4
0.643,0.605,0.247,0.235,23.3,72.7,52.7,64.4,3.1,8.5,15.2,100.0,120.4,109.9
0.631,0.575,0.328,0.522,27.3,67.4,50.6,47.1,6.7,11.9,17.9,100.0,115.7,103.5
0.501,0.444,0.272,0.333,32.6,72.7,49.4,35.3,10.0,13.3,13.9,100.0,103.5,115.7
0.486,0.439,0.216,0.162,21.6,65.9,45.7,48.4,16.2,4.8,22.5,100.0,83.2,94.0
0.49,0.461,0.171,0.382,34.1,78.4,54.3,47.1,16.2,12.1,19.1,100.0,94.0,83.2
0.508,0.494,0.244,0.289,17.5,87.5,49.5,65.0,8.7,4.7,9.8,100.0,99.6,101.6
0.527,0.478,0.281,0.27,12.5,82.5,50.5,71.1,4.8,10.3,11.5,100.0,101.6,99.6
0.522,0.5,0.366,0.195,41.5,75.0,56.2,62.9,9.1,4.7,18.3,100.0,106.0,117.4
0.629,0.607,0.386,0.386,25.0,58.5,43.8,86.5,10.3,11.5,16.3,100.0,117.4,106.0
0.569,0.506,0.342,0.481,22.2,70.2,46.7,65.7,9.5,1.8,11.1,100.0,114.5,105.1
0.528,0.5,0.36,0.146,29.8,77.8,53.3,52.5,7.4,5.8,14.5,100.0,105.1,114.5
0.535,0.488,0.463,0.275,27.9,75.6,51.2,65.6,11.2,4.7,20.4,100.0,97.5,104.6
0.524,0.439,0.22,0.451,24.4,72.1,48.8,57.1,8.1,9.3,13.2,100.0,104.6,97.5
0.45,0.404,0.191,0.169,21.2,70.5,43.8,67.6,5.2,11.1,11.2,100.0,89.4,111.2
0.542,0.511,0.191,0.247,29.5,78.8,56.3,45.2,7.3,5.6,13.2,100.0,111.2,89.4
0.44,0.388,0.298,0.255,24.0,73.8,46.7,61.8,15.6,7.2,14.0,100.0,89.9,90.9
0.518,0.488,0.188,0.129,26.2,76.0,53.3,56.4,9.8,18.2,20.4,100.0,90.9,89.9
0.585,0.543,0.305,0.524,31.0,78.6,54.8,51.2,6.8,5.4,12.9,100.0,114.8,133.3
0.644,0.601,0.404,0.298,21.4,69.0,45.2,67.3,6.8,12.3,8.6,100.0,133.3,114.8
0.565,0.521,0.286,0.257,12.9,75.7,47.1,42.4,10.0,10.2,17.9,100.0,97.8,105.6
0.568,0.52,0.203,0.297,24.3,87.1,52.9,63.9,6.7,4.0,17.7,100.0,105.6,97.8
0.546,0.527,0.413,0.217,25.5,74.5,50.9,68.3,16.4,11.1,17.9,100.0,100.3,82.1
0.432,0.381,0.284,0.42,25.5,74.5,49.1,61.3,8.2,5.6,18.7,100.0,82.1,100.3
0.462,0.402,0.22,0.366,40.4,71.8,54.7,54.8,6.4,4.5,17.4,100.0,94.5,111.7
0.565,0.538,0.141,0.41,28.2,59.6,45.3,57.5,11.8,4.7,14.0,100.0,111.7,94.5
0.537,0.511,0.352,0.227,18.4,72.2,41.2,53.8,9.1,6.0,12.6,100.0,104.7,123.9
0.614,0.59,0.287,0.149,27.8,81.6,58.8,69.4,10.1,5.3,10.7,100.0,123.9,104.7
0.538,0.488,0.186,0.233,18.6,75.6,46.4,67.5,13.9,14.1,14.4,100.0,101.3,93.4
0.512,0.476,0.229,0.241,24.4,81.4,53.6,62.9,4.0,5.7,19.3,100.0,93.4,101.3
0.596,0.582,0.288,0.315,12.1,75.9,51.7,68.4,6.2,14.5,17.8,100.0,102.7,94.4
0.464,0.408,0.287,0.287,24.1,87.9,48.3,39.4,10.4,11.5,12.5,100.0,94.4,102.7
0.593,0.577,0.321,0.282,17.9,81.0,50.6,64.1,10.5,6.0,14.6,100.0,109.4,103.1
0.525,0.494,0.212,0.224,19.0,82.1,49.4,70.3,12.6,20.8,12.2,100.0,103.1,109.4
0.57,0.479,0.296,0.592,42.1,76.1,60.7,56.7,9.8,9.3,19.7,100.0,110.6,105.1
0.526,0.476,0.341,0.28,23.9,57.9,39.3,34.3,11.9,8.0,13.2,100.0,105.1,110.6
0.645,0.587,0.293,0.453,34.5,77.1,61.0,41.5,6.1,5.4,18.2,100.0,118.3,103.0
0.506,0.471,0.356,0.333,22.9,65.5,39.0,61.1,9.2,11.3,12.3,100.0,103.0,118.3
0.568,0.531,0.272,0.321,23.7,73.0,48.0,66.7,11.7,14.3,13.2,100.0,111.6,106.3
0.56,0.5,0.388,0.263,27.0,76.3,52.0,62.9,10.6,6.8,16.8,100.0,106.3,111.6
0.583,0.554,0.277,0.169,27.0,68.3,48.7,75.6,8.1,7.8,11.0,100.0,119.7,109.4
0.549,0.472,0.292,0.458,31.7,73.0,51.3,48.4,4.6,1.7,14.8,100.0,109.4,119.7
0.495,0.469,0.125,0.225,25.6,75.6,50.0,37.8,8.4,5.8,18.5,100.0,91.0,101.4
0.51,0.489,0.225,0.157,24.4,74.4,50.0,55.0,5.2,5.7,12.8,100.0,101.4,91.0
