team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,season
ATLANTA HAWKS,2014-11-01,240,35,69,7,20,25,33,3,34,26,10,6,12,20,0.611,0.5579999999999999,0.29,0.478,8.3,75.6,45.7,74.3,10.8,12.2,12.6,100,110.0,99.2,2014-2015
MEMPHIS GRIZZLIES,2014-11-01,240,29,80,3,11,10,13,9,36,16,8,0,18,22,0.414,0.381,0.138,0.163,18.8,87.8,50.6,55.2,8.6,0.0,17.4,100,76.3,74.1,2014-2015
CHARLOTTE HORNETS,2014-11-01,240,26,72,4,14,13,18,5,39,17,10,4,20,16,0.43200000000000005,0.389,0.19399999999999998,0.25,12.2,81.3,49.4,65.4,10.7,5.8,20.0,100,74.1,76.3,2014-2015
BROOKLYN NETS,2014-11-01,240,42,87,7,26,11,13,12,36,18,3,3,8,23,0.55,0.523,0.299,0.149,27.9,78.3,53.9,42.9,3.5,5.1,7.9,100,117.6,103.7,2014-2015
DETROIT PISTONS,2014-11-01,240,32,76,1,17,25,35,10,31,21,3,3,7,15,0.49200000000000005,0.428,0.22399999999999998,0.461,21.7,72.1,46.1,65.6,3.5,4.9,7.1,100,103.7,117.6,2014-2015
LOS ANGELES LAKERS,2014-11-01,240,41,88,4,14,18,25,17,20,21,9,3,22,27,0.525,0.489,0.159,0.284,35.4,62.5,46.3,51.2,8.9,5.0,18.2,100,103.2,126.0,2014-2015
GOLDEN STATE WARRIORS,2014-11-01,240,46,83,11,23,24,28,12,31,30,10,4,20,26,0.6659999999999999,0.62,0.27699999999999997,0.337,37.5,64.6,53.8,65.2,9.9,5.4,17.3,100,126.0,103.2,2014-2015
BOSTON CELTICS,2014-11-01,240,37,98,1,25,15,18,14,30,20,10,8,10,26,0.425,0.38299999999999995,0.255,0.184,26.4,75.0,47.3,54.1,10.2,19.0,8.6,100,92.2,106.6,2014-2015
HOUSTON ROCKETS,2014-11-01,240,32,76,12,34,28,40,10,39,20,9,8,17,24,0.556,0.5,0.447,0.526,25.0,73.6,52.7,62.5,9.2,11.0,15.4,100,106.6,92.2,2014-2015
CHICAGO BULLS,2014-11-01,240,33,69,9,23,31,40,5,33,15,3,8,14,24,0.612,0.5429999999999999,0.33299999999999996,0.58,14.7,71.7,47.5,45.5,3.2,11.0,13.9,100,113.7,112.6,2014-2015
MINNESOTA TIMBERWOLVES,2014-11-01,240,38,85,4,12,25,31,13,29,26,9,4,10,29,0.532,0.47100000000000003,0.141,0.365,28.3,85.3,52.5,68.4,9.7,8.7,9.2,100,112.6,113.7,2014-2015
DALLAS MAVERICKS,2014-11-01,240,46,89,6,25,11,19,11,33,25,4,6,12,25,0.56,0.551,0.281,0.213,25.0,70.2,48.4,54.3,4.1,8.6,11.0,100,112.3,107.2,2014-2015
NEW ORLEANS PELICANS,2014-11-01,240,38,89,7,19,21,28,14,33,24,8,4,13,19,0.513,0.466,0.213,0.315,29.8,75.0,51.6,63.2,8.2,6.3,11.4,100,107.2,112.3,2014-2015
DENVER NUGGETS,2014-11-01,240,35,80,7,26,14,20,11,30,19,4,10,17,26,0.512,0.48100000000000004,0.325,0.25,23.9,83.3,50.0,54.3,4.2,16.7,16.1,100,95.2,106.7,2014-2015
OKLAHOMA CITY THUNDER,2014-11-01,240,37,80,6,20,22,31,6,35,24,8,6,13,20,0.545,0.5,0.25,0.38799999999999996,16.7,76.1,50.0,64.9,8.4,11.1,12.2,100,106.7,95.2,2014-2015
TORONTO RAPTORS,2014-11-01,240,33,83,4,21,38,48,15,35,13,4,4,7,21,0.519,0.42200000000000004,0.253,0.578,32.6,79.5,55.6,39.4,4.3,6.6,6.3,100,115.5,101.6,2014-2015
ORLANDO MAGIC,2014-11-01,240,38,81,7,20,12,24,9,31,25,3,7,14,37,0.519,0.512,0.247,0.29600000000000004,20.5,67.4,44.4,65.8,3.2,11.3,13.3,100,101.6,115.5,2014-2015
MIAMI HEAT,2014-11-01,240,41,83,12,24,20,29,9,26,33,16,0,16,20,0.595,0.5660000000000001,0.289,0.349,21.4,86.7,48.6,80.5,16.2,0.0,14.3,100,115.3,97.1,2014-2015
PHILADELPHIA 76ERS,2014-11-01,240,35,67,7,23,19,26,4,33,28,9,10,24,21,0.612,0.575,0.34299999999999997,0.38799999999999996,13.3,78.6,51.4,80.0,9.1,16.9,23.4,100,97.1,115.3,2014-2015
PHOENIX SUNS,2014-11-01,240,36,87,7,31,12,15,6,28,17,8,7,11,22,0.486,0.45399999999999996,0.35600000000000004,0.172,13.3,68.3,39.5,47.2,8.2,11.3,10.5,100,93.2,120.8,2014-2015
UTAH JAZZ,2014-11-01,240,42,88,7,26,27,33,13,39,19,10,6,13,15,0.575,0.517,0.295,0.375,31.7,86.7,60.5,45.2,10.2,10.7,11.3,100,120.8,93.2,2014-2015
MILWAUKEE BUCKS,2014-11-01,240,34,80,9,22,20,24,16,26,18,11,3,27,28,0.536,0.48100000000000004,0.275,0.3,36.4,81.3,55.3,52.9,11.2,5.0,23.0,100,98.3,109.5,2014-2015
WASHINGTON WIZARDS,2014-11-01,240,40,73,4,13,24,33,6,28,28,18,5,19,21,0.617,0.575,0.17800000000000002,0.452,18.8,63.6,44.7,70.0,18.2,8.6,17.8,100,109.5,98.3,2014-2015
SACRAMENTO KINGS,2014-11-02,240,34,68,3,10,27,33,9,37,21,4,11,19,22,0.594,0.522,0.147,0.485,27.3,77.1,56.8,61.8,4.4,19.3,18.7,100,108.2,101.5,2014-2015
LOS ANGELES CLIPPERS,2014-11-02,240,33,88,9,31,17,21,11,24,23,10,7,8,25,0.473,0.426,0.35200000000000004,0.239,22.9,72.7,43.2,69.7,11.0,12.1,7.6,100,101.5,108.2,2014-2015
TORONTO RAPTORS,2014-11-02,240,37,79,4,16,24,39,9,19,11,8,5,10,28,0.53,0.494,0.203,0.494,22.0,63.3,39.4,29.7,8.8,10.9,9.4,100,112.0,117.5,2014-2015
MIAMI HEAT,2014-11-02,240,35,70,9,24,28,38,11,32,22,6,6,16,29,0.617,0.564,0.34299999999999997,0.5429999999999999,36.7,78.0,60.6,62.9,6.6,9.5,15.6,100,117.5,112.0,2014-2015
CHARLOTTE HORNETS,2014-11-02,240,33,70,6,15,21,29,8,30,20,7,2,12,16,0.562,0.514,0.214,0.414,22.9,78.9,52.1,60.6,8.1,3.2,12.7,100,107.8,111.3,2014-2015
NEW YORK KNICKS,2014-11-02,240,39,78,8,16,10,17,8,27,23,5,0,12,26,0.562,0.551,0.205,0.218,21.1,77.1,47.9,59.0,5.8,0.0,12.3,100,111.3,107.8,2014-2015
GOLDEN STATE WARRIORS,2014-11-02,240,36,81,6,19,17,21,7,34,22,11,7,17,16,0.526,0.48100000000000004,0.235,0.259,15.2,66.7,42.3,61.1,11.2,10.8,15.9,100,96.9,91.8,2014-2015
PORTLAND TRAIL BLAZERS,2014-11-02,240,37,92,7,27,9,14,17,39,20,9,2,19,19,0.45799999999999996,0.44,0.293,0.152,33.3,84.8,57.7,54.1,9.2,3.2,16.2,100,91.8,96.9,2014-2015
OKLAHOMA CITY THUNDER,2014-11-03,240,32,82,8,23,13,21,15,29,14,3,3,17,17,0.466,0.439,0.28,0.256,31.3,76.3,51.2,43.8,3.3,4.9,15.7,100,94.4,128.8,2014-2015
BROOKLYN NETS,2014-11-03,240,44,84,11,23,17,19,9,33,25,11,3,8,21,0.628,0.589,0.27399999999999997,0.226,23.7,68.8,48.8,56.8,12.2,5.1,8.0,100,128.8,94.4,2014-2015
BOSTON CELTICS,2014-11-03,240,45,102,11,31,12,16,22,27,29,9,6,17,21,0.518,0.495,0.304,0.157,43.1,79.4,57.6,64.4,9.1,10.5,13.5,100,114.3,119.4,2014-2015
DALLAS MAVERICKS,2014-11-03,240,44,82,14,25,16,20,7,29,24,5,9,17,17,0.65,0.622,0.305,0.244,20.6,56.9,42.4,54.5,5.1,12.7,15.8,100,119.4,114.3,2014-2015
SACRAMENTO KINGS,2014-11-03,240,34,81,2,9,40,47,14,36,21,8,5,15,28,0.541,0.43200000000000005,0.111,0.58,34.1,70.6,54.3,61.8,8.0,7.2,12.9,100,109.5,104.5,2014-2015
DENVER NUGGETS,2014-11-03,240,36,93,5,24,28,33,15,27,22,4,7,15,35,0.488,0.414,0.258,0.355,29.4,65.9,45.7,61.1,4.0,9.7,12.2,100,104.5,109.5,2014-2015
UTAH JAZZ,2014-11-03,240,36,77,10,27,19,24,9,34,24,4,2,17,20,0.5770000000000001,0.532,0.35100000000000003,0.312,23.1,87.2,55.1,66.7,4.3,3.4,16.3,100,108.7,115.2,2014-2015
LOS ANGELES CLIPPERS,2014-11-03,240,41,81,10,23,15,17,5,30,28,6,6,10,17,0.605,0.568,0.284,0.21,12.8,76.9,44.9,68.3,6.5,12.0,10.2,100,115.2,108.7,2014-2015
NEW ORLEANS PELICANS,2014-11-03,240,29,86,4,24,19,29,14,35,14,5,3,12,30,0.41,0.36,0.27899999999999997,0.337,24.6,79.5,48.5,48.3,5.4,4.8,10.8,100,86.8,99.7,2014-2015
MEMPHIS GRIZZLIES,2014-11-03,240,31,76,4,14,27,37,9,43,19,5,6,11,24,0.504,0.434,0.184,0.48700000000000004,20.5,75.4,51.5,61.3,5.4,9.7,10.7,100,99.7,86.8,2014-2015
HOUSTON ROCKETS,2014-11-03,240,32,75,16,34,24,30,13,34,27,12,6,21,20,0.59,0.5329999999999999,0.45299999999999996,0.4,34.2,85.0,60.3,84.4,12.9,11.5,19.2,100,111.9,100.1,2014-2015
PHILADELPHIA 76ERS,2014-11-03,240,33,74,11,22,16,23,6,25,19,12,4,17,20,0.5529999999999999,0.52,0.297,0.311,15.0,65.8,39.7,57.6,12.9,9.8,16.8,100,100.1,111.9,2014-2015
ORLANDO MAGIC,2014-11-04,240,38,88,6,14,8,14,14,34,21,6,6,11,22,0.478,0.466,0.159,0.159,29.2,77.3,52.2,55.3,6.8,10.0,10.5,100,101.7,110.7,2014-2015
CHICAGO BULLS,2014-11-04,240,35,75,7,15,21,27,10,34,23,6,9,12,18,0.564,0.513,0.2,0.36,22.7,70.8,47.8,65.7,6.8,12.2,12.1,100,110.7,101.7,2014-2015
MILWAUKEE BUCKS,2014-11-04,240,37,83,7,21,6,7,9,30,20,12,5,12,22,0.505,0.488,0.253,0.084,22.0,66.7,45.3,54.1,13.8,9.3,12.2,100,100.0,93.1,2014-2015
INDIANA PACERS,2014-11-04,240,31,78,6,24,13,22,15,32,14,4,9,17,17,0.462,0.436,0.308,0.282,33.3,78.0,54.7,45.2,4.6,14.5,16.2,100,93.1,100.0,2014-2015
PHOENIX SUNS,2014-11-04,240,41,91,6,18,24,31,13,39,28,6,7,13,29,0.535,0.484,0.198,0.341,29.5,68.4,51.5,68.3,6.0,9.7,11.1,100,112.5,106.5,2014-2015
LOS ANGELES LAKERS,2014-11-04,240,35,88,6,16,30,41,18,31,16,7,8,12,25,0.5,0.43200000000000005,0.182,0.466,31.6,70.5,48.5,45.7,7.0,11.0,10.2,100,106.5,112.5,2014-2015
HOUSTON ROCKETS,2014-11-04,240,35,68,17,37,21,27,9,29,22,8,5,16,26,0.6759999999999999,0.64,0.544,0.397,30.0,69.0,52.8,62.9,9.4,10.9,16.7,100,127.2,107.2,2014-2015
MIAMI HEAT,2014-11-04,240,31,74,12,28,17,27,13,21,16,7,2,15,21,0.53,0.5,0.37799999999999995,0.365,31.0,70.0,47.2,51.6,8.2,6.5,14.9,100,107.2,127.2,2014-2015
CHARLOTTE HORNETS,2014-11-04,240,37,80,6,21,11,13,6,28,23,6,1,12,15,0.531,0.5,0.263,0.163,14.3,71.8,42.0,62.2,6.7,1.6,12.3,100,102.1,112.2,2014-2015
NEW ORLEANS PELICANS,2014-11-04,240,38,81,5,18,19,19,11,36,26,5,6,12,19,0.56,0.5,0.222,0.235,28.2,85.7,58.0,68.4,5.6,10.2,11.8,100,112.2,102.1,2014-2015
WASHINGTON WIZARDS,2014-11-04,240,39,80,8,18,12,19,10,31,26,8,4,12,25,0.555,0.5379999999999999,0.225,0.23800000000000002,26.3,67.4,48.8,66.7,9.0,6.1,12.0,100,110.8,93.9,2014-2015
NEW YORK KNICKS,2014-11-04,240,30,81,8,15,15,19,15,28,16,5,4,18,23,0.46399999999999997,0.42,0.185,0.235,32.6,73.7,51.2,53.3,5.7,6.5,16.8,100,93.9,110.8,2014-2015
CLEVELAND CAVALIERS,2014-11-04,240,31,85,9,21,11,14,13,28,18,5,3,14,19,0.45,0.418,0.247,0.165,25.0,75.7,46.1,58.1,5.7,6.0,13.3,100,93.0,114.6,2014-2015
PORTLAND TRAIL BLAZERS,2014-11-04,240,37,75,8,25,19,25,9,39,21,7,4,11,20,0.5870000000000001,0.547,0.33299999999999996,0.33299999999999996,24.3,75.0,53.9,56.8,7.9,6.3,11.3,100,114.6,93.0,2014-2015
OKLAHOMA CITY THUNDER,2014-11-04,240,34,65,6,21,14,25,6,35,23,4,3,19,27,0.579,0.569,0.32299999999999995,0.385,18.2,74.5,51.3,67.6,4.5,6.0,20.0,100,98.4,111.9,2014-2015
TORONTO RAPTORS,2014-11-04,240,32,81,8,31,28,33,12,27,23,6,3,10,24,0.523,0.444,0.38299999999999995,0.40700000000000003,25.5,81.8,48.8,71.9,6.7,6.8,9.5,100,111.9,98.4,2014-2015
TORONTO RAPTORS,2014-11-05,240,42,87,7,16,19,23,6,18,18,11,4,7,18,0.5660000000000001,0.523,0.184,0.264,13.6,51.4,30.4,42.9,11.6,7.7,6.7,100,116.3,113.2,2014-2015
BOSTON CELTICS,2014-11-05,240,40,78,10,26,17,18,17,38,22,5,3,27,25,0.623,0.5770000000000001,0.33299999999999996,0.231,48.6,86.4,69.6,55.0,5.3,4.2,23.9,100,113.2,116.3,2014-2015
MINNESOTA TIMBERWOLVES,2014-11-05,240,37,90,7,17,17,22,13,38,22,9,4,11,21,0.49200000000000005,0.45,0.18899999999999997,0.244,27.1,84.4,54.8,59.5,9.3,6.6,9.9,100,101.2,94.0,2014-2015
BROOKLYN NETS,2014-11-05,240,36,82,8,21,11,17,7,35,17,6,5,18,22,0.508,0.488,0.256,0.207,15.6,72.9,45.2,47.2,6.2,6.8,16.7,100,94.0,101.2,2014-2015
MIAMI HEAT,2014-11-05,240,30,77,4,22,25,31,6,30,19,6,4,8,25,0.491,0.41600000000000004,0.28600000000000003,0.40299999999999997,14.3,69.8,42.4,63.3,6.6,6.3,8.1,100,98.6,106.3,2014-2015
CHARLOTTE HORNETS,2014-11-05,240,35,82,5,18,21,29,13,36,23,4,9,12,24,0.507,0.457,0.22,0.354,30.2,85.7,57.6,65.7,4.4,16.4,11.2,100,106.3,98.6,2014-2015
NEW YORK KNICKS,2014-11-05,240,39,90,9,20,8,10,11,32,25,3,9,9,23,0.503,0.483,0.222,0.111,23.4,62.7,43.9,64.1,3.4,14.1,8.7,100,107.6,111.0,2014-2015
DETROIT PISTONS,2014-11-05,240,32,87,11,23,23,33,19,36,17,5,4,8,16,0.483,0.431,0.264,0.379,37.3,76.6,56.1,53.1,5.7,5.7,7.3,100,111.0,107.6,2014-2015
LOS ANGELES CLIPPERS,2014-11-05,240,38,82,7,19,21,27,5,25,26,12,2,14,14,0.5539999999999999,0.506,0.23199999999999998,0.32899999999999996,12.5,86.2,43.5,68.4,11.9,4.1,13.0,100,103.3,120.2,2014-2015
GOLDEN STATE WARRIORS,2014-11-05,240,43,74,15,25,20,20,4,35,29,7,3,23,22,0.731,0.682,0.33799999999999997,0.27,13.8,87.5,56.5,67.4,7.0,4.8,21.7,100,120.2,103.3,2014-2015
CHICAGO BULLS,2014-11-05,240,34,73,5,16,22,30,7,35,24,8,3,16,18,0.551,0.5,0.21899999999999997,0.41100000000000003,17.9,66.0,45.7,70.6,8.7,4.1,15.7,100,103.2,93.4,2014-2015
MILWAUKEE BUCKS,2014-11-05,240,33,89,3,15,17,20,18,32,19,10,3,14,28,0.44,0.38799999999999996,0.16899999999999998,0.225,34.0,82.1,54.3,57.6,10.9,5.3,12.5,100,93.4,103.2,2014-2015
ORLANDO MAGIC,2014-11-05,240,39,88,3,20,10,12,14,37,14,11,3,24,20,0.488,0.46,0.22699999999999998,0.136,30.4,86.0,57.3,35.9,11.0,5.8,20.5,100,90.8,88.8,2014-2015
PHILADELPHIA 76ERS,2014-11-05,240,33,77,8,25,15,23,6,32,22,12,12,20,18,0.511,0.48100000000000004,0.325,0.299,14.0,69.6,42.7,66.7,12.0,17.6,18.7,100,88.8,90.8,2014-2015
MEMPHIS GRIZZLIES,2014-11-05,240,40,80,9,17,13,17,8,29,25,10,1,16,21,0.583,0.556,0.213,0.213,21.1,85.3,51.4,62.5,10.9,2.1,15.5,100,111.3,99.3,2014-2015
PHOENIX SUNS,2014-11-05,240,32,69,8,21,19,21,5,30,13,11,4,18,20,0.5820000000000001,0.522,0.304,0.304,14.7,78.9,48.6,40.6,12.0,6.3,18.7,100,99.3,111.3,2014-2015
DENVER NUGGETS,2014-11-05,240,37,82,9,28,26,31,7,25,24,4,5,14,37,0.57,0.506,0.341,0.37799999999999995,18.4,73.5,44.4,64.9,4.0,8.9,12.8,100,109.6,131.7,2014-2015
SACRAMENTO KINGS,2014-11-05,240,42,76,8,20,39,50,9,31,21,8,3,13,30,0.6679999999999999,0.605,0.263,0.6579999999999999,26.5,81.6,55.6,50.0,8.0,5.6,11.7,100,131.7,109.6,2014-2015
ATLANTA HAWKS,2014-11-05,240,38,92,8,25,8,11,10,27,26,14,5,13,25,0.475,0.457,0.272,0.12,20.4,71.1,42.5,68.4,14.8,9.6,11.8,100,97.3,99.5,2014-2015
SAN ANTONIO SPURS,2014-11-05,240,31,69,5,17,27,38,11,39,25,7,9,19,15,0.5479999999999999,0.486,0.24600000000000002,0.551,28.9,79.6,57.5,80.6,7.4,13.4,18.1,100,99.5,97.3,2014-2015
CLEVELAND CAVALIERS,2014-11-05,240,30,72,6,16,34,40,7,23,6,8,4,12,22,0.5579999999999999,0.45799999999999996,0.222,0.556,20.0,63.9,42.3,20.0,9.2,7.1,11.8,100,114.9,117.2,2014-2015
UTAH JAZZ,2014-11-05,240,39,77,7,21,17,22,13,28,26,3,8,12,26,0.588,0.552,0.273,0.28600000000000003,36.1,80.0,57.7,66.7,3.4,14.3,12.2,100,117.2,114.9,2014-2015
INDIANA PACERS,2014-11-05,265,35,90,8,27,16,20,14,43,22,3,9,18,27,0.47600000000000003,0.433,0.3,0.222,28.0,86.0,57.0,62.9,3.0,12.2,15.4,100,92.5,94.5,2014-2015
WASHINGTON WIZARDS,2014-11-05,265,34,91,7,17,21,23,7,36,24,7,7,12,22,0.475,0.41200000000000003,0.187,0.253,14.0,72.0,43.0,70.6,6.9,11.1,10.6,100,94.5,92.5,2014-2015
SAN ANTONIO SPURS,2014-11-06,240,31,90,2,20,17,19,12,29,17,12,1,14,24,0.41200000000000003,0.35600000000000004,0.222,0.21100000000000002,25.0,78.4,48.2,54.8,12.4,2.2,12.5,100,83.8,101.4,2014-2015
HOUSTON ROCKETS,2014-11-06,240,34,72,10,27,20,33,8,36,18,7,6,21,20,0.5660000000000001,0.542,0.375,0.45799999999999996,21.6,75.0,51.8,52.9,7.2,8.6,19.5,100,101.4,83.8,2014-2015
DALLAS MAVERICKS,2014-11-06,240,33,90,5,23,16,16,8,26,14,6,4,7,17,0.44799999999999995,0.39399999999999996,0.256,0.17800000000000002,16.3,68.4,39.1,42.4,6.6,8.5,6.7,100,95.3,118.3,2014-2015
PORTLAND TRAIL BLAZERS,2014-11-06,240,40,77,12,30,16,19,12,41,25,3,6,17,21,0.633,0.597,0.39,0.247,31.6,83.7,60.9,62.5,3.3,9.0,16.6,100,118.3,95.3,2014-2015
INDIANA PACERS,2014-11-07,240,40,88,5,19,13,13,14,28,18,2,6,13,17,0.523,0.483,0.21600000000000003,0.14800000000000002,32.6,75.7,52.5,45.0,2.2,10.3,12.2,100,108.3,111.7,2014-2015
BOSTON CELTICS,2014-11-07,240,39,85,9,27,14,16,9,29,26,6,3,12,19,0.5489999999999999,0.512,0.318,0.188,24.3,67.4,47.5,66.7,6.6,4.3,11.5,100,111.7,108.3,2014-2015
NEW YORK KNICKS,2014-11-07,240,37,90,8,19,17,21,15,28,22,7,2,14,24,0.499,0.456,0.21100000000000002,0.233,30.0,80.0,50.6,59.5,7.4,4.0,12.4,100,105.3,117.0,2014-2015
BROOKLYN NETS,2014-11-07,240,38,74,14,24,20,26,7,35,18,6,6,16,24,0.644,0.608,0.324,0.35100000000000003,20.0,70.0,49.4,47.4,6.4,8.5,15.8,100,117.0,105.3,2014-2015
ATLANTA HAWKS,2014-11-07,290,43,93,13,33,20,26,7,31,28,8,3,19,33,0.57,0.532,0.355,0.28,14.9,73.8,42.7,65.1,7.0,3.9,15.4,100,104.6,107.3,2014-2015
CHARLOTTE HORNETS,2014-11-07,290,48,97,6,21,20,27,11,40,31,6,7,19,30,0.56,0.526,0.21600000000000003,0.278,26.2,85.1,57.3,64.6,5.3,11.7,14.9,100,107.3,104.6,2014-2015
CLEVELAND CAVALIERS,2014-11-07,240,40,84,6,23,24,33,6,36,25,5,3,8,14,0.5579999999999999,0.512,0.27399999999999997,0.39299999999999996,15.0,81.8,50.0,62.5,5.2,5.4,7.5,100,113.8,104.5,2014-2015
DENVER NUGGETS,2014-11-07,240,40,85,11,29,10,15,8,34,22,5,5,13,22,0.551,0.535,0.341,0.17600000000000002,18.2,85.0,50.0,55.0,5.2,8.2,12.4,100,104.5,113.8,2014-2015
MILWAUKEE BUCKS,2014-11-07,240,36,77,5,20,18,23,9,26,26,10,6,13,19,0.545,0.5,0.26,0.299,24.3,68.4,46.7,72.2,11.2,11.5,13.0,100,106.6,109.9,2014-2015
DETROIT PISTONS,2014-11-07,240,37,75,11,23,13,24,12,28,18,7,5,18,24,0.573,0.5670000000000001,0.307,0.32,31.6,75.7,53.3,48.6,7.9,8.8,17.4,100,109.9,106.6,2014-2015
MEMPHIS GRIZZLIES,2014-11-07,240,34,81,9,18,14,17,9,29,21,10,4,8,14,0.514,0.475,0.222,0.21,20.9,74.4,46.3,61.8,11.5,7.4,8.3,100,104.5,102.2,2014-2015
OKLAHOMA CITY THUNDER,2014-11-07,240,37,79,12,25,3,11,10,34,16,3,1,17,18,0.531,0.544,0.316,0.139,25.6,79.1,53.7,43.2,3.4,1.6,16.9,100,102.2,104.5,2014-2015
MINNESOTA TIMBERWOLVES,2014-11-07,265,40,93,4,18,19,25,9,29,24,9,7,12,22,0.495,0.452,0.19399999999999998,0.26899999999999996,18.4,70.7,42.2,60.0,8.6,8.6,10.3,100,98.1,106.6,2014-2015
ORLANDO MAGIC,2014-11-07,265,46,91,5,10,15,19,12,40,19,5,6,21,27,0.564,0.5329999999999999,0.11,0.209,29.3,81.6,57.8,41.3,4.8,8.0,17.4,100,106.6,98.1,2014-2015
CHICAGO BULLS,2014-11-07,240,40,78,12,24,26,34,12,28,25,4,6,17,21,0.635,0.59,0.308,0.436,32.4,62.2,48.8,62.5,4.2,9.8,15.5,100,124.9,121.7,2014-2015
PHILADELPHIA 76ERS,2014-11-07,240,43,91,12,30,17,25,17,25,29,7,2,12,29,0.564,0.5379999999999999,0.33,0.275,37.8,67.6,51.2,67.4,7.4,3.7,10.5,100,121.7,124.9,2014-2015
SACRAMENTO KINGS,2014-11-07,290,39,91,3,16,33,39,13,47,16,6,4,15,27,0.527,0.445,0.17600000000000002,0.429,28.3,83.9,58.8,41.0,5.5,6.0,12.2,100,105.4,103.6,2014-2015
PHOENIX SUNS,2014-11-07,290,42,98,10,31,18,25,9,33,19,7,7,12,33,0.514,0.48,0.316,0.255,16.1,71.7,41.2,45.2,6.5,9.3,9.9,100,103.6,105.4,2014-2015
WASHINGTON WIZARDS,2014-11-07,240,30,83,3,19,21,32,16,34,19,7,5,13,29,0.433,0.38,0.22899999999999998,0.386,29.1,77.3,50.5,63.3,7.5,8.6,11.8,100,90.0,110.3,2014-2015
TORONTO RAPTORS,2014-11-07,240,35,80,9,22,24,31,10,39,19,5,3,13,27,0.55,0.494,0.275,0.38799999999999996,22.7,70.9,49.5,54.3,5.4,4.7,12.2,100,110.3,90.0,2014-2015
DALLAS MAVERICKS,2014-11-07,240,42,88,9,24,12,14,13,29,23,12,3,8,22,0.5579999999999999,0.528,0.273,0.159,28.9,76.3,50.6,54.8,13.8,7.5,7.8,100,120.6,94.2,2014-2015
UTAH JAZZ,2014-11-07,240,29,68,9,28,15,19,9,32,19,4,6,21,17,0.537,0.493,0.41200000000000003,0.27899999999999997,23.7,71.1,49.4,65.5,4.6,9.4,21.6,100,94.2,120.6,2014-2015
NEW YORK KNICKS,2014-11-08,240,40,84,8,21,8,11,13,31,26,2,6,15,29,0.54,0.524,0.25,0.131,31.0,72.1,51.8,65.0,2.2,10.2,14.4,100,107.9,115.8,2014-2015
ATLANTA HAWKS,2014-11-08,240,33,81,9,22,28,36,12,29,18,10,5,8,17,0.532,0.46299999999999997,0.272,0.444,27.9,69.0,48.2,54.5,11.2,7.9,7.6,100,115.8,107.9,2014-2015
BOSTON CELTICS,2014-11-08,240,42,81,7,19,15,20,7,38,25,6,3,12,17,0.59,0.562,0.235,0.247,20.6,77.6,54.2,59.5,6.4,4.1,11.8,100,113.7,108.4,2014-2015
CHICAGO BULLS,2014-11-08,240,42,92,8,18,9,15,11,27,26,5,2,8,16,0.512,0.5,0.196,0.163,22.4,79.4,45.8,61.9,5.4,3.2,7.5,100,108.4,113.7,2014-2015
GOLDEN STATE WARRIORS,2014-11-08,240,39,87,9,28,11,17,15,39,22,11,8,26,19,0.519,0.5,0.322,0.195,33.3,70.9,54.0,56.4,10.9,18.2,21.6,100,97.2,86.3,2014-2015
HOUSTON ROCKETS,2014-11-08,240,30,86,10,42,17,21,16,30,13,14,0,22,17,0.457,0.40700000000000003,0.488,0.244,29.1,66.7,46.0,43.3,13.9,0.0,18.8,100,86.3,97.2,2014-2015
WASHINGTON WIZARDS,2014-11-08,240,39,81,2,11,17,23,13,36,23,8,4,14,25,0.532,0.494,0.136,0.284,30.2,81.8,56.3,59.0,8.6,7.5,13.3,100,103.7,96.2,2014-2015
INDIANA PACERS,2014-11-08,240,33,77,8,24,16,25,8,30,11,5,3,18,24,0.511,0.48100000000000004,0.312,0.325,18.2,69.8,43.7,33.3,5.3,4.3,17.0,100,96.2,103.7,2014-2015
PORTLAND TRAIL BLAZERS,2014-11-08,240,36,80,10,25,20,25,9,34,25,2,3,16,26,0.56,0.513,0.313,0.313,23.7,81.0,53.8,69.4,2.1,4.3,15.0,100,109.4,113.7,2014-2015
LOS ANGELES CLIPPERS,2014-11-08,240,40,81,5,12,21,30,8,29,17,8,4,7,19,0.563,0.525,0.14800000000000002,0.37,19.0,76.3,46.3,42.5,8.6,7.3,6.9,100,113.7,109.4,2014-2015
MINNESOTA TIMBERWOLVES,2014-11-08,240,35,87,4,16,18,23,17,32,13,9,2,16,17,0.474,0.425,0.184,0.264,33.3,84.2,55.1,37.1,9.7,3.1,14.1,100,98.8,109.6,2014-2015
MIAMI HEAT,2014-11-08,240,41,78,5,13,15,17,6,34,26,8,2,14,19,0.597,0.5579999999999999,0.16699999999999998,0.218,15.8,66.7,44.9,63.4,8.6,2.8,14.1,100,109.6,98.8,2014-2015
