team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,season
DENVER NUGGETS,2013-10-30,240,34,79,5,15,15,17,8,33,19,3,11,18,21,0.509,0.462,0.19,0.215,21.1,75.0,50.0,55.9,3.2,18.3,17.2,100,95.1,97.3,2013-2014
SACRAMENTO KINGS,2013-10-30,240,33,81,8,21,16,23,11,30,13,8,7,14,26,0.494,0.457,0.259,0.284,25.0,78.9,50.0,39.4,8.6,10.9,13.3,100,97.3,95.1,2013-2014
MEMPHIS GRIZZLIES,2013-10-30,240,39,93,8,15,8,15,11,33,24,6,3,14,15,0.47200000000000003,0.462,0.161,0.161,23.4,89.2,52.4,61.5,6.2,5.4,12.3,100,97.6,104.8,2013-2014
SAN ANTONIO SPURS,2013-10-30,240,40,76,11,20,10,16,4,36,25,3,6,15,18,0.608,0.599,0.263,0.21100000000000002,10.8,76.6,47.6,62.5,3.1,7.7,15.3,100,104.8,97.6,2013-2014
BOSTON CELTICS,2013-10-30,240,32,66,3,13,20,29,7,26,15,10,7,22,27,0.552,0.508,0.19699999999999998,0.439,19.4,57.8,40.7,46.9,10.9,10.1,21.8,100,95.1,101.6,2013-2014
TORONTO RAPTORS,2013-10-30,240,38,86,5,17,12,23,19,29,15,9,6,17,25,0.484,0.47100000000000003,0.198,0.267,42.2,80.6,59.3,39.5,9.8,11.3,15.0,100,101.6,95.1,2013-2014
OKLAHOMA CITY THUNDER,2013-10-30,240,33,81,6,19,29,33,10,35,9,15,4,13,24,0.529,0.444,0.235,0.40700000000000003,22.7,77.8,50.6,27.3,15.1,7.0,12.0,100,101.9,98.8,2013-2014
UTAH JAZZ,2013-10-30,240,36,79,6,22,20,30,10,34,25,6,5,22,28,0.531,0.494,0.278,0.38,22.2,77.3,49.4,69.4,6.1,8.1,19.3,100,98.8,101.9,2013-2014
NEW YORK KNICKS,2013-10-31,240,31,86,9,24,10,14,13,29,20,12,8,15,24,0.439,0.413,0.27899999999999997,0.163,27.1,69.0,46.7,64.5,13.5,13.3,14.0,100,91.3,92.5,2013-2014
CHICAGO BULLS,2013-10-31,240,31,76,3,16,17,19,13,35,20,5,3,18,16,0.486,0.428,0.21100000000000002,0.25,31.0,72.9,53.3,64.5,5.6,4.8,17.6,100,92.5,91.3,2013-2014
GOLDEN STATE WARRIORS,2013-10-31,240,40,76,12,21,23,33,10,23,26,7,2,24,35,0.635,0.605,0.276,0.434,26.3,59.0,42.9,65.0,6.8,3.5,21.0,100,111.0,121.6,2013-2014
LOS ANGELES CLIPPERS,2013-10-31,240,42,85,9,28,33,50,16,28,27,15,4,18,30,0.589,0.547,0.32899999999999996,0.588,41.0,73.7,57.1,64.3,14.5,7.3,14.4,100,121.6,111.0,2013-2014
TORONTO RAPTORS,2013-11-01,240,40,88,7,23,8,14,10,32,15,5,6,12,25,0.504,0.494,0.261,0.159,25.0,82.1,53.2,37.5,5.3,11.1,11.3,100,101.4,108.9,2013-2014
ATLANTA HAWKS,2013-11-01,240,36,77,10,23,20,31,7,30,24,7,3,13,12,0.563,0.532,0.299,0.40299999999999997,17.9,75.0,46.8,66.7,7.5,4.6,12.5,100,108.9,101.4,2013-2014
MILWAUKEE BUCKS,2013-11-01,240,35,84,6,15,29,34,17,24,18,10,7,7,24,0.531,0.452,0.179,0.405,33.3,57.1,44.1,51.4,11.4,11.7,6.6,100,119.3,111.3,2013-2014
BOSTON CELTICS,2013-11-01,240,34,76,4,16,26,38,18,34,13,5,7,17,29,0.528,0.474,0.21100000000000002,0.5,42.9,66.7,55.9,38.2,5.7,10.1,15.5,100,111.3,119.3,2013-2014
MIAMI HEAT,2013-11-01,240,32,67,7,14,29,36,4,26,24,10,2,15,29,0.604,0.53,0.209,0.537,10.8,78.8,42.9,75.0,10.8,3.8,15.3,100,107.5,108.6,2013-2014
BROOKLYN NETS,2013-11-01,240,33,68,8,16,27,39,7,33,21,5,5,18,29,0.593,0.544,0.235,0.574,21.2,89.2,57.1,63.6,5.4,9.4,17.4,100,108.6,107.5,2013-2014
CLEVELAND CAVALIERS,2013-11-01,240,32,84,4,18,16,22,11,31,14,9,1,17,29,0.44799999999999995,0.405,0.214,0.262,25.6,86.1,53.2,43.8,9.4,1.6,15.4,100,87.9,94.1,2013-2014
CHARLOTTE BOBCATS,2013-11-01,240,33,73,3,12,21,34,5,32,21,7,8,15,20,0.512,0.473,0.16399999999999998,0.466,13.9,74.4,46.8,63.6,7.3,12.1,14.6,100,94.1,87.9,2013-2014
PORTLAND TRAIL BLAZERS,2013-11-01,240,44,103,14,22,11,15,16,39,25,3,5,7,25,0.516,0.495,0.214,0.146,31.4,66.1,50.0,56.8,3.2,6.2,6.0,100,119.0,103.2,2013-2014
DENVER NUGGETS,2013-11-01,240,36,99,6,18,20,34,20,35,14,6,5,4,19,0.43,0.39399999999999996,0.182,0.34299999999999997,33.9,68.6,50.0,38.9,6.3,6.2,3.4,100,103.2,119.0,2013-2014
DALLAS MAVERICKS,2013-11-01,240,38,100,9,27,20,25,16,27,20,9,7,14,37,0.473,0.425,0.27,0.25,29.6,67.5,45.7,52.6,8.7,15.9,11.2,100,101.9,109.6,2013-2014
HOUSTON ROCKETS,2013-11-01,240,34,73,11,29,34,51,13,38,17,11,4,22,20,0.5920000000000001,0.541,0.397,0.6990000000000001,32.5,70.4,54.3,50.0,10.7,5.5,18.7,100,109.6,101.9,2013-2014
SAN ANTONIO SPURS,2013-11-01,240,38,94,5,21,10,14,12,38,20,7,0,12,18,0.45399999999999996,0.431,0.223,0.149,24.0,82.6,52.1,52.6,7.3,0.0,10.7,100,95.2,88.9,2013-2014
LOS ANGELES LAKERS,2013-11-01,240,30,82,8,27,17,24,8,38,22,4,7,12,19,0.45899999999999996,0.415,0.32899999999999996,0.293,17.4,76.0,47.9,73.3,4.2,9.6,11.5,100,88.9,95.2,2013-2014
DETROIT PISTONS,2013-11-01,265,42,89,7,21,17,24,15,26,21,10,6,19,26,0.542,0.511,0.23600000000000002,0.27,31.9,81.3,51.9,50.0,9.8,10.2,16.0,100,106.3,109.3,2013-2014
MEMPHIS GRIZZLIES,2013-11-01,265,40,77,6,18,25,30,6,32,25,13,4,20,21,0.615,0.5579999999999999,0.23399999999999999,0.39,18.8,68.1,48.1,62.5,12.8,5.9,18.1,100,109.3,106.3,2013-2014
OKLAHOMA CITY THUNDER,2013-11-01,240,29,83,7,31,16,19,14,28,16,5,6,21,28,0.44299999999999995,0.392,0.373,0.22899999999999998,28.6,75.7,48.8,55.2,5.3,10.5,18.7,100,85.8,105.9,2013-2014
MINNESOTA TIMBERWOLVES,2013-11-01,240,33,77,8,20,26,33,9,35,21,14,2,15,21,0.546,0.48100000000000004,0.26,0.429,24.3,71.4,51.2,63.6,14.8,3.8,14.1,100,105.9,85.8,2013-2014
NEW ORLEANS PELICANS,2013-11-01,240,32,92,6,12,20,26,17,27,16,7,5,12,21,0.435,0.38,0.13,0.28300000000000003,30.4,84.4,50.0,50.0,7.4,10.4,10.4,100,95.5,116.7,2013-2014
ORLANDO MAGIC,2013-11-01,240,39,70,11,22,21,27,5,39,22,11,7,18,19,0.672,0.636,0.314,0.386,15.6,69.6,50.0,56.4,11.7,8.8,18.0,100,116.7,95.5,2013-2014
UTAH JAZZ,2013-11-01,240,31,85,5,17,17,27,22,31,20,3,1,20,20,0.434,0.39399999999999996,0.2,0.318,42.3,66.0,53.5,64.5,3.3,1.6,17.1,100,92.8,96.1,2013-2014
PHOENIX SUNS,2013-11-01,240,31,83,6,22,19,24,16,30,15,10,10,16,24,0.465,0.41,0.265,0.289,34.0,57.7,46.5,48.4,11.0,14.7,14.6,100,96.1,92.8,2013-2014
LOS ANGELES CLIPPERS,2013-11-01,240,35,70,12,24,28,34,10,29,26,4,5,15,29,0.647,0.586,0.34299999999999997,0.486,28.6,74.4,52.7,74.3,4.5,8.1,15.0,100,124.4,114.2,2013-2014
SACRAMENTO KINGS,2013-11-01,240,36,79,6,17,23,32,10,25,21,7,5,9,27,0.5429999999999999,0.494,0.215,0.405,25.6,71.4,47.3,58.3,7.9,10.9,8.8,100,114.2,124.4,2013-2014
PHILADELPHIA 76ERS,2013-11-01,240,48,94,6,23,7,14,9,37,26,8,6,19,17,0.544,0.5429999999999999,0.245,0.149,22.5,71.2,50.0,54.2,7.7,8.8,15.9,100,104.3,97.6,2013-2014
WASHINGTON WIZARDS,2013-11-01,240,41,94,9,26,11,17,15,31,23,14,6,17,16,0.503,0.484,0.27699999999999997,0.18100000000000002,28.8,77.5,50.0,56.1,13.4,8.5,14.3,100,97.6,104.3,2013-2014
MEMPHIS GRIZZLIES,2013-11-02,240,37,87,3,16,22,26,17,34,20,6,2,17,34,0.503,0.44299999999999995,0.184,0.299,35.4,70.8,53.1,54.1,6.3,3.3,14.7,100,104.3,116.9,2013-2014
DALLAS MAVERICKS,2013-11-02,240,32,80,7,19,40,46,14,31,18,12,4,11,20,0.5539999999999999,0.444,0.23800000000000002,0.575,29.2,64.6,46.9,56.3,12.6,5.6,9.9,100,116.9,104.3,2013-2014
SACRAMENTO KINGS,2013-11-02,240,30,87,6,26,21,24,16,32,16,9,1,14,18,0.446,0.379,0.299,0.276,29.1,86.5,52.2,53.3,9.7,2.0,12.5,100,93.4,105.2,2013-2014
GOLDEN STATE WARRIORS,2013-11-02,240,39,76,11,27,9,12,5,39,28,8,7,18,22,0.603,0.586,0.355,0.158,13.5,70.9,47.8,71.8,8.6,11.5,18.1,100,105.2,93.4,2013-2014
CLEVELAND CAVALIERS,2013-11-02,240,29,83,3,15,13,15,6,31,11,15,1,16,25,0.413,0.36700000000000005,0.18100000000000002,0.18100000000000002,12.8,75.6,42.0,37.9,15.7,2.0,15.2,100,77.5,93.3,2013-2014
INDIANA PACERS,2013-11-02,240,32,77,10,28,15,20,10,41,24,6,6,20,16,0.519,0.48100000000000004,0.364,0.26,24.4,87.2,58.0,75.0,6.3,8.8,18.9,100,93.3,77.5,2013-2014
TORONTO RAPTORS,2013-11-02,240,31,78,7,23,28,38,18,42,19,6,0,17,22,0.512,0.442,0.295,0.48700000000000004,36.0,87.5,61.2,61.3,6.3,0.0,15.2,100,102.1,94.7,2013-2014
MILWAUKEE BUCKS,2013-11-02,240,37,84,6,17,10,18,6,32,25,7,5,13,26,0.49,0.47600000000000003,0.20199999999999999,0.214,12.5,64.0,38.8,67.6,7.4,9.1,12.4,100,94.7,102.1,2013-2014
