season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,during_playoffs
2015-2016,CHARLOTTE HORNETS,2015-10-28,240,33,84,6,24,22,29,11,32,16,4,1,8,16,0.486,0.429,0.28600000000000003,0.345,22.0,94.1,51.2,48.5,4.4,1.9,7.6,100,102.4,113.2,0
2015-2016,MIAMI HEAT,2015-10-28,240,36,73,12,20,20,21,2,39,23,5,7,13,25,0.632,0.575,0.274,0.28800000000000003,5.9,78.0,48.8,63.9,5.4,11.7,13.6,100,113.2,102.4,0
2015-2016,NEW YORK KNICKS,2015-10-28,240,42,93,9,23,29,35,19,30,24,11,7,11,28,0.563,0.5,0.247,0.376,39.6,62.5,51.0,57.1,11.6,10.3,9.2,100,128.2,101.9,0
2015-2016,MILWAUKEE BUCKS,2015-10-28,240,30,86,9,18,28,31,18,29,17,7,4,18,27,0.487,0.401,0.209,0.36,37.5,60.4,49.0,56.7,7.4,5.7,15.3,100,101.9,128.2,0
2015-2016,SAN ANTONIO SPURS,2015-10-28,240,45,93,5,15,11,13,7,29,22,11,9,13,18,0.537,0.511,0.161,0.14,17.1,72.5,44.4,48.9,10.8,13.4,11.6,100,104.3,110.2,0
2015-2016,OKLAHOMA CITY THUNDER,2015-10-28,240,42,86,7,19,21,22,11,34,21,7,4,19,19,0.585,0.529,0.221,0.256,27.5,82.9,55.6,50.0,6.9,5.1,16.6,100,110.2,104.3,0
2015-2016,WASHINGTON WIZARDS,2015-10-28,240,33,84,7,28,15,25,15,34,17,8,9,17,14,0.463,0.435,0.333,0.298,27.8,66.7,46.7,51.5,8.3,12.2,15.2,100,91.6,90.5,0
2015-2016,ORLANDO MAGIC,2015-10-28,240,37,100,5,26,8,12,17,39,20,9,6,14,22,0.413,0.395,0.26,0.12,33.3,72.2,53.3,54.1,9.4,10.7,11.7,100,90.5,91.6,0
2015-2016,DALLAS MAVERICKS,2015-10-28,240,40,85,10,21,21,31,6,42,24,7,3,8,25,0.563,0.529,0.247,0.365,13.0,76.4,47.5,60.0,6.9,4.8,7.5,100,108.9,93.2,0
2015-2016,PHOENIX SUNS,2015-10-28,240,34,87,6,24,21,33,13,40,15,3,3,18,30,0.468,0.425,0.276,0.379,23.6,87.0,52.5,44.1,2.9,4.7,15.1,100,93.2,108.9,0
2015-2016,NEW ORLEANS PELICANS,2015-10-28,240,36,91,11,33,11,18,5,34,19,7,2,11,17,0.475,0.456,0.363,0.198,10.0,85.0,43.3,52.8,6.9,3.6,10.0,100,93.1,111.0,0
2015-2016,PORTLAND TRAIL BLAZERS,2015-10-28,240,44,88,12,32,12,14,6,45,22,7,4,12,21,0.595,0.568,0.364,0.159,15.0,90.0,56.7,50.0,6.9,6.9,11.3,100,111.0,93.1,0
2015-2016,LOS ANGELES CLIPPERS,2015-10-28,240,42,80,6,19,21,31,6,36,20,8,9,15,19,0.593,0.563,0.238,0.388,14.0,75.0,46.2,47.6,7.8,12.9,13.8,100,108.4,101.6,0
2015-2016,SACRAMENTO KINGS,2015-10-28,240,41,94,11,24,11,18,12,37,24,8,3,16,27,0.51,0.495,0.255,0.191,25.0,86.0,53.8,58.5,7.8,4.9,13.6,100,101.6,108.4,0
2015-2016,INDIANA PACERS,2015-10-28,240,32,86,9,23,26,31,8,32,23,14,3,13,30,0.4970000000000001,0.424,0.267,0.36,16.3,78.0,44.4,71.9,13.5,4.8,11.5,100,95.5,102.3,0
2015-2016,TORONTO RAPTORS,2015-10-28,240,36,80,7,18,27,39,9,41,19,8,2,20,24,0.545,0.494,0.225,0.488,22.0,83.7,55.6,52.8,7.7,3.2,17.1,100,102.3,95.5,0
2015-2016,MEMPHIS GRIZZLIES,2015-10-29,240,41,82,7,16,23,29,12,30,26,12,5,14,25,0.591,0.5429999999999999,0.195,0.354,30.0,75.0,52.5,63.4,12.6,10.4,12.9,100,117.2,107.8,0
2015-2016,INDIANA PACERS,2015-10-29,240,37,78,12,30,17,24,10,28,23,7,4,20,22,0.5820000000000001,0.551,0.385,0.308,25.0,70.0,47.5,62.2,7.3,6.1,18.4,100,107.8,117.2,0
2015-2016,DALLAS MAVERICKS,2015-10-29,240,35,97,6,30,12,15,14,41,22,4,2,12,26,0.425,0.392,0.309,0.155,23.7,83.7,50.9,62.9,4.0,3.6,10.4,100,88.5,104.6,0
2015-2016,LOS ANGELES CLIPPERS,2015-10-29,240,38,87,8,31,20,33,8,45,21,6,8,8,17,0.512,0.483,0.35600000000000004,0.379,16.3,76.3,49.1,55.3,6.0,11.9,7.3,100,104.6,88.5,0
2015-2016,ATLANTA HAWKS,2015-10-29,240,42,83,10,24,18,26,7,32,26,11,4,15,18,0.593,0.5660000000000001,0.289,0.313,17.9,66.7,44.8,61.9,10.8,6.3,13.7,100,110.2,99.4,0
2015-2016,NEW YORK KNICKS,2015-10-29,240,38,93,6,29,19,21,16,32,21,10,4,21,24,0.494,0.441,0.312,0.226,33.3,82.1,55.2,55.3,9.8,6.8,17.0,100,99.4,110.2,0
2015-2016,CHARLOTTE HORNETS,2015-10-30,240,36,88,12,30,10,13,13,41,23,7,6,18,20,0.501,0.477,0.341,0.14800000000000002,26.0,83.7,54.5,63.9,7.2,10.0,16.1,100,96.3,99.3,0
2015-2016,ATLANTA HAWKS,2015-10-30,240,36,83,8,23,17,22,8,37,23,9,4,15,17,0.523,0.482,0.277,0.265,16.3,74.0,45.5,63.9,9.2,6.9,13.9,100,99.3,96.3,0
2015-2016,TORONTO RAPTORS,2015-10-30,240,36,82,11,26,30,35,9,44,23,11,3,21,33,0.58,0.506,0.317,0.4270000000000001,22.5,86.3,58.2,63.9,10.2,5.1,17.7,100,104.4,95.1,0
2015-2016,BOSTON CELTICS,2015-10-30,240,32,85,7,26,32,41,7,31,23,14,3,17,28,0.5,0.418,0.306,0.482,13.7,77.5,41.8,71.9,12.9,5.4,14.2,100,95.1,104.4,0
2015-2016,MIAMI HEAT,2015-10-30,240,33,77,6,21,20,22,6,32,21,5,7,13,20,0.531,0.468,0.273,0.28600000000000003,14.6,69.6,43.7,63.6,5.5,11.5,13.0,100,101.1,112.1,0
2015-2016,CLEVELAND CAVALIERS,2015-10-30,240,39,86,6,25,18,21,14,35,25,4,4,11,19,0.535,0.488,0.29100000000000004,0.244,30.4,85.4,56.3,64.1,4.4,7.1,10.4,100,112.1,101.1,0
2015-2016,MINNESOTA TIMBERWOLVES,2015-10-30,240,30,71,2,11,33,41,7,42,18,7,6,17,24,0.5329999999999999,0.4370000000000001,0.155,0.5770000000000001,17.1,71.2,49.0,60.0,7.2,8.6,16.0,100,98.2,80.6,0
2015-2016,DENVER NUGGETS,2015-10-30,240,29,95,5,25,15,20,17,34,15,7,4,14,27,0.376,0.332,0.263,0.211,28.8,82.9,51.0,51.7,7.2,6.7,11.9,100,80.6,98.2,0
2015-2016,CHICAGO BULLS,2015-10-30,265,34,84,7,22,19,26,8,42,18,8,8,19,24,0.4920000000000001,0.446,0.262,0.31,16.3,67.7,45.0,52.9,7.6,10.5,16.6,100,88.9,92.7,0
2015-2016,DETROIT PISTONS,2015-10-30,265,39,104,6,28,14,28,20,41,18,9,2,14,19,0.421,0.404,0.269,0.269,32.3,83.7,55.0,46.2,8.5,3.2,10.7,100,92.7,88.9,0
2015-2016,GOLDEN STATE WARRIORS,2015-10-30,240,43,93,9,26,17,25,11,36,26,9,4,8,24,0.5379999999999999,0.511,0.28,0.269,22.9,75.0,49.0,60.5,9.1,6.8,7.1,100,113.6,93.3,0
2015-2016,HOUSTON ROCKETS,2015-10-30,240,30,82,5,23,27,36,12,37,19,3,9,16,20,0.47,0.396,0.28,0.439,25.0,77.1,51.0,63.3,3.0,13.4,14.1,100,93.3,113.6,0
2015-2016,WASHINGTON WIZARDS,2015-10-30,240,35,68,12,21,36,44,8,29,25,7,5,21,20,0.675,0.603,0.309,0.647,23.5,82.9,53.6,71.4,7.0,8.6,19.4,100,117.9,112.9,0
2015-2016,MILWAUKEE BUCKS,2015-10-30,240,42,82,7,24,22,28,6,26,33,9,2,16,32,0.599,0.555,0.293,0.341,17.1,76.5,46.4,78.6,9.0,4.3,14.5,100,112.9,117.9,0
2015-2016,OKLAHOMA CITY THUNDER,2015-10-30,290,50,110,8,27,31,38,22,40,19,8,9,20,28,0.5479999999999999,0.491,0.245,0.345,38.6,74.1,55.9,38.0,6.6,12.3,13.6,100,115.2,112.7,0
2015-2016,ORLANDO MAGIC,2015-10-30,290,47,106,12,33,30,38,14,35,25,10,10,16,31,0.5539999999999999,0.5,0.311,0.358,25.9,61.4,44.1,53.2,8.3,12.0,11.5,100,112.7,115.2,0
2015-2016,UTAH JAZZ,2015-10-30,240,36,88,7,13,20,25,13,38,19,10,9,7,22,0.5,0.449,0.14800000000000002,0.284,29.5,82.6,56.7,52.8,11.4,18.8,6.6,100,112.4,80.6,0
2015-2016,PHILADELPHIA 76ERS,2015-10-30,240,19,63,6,15,27,37,8,31,15,4,5,18,22,0.448,0.349,0.238,0.5870000000000001,17.4,70.5,43.3,78.9,4.5,6.7,18.5,100,80.6,112.4,0
2015-2016,PORTLAND TRAIL BLAZERS,2015-10-30,240,34,86,9,24,15,19,11,31,17,9,5,23,33,0.487,0.448,0.279,0.221,20.0,73.8,43.3,50.0,8.5,7.7,19.6,100,87.0,104.1,0
2015-2016,PHOENIX SUNS,2015-10-30,240,37,83,4,18,32,42,11,44,17,13,7,19,17,0.542,0.47,0.217,0.506,26.2,80.0,56.7,45.9,12.3,11.3,15.8,100,104.1,87.0,0
2015-2016,LOS ANGELES LAKERS,2015-10-30,240,41,89,11,34,21,27,8,29,20,7,9,19,24,0.565,0.522,0.382,0.303,16.7,64.4,39.8,48.8,6.4,11.4,15.8,100,104.3,120.8,0
2015-2016,SACRAMENTO KINGS,2015-10-30,240,52,101,6,22,22,30,16,40,26,6,7,14,23,0.578,0.545,0.218,0.297,35.6,83.3,60.2,50.0,5.5,12.7,10.9,100,120.8,104.3,0
2015-2016,BROOKLYN NETS,2015-10-30,240,31,77,5,16,8,15,2,30,17,6,6,15,17,0.449,0.435,0.208,0.195,4.3,71.4,36.4,54.8,6.3,9.4,15.2,100,78.5,106.8,0
2015-2016,SAN ANTONIO SPURS,2015-10-30,240,40,86,9,22,13,13,12,44,23,7,4,18,16,0.556,0.517,0.256,0.151,28.6,95.7,63.6,57.5,7.3,6.6,16.4,100,106.8,78.5,0
2015-2016,UTAH JAZZ,2015-10-31,240,39,88,6,15,13,18,15,32,15,13,4,17,24,0.506,0.477,0.17,0.205,35.7,82.1,58.0,38.5,13.8,7.5,15.1,100,103.3,80.9,0
2015-2016,INDIANA PACERS,2015-10-31,240,28,70,4,17,16,21,7,27,10,8,7,24,19,0.48,0.429,0.243,0.3,17.9,64.3,42.0,35.7,8.5,9.6,23.2,100,80.9,103.3,0
2015-2016,SACRAMENTO KINGS,2015-10-31,240,43,101,6,18,17,25,19,30,20,9,2,13,34,0.487,0.455,0.17800000000000002,0.248,35.2,83.3,54.4,46.5,8.7,3.4,10.4,100,105.3,110.2,0
2015-2016,LOS ANGELES CLIPPERS,2015-10-31,240,39,76,4,17,32,46,6,35,25,4,9,17,22,0.5920000000000001,0.539,0.224,0.605,16.7,64.8,45.6,64.1,3.9,10.8,15.0,100,110.2,105.3,0
2015-2016,BROOKLYN NETS,2015-10-31,240,38,79,3,13,12,18,8,35,21,3,3,12,22,0.523,0.5,0.165,0.228,20.5,76.1,50.6,55.3,3.4,5.3,12.1,100,102.5,113.7,0
2015-2016,MEMPHIS GRIZZLIES,2015-10-31,240,34,80,9,23,24,28,11,31,26,6,2,9,19,0.547,0.481,0.28800000000000003,0.35,23.9,79.5,49.4,76.5,6.8,3.0,8.9,100,113.7,102.5,0
2015-2016,GOLDEN STATE WARRIORS,2015-10-31,240,46,84,17,30,25,35,3,35,26,10,4,10,24,0.674,0.649,0.35700000000000004,0.417,8.6,68.6,44.2,56.5,9.5,5.1,9.1,100,127.3,114.0,0
2015-2016,NEW ORLEANS PELICANS,2015-10-31,240,46,100,8,22,20,23,16,32,22,4,4,15,23,0.545,0.5,0.22,0.23,31.4,91.4,55.8,47.8,3.8,7.4,12.0,100,114.0,127.3,0
2015-2016,PHOENIX SUNS,2015-10-31,240,39,94,11,32,12,16,11,37,16,11,6,13,20,0.5,0.473,0.34,0.17,23.9,78.7,51.6,41.0,11.3,12.2,11.4,100,103.6,92.3,0
2015-2016,PORTLAND TRAIL BLAZERS,2015-10-31,240,33,79,8,30,16,28,10,35,20,7,5,16,20,0.493,0.468,0.38,0.354,21.3,76.1,48.4,60.6,7.2,8.1,14.9,100,92.3,103.6,0
2015-2016,NEW YORK KNICKS,2015-10-31,240,41,86,9,19,26,32,9,31,21,8,5,18,30,0.585,0.529,0.221,0.3720000000000001,22.0,73.8,48.2,51.2,7.6,7.4,15.2,100,110.5,103.8,0
2015-2016,WASHINGTON WIZARDS,2015-10-31,240,38,90,6,22,28,33,11,32,17,9,3,17,32,0.526,0.456,0.244,0.3670000000000001,26.2,78.0,51.8,44.7,8.5,4.5,14.0,100,103.8,110.5,0
2015-2016,SAN ANTONIO SPURS,2015-11-01,240,36,83,5,19,18,25,10,41,22,10,6,18,16,0.505,0.464,0.229,0.301,25.6,71.9,53.1,61.1,10.1,8.7,16.1,100,95.6,87.5,0
2015-2016,BOSTON CELTICS,2015-11-01,240,35,98,6,29,11,14,16,29,21,10,5,16,23,0.418,0.388,0.29600000000000004,0.14300000000000002,28.1,74.4,46.9,60.0,10.1,7.8,13.3,100,87.5,95.6,0
2015-2016,ORLANDO MAGIC,2015-11-01,240,35,90,7,23,10,17,12,31,21,7,11,16,19,0.446,0.428,0.256,0.189,25.0,73.8,47.8,60.0,7.3,18.6,14.1,100,90.7,96.0,0
2015-2016,CHICAGO BULLS,2015-11-01,240,33,87,7,28,19,22,11,36,23,7,8,13,16,0.476,0.42,0.322,0.253,26.2,75.0,52.2,69.7,7.3,11.9,11.9,100,96.0,90.7,0
2015-2016,ATLANTA HAWKS,2015-11-01,240,37,88,7,29,13,14,9,39,22,9,6,11,16,0.499,0.46,0.33,0.159,20.0,81.3,51.6,59.5,9.7,12.2,10.5,100,101.2,99.0,0
2015-2016,CHARLOTTE HORNETS,2015-11-01,240,32,86,14,37,14,15,9,36,27,7,13,11,14,0.4970000000000001,0.453,0.43,0.174,18.8,80.0,48.4,84.4,7.5,22.0,10.6,100,99.0,101.2,0
2015-2016,DALLAS MAVERICKS,2015-11-01,240,40,87,11,30,12,16,8,41,28,5,4,11,22,0.5479999999999999,0.523,0.345,0.184,19.0,83.7,53.8,70.0,5.2,7.8,10.5,100,106.4,96.1,0
2015-2016,LOS ANGELES LAKERS,2015-11-01,240,31,85,10,34,21,28,8,34,18,8,9,12,20,0.478,0.424,0.4,0.329,16.3,81.0,46.2,58.1,8.3,15.8,11.0,100,96.1,106.4,0
2015-2016,HOUSTON ROCKETS,2015-11-01,240,32,79,10,36,15,18,3,31,20,9,3,17,23,0.512,0.468,0.456,0.228,7.5,73.8,41.5,62.5,9.3,4.7,16.4,100,92.0,112.7,0
2015-2016,MIAMI HEAT,2015-11-01,240,42,86,9,22,16,21,11,37,24,11,5,12,16,0.5720000000000001,0.541,0.256,0.244,26.2,92.5,58.5,57.1,11.4,11.6,11.2,100,112.7,92.0,0
2015-2016,DENVER NUGGETS,2015-11-01,240,35,92,9,26,14,19,14,21,20,8,3,13,17,0.463,0.429,0.28300000000000003,0.207,27.5,61.8,41.2,57.1,8.4,4.9,11.5,100,97.2,122.3,0
2015-2016,OKLAHOMA CITY THUNDER,2015-11-01,240,45,86,13,25,14,18,13,37,32,9,10,19,23,0.623,0.599,0.29100000000000004,0.209,38.2,72.5,58.8,71.1,9.4,15.2,16.8,100,122.3,97.2,0
2015-2016,MILWAUKEE BUCKS,2015-11-01,240,29,69,5,19,24,24,7,26,21,6,8,18,21,0.547,0.457,0.275,0.348,20.0,59.1,41.8,72.4,6.8,12.3,18.5,100,98.0,119.4,0
2015-2016,TORONTO RAPTORS,2015-11-01,240,41,90,11,25,13,20,18,28,22,12,3,13,19,0.536,0.517,0.278,0.222,40.9,80.0,58.2,53.7,13.5,6.0,11.6,100,119.4,98.0,0
2015-2016,MILWAUKEE BUCKS,2015-11-02,240,38,73,9,23,18,26,8,28,24,6,7,14,23,0.61,0.5820000000000001,0.315,0.35600000000000004,24.2,73.7,50.7,63.2,6.6,11.7,14.2,100,113.2,105.5,0
2015-2016,BROOKLYN NETS,2015-11-02,240,36,79,6,19,18,22,10,25,21,3,4,18,23,0.541,0.494,0.241,0.278,26.3,75.8,49.3,58.3,3.3,8.0,16.9,100,105.5,113.2,0
2015-2016,MEMPHIS GRIZZLIES,2015-11-02,240,26,96,3,23,14,20,11,33,21,8,7,11,24,0.329,0.28600000000000003,0.24,0.208,16.7,76.7,40.4,80.8,7.9,11.9,9.5,100,68.2,117.6,0
2015-2016,GOLDEN STATE WARRIORS,2015-11-02,240,43,84,11,25,22,30,10,55,32,8,13,14,15,0.612,0.5770000000000001,0.298,0.35700000000000004,23.3,83.3,59.6,74.4,7.9,17.8,12.6,100,117.6,68.2,0
2015-2016,OKLAHOMA CITY THUNDER,2015-11-02,240,40,84,10,23,15,22,14,41,17,7,9,24,24,0.56,0.536,0.274,0.262,34.1,85.4,61.8,42.5,6.8,15.0,20.4,100,102.0,106.9,0
2015-2016,HOUSTON ROCKETS,2015-11-02,240,41,89,9,29,19,29,7,27,22,18,7,12,22,0.54,0.511,0.326,0.326,14.6,65.9,38.2,53.7,17.5,11.5,10.5,100,106.9,102.0,0
2015-2016,PHOENIX SUNS,2015-11-02,240,36,98,9,30,15,21,16,39,23,8,1,9,20,0.448,0.413,0.306,0.214,27.1,92.9,54.5,63.9,8.2,1.8,7.7,100,98.3,104.5,0
2015-2016,LOS ANGELES CLIPPERS,2015-11-02,240,37,81,8,26,20,23,3,43,20,4,5,11,18,0.56,0.506,0.321,0.284,7.1,72.9,45.5,54.1,4.1,7.4,10.8,100,104.5,98.3,0
2015-2016,PORTLAND TRAIL BLAZERS,2015-11-02,240,41,89,9,30,15,20,11,35,18,5,6,16,27,0.542,0.511,0.337,0.225,25.0,81.4,52.9,43.9,5.0,9.1,14.1,100,105.6,100.6,0
2015-2016,MINNESOTA TIMBERWOLVES,2015-11-02,240,34,79,3,13,30,39,8,33,22,10,4,15,22,0.525,0.449,0.165,0.494,18.6,75.0,47.1,64.7,10.0,6.8,13.5,100,100.6,105.6,0
2015-2016,SAN ANTONIO SPURS,2015-11-02,240,39,79,4,13,12,17,8,37,21,6,7,13,12,0.5429999999999999,0.519,0.165,0.215,20.0,68.5,47.9,53.8,6.7,9.2,13.1,100,105.4,94.1,0
2015-2016,NEW YORK KNICKS,2015-11-02,240,32,89,4,13,16,21,17,32,17,8,3,10,18,0.428,0.382,0.146,0.236,31.5,80.0,52.1,53.1,9.0,4.5,9.2,100,94.1,105.4,0
2015-2016,CLEVELAND CAVALIERS,2015-11-02,240,42,81,8,22,15,20,7,36,28,5,9,16,19,0.596,0.568,0.272,0.247,20.0,80.0,53.8,66.7,5.2,14.8,15.1,100,110.4,103.2,0
2015-2016,PHILADELPHIA 76ERS,2015-11-02,240,38,85,7,24,17,23,9,28,22,7,5,13,18,0.526,0.488,0.282,0.271,20.0,80.0,46.3,57.9,7.2,8.5,12.0,100,103.2,110.4,0
2015-2016,CHICAGO BULLS,2015-11-03,240,44,90,14,30,3,8,4,29,26,5,0,12,19,0.561,0.5670000000000001,0.333,0.08900000000000001,9.1,70.7,38.8,59.1,5.1,0.0,11.4,100,107.1,132.6,0
2015-2016,CHARLOTTE HORNETS,2015-11-03,240,47,91,14,23,22,23,12,40,26,6,4,9,11,0.643,0.593,0.253,0.253,29.3,90.9,61.2,55.3,6.1,6.7,8.2,100,132.6,107.1,0
2015-2016,TORONTO RAPTORS,2015-11-03,240,37,82,5,17,23,26,10,37,18,8,6,16,26,0.546,0.482,0.207,0.317,25.0,72.5,51.6,48.6,8.3,9.5,14.6,100,106.4,94.9,0
2015-2016,DALLAS MAVERICKS,2015-11-03,240,33,86,7,23,18,25,14,30,20,5,3,15,25,0.469,0.424,0.267,0.29100000000000004,27.5,75.0,48.4,60.6,5.2,4.6,13.4,100,94.9,106.4,0
2015-2016,INDIANA PACERS,2015-11-03,240,38,88,7,23,11,12,12,30,21,15,5,15,19,0.504,0.472,0.261,0.136,27.9,61.2,45.7,55.3,16.1,7.8,13.9,100,100.7,87.9,0
2015-2016,DETROIT PISTONS,2015-11-03,240,33,86,5,22,11,17,19,31,14,8,5,23,21,0.439,0.413,0.256,0.198,38.8,72.1,54.3,42.4,8.6,7.7,19.7,100,87.9,100.7,0
2015-2016,DENVER NUGGETS,2015-11-03,240,43,85,7,20,27,31,11,38,30,5,7,14,23,0.608,0.547,0.235,0.365,27.5,77.6,55.1,69.8,5.0,11.7,12.4,100,121.1,110.0,0
2015-2016,LOS ANGELES LAKERS,2015-11-03,240,36,86,6,26,31,38,11,29,18,9,4,10,28,0.531,0.453,0.302,0.442,22.4,72.5,44.9,50.0,9.1,6.2,8.9,100,110.0,121.1,0
2015-2016,ATLANTA HAWKS,2015-11-03,240,37,90,7,21,17,22,16,35,25,10,1,15,14,0.4920000000000001,0.45,0.233,0.244,30.8,72.9,51.0,67.6,10.4,1.7,13.1,100,101.6,95.4,0
2015-2016,MIAMI HEAT,2015-11-03,240,38,86,5,28,11,16,13,36,13,10,9,18,21,0.494,0.471,0.326,0.18600000000000005,27.1,69.2,49.0,34.2,10.4,13.0,16.2,100,95.4,101.6,0
2015-2016,ORLANDO MAGIC,2015-11-03,240,42,90,7,18,12,12,10,45,24,5,3,18,18,0.541,0.506,0.2,0.133,21.7,81.8,54.5,57.1,4.9,5.6,15.9,100,100.8,92.0,0
2015-2016,NEW ORLEANS PELICANS,2015-11-03,240,32,90,12,36,18,25,10,36,23,12,9,14,14,0.465,0.422,0.4,0.278,18.2,78.3,45.5,71.9,11.7,12.5,12.2,100,92.0,100.8,0
2015-2016,MEMPHIS GRIZZLIES,2015-11-03,240,40,83,3,20,20,25,12,38,23,5,7,16,31,0.5479999999999999,0.5,0.241,0.301,30.8,82.6,58.8,57.5,5.3,13.0,14.5,100,108.7,93.9,0
2015-2016,SACRAMENTO KINGS,2015-11-03,240,29,74,7,20,24,40,8,27,17,8,1,13,21,0.486,0.439,0.27,0.541,17.4,69.2,41.2,58.6,8.4,1.6,12.4,100,93.9,108.7,0
2015-2016,BROOKLYN NETS,2015-11-04,240,36,83,5,21,10,13,14,29,24,9,4,19,19,0.49,0.464,0.253,0.157,33.3,82.9,55.8,66.7,9.9,7.4,17.6,100,95.7,111.1,0
2015-2016,ATLANTA HAWKS,2015-11-04,240,37,76,8,22,19,24,6,28,27,15,10,13,17,0.583,0.539,0.289,0.316,17.1,66.7,44.2,73.0,16.5,16.1,13.1,100,111.1,95.7,0
