season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,during_playoffs
2015-2016,DETROIT PISTONS,2015-10-27,240,37,96,12,29,20,26,23,36,23,5,3,15,15,0.493,0.448,0.302,0.271,41.1,83.7,59.6,62.2,5.2,5.5,12.3,100,111.2,98.6,0
2015-2016,ATLANTA HAWKS,2015-10-27,240,37,82,8,27,12,15,7,33,22,9,4,15,25,0.53,0.5,0.329,0.183,16.3,58.9,40.4,59.5,9.4,6.0,14.5,100,98.6,111.2,0
2015-2016,CLEVELAND CAVALIERS,2015-10-27,240,38,94,9,29,10,17,11,39,26,5,7,10,21,0.468,0.452,0.309,0.181,21.6,84.8,51.5,68.4,5.0,10.3,9.0,100,95.5,97.5,0
2015-2016,CHICAGO BULLS,2015-10-27,240,37,87,7,19,16,23,7,40,13,6,10,13,22,0.499,0.466,0.218,0.264,15.2,78.4,48.5,35.1,6.0,15.4,11.8,100,97.5,95.5,0
2015-2016,NEW ORLEANS PELICANS,2015-10-27,240,35,83,6,18,19,27,8,25,21,9,3,18,26,0.501,0.458,0.217,0.325,18.6,54.3,37.1,60.0,9.0,4.5,15.9,100,94.9,110.9,0
2015-2016,GOLDEN STATE WARRIORS,2015-10-27,240,41,96,9,30,20,22,21,35,29,8,7,20,29,0.525,0.474,0.313,0.229,45.7,81.4,62.9,70.7,8.0,10.8,15.9,100,110.9,94.9,0
2015-2016,PHILADELPHIA 76ERS,2015-10-28,240,34,83,7,22,20,23,14,32,12,11,6,22,22,0.51,0.452,0.265,0.277,31.1,76.2,52.9,35.3,11.1,9.8,19.1,100,95.5,112.6,0
2015-2016,BOSTON CELTICS,2015-10-28,240,39,85,8,24,26,27,10,31,31,10,7,17,23,0.578,0.506,0.282,0.318,23.8,68.9,47.1,79.5,10.1,11.5,14.9,100,112.6,95.5,0
2015-2016,CHICAGO BULLS,2015-10-28,240,42,78,14,28,17,20,5,34,20,9,3,19,24,0.662,0.628,0.359,0.256,14.7,68.0,46.4,47.6,9.1,3.6,18.0,100,116.1,101.0,0
2015-2016,BROOKLYN NETS,2015-10-28,240,39,93,0,9,22,28,16,29,19,11,5,13,18,0.475,0.419,0.097,0.301,32.0,85.3,53.6,48.7,11.1,10.0,11.0,100,101.0,116.1,0
2015-2016,UTAH JAZZ,2015-10-28,240,35,75,2,12,15,21,4,34,15,4,5,12,25,0.516,0.48,0.16,0.28,10.3,81.0,46.9,42.9,4.5,9.1,12.5,100,96.9,102.4,0
2015-2016,DETROIT PISTONS,2015-10-28,240,30,74,7,19,25,34,8,35,16,2,4,10,20,0.517,0.453,0.257,0.459,19.0,89.7,53.1,53.3,2.2,6.3,10.1,100,102.4,96.9,0
2015-2016,DENVER NUGGETS,2015-10-28,240,40,79,13,27,12,18,9,40,26,9,10,21,26,0.604,0.589,0.342,0.228,23.7,72.7,52.7,65.0,9.3,19.2,19.5,100,108.2,87.6,0
2015-2016,HOUSTON ROCKETS,2015-10-28,240,30,87,8,35,17,26,15,29,17,13,8,16,19,0.4320000000000001,0.391,0.402,0.299,27.3,76.3,47.3,56.7,13.4,15.4,14.0,100,87.6,108.2,0
2015-2016,MINNESOTA TIMBERWOLVES,2015-10-28,240,38,83,5,20,31,37,6,33,24,3,4,8,26,0.564,0.488,0.241,0.446,14.3,73.3,44.8,63.2,3.0,7.1,7.5,100,111.9,110.9,0
2015-2016,LOS ANGELES LAKERS,2015-10-28,240,35,90,9,34,32,35,12,36,18,2,4,13,29,0.527,0.439,0.378,0.389,26.7,85.7,55.2,51.4,2.0,6.3,11.0,100,110.9,111.9,0
2015-2016,CLEVELAND CAVALIERS,2015-10-28,240,41,84,13,29,11,17,12,42,29,7,2,19,25,0.579,0.565,0.345,0.202,29.3,79.2,57.4,70.7,7.3,3.0,17.2,100,110.8,79.4,0
2015-2016,MEMPHIS GRIZZLIES,2015-10-28,240,29,82,2,16,16,22,11,29,15,8,3,16,18,0.414,0.366,0.195,0.268,20.8,70.7,42.6,51.7,8.4,5.5,14.9,100,79.4,110.8,0
