Season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
2010-2011,MIAMI HEAT,2010-10-26,240,27,74,8,20,18,25,11,28,15,10,6,17,21,0.471,0.419,0.27,0.338,24.4,77.8,48.1,55.6,11.3,11.3,16.7,100.0,90.4,99.5
2010-2011,BOSTON CELTICS,2010-10-26,240,32,69,8,16,16,25,8,34,25,6,4,18,19,0.55,0.522,0.232,0.362,22.2,75.6,51.9,78.1,6.8,7.4,18.4,100.0,99.5,90.4
2010-2011,HOUSTON ROCKETS,2010-10-26,240,38,91,8,20,26,28,16,37,25,6,7,20,25,0.532,0.462,0.22,0.308,34.8,72.5,54.6,65.8,5.8,9.3,16.2,100.0,107.2,109.1
2010-2011,LOS ANGELES LAKERS,2010-10-26,240,40,96,9,21,23,28,14,30,21,11,4,12,24,0.517,0.464,0.219,0.292,27.5,65.2,45.4,52.5,10.7,5.6,10.0,100.0,109.1,107.2
2010-2011,PHOENIX SUNS,2010-10-26,240,36,74,9,19,11,16,7,23,15,3,4,19,19,0.568,0.547,0.257,0.21600000000000005,18.9,56.1,38.5,41.7,3.3,5.5,19.0,100.0,102.7,118.3
2010-2011,PORTLAND TRAIL BLAZERS,2010-10-26,240,43,93,10,20,10,15,18,30,31,11,2,12,22,0.532,0.516,0.215,0.161,43.9,81.1,61.5,72.1,12.3,3.6,10.8,100.0,118.3,102.7
2010-2011,BOSTON CELTICS,2010-10-27,240,34,72,3,12,16,21,6,32,24,8,1,19,24,0.535,0.493,0.16699999999999998,0.292,17.1,80.0,50.7,70.6,8.6,1.6,19.0,100.0,93.4,102.0
2010-2011,CLEVELAND CAVALIERS,2010-10-27,240,36,81,6,20,17,21,8,29,24,5,4,14,20,0.526,0.481,0.247,0.259,20.0,82.9,49.3,66.7,5.4,6.7,13.4,100.0,102.0,93.4
2010-2011,CHARLOTTE BOBCATS,2010-10-27,240,29,73,5,13,23,24,8,28,22,8,3,20,15,0.515,0.4320000000000001,0.17800000000000002,0.329,19.0,80.0,46.8,75.9,8.7,5.0,19.3,100.0,93.2,109.5
2010-2011,DALLAS MAVERICKS,2010-10-27,240,41,75,4,15,15,18,7,34,29,12,5,16,18,0.609,0.573,0.2,0.24,20.0,81.0,53.2,70.7,13.0,8.3,16.2,100.0,109.5,93.2
