team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
PORTLAND TRAIL BLAZERS,2014-12-10,240,31,80,10,35,10,12,11,27,20,7,10,20,25,0.481,0.45,0.438,0.15,23.4,57.4,40.4,64.5,7.7,14.5,19,100,89.9,98.7
MINNESOTA TIMBERWOLVES,2014-12-10,240,32,81,1,12,25,33,20,36,22,13,3,18,19,0.471,0.401,0.148,0.407,42.6,76.6,59.6,68.8,14.3,6.7,15.9,100,98.7,89.9
WASHINGTON WIZARDS,2014-12-10,240,41,81,5,12,4,9,8,33,26,5,5,9,13,0.536,0.537,0.148,0.111,20.5,80.5,51.3,63.4,5.9,7.2,9.6,100,106.5,104.2
ORLANDO MAGIC,2014-12-10,240,38,84,7,15,6,9,8,31,13,7,7,8,12,0.506,0.494,0.179,0.107,19.5,79.5,48.8,34.2,8.2,10.1,8.3,100,104.2,106.5
NEW YORK KNICKS,2014-12-10,240,37,76,6,15,15,17,10,26,22,4,1,17,25,0.569,0.526,0.197,0.224,27,76.5,50.7,59.5,4.6,1.9,16.9,100,109.5,125.7
SAN ANTONIO SPURS,2014-12-10,240,37,73,10,19,25,30,8,27,22,10,4,9,16,0.632,0.575,0.26,0.411,23.5,73,49.3,59.5,11.5,6.6,9.5,100,125.7,109.5
CLEVELAND CAVALIERS,2014-12-11,240,31,85,9,28,23,30,15,33,20,5,4,14,20,0.479,0.418,0.329,0.353,30,75,51.1,64.5,5.3,6.6,12.5,100,100.3,109.9
OKLAHOMA CITY THUNDER,2014-12-11,240,38,87,7,26,20,22,11,35,22,9,11,11,23,0.533,0.477,0.299,0.253,25,70,48.9,57.9,9.6,19.3,10.2,100,109.9,100.3
HOUSTON ROCKETS,2014-12-11,265,38,95,15,44,22,31,14,28,18,13,3,14,27,0.52,0.479,0.463,0.326,29.8,71.8,48.8,47.4,12.5,4.5,11.4,100,108.5,104.7
SACRAMENTO KINGS,2014-12-11,265,39,84,8,18,23,34,11,33,22,8,4,21,23,0.551,0.512,0.214,0.405,28.2,70.2,51.2,56.4,7.7,7.8,17.5,100,104.7,108.5
ORLANDO MAGIC,2014-12-12,240,30,77,9,26,12,16,9,37,14,3,4,18,27,0.482,0.448,0.338,0.208,19.6,88.1,52.3,46.7,3.2,8.2,17.6,100,87,93.5
ATLANTA HAWKS,2014-12-12,240,29,78,9,29,20,27,5,37,24,12,3,12,12,0.484,0.429,0.372,0.346,11.9,80.4,47.7,82.8,12.9,5.9,11.8,100,93.5,87
NEW YORK KNICKS,2014-12-12,240,40,81,6,16,15,18,11,29,26,13,5,13,20,0.568,0.531,0.198,0.222,27.5,70.7,49.4,65,14.2,7.9,12.8,100,110.2,103.7
BOSTON CELTICS,2014-12-12,240,37,85,7,22,14,18,12,29,28,3,3,17,18,0.511,0.476,0.259,0.212,29.3,72.5,50.6,75.7,3.3,4.6,15.5,100,103.7,110.2
PHILADELPHIA 76ERS,2014-12-12,240,22,69,11,28,15,20,10,27,18,10,4,23,20,0.45,0.399,0.406,0.29,22.7,67.5,44,81.8,11.3,6.6,22.8,100,78.8,99
BROOKLYN NETS,2014-12-12,240,36,81,5,20,11,17,13,34,25,16,5,17,15,0.497,0.475,0.247,0.21,32.5,77.3,56,69.4,18,12.2,16.1,100,99,78.8
PORTLAND TRAIL BLAZERS,2014-12-12,240,43,88,12,24,8,11,11,26,20,3,5,10,17,0.571,0.557,0.273,0.125,25,65,44,46.5,3.3,6.8,9.7,100,117.7,127.7
CHICAGO BULLS,2014-12-12,240,44,88,5,15,22,28,14,33,18,5,3,7,11,0.573,0.528,0.17,0.318,35,75,56,40.9,5.6,4.7,6.5,100,127.7,117.7
CHARLOTTE HORNETS,2014-12-12,290,41,98,6,17,19,27,13,36,16,8,11,14,29,0.487,0.449,0.173,0.276,24.5,83.7,51,39,7.3,15.3,11.3,100,97.3,102.7
MEMPHIS GRIZZLIES,2014-12-12,290,39,85,6,13,29,38,7,40,21,7,9,20,22,0.555,0.494,0.153,0.447,16.3,75.5,49,53.8,6.4,11.1,16.4,100,102.7,97.3
OKLAHOMA CITY THUNDER,2014-12-12,240,45,88,6,24,15,20,16,31,23,11,6,17,23,0.573,0.545,0.273,0.227,42.1,77.5,60.3,51.1,11.7,8.5,14.9,100,118,97.8
MINNESOTA TIMBERWOLVES,2014-12-12,240,36,78,1,7,19,29,9,22,21,11,9,15,16,0.507,0.468,0.09,0.372,22.5,57.9,39.7,58.3,11.7,14.1,14.2,100,97.8,118
CLEVELAND CAVALIERS,2014-12-12,240,44,89,8,22,18,23,11,29,22,6,6,6,19,0.575,0.539,0.247,0.258,25,82.9,50.6,50,6.6,11.8,5.7,100,125.5,131
NEW ORLEANS PELICANS,2014-12-12,240,44,79,12,28,19,25,6,33,21,5,6,7,15,0.661,0.633,0.354,0.316,17.1,75,49.4,47.7,5.5,9,7.2,100,131,125.5
DETROIT PISTONS,2014-12-12,240,40,84,4,15,21,27,13,34,17,11,3,18,18,0.548,0.5,0.179,0.321,32.5,77.3,56,42.5,11.3,5.8,15.8,100,108,106
PHOENIX SUNS,2014-12-12,240,39,83,10,31,15,19,10,27,16,11,5,17,24,0.564,0.53,0.373,0.229,22.7,67.5,44,41,11.3,7.2,15.7,100,106,108
LOS ANGELES LAKERS,2014-12-12,265,44,96,12,24,12,15,14,35,27,11,4,14,19,0.546,0.521,0.25,0.156,28.6,74.5,51,61.4,10.8,6.8,12,100,109.6,107.6
SAN ANTONIO SPURS,2014-12-12,265,42,90,12,31,14,21,12,35,23,10,5,19,16,0.554,0.533,0.344,0.233,25.5,71.4,49,54.8,9.8,6.9,16.1,100,107.6,109.6
INDIANA PACERS,2014-12-12,240,33,80,8,22,20,23,6,33,24,4,7,12,22,0.522,0.463,0.275,0.288,14.3,67.3,42.9,72.7,4.3,10.8,11.8,100,101.5,114.4
TORONTO RAPTORS,2014-12-12,240,38,91,10,26,20,22,16,36,21,2,3,10,23,0.526,0.473,0.286,0.242,32.7,85.7,57.1,55.3,2.2,5.2,9,100,114.4,101.5
MIAMI HEAT,2014-12-12,240,36,72,7,20,21,31,7,28,19,6,3,9,16,0.584,0.549,0.278,0.431,17.9,70,44.3,52.8,7.1,6.1,9.5,100,118,112.1
UTAH JAZZ,2014-12-12,240,34,77,8,28,19,22,12,32,16,4,6,11,18,0.548,0.494,0.364,0.286,30,82.1,55.7,47.1,4.7,11.5,11.3,100,112.1,118
LOS ANGELES CLIPPERS,2014-12-12,240,32,75,6,20,26,31,12,25,14,7,2,18,20,0.542,0.467,0.267,0.413,30,73.5,50,43.8,7.7,3.1,16.9,100,105.3,114
WASHINGTON WIZARDS,2014-12-12,240,39,80,9,16,17,21,9,28,28,10,6,14,25,0.583,0.544,0.2,0.263,26.5,70,50,71.8,11,10.9,13.6,100,114,105.3
BROOKLYN NETS,2014-12-13,240,42,72,16,23,14,20,4,39,29,4,4,13,24,0.705,0.694,0.319,0.278,13.8,81.3,55.8,69,4.6,7,13.9,100,130.5,99.6
CHARLOTTE HORNETS,2014-12-13,240,31,79,8,22,17,27,9,25,16,3,4,6,19,0.479,0.443,0.278,0.342,18.8,86.2,44.2,51.6,3.4,8.2,6.2,100,99.6,130.5
GOLDEN STATE WARRIORS,2014-12-13,240,37,83,10,32,21,27,9,36,21,7,7,13,24,0.553,0.506,0.386,0.325,20,67.9,45.9,56.8,7.2,10.9,12.1,100,107.8,100.6
DALLAS MAVERICKS,2014-12-13,240,36,89,5,25,21,30,17,36,14,11,0,15,23,0.479,0.433,0.281,0.337,32.1,80,54.1,38.9,11.3,0,12.8,100,100.6,107.8
DENVER NUGGETS,2014-12-13,240,36,96,7,28,17,26,15,36,24,7,7,15,26,0.447,0.411,0.292,0.271,27.8,73.5,49.5,66.7,6.8,13,12.3,100,93.5,105.2
HOUSTON ROCKETS,2014-12-13,240,39,88,10,34,20,34,13,39,20,8,7,14,21,0.524,0.5,0.386,0.386,26.5,72.2,50.5,51.3,7.8,10.3,12,100,105.2,93.5
PORTLAND TRAIL BLAZERS,2014-12-13,240,40,90,5,17,10,12,11,35,21,9,5,12,21,0.499,0.472,0.189,0.133,22.9,74.5,48.4,52.5,9.6,6.8,11.2,100,101.5,90.8
INDIANA PACERS,2014-12-13,240,34,88,4,15,13,16,12,37,16,8,2,13,18,0.447,0.409,0.17,0.182,25.5,77.1,51.6,47.1,8.5,2.7,12,100,90.8,101.5
LOS ANGELES CLIPPERS,2014-12-13,240,39,91,14,29,14,19,10,25,24,8,3,12,24,0.533,0.505,0.319,0.209,23.3,80.6,47.3,61.5,8.4,4.6,10.8,100,110.7,116
MILWAUKEE BUCKS,2014-12-13,240,43,76,7,11,18,24,6,33,25,3,4,15,19,0.641,0.612,0.145,0.316,19.4,76.7,52.7,58.1,3.1,6.5,14.8,100,116,110.7
ATLANTA HAWKS,2014-12-13,240,35,84,8,27,21,24,9,32,24,4,4,10,19,0.523,0.464,0.321,0.286,23.7,82.1,53.2,68.6,4.4,7.5,9.6,100,109.1,110.2
ORLANDO MAGIC,2014-12-13,240,37,74,10,21,16,21,7,29,26,6,6,15,15,0.601,0.568,0.284,0.284,17.9,76.3,46.8,70.3,6.6,10.5,15.3,100,110.2,109.1
MEMPHIS GRIZZLIES,2014-12-13,265,45,93,11,26,19,27,9,33,33,9,4,14,24,0.572,0.543,0.28,0.29,20.5,76.7,48.3,73.3,8.6,7.4,11.8,100,115.1,110.3
PHILADELPHIA 76ERS,2014-12-13,265,40,82,11,28,24,34,10,35,22,11,4,16,24,0.593,0.555,0.341,0.415,23.3,79.5,51.7,55,10.6,6,14.2,100,110.3,115.1
DETROIT PISTONS,2014-12-13,240,35,79,6,20,19,23,8,35,22,10,9,13,18,0.533,0.481,0.253,0.291,19.5,61.4,43.9,62.9,10.9,14.1,12.7,100,103.4,97.9
SACRAMENTO KINGS,2014-12-13,240,33,93,11,29,13,19,22,33,21,4,7,16,18,0.444,0.414,0.312,0.204,38.6,80.5,56.1,63.6,4.4,11.9,13.6,100,97.9,103.4
SAN ANTONIO SPURS,2014-12-14,240,34,74,5,16,26,35,11,32,26,9,11,13,20,0.554,0.493,0.216,0.473,26.8,68.1,48.9,76.5,9.7,16.4,12.7,100,106.9,98.3
DENVER NUGGETS,2014-12-14,240,34,83,8,16,15,21,15,30,20,10,4,21,29,0.493,0.458,0.193,0.253,31.9,73.2,51.1,58.8,10.8,6.9,18.5,100,98.3,106.9
CHICAGO BULLS,2014-12-14,240,33,71,9,18,18,21,8,36,21,4,8,19,18,0.58,0.528,0.254,0.296,22.9,73.5,52.4,63.6,4.6,13.8,19.1,100,106.6,85.9
MIAMI HEAT,2014-12-14,240,28,80,4,22,15,18,13,27,12,13,5,13,22,0.427,0.375,0.275,0.225,26.5,77.1,47.6,42.9,14.9,9.4,12.9,100,85.9,106.6
LOS ANGELES LAKERS,2014-12-14,240,34,81,5,17,27,34,11,34,22,10,5,11,17,0.521,0.451,0.21,0.42,25.6,70.8,49.5,64.7,10.6,6.3,10.3,100,106.1,99.7
MINNESOTA TIMBERWOLVES,2014-12-14,240,38,90,3,10,15,20,14,32,25,6,3,14,21,0.476,0.439,0.111,0.222,29.2,74.4,50.5,65.8,6.4,4.7,12.4,100,99.7,106.1
GOLDEN STATE WARRIORS,2014-12-14,265,44,86,11,24,29,35,8,38,22,7,9,19,19,0.631,0.576,0.279,0.407,20,76,51.1,50,6.4,12.2,15.8,100,116.3,110.8
NEW ORLEANS PELICANS,2014-12-14,265,47,101,8,27,20,25,12,32,22,14,6,13,27,0.545,0.505,0.267,0.248,24,80,48.9,46.8,12.7,9.7,10.4,100,110.8,116.3
TORONTO RAPTORS,2014-12-14,265,36,78,9,24,14,18,9,33,24,14,2,23,25,0.553,0.519,0.308,0.231,22.5,73.3,49.4,66.7,14.3,4.1,21.1,100,97.3,92.2
NEW YORK KNICKS,2014-12-14,265,29,78,9,29,23,28,12,31,15,11,4,22,22,0.498,0.429,0.372,0.359,26.7,77.5,50.6,51.7,11.3,7.4,19.6,100,92.2,97.3
PHOENIX SUNS,2014-12-14,240,34,99,7,31,13,18,14,26,21,11,3,10,22,0.412,0.379,0.313,0.182,22.2,65,38.8,61.8,11.2,4.8,8.6,100,89.3,113.7
OKLAHOMA CITY THUNDER,2014-12-14,240,39,80,4,18,30,34,14,49,20,7,5,18,19,0.59,0.513,0.225,0.425,35,77.8,61.2,51.3,7.1,7.4,15.9,100,113.7,89.3
UTAH JAZZ,2014-12-14,240,30,78,5,17,19,28,12,33,13,8,7,17,18,0.465,0.417,0.218,0.359,27.9,76.7,52.3,43.3,8.7,9.9,15.8,100,90.8,100.6
WASHINGTON WIZARDS,2014-12-14,240,41,84,4,13,7,12,10,31,20,11,9,15,21,0.521,0.512,0.155,0.143,23.3,72.1,47.7,48.8,11.9,14.8,14.4,100,100.6,90.8
CHICAGO BULLS,2014-12-15,240,35,93,6,29,10,14,15,42,18,3,6,14,17,0.434,0.409,0.312,0.151,30,89.4,58.8,51.4,3.2,9.7,12.4,100,91.8,99.2
ATLANTA HAWKS,2014-12-15,240,36,83,7,21,14,17,5,35,26,10,7,9,17,0.514,0.476,0.253,0.205,10.6,70,41.2,72.2,10.7,10.9,9,100,99.2,91.8
CHARLOTTE HORNETS,2014-12-15,240,38,83,5,16,7,14,5,32,22,4,5,10,14,0.493,0.488,0.193,0.169,12.5,80,46.3,57.9,4.4,8.5,10.1,100,96.3,106.2
CLEVELAND CAVALIERS,2014-12-15,240,38,83,9,24,12,17,8,35,28,10,5,10,14,0.536,0.512,0.289,0.205,20,87.5,53.8,73.7,10.9,7.5,10,100,106.2,96.3
LOS ANGELES LAKERS,2014-12-15,240,29,88,10,26,23,29,11,27,14,10,5,9,20,0.452,0.386,0.295,0.33,20.8,71.1,41.8,48.3,10.6,7.6,8.2,100,96.3,116.4
INDIANA PACERS,2014-12-15,240,40,83,7,17,23,27,11,42,21,7,2,13,20,0.58,0.524,0.205,0.325,28.9,79.2,58.2,52.5,7.4,3.2,12.1,100,116.4,96.3
DETROIT PISTONS,2014-12-15,240,35,83,8,27,13,22,17,24,23,10,3,17,19,0.491,0.47,0.325,0.265,37,66.7,50,65.7,11.2,5.4,15.5,100,101.9,126.5
LOS ANGELES CLIPPERS,2014-12-15,240,43,80,12,24,15,20,12,29,35,9,3,14,21,0.636,0.613,0.3,0.25,33.3,63,50,81.4,10.1,5.4,13.6,100,126.5,101.9
BOSTON CELTICS,2014-12-15,240,38,86,6,25,23,35,16,36,26,15,5,22,23,0.518,0.477,0.291,0.407,33.3,69.2,52,68.4,14.4,7.7,17.8,100,100.7,83.4
PHILADELPHIA 76ERS,2014-12-15,240,33,93,4,28,17,21,16,32,19,11,9,22,28,0.425,0.376,0.301,0.226,30.8,66.7,48,57.6,10.6,14.8,17.7,100,83.4,100.7
MILWAUKEE BUCKS,2014-12-15,240,35,73,8,16,18,22,5,28,23,10,1,21,27,0.581,0.534,0.219,0.301,16.1,63.6,44,65.7,10.8,2.7,20.3,100,104,101.9
PHOENIX SUNS,2014-12-15,240,30,75,12,38,22,27,16,26,17,12,5,20,24,0.541,0.48,0.507,0.36,36.4,83.9,56,56.7,13,8.8,18.7,100,101.9,104
SAN ANTONIO SPURS,2014-12-15,240,38,78,4,11,15,22,9,33,19,5,4,15,21,0.542,0.513,0.141,0.282,20.5,75,47.7,50,5.3,5.6,14.6,100,100.5,114.3
PORTLAND TRAIL BLAZERS,2014-12-15,240,41,89,7,18,19,22,11,35,18,8,2,11,19,0.547,0.5,0.202,0.247,25,79.5,52.3,43.9,8.5,3,10,100,114.3,100.5
ORLANDO MAGIC,2014-12-15,240,36,74,4,15,6,8,6,30,13,5,7,19,19,0.529,0.514,0.203,0.108,18.2,71.4,48,36.1,5.7,13.2,19.7,100,93.9,108.7
TORONTO RAPTORS,2014-12-15,240,37,83,11,30,10,15,12,27,25,8,4,11,14,0.53,0.512,0.361,0.181,28.6,81.8,52,67.6,9.2,6.8,10.9,100,108.7,93.9
MIAMI HEAT,2014-12-16,240,33,72,9,24,20,26,7,34,20,9,2,18,23,0.569,0.521,0.333,0.361,21.2,75.6,52.6,60.6,9.7,4.1,17.7,100,102.1,97.8
BROOKLYN NETS,2014-12-16,240,30,77,8,28,23,32,11,26,25,9,2,17,26,0.5,0.442,0.364,0.416,24.4,78.8,47.4,83.3,9.7,4.2,15.7,100,97.8,102.1
GOLDEN STATE WARRIORS,2014-12-16,240,39,95,9,31,11,12,15,34,18,9,11,14,19,0.489,0.458,0.326,0.126,28.3,77.3,50.5,46.2,9.2,14.1,12.3,100,99.9,107
MEMPHIS GRIZZLIES,2014-12-16,240,42,92,5,14,16,19,10,38,24,9,4,12,16,0.523,0.484,0.152,0.207,22.7,71.7,49.5,57.1,9.2,6.3,10.7,100,107,99.9
UTAH JAZZ,2014-12-16,240,45,90,5,15,16,19,18,19,19,6,7,15,18,0.564,0.528,0.167,0.211,43.9,67.9,53.6,42.2,6.6,11.1,13.2,100,121.5,130.3
NEW ORLEANS PELICANS,2014-12-16,240,47,79,8,16,17,18,9,23,24,9,9,16,20,0.685,0.646,0.203,0.228,32.1,56.1,46.4,51.1,9.9,12,15.5,100,130.3,121.5
DALLAS MAVERICKS,2014-12-16,240,42,83,15,33,8,8,10,31,30,9,4,17,14,0.618,0.596,0.398,0.096,28.6,75.6,53.9,71.4,10.1,6.3,16.4,100,120,97.5
NEW YORK KNICKS,2014-12-16,240,37,84,5,21,8,10,10,25,23,11,5,12,13,0.492,0.47,0.25,0.119,24.4,71.4,46.1,62.2,12.3,10,12,100,97.5,120
OKLAHOMA CITY THUNDER,2014-12-16,240,41,87,6,20,16,24,12,29,18,9,9,10,20,0.533,0.506,0.23,0.276,25.5,69,46.1,43.9,9.7,13.6,9.3,100,111.9,99
SACRAMENTO KINGS,2014-12-16,240,36,84,5,18,15,17,13,35,21,7,3,17,21,0.503,0.458,0.214,0.202,31,74.5,53.9,58.3,7.5,4.5,15.7,100,99,111.9
MINNESOTA TIMBERWOLVES,2014-12-16,240,36,81,3,8,20,35,11,30,17,7,5,9,18,0.493,0.463,0.099,0.432,23.4,75,47.1,47.2,7.6,7.2,8.5,100,103,118.2
WASHINGTON WIZARDS,2014-12-16,240,43,86,10,17,13,18,10,36,29,7,8,10,25,0.58,0.558,0.198,0.209,25,76.6,52.9,67.4,7.6,11,9.6,100,118.2,103
ORLANDO MAGIC,2014-12-17,240,37,85,5,19,13,15,10,26,17,8,1,12,16,0.502,0.465,0.224,0.176,22.2,78.8,46.2,45.9,8.7,1.6,11.6,100,99.7,118.1
BOSTON CELTICS,2014-12-17,240,44,80,7,19,14,18,7,35,25,9,8,14,16,0.62,0.594,0.238,0.225,21.2,77.8,53.8,56.8,9.7,12.1,13.7,100,118.1,99.7
PHOENIX SUNS,2014-12-17,240,43,82,9,25,16,21,8,35,22,4,7,8,15,0.608,0.579,0.305,0.256,22.9,81.4,55.1,51.2,4.4,11.3,8.1,100,123,117.4
CHARLOTTE HORNETS,2014-12-17,240,40,86,10,24,16,22,8,27,22,6,3,6,16,0.554,0.523,0.279,0.256,18.6,77.1,44.9,55,6.6,5.3,5.9,100,117.4,123
ATLANTA HAWKS,2014-12-17,240,49,76,16,28,13,16,6,34,36,3,5,9,17,0.765,0.75,0.368,0.211,20.7,77.3,54.8,73.5,3.5,9.6,9.8,100,146.9,113.4
CLEVELAND CAVALIERS,2014-12-17,240,37,82,8,30,16,21,10,23,24,3,0,8,17,0.537,0.5,0.366,0.256,22.7,79.3,45.2,64.9,3.5,0,8.1,100,113.4,146.9
HOUSTON ROCKETS,2014-12-17,265,35,85,8,28,37,48,10,45,17,7,5,16,23,0.542,0.459,0.329,0.565,22.2,73.8,51.9,48.6,6.5,7.2,13.1,100,107,103.3
DENVER NUGGETS,2014-12-17,265,40,99,13,30,18,23,16,35,30,8,1,15,36,0.509,0.47,0.303,0.232,26.2,77.8,48.1,75,7.4,1.8,12.1,100,103.3,107
DALLAS MAVERICKS,2014-12-17,240,40,79,10,22,27,35,9,36,29,9,4,14,15,0.62,0.57,0.278,0.443,22,78.3,51.7,72.5,9.3,7.1,12.9,100,120.6,109.3
DETROIT PISTONS,2014-12-17,240,40,89,13,33,13,19,10,32,22,9,4,11,27,0.544,0.522,0.371,0.213,21.7,78,48.3,55,9.3,7,10.2,100,109.3,120.6
INDIANA PACERS,2014-12-17,240,40,90,4,19,16,23,14,29,27,6,4,12,30,0.499,0.467,0.211,0.256,27.5,67.4,45.7,67.5,6.3,6.7,10.7,100,105.7,107.8
LOS ANGELES CLIPPERS,2014-12-17,240,34,78,6,18,28,45,14,37,20,7,4,12,15,0.521,0.474,0.231,0.577,32.6,72.5,54.3,58.8,7.4,5.6,10.9,100,107.8,105.7
UTAH JAZZ,2014-12-17,240,35,66,14,25,21,24,6,32,23,4,5,18,26,0.686,0.636,0.379,0.364,20.7,80,55.1,65.7,4.6,9.4,19,100,120.3,99.7
MIAMI HEAT,2014-12-17,240,27,70,4,17,29,40,8,23,10,10,0,11,24,0.497,0.414,0.243,0.571,20,79.3,44.9,37,11.5,0,11.2,100,99.7,120.3
MILWAUKEE BUCKS,2014-12-17,240,37,77,7,19,16,22,5,27,16,8,0,13,25,0.56,0.526,0.247,0.286,12.2,62.8,38.1,43.2,8.5,0,13,100,103.3,110.7
PORTLAND TRAIL BLAZERS,2014-12-17,240,41,87,7,23,15,29,16,36,25,4,3,14,19,0.521,0.511,0.264,0.333,37.2,87.8,61.9,61,4.3,5.2,12.3,100,110.7,103.3
MEMPHIS GRIZZLIES,2014-12-17,315,48,107,10,27,11,14,13,45,29,12,6,12,27,0.517,0.495,0.252,0.131,24.1,70.3,49.2,60.4,10.9,8.6,9.6,100,106.6,105.7
SAN ANTONIO SPURS,2014-12-17,315,43,105,17,35,13,27,19,41,31,6,11,14,16,0.496,0.49,0.333,0.257,29.7,75.9,50.8,72.1,5.5,13.8,10.7,100,105.7,106.6
BROOKLYN NETS,2014-12-17,240,35,81,9,27,10,22,14,29,20,3,8,13,16,0.491,0.488,0.333,0.272,31.1,72.5,50.6,57.1,3.5,13.3,12.5,100,103.1,121.7
TORONTO RAPTORS,2014-12-17,240,41,80,10,20,13,19,11,31,24,6,4,9,21,0.594,0.575,0.25,0.238,27.5,68.9,49.4,58.5,7,7.4,9.2,100,121.7,103.1
NEW YORK KNICKS,2014-12-18,240,38,82,6,9,15,19,14,27,19,7,6,16,24,0.537,0.5,0.11,0.232,40,71.1,56.2,50,8.1,11.5,15,100,112.7,119.7
CHICAGO BULLS,2014-12-18,240,34,75,12,23,23,30,11,21,23,9,8,11,17,0.584,0.533,0.307,0.4,28.9,60,43.8,67.6,10.5,11,11.1,100,119.7,112.7
OKLAHOMA CITY THUNDER,2014-12-18,240,41,86,11,25,16,24,8,35,17,5,4,15,15,0.564,0.541,0.291,0.279,21.6,77.8,52.4,41.5,5.1,6.3,13.4,100,111.1,116.2
GOLDEN STATE WARRIORS,2014-12-18,240,48,94,12,31,6,10,10,29,32,9,7,9,15,0.579,0.574,0.33,0.106,22.2,78.4,47.6,66.7,9.2,11.5,8.4,100,116.2,111.1
NEW ORLEANS PELICANS,2014-12-18,240,38,82,5,18,18,22,12,33,21,4,8,12,17,0.54,0.494,0.22,0.268,27.9,73.3,51.1,55.3,4.4,13.1,11.6,100,109.6,99.6
HOUSTON ROCKETS,2014-12-18,240,33,86,6,25,18,23,12,31,19,8,4,11,18,0.468,0.419,0.291,0.267,26.7,72.1,48.9,57.6,8.9,6.3,10.3,100,99.6,109.6
MILWAUKEE BUCKS,2014-12-18,240,37,75,13,23,21,27,5,22,24,7,2,16,26,0.622,0.58,0.307,0.36,13.9,84.6,43.5,64.9,7.3,3.8,15.6,100,112.2,111.1
SACRAMENTO KINGS,2014-12-18,240,38,67,6,14,25,33,4,31,24,5,0,21,23,0.656,0.612,0.209,0.493,15.4,86.1,56.5,63.2,5.2,0,20.5,100,111.1,112.2
MINNESOTA TIMBERWOLVES,2014-12-19,240,42,93,6,12,8,16,15,22,23,8,5,13,13,0.49,0.484,0.129,0.172,32.6,64.7,46.3,54.8,8.7,8.1,11.5,100,106.4,123.8
BOSTON CELTICS,2014-12-19,240,48,85,8,23,10,14,12,31,29,9,6,13,20,0.625,0.612,0.271,0.165,35.3,67.4,53.8,60.4,9.8,7.4,12.5,100,123.8,106.4
BROOKLYN NETS,2014-12-19,240,37,78,9,24,8,12,4,33,23,8,8,16,26,0.546,0.532,0.308,0.154,10.8,75,45.7,62.2,8.6,15.1,16.1,100,97.7,102
CLEVELAND CAVALIERS,2014-12-19,240,31,77,9,24,24,29,11,33,22,7,4,16,16,0.529,0.461,0.312,0.377,25,89.2,54.3,71,7.5,7.4,15.1,100,102,97.7
LOS ANGELES CLIPPERS,2014-12-19,240,39,85,3,18,25,33,13,26,21,14,4,11,22,0.533,0.476,0.212,0.388,29.5,74.3,49.4,53.8,14.3,7.8,10,100,108.1,111.2
DENVER NUGGETS,2014-12-19,240,38,80,11,29,22,30,9,31,30,6,1,21,24,0.585,0.544,0.363,0.375,25.7,70.5,50.6,78.9,6.1,1.5,18.4,100,111.2,108.1
TORONTO RAPTORS,2014-12-19,240,42,88,8,27,18,24,9,38,24,4,5,8,16,0.558,0.523,0.307,0.273,20.5,73.1,49,57.1,4.2,7.2,7.5,100,115,104.6
DETROIT PISTONS,2014-12-19,240,41,94,8,25,10,15,14,35,28,5,7,11,20,0.497,0.479,0.266,0.16,26.9,79.5,51,68.3,5.2,11.5,9.9,100,104.6,115
OKLAHOMA CITY THUNDER,2014-12-19,240,37,86,8,21,22,29,11,31,21,5,8,7,16,0.527,0.477,0.244,0.337,22.4,86.1,49.4,56.8,5.3,13.3,6.6,100,111.1,110
LOS ANGELES LAKERS,2014-12-19,240,41,85,10,25,11,15,5,38,28,3,5,10,21,0.562,0.541,0.294,0.176,13.9,77.6,50.6,68.3,3.2,7.7,9.8,100,110,111.1
CHICAGO BULLS,2014-12-19,240,32,73,10,26,29,33,8,43,17,2,3,9,18,0.588,0.507,0.356,0.452,20.5,75.4,53.1,53.1,2.2,3.7,9.3,100,115.2,108.5
MEMPHIS GRIZZLIES,2014-12-19,240,37,94,2,13,21,24,14,31,12,4,6,4,25,0.464,0.404,0.138,0.255,24.6,79.5,46.9,32.4,4.5,12.8,3.7,100,108.5,115.2
WASHINGTON WIZARDS,2014-12-19,240,39,79,3,14,24,33,13,23,24,6,3,9,17,0.561,0.513,0.177,0.418,31,82.1,51.4,61.5,6.7,5.4,8.8,100,117.4,115.2
MIAMI HEAT,2014-12-19,240,40,75,9,19,14,19,5,29,22,7,3,15,27,0.618,0.593,0.253,0.253,17.9,69,48.6,55,7.8,4.6,15.3,100,115.2,117.4
UTAH JAZZ,2014-12-19,240,39,73,4,11,19,24,7,35,24,4,5,15,14,0.604,0.562,0.151,0.329,21.9,79.5,55.3,61.5,4.5,8.2,15.2,100,112.6,104.8
ORLANDO MAGIC,2014-12-19,240,37,83,12,22,8,12,9,25,28,6,2,12,22,0.532,0.518,0.265,0.145,20.5,78.1,44.7,75.7,6.7,3.2,12,100,104.8,112.6
CHARLOTTE HORNETS,2014-12-19,240,43,98,10,24,13,17,17,28,25,10,3,14,17,0.517,0.49,0.245,0.173,34,93.3,56.3,58.1,10.1,6.7,11.7,100,110.2,92
