Season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
2009-2010,PORTLAND TRAIL BLAZERS,2009-11-14,240,27,64,5,20,21,25,6,37,8,2,6,13,20,0.5329999999999999,0.461,0.313,0.391,20.0,69.8,51.8,29.6,2.5,9.5,14.8,100.0,100.7,93.1
2009-2010,CHARLOTTE BOBCATS,2009-11-14,240,30,82,6,19,8,14,16,24,16,4,5,9,22,0.42,0.402,0.232,0.171,30.2,80.0,48.2,53.3,5.0,11.4,9.3,100.0,93.1,100.7
2009-2010,PHILADELPHIA 76ERS,2009-11-14,240,34,81,7,20,13,21,10,30,19,10,7,16,24,0.488,0.463,0.247,0.259,22.7,73.2,47.1,55.9,10.5,10.0,15.1,100.0,92.2,98.5
2009-2010,CHICAGO BULLS,2009-11-14,240,35,78,3,8,21,28,11,34,18,4,3,20,18,0.52,0.468,0.103,0.359,26.8,77.3,52.9,51.4,4.2,4.9,18.1,100.0,98.5,92.2
2009-2010,UTAH JAZZ,2009-11-14,240,39,74,3,12,22,26,8,30,20,4,4,17,22,0.603,0.547,0.162,0.35100000000000003,27.6,81.1,57.6,51.3,4.4,7.4,16.6,100.0,113.0,117.3
2009-2010,CLEVELAND CAVALIERS,2009-11-14,240,39,76,9,22,20,27,7,21,25,10,6,12,20,0.609,0.5720000000000001,0.289,0.355,18.9,72.4,42.4,64.1,11.0,9.7,12.0,100.0,117.3,113.0
2009-2010,BOSTON CELTICS,2009-11-14,240,39,82,3,12,23,31,14,29,18,4,3,14,23,0.544,0.494,0.146,0.378,33.3,82.9,55.8,46.2,4.4,5.2,12.8,100.0,113.7,123.6
2009-2010,INDIANA PACERS,2009-11-14,240,40,76,9,18,24,31,6,28,31,8,7,8,24,0.63,0.586,0.237,0.408,17.1,66.7,44.2,77.5,8.7,10.0,8.2,100.0,123.6,113.7
2009-2010,MINNESOTA TIMBERWOLVES,2009-11-14,240,40,83,1,15,6,9,6,30,19,8,2,20,22,0.5,0.488,0.181,0.108,15.0,71.4,43.9,47.5,8.2,3.0,18.7,100.0,88.7,98.9
2009-2010,MEMPHIS GRIZZLIES,2009-11-14,240,39,80,2,14,17,20,12,34,20,9,3,21,18,0.546,0.5,0.175,0.25,28.6,85.0,56.1,51.3,9.2,4.4,19.1,100.0,98.9,88.7
2009-2010,NEW JERSEY NETS,2009-11-14,240,30,70,4,9,16,21,9,29,11,2,5,12,15,0.505,0.457,0.129,0.3,23.1,65.9,45.8,36.7,2.5,7.6,13.2,100.0,100.7,101.9
2009-2010,MIAMI HEAT,2009-11-14,240,33,84,4,18,11,15,15,30,22,9,7,7,16,0.447,0.417,0.214,0.179,34.1,76.9,54.2,66.7,11.3,11.5,7.2,100.0,101.9,100.7
2009-2010,GOLDEN STATE WARRIORS,2009-11-14,240,46,82,8,20,25,28,2,29,23,9,3,11,24,0.6629999999999999,0.61,0.244,0.341,6.1,65.9,40.3,50.0,8.9,4.5,10.4,100.0,123.0,127.0
2009-2010,MILWAUKEE BUCKS,2009-11-14,240,48,91,14,24,19,30,15,31,21,5,4,14,22,0.619,0.604,0.264,0.33,34.1,93.9,59.7,43.8,4.9,6.5,11.8,100.0,127.0,123.0
2009-2010,OKLAHOMA CITY THUNDER,2009-11-14,240,36,77,2,12,27,34,10,30,16,8,10,14,19,0.5489999999999999,0.481,0.156,0.442,25.0,78.9,51.3,44.4,8.5,16.4,13.2,100.0,107.3,104.2
2009-2010,SAN ANTONIO SPURS,2009-11-14,240,37,79,3,18,21,25,8,30,22,8,3,15,24,0.544,0.487,0.228,0.316,21.1,75.0,48.7,59.5,8.5,4.6,14.3,100.0,104.2,107.3
2009-2010,DETROIT PISTONS,2009-11-14,240,37,81,9,19,23,32,16,28,17,4,5,13,23,0.557,0.512,0.235,0.395,34.8,68.3,50.6,45.9,4.4,8.1,12.0,100.0,117.2,113.9
2009-2010,WASHINGTON WIZARDS,2009-11-14,240,36,79,9,17,22,25,13,30,25,3,8,16,27,0.5720000000000001,0.513,0.215,0.316,31.7,65.2,49.4,69.4,3.3,12.9,15.1,100.0,113.9,117.2
