season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,points,during_playoffs
2011-2012,UTAH JAZZ,2012-01-15,240,44,85,4,12,14,20,10,32,27,7,6,14,30,0.565,0.541,0.141,0.235,26.3,74.4,51.9,61.4,7.4,10.2,13.0,100.0,112.0,101.4,106,0
2011-2012,DENVER NUGGETS,2012-01-15,240,32,75,6,16,26,39,11,28,21,9,7,15,22,0.521,0.467,0.213,0.52,25.6,73.7,48.1,65.6,9.5,9.6,14.0,100.0,101.4,112.0,96,0
2011-2012,GOLDEN STATE WARRIORS,2012-01-15,240,38,73,3,15,20,27,10,33,23,9,7,16,22,0.583,0.541,0.205,0.37,28.6,82.5,57.3,60.5,10.1,12.7,15.9,100.0,111.0,102.0,99,0
2011-2012,DETROIT PISTONS,2012-01-15,240,31,74,7,19,22,26,7,25,23,7,3,13,19,0.5329999999999999,0.466,0.257,0.35100000000000003,17.5,71.4,42.7,74.2,7.8,5.2,13.2,100.0,102.0,111.0,91,0
2011-2012,PHOENIX SUNS,2012-01-15,240,38,91,5,15,10,14,10,31,20,6,1,12,21,0.468,0.445,0.165,0.154,20.0,79.5,46.1,52.6,6.3,1.6,11.0,100.0,95.1,106.6,91,0
2011-2012,SAN ANTONIO SPURS,2012-01-15,240,40,81,5,19,17,23,8,40,27,7,6,13,15,0.56,0.525,0.235,0.284,20.5,80.0,53.9,67.5,7.3,7.9,12.5,100.0,106.6,95.1,102,0
2011-2012,TORONTO RAPTORS,2012-01-16,240,33,78,3,12,15,22,11,31,19,4,6,15,27,0.479,0.442,0.154,0.282,26.8,83.8,53.8,57.6,4.6,10.3,14.6,100.0,95.7,106.0,84,0
2011-2012,ATLANTA HAWKS,2012-01-16,240,32,71,5,13,24,31,6,30,21,6,7,10,19,0.5489999999999999,0.486,0.183,0.4370000000000001,16.2,73.2,46.2,65.6,6.8,10.6,10.6,100.0,106.0,95.7,93,0
2011-2012,OKLAHOMA CITY THUNDER,2012-01-16,240,36,80,7,19,18,19,9,31,13,12,6,12,19,0.5489999999999999,0.494,0.238,0.238,21.4,67.4,45.5,36.1,13.2,8.2,12.0,100.0,106.3,96.5,97,0
2011-2012,BOSTON CELTICS,2012-01-16,240,34,87,6,14,14,16,15,33,18,6,4,18,17,0.468,0.425,0.161,0.184,32.6,78.6,54.5,52.9,6.6,6.6,16.1,100.0,96.5,106.3,88,0
2011-2012,CLEVELAND CAVALIERS,2012-01-16,240,39,80,4,15,20,29,9,34,26,6,5,16,23,0.55,0.513,0.188,0.363,25.0,73.9,52.4,66.7,6.3,7.2,14.7,100.0,107.6,99.1,102,0
2011-2012,CHARLOTTE BOBCATS,2012-01-16,240,38,86,4,17,14,26,12,27,20,11,8,10,23,0.482,0.465,0.198,0.302,26.1,75.0,47.6,52.6,11.6,12.3,9.3,100.0,99.1,107.6,94,0
2011-2012,NEW JERSEY NETS,2012-01-16,240,33,78,8,24,17,26,9,26,22,7,2,8,24,0.509,0.474,0.308,0.333,22.5,63.4,43.2,66.7,7.9,3.4,8.2,100.0,103.0,114.3,91,0
2011-2012,LOS ANGELES CLIPPERS,2012-01-16,240,37,80,8,21,19,35,15,31,26,7,8,14,21,0.529,0.513,0.263,0.438,36.6,77.5,56.8,70.3,7.9,14.8,12.8,100.0,114.3,103.0,101,0
2011-2012,DALLAS MAVERICKS,2012-01-16,240,28,80,4,26,10,16,11,38,16,7,5,15,15,0.402,0.375,0.325,0.2,22.4,86.4,52.7,57.1,7.9,7.6,14.7,100.0,79.3,82.6,70,0
2011-2012,LOS ANGELES LAKERS,2012-01-16,240,29,76,1,10,14,19,6,38,19,9,4,11,14,0.433,0.388,0.132,0.25,13.6,77.6,47.3,65.5,10.2,7.4,11.5,100.0,82.6,79.3,73,0
2011-2012,CHICAGO BULLS,2012-01-16,240,33,78,1,12,19,25,13,21,12,13,7,19,14,0.483,0.429,0.154,0.321,29.5,58.3,42.5,36.4,14.1,9.1,17.6,100.0,93.2,110.5,86,0
2011-2012,MEMPHIS GRIZZLIES,2012-01-16,240,47,87,3,10,5,9,15,31,23,10,4,19,19,0.561,0.557,0.115,0.103,41.7,70.5,57.5,48.9,10.8,6.1,17.3,100.0,110.5,93.2,102,0
2011-2012,SACRAMENTO KINGS,2012-01-16,240,35,79,4,17,12,20,9,28,20,8,4,16,18,0.49,0.468,0.215,0.253,23.7,75.7,49.3,57.1,8.8,7.4,15.4,100.0,94.9,109.2,86,0
2011-2012,MINNESOTA TIMBERWOLVES,2012-01-16,240,37,80,10,26,15,19,9,29,24,11,8,13,20,0.56,0.525,0.325,0.238,24.3,76.3,50.7,64.9,12.1,12.9,12.8,100.0,109.2,94.9,99,0
2011-2012,PORTLAND TRAIL BLAZERS,2012-01-16,240,34,72,6,20,10,15,4,33,25,9,1,17,20,0.534,0.514,0.278,0.208,11.1,80.5,48.1,73.5,10.1,1.7,17.8,100.0,94.2,86.4,84,0
2011-2012,NEW ORLEANS HORNETS,2012-01-16,240,28,68,0,9,21,28,8,32,16,9,6,17,15,0.479,0.412,0.132,0.412,19.5,88.9,51.9,57.1,10.1,11.5,17.5,100.0,86.4,94.2,77,0
2011-2012,ORLANDO MAGIC,2012-01-16,240,36,71,17,35,13,22,6,35,21,3,4,17,27,0.632,0.627,0.493,0.31,17.1,87.5,54.7,58.3,3.3,7.5,17.4,100.0,112.8,102.9,102,0
2011-2012,NEW YORK KNICKS,2012-01-16,240,30,73,5,20,28,33,5,29,14,12,0,10,23,0.531,0.445,0.274,0.452,12.5,82.9,45.3,46.7,13.3,0.0,10.3,100.0,102.9,112.8,93,0
2011-2012,MILWAUKEE BUCKS,2012-01-16,240,35,75,3,14,9,14,9,32,16,5,6,16,15,0.505,0.487,0.187,0.187,22.5,80.0,51.3,45.7,5.7,9.8,16.5,100.0,93.7,107.4,82,0
2011-2012,PHILADELPHIA 76ERS,2012-01-16,240,37,84,11,23,9,13,8,31,22,12,6,9,15,0.524,0.506,0.274,0.155,20.0,77.5,48.8,59.5,13.7,9.8,9.1,100.0,107.4,93.7,94,0
2011-2012,HOUSTON ROCKETS,2012-01-16,240,42,87,5,16,25,26,15,27,24,6,7,11,21,0.579,0.511,0.184,0.299,33.3,67.5,49.4,57.1,6.5,10.1,10.1,100.0,123.3,114.7,114,0
2011-2012,WASHINGTON WIZARDS,2012-01-16,240,39,80,3,11,25,32,13,30,16,7,4,14,22,0.563,0.506,0.138,0.4,32.5,66.7,50.6,41.0,7.6,5.6,13.0,100.0,114.7,123.3,106,0
2011-2012,PHOENIX SUNS,2012-01-17,240,38,74,5,11,16,19,7,31,19,2,6,19,17,0.589,0.547,0.149,0.257,19.4,72.1,48.1,50.0,2.2,7.7,18.7,100.0,105.2,127.9,97,0
2011-2012,CHICAGO BULLS,2012-01-17,240,47,88,5,10,19,24,12,29,31,9,2,6,17,0.599,0.563,0.114,0.273,27.9,80.6,51.9,66.0,9.8,3.2,5.7,100.0,127.9,105.2,118,0
2011-2012,GOLDEN STATE WARRIORS,2012-01-17,240,41,94,9,19,14,19,12,31,26,10,6,12,24,0.513,0.484,0.202,0.202,25.5,62.0,44.3,63.4,10.2,9.0,10.5,100.0,107.0,96.8,105,0
2011-2012,CLEVELAND CAVALIERS,2012-01-17,240,35,82,5,15,20,28,19,35,16,7,6,23,16,0.504,0.457,0.183,0.341,38.0,74.5,55.7,45.7,7.1,8.0,19.6,100.0,96.8,107.0,95,0
2011-2012,DETROIT PISTONS,2012-01-17,240,34,83,4,13,8,9,14,21,17,10,7,18,16,0.46,0.434,0.157,0.108,35.9,55.3,45.5,50.0,11.6,11.3,17.1,100.0,93.0,112.8,80,0
2011-2012,HOUSTON ROCKETS,2012-01-17,240,40,81,8,19,9,12,17,25,16,11,1,20,18,0.562,0.5429999999999999,0.235,0.14800000000000002,44.7,64.1,54.5,40.0,12.8,1.4,18.8,100.0,112.8,93.0,97,0
2011-2012,SAN ANTONIO SPURS,2012-01-17,240,38,80,10,25,12,17,11,25,21,7,1,16,18,0.56,0.5379999999999999,0.313,0.213,31.4,73.5,52.2,55.3,7.9,1.9,15.5,100.0,110.8,135.6,98,0
2011-2012,MIAMI HEAT,2012-01-17,240,46,79,16,26,12,19,9,24,24,7,1,11,19,0.687,0.684,0.329,0.241,26.5,68.6,47.8,52.2,7.9,1.8,11.2,100.0,135.6,110.8,120,0
2011-2012,DENVER NUGGETS,2012-01-17,240,32,75,12,25,29,37,9,33,27,9,5,17,15,0.575,0.507,0.333,0.493,23.7,70.2,49.4,84.4,9.3,7.4,15.7,100.0,108.5,98.1,105,0
2011-2012,MILWAUKEE BUCKS,2012-01-17,240,38,91,7,23,12,14,14,29,21,10,10,18,27,0.489,0.456,0.253,0.154,29.8,76.3,50.6,55.3,10.3,20.0,15.6,100.0,98.1,108.5,95,0
2011-2012,CHARLOTTE BOBCATS,2012-01-17,240,36,77,5,17,12,17,5,31,23,11,6,17,22,0.527,0.5,0.221,0.221,13.5,75.6,46.2,63.9,11.7,10.7,16.8,100.0,94.5,102.0,89,0
2011-2012,ORLANDO MAGIC,2012-01-17,240,36,78,7,22,17,26,10,32,19,10,5,16,14,0.537,0.506,0.282,0.333,24.4,86.5,53.8,52.8,10.6,8.3,15.2,100.0,102.0,94.5,96,0
2011-2012,LOS ANGELES CLIPPERS,2012-01-17,240,31,85,4,20,13,21,13,32,17,4,5,13,21,0.419,0.388,0.235,0.247,25.0,78.0,48.4,54.8,4.3,6.8,12.1,100.0,85.8,117.2,79,0
2011-2012,UTAH JAZZ,2012-01-17,240,39,82,3,8,27,31,9,39,18,10,5,8,20,0.565,0.494,0.098,0.378,22.0,75.0,51.6,46.2,10.9,7.7,7.7,100.0,117.2,85.8,108,0
2011-2012,PORTLAND TRAIL BLAZERS,2012-01-18,240,35,92,5,19,14,20,13,28,23,10,5,9,21,0.441,0.408,0.207,0.217,23.6,84.8,46.6,65.7,10.9,8.3,8.2,100.0,96.6,99.9,89,0
2011-2012,ATLANTA HAWKS,2012-01-18,240,33,71,5,11,21,27,5,42,18,4,7,14,18,0.555,0.5,0.155,0.38,15.2,76.4,53.4,54.5,4.3,9.6,14.5,100.0,99.9,96.6,92,0
2011-2012,TORONTO RAPTORS,2012-01-18,240,26,69,4,15,17,20,6,32,12,4,2,16,25,0.469,0.406,0.217,0.29,14.3,78.0,45.8,46.2,4.7,3.6,17.1,100.0,85.6,112.6,73,0
2011-2012,BOSTON CELTICS,2012-01-18,240,34,71,6,16,22,32,9,36,21,7,5,9,20,0.564,0.521,0.225,0.451,22.0,85.7,54.2,61.8,8.2,9.3,9.6,100.0,112.6,85.6,96,0
2011-2012,DALLAS MAVERICKS,2012-01-18,240,34,81,9,20,12,18,15,27,22,8,7,15,18,0.5,0.475,0.247,0.222,32.6,62.8,47.2,64.7,9.2,10.8,14.4,100.0,102.5,104.8,89,0
2011-2012,LOS ANGELES CLIPPERS,2012-01-18,240,37,87,8,22,9,17,16,31,25,11,7,13,17,0.482,0.471,0.253,0.195,37.2,67.4,52.8,67.6,12.7,11.5,12.1,100.0,104.8,102.5,91,0
2011-2012,DETROIT PISTONS,2012-01-18,240,35,79,5,11,10,21,14,27,15,10,5,18,27,0.482,0.475,0.139,0.266,31.1,67.5,48.2,42.9,11.2,9.6,16.9,100.0,95.1,104.1,85,0
2011-2012,MINNESOTA TIMBERWOLVES,2012-01-18,240,30,75,8,23,25,34,13,31,14,11,4,15,19,0.517,0.453,0.307,0.453,32.5,68.9,51.8,46.7,12.3,5.9,14.3,100.0,104.1,95.1,93,0
2011-2012,GOLDEN STATE WARRIORS,2012-01-18,240,37,72,8,16,18,27,7,19,23,11,8,10,21,0.596,0.569,0.222,0.375,19.4,54.3,36.6,62.2,13.0,17.4,10.7,100.0,118.4,126.7,100,0
2011-2012,NEW JERSEY NETS,2012-01-18,240,37,75,11,29,22,25,16,29,24,2,5,17,16,0.622,0.5670000000000001,0.387,0.333,45.7,80.6,63.4,64.9,2.4,8.9,16.5,100.0,126.7,118.4,107,0
2011-2012,MEMPHIS GRIZZLIES,2012-01-18,240,36,73,6,14,15,17,12,25,23,11,4,16,17,0.578,0.534,0.192,0.233,32.4,73.5,52.1,63.9,13.2,6.9,16.6,100.0,111.9,104.7,93,0
2011-2012,NEW ORLEANS HORNETS,2012-01-18,240,34,70,5,12,14,16,9,25,23,8,6,17,19,0.565,0.521,0.171,0.229,26.5,67.6,47.9,67.6,9.6,10.2,18.1,100.0,104.7,111.9,87,0
2011-2012,PHOENIX SUNS,2012-01-18,240,36,79,7,12,12,16,3,35,21,9,8,15,21,0.529,0.5,0.152,0.203,7.7,66.0,41.3,58.3,9.4,11.3,14.8,100.0,95.2,92.0,91,0
2011-2012,NEW YORK KNICKS,2012-01-18,240,32,86,4,15,20,30,18,36,19,11,3,16,16,0.444,0.395,0.174,0.349,34.0,92.3,58.7,59.4,11.5,4.5,13.9,100.0,92.0,95.2,88,0
2011-2012,SAN ANTONIO SPURS,2012-01-18,265,36,84,2,17,11,18,4,37,18,5,5,9,22,0.462,0.44,0.202,0.214,8.7,67.3,40.6,50.0,5.4,7.6,8.9,100.0,92.3,90.1,85,0
2011-2012,ORLANDO MAGIC,2012-01-18,265,29,87,4,21,21,27,18,42,12,6,3,11,18,0.42,0.35600000000000004,0.241,0.31,32.7,91.3,59.4,41.4,6.5,4.5,10.0,100.0,90.1,92.3,83,0
2011-2012,DENVER NUGGETS,2012-01-18,265,43,89,7,18,15,22,9,41,24,5,3,13,22,0.547,0.522,0.202,0.247,19.1,75.9,49.5,55.8,4.9,3.6,11.6,100.0,106.0,102.1,108,0
2011-2012,PHILADELPHIA 76ERS,2012-01-18,265,43,98,4,14,14,19,13,38,22,6,4,11,23,0.489,0.459,0.14300000000000002,0.194,24.1,80.9,50.5,51.2,5.9,5.6,9.4,100.0,102.1,106.0,104,0
2011-2012,INDIANA PACERS,2012-01-18,240,34,78,1,13,19,27,18,35,13,7,8,18,28,0.49,0.442,0.16699999999999998,0.34600000000000003,43.9,53.8,50.0,38.2,8.0,12.9,16.7,100.0,100.3,104.9,88,0
2011-2012,SACRAMENTO KINGS,2012-01-18,240,28,93,8,31,28,41,30,23,17,11,3,12,22,0.414,0.344,0.333,0.441,46.2,56.1,50.0,60.7,12.5,4.6,9.8,100.0,104.9,100.3,92,0
2011-2012,OKLAHOMA CITY THUNDER,2012-01-18,240,37,77,4,19,24,30,6,37,15,9,7,21,31,0.565,0.506,0.247,0.39,15.4,66.1,45.3,40.5,8.8,10.8,18.9,100.0,99.8,102.8,102,0
2011-2012,WASHINGTON WIZARDS,2012-01-18,240,33,86,8,21,31,43,19,33,18,10,7,17,23,0.5,0.43,0.244,0.5,33.9,84.6,54.7,54.5,9.8,12.1,13.9,100.0,102.8,99.8,105,0
2011-2012,NEW ORLEANS HORNETS,2012-01-19,265,37,94,3,11,11,16,16,32,20,9,5,13,15,0.435,0.41,0.117,0.17,29.1,69.6,47.5,54.1,9.4,8.2,11.4,100.0,92.3,94.4,88,0
2011-2012,HOUSTON ROCKETS,2012-01-19,265,35,88,9,27,11,13,14,39,17,11,7,19,18,0.48,0.449,0.307,0.14800000000000002,30.4,70.9,52.5,48.6,11.5,8.4,16.9,100.0,94.4,92.3,90,0
2011-2012,LOS ANGELES LAKERS,2012-01-19,240,34,81,6,20,13,16,12,26,19,7,6,13,15,0.494,0.457,0.247,0.198,29.3,63.4,46.3,55.9,8.2,9.0,12.9,100.0,102.1,115.0,87,0
2011-2012,MIAMI HEAT,2012-01-19,240,38,85,9,18,13,18,15,29,19,8,5,11,18,0.527,0.5,0.212,0.212,36.6,70.7,53.7,50.0,9.4,8.2,10.6,100.0,115.0,102.1,98,0
2011-2012,DALLAS MAVERICKS,2012-01-19,240,37,71,5,20,15,19,4,29,23,4,6,15,20,0.5920000000000001,0.556,0.282,0.268,12.1,65.9,42.9,62.2,4.6,8.8,15.9,100.0,107.5,104.0,94,0
2011-2012,UTAH JAZZ,2012-01-19,240,31,80,3,12,26,29,15,29,16,11,2,12,19,0.491,0.406,0.15,0.363,34.1,87.9,57.1,51.6,12.6,3.9,11.5,100.0,104.0,107.5,91,0
2011-2012,PHOENIX SUNS,2012-01-20,240,31,69,5,19,12,16,8,36,20,10,8,21,16,0.519,0.486,0.275,0.232,24.2,83.7,57.9,64.5,11.5,12.5,21.6,100.0,90.6,81.4,79,0
2011-2012,BOSTON CELTICS,2012-01-20,240,30,74,4,10,7,9,7,25,20,7,5,18,19,0.455,0.4320000000000001,0.135,0.122,16.3,75.8,42.1,66.7,8.0,10.0,18.8,100.0,81.4,90.6,71,0
2011-2012,CHICAGO BULLS,2012-01-20,240,46,83,6,9,16,17,13,41,27,9,16,20,23,0.63,0.59,0.108,0.205,39.4,69.5,58.7,58.7,9.8,21.3,18.1,100.0,123.5,81.3,114,0
2011-2012,CLEVELAND CAVALIERS,2012-01-20,240,27,89,7,14,14,19,18,20,13,7,6,14,17,0.385,0.343,0.157,0.213,30.5,60.6,41.3,48.1,7.6,8.1,12.6,100.0,81.3,123.5,75,0
2011-2012,MEMPHIS GRIZZLIES,2012-01-20,240,39,68,5,9,15,20,3,24,23,14,2,15,20,0.638,0.61,0.132,0.294,10.7,64.9,41.5,59.0,16.0,3.6,16.3,100.0,111.9,92.5,98,0
2011-2012,DETROIT PISTONS,2012-01-20,240,29,66,4,10,19,26,13,25,17,8,3,25,16,0.523,0.47,0.152,0.394,35.1,89.3,58.5,58.6,9.1,5.1,24.4,100.0,92.5,111.9,81,0
2011-2012,INDIANA PACERS,2012-01-20,240,35,83,8,16,16,21,9,34,25,9,5,11,13,0.51,0.47,0.193,0.253,19.1,82.9,48.9,71.4,9.7,8.8,10.7,100.0,101.1,97.9,94,0
2011-2012,GOLDEN STATE WARRIORS,2012-01-20,240,37,80,10,23,7,8,7,38,18,3,5,18,21,0.545,0.525,0.28800000000000003,0.1,17.1,80.9,51.1,48.6,3.2,7.5,17.7,100.0,97.9,101.1,91,0
2011-2012,MINNESOTA TIMBERWOLVES,2012-01-20,240,36,81,6,15,23,33,10,29,21,8,3,11,22,0.529,0.481,0.185,0.407,22.7,80.6,48.8,58.3,8.6,6.0,10.3,100.0,108.3,105.1,101,0
2011-2012,LOS ANGELES CLIPPERS,2012-01-20,240,33,71,11,21,21,28,7,34,12,6,5,18,27,0.588,0.542,0.29600000000000004,0.394,19.4,77.3,51.3,36.4,6.4,7.6,17.8,100.0,105.1,108.3,98,0
2011-2012,MILWAUKEE BUCKS,2012-01-20,240,39,82,8,22,14,20,12,35,19,11,1,19,25,0.551,0.524,0.268,0.244,27.9,74.5,52.2,48.7,11.4,2.0,17.3,100.0,103.2,88.8,100,0
2011-2012,NEW YORK KNICKS,2012-01-20,240,27,73,6,22,26,33,12,31,13,13,4,24,22,0.491,0.411,0.301,0.452,25.5,72.1,47.8,48.1,13.4,6.7,21.5,100.0,88.8,103.2,86,0
2011-2012,LOS ANGELES LAKERS,2012-01-20,240,29,76,6,20,16,22,8,34,19,5,3,8,18,0.467,0.421,0.263,0.289,18.2,69.4,45.2,65.5,5.9,6.0,8.5,100.0,94.5,108.7,80,0
2011-2012,ORLANDO MAGIC,2012-01-20,240,32,77,12,27,16,26,15,36,20,7,2,13,20,0.52,0.494,0.35100000000000003,0.338,30.6,81.8,54.8,62.5,8.3,3.6,12.8,100.0,108.7,94.5,92,0
2011-2012,ATLANTA HAWKS,2012-01-20,240,32,74,5,15,7,8,3,29,21,8,2,15,17,0.49,0.466,0.203,0.108,7.7,65.9,38.6,65.6,9.2,3.0,16.2,100.0,87.1,103.2,76,0
2011-2012,PHILADELPHIA 76ERS,2012-01-20,240,35,84,4,17,16,19,15,36,24,9,5,12,8,0.487,0.44,0.202,0.226,34.1,92.3,61.4,68.6,10.3,8.5,11.5,100.0,103.2,87.1,90,0
2011-2012,SACRAMENTO KINGS,2012-01-20,240,36,83,5,21,11,19,13,33,16,9,2,14,23,0.482,0.464,0.253,0.229,28.9,71.7,50.5,44.4,10.1,3.5,13.3,100.0,98.8,96.6,88,0
2011-2012,SAN ANTONIO SPURS,2012-01-20,240,31,82,5,25,19,21,13,32,19,7,2,13,16,0.471,0.409,0.305,0.256,28.3,71.1,49.5,61.3,7.9,3.2,12.5,100.0,96.6,98.8,86,0
2011-2012,PORTLAND TRAIL BLAZERS,2012-01-20,240,33,82,5,15,23,31,15,40,19,7,3,18,19,0.491,0.433,0.183,0.378,34.1,78.4,57.9,57.6,7.4,4.5,15.8,100.0,99.7,89.1,94,0
2011-2012,TORONTO RAPTORS,2012-01-20,240,30,82,5,15,19,25,11,29,21,10,8,14,23,0.452,0.396,0.183,0.305,21.6,65.9,42.1,70.0,10.6,11.9,13.1,100.0,89.1,99.7,84,0
2011-2012,DENVER NUGGETS,2012-01-20,240,39,79,10,21,20,30,12,34,24,6,4,17,20,0.586,0.557,0.266,0.38,27.3,81.0,53.5,61.5,6.1,5.8,15.6,100.0,109.7,105.6,108,0
2011-2012,WASHINGTON WIZARDS,2012-01-20,240,40,95,11,26,13,17,8,32,28,11,9,10,24,0.507,0.479,0.274,0.179,19.0,72.7,46.5,70.0,11.2,15.5,8.9,100.0,105.6,109.7,104,0
2011-2012,CLEVELAND CAVALIERS,2012-01-21,240,34,70,7,20,19,27,5,28,18,6,3,18,19,0.574,0.536,0.28600000000000003,0.386,15.6,75.7,47.8,52.9,6.5,5.1,18.0,100.0,101.2,130.3,94,0
2011-2012,ATLANTA HAWKS,2012-01-21,240,46,83,11,24,18,24,9,27,31,11,3,10,17,0.647,0.62,0.289,0.289,24.3,84.4,52.2,67.4,11.8,6.0,9.7,100.0,130.3,101.2,121,0
2011-2012,CHARLOTTE BOBCATS,2012-01-21,240,35,74,2,11,17,23,9,35,18,4,5,16,17,0.529,0.486,0.149,0.311,25.0,77.8,54.3,51.4,4.5,7.1,16.0,100.0,100.5,107.3,89,0
2011-2012,CHICAGO BULLS,2012-01-21,240,40,85,6,15,9,15,10,27,26,11,3,8,17,0.519,0.506,0.17600000000000002,0.17600000000000002,22.2,75.0,45.7,65.0,12.4,4.8,8.0,100.0,107.3,100.5,95,0
2011-2012,PORTLAND TRAIL BLAZERS,2012-01-21,240,34,81,3,20,20,24,13,25,19,7,3,9,24,0.4970000000000001,0.438,0.247,0.29600000000000004,33.3,75.8,52.8,55.9,8.5,5.8,8.9,100.0,110.9,114.6,91,0
2011-2012,DETROIT PISTONS,2012-01-21,240,30,67,7,15,27,32,8,26,13,5,8,11,21,0.58,0.5,0.224,0.478,24.2,66.7,47.2,43.3,6.1,13.1,11.9,100.0,114.6,110.9,94,0
2011-2012,SAN ANTONIO SPURS,2012-01-21,240,42,94,7,22,11,15,16,27,24,6,2,13,15,0.507,0.484,0.234,0.16,36.4,87.1,57.3,57.1,6.5,3.5,11.4,100.0,110.4,113.7,102,0
2011-2012,HOUSTON ROCKETS,2012-01-21,240,44,79,6,22,11,12,4,28,22,5,9,13,18,0.623,0.595,0.278,0.152,12.9,63.6,42.7,50.0,5.4,12.5,13.4,100.0,113.7,110.4,105,0
2011-2012,SACRAMENTO KINGS,2012-01-21,240,36,87,6,19,17,22,11,27,20,6,3,16,19,0.491,0.448,0.218,0.253,21.6,71.1,42.7,55.6,6.0,3.9,14.2,100.0,94.6,127.5,95,0
2011-2012,MEMPHIS GRIZZLIES,2012-01-21,240,50,92,8,16,20,27,11,40,27,11,9,11,20,0.616,0.5870000000000001,0.174,0.293,28.9,78.4,57.3,54.0,11.0,13.2,9.6,100.0,127.5,94.6,128,0
2011-2012,PHILADELPHIA 76ERS,2012-01-21,240,37,83,8,15,10,15,7,24,18,9,5,9,17,0.513,0.494,0.181,0.181,14.9,66.7,37.3,48.6,10.1,7.7,9.1,100.0,103.4,127.1,92,0
2011-2012,MIAMI HEAT,2012-01-21,240,44,81,7,16,18,21,12,40,24,5,10,11,13,0.626,0.586,0.198,0.259,33.3,85.1,62.7,54.5,5.6,14.7,10.9,100.0,127.1,103.4,113,0
2011-2012,OKLAHOMA CITY THUNDER,2012-01-21,240,32,77,4,17,16,24,14,41,13,8,10,19,16,0.48,0.442,0.221,0.312,31.8,71.9,54.5,40.6,8.7,15.6,17.8,100.0,91.9,80.9,84,0
2011-2012,NEW JERSEY NETS,2012-01-21,240,27,87,3,23,17,19,16,30,14,9,5,16,16,0.388,0.328,0.264,0.218,28.1,68.2,45.5,51.9,9.8,8.3,14.4,100.0,80.9,91.9,74,0
2011-2012,DALLAS MAVERICKS,2012-01-21,240,32,79,4,26,15,20,9,40,17,7,7,11,25,0.473,0.43,0.329,0.253,23.1,78.4,54.4,53.1,7.9,11.7,11.1,100.0,93.4,91.2,83,0
2011-2012,NEW ORLEANS HORNETS,2012-01-21,240,29,79,2,19,21,32,11,30,15,9,3,11,16,0.435,0.38,0.241,0.405,21.6,76.9,45.6,51.7,10.1,5.7,10.6,100.0,91.2,93.4,81,0
2011-2012,DENVER NUGGETS,2012-01-21,290,41,98,6,24,31,43,15,43,29,12,4,20,20,0.509,0.449,0.245,0.439,27.8,79.6,53.7,70.7,10.2,6.3,14.6,100.0,101.2,97.0,119,0
2011-2012,NEW YORK KNICKS,2012-01-21,290,44,97,11,33,15,21,11,39,24,8,7,23,34,0.537,0.51,0.34,0.21600000000000005,20.4,72.2,46.3,54.5,6.8,9.5,17.8,100.0,97.0,101.2,114,0
2011-2012,MINNESOTA TIMBERWOLVES,2012-01-21,240,37,83,8,21,16,21,13,22,17,10,3,11,20,0.531,0.494,0.253,0.253,29.5,59.5,43.2,45.9,11.3,4.7,10.7,100.0,110.8,122.1,98,0
2011-2012,UTAH JAZZ,2012-01-21,240,41,79,5,15,21,29,15,31,25,5,5,15,18,0.588,0.551,0.19,0.3670000000000001,40.5,70.5,56.8,61.0,5.7,8.1,14.1,100.0,122.1,110.8,108,0
2011-2012,TORONTO RAPTORS,2012-01-22,240,29,81,8,19,25,31,14,26,21,15,4,18,31,0.481,0.407,0.235,0.383,28.6,74.3,47.6,72.4,15.5,7.8,16.0,100.0,94.1,106.6,91,0
2011-2012,LOS ANGELES CLIPPERS,2012-01-22,240,35,72,8,21,25,40,9,35,26,14,9,20,24,0.575,0.542,0.292,0.556,25.7,71.4,52.4,74.3,14.5,14.5,18.2,100.0,106.6,94.1,103,0
2011-2012,INDIANA PACERS,2012-01-22,240,36,77,10,18,16,19,12,38,22,3,3,15,22,0.574,0.532,0.234,0.247,32.4,67.9,53.8,61.1,3.4,3.9,14.9,100.0,111.8,109.5,98,0
2011-2012,LOS ANGELES LAKERS,2012-01-22,240,36,86,2,9,22,33,18,25,22,10,5,8,16,0.478,0.43,0.105,0.384,32.1,67.6,46.2,61.1,11.4,8.5,7.4,100.0,109.5,111.8,96,0
2011-2012,MILWAUKEE BUCKS,2012-01-22,240,28,80,5,30,30,34,15,27,18,10,5,14,28,0.479,0.381,0.375,0.425,33.3,69.2,50.0,64.3,11.3,9.1,12.8,100.0,102.7,92.5,91,0
2011-2012,MIAMI HEAT,2012-01-22,240,25,67,3,12,29,35,12,30,9,7,2,21,25,0.498,0.396,0.179,0.522,30.8,66.7,50.0,36.0,7.9,4.0,20.3,100.0,92.5,102.7,82,0
2011-2012,CHARLOTTE BOBCATS,2012-01-22,240,37,79,5,14,8,15,7,27,18,9,6,13,20,0.508,0.5,0.177,0.19,18.4,62.8,42.0,48.6,10.3,10.2,13.2,100.0,99.7,111.1,87,0
