season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,points,during_playoffs
2011-2012,CHARLOTTE BOBCATS,2012-01-07,240,29,89,5,16,14,21,22,26,12,4,7,13,21,0.392,0.354,0.18,0.236,40.7,66.7,51.6,41.4,4.7,10.3,11.7,100.0,91.1,117.1,77,0
2011-2012,INDIANA PACERS,2012-01-07,240,39,77,2,9,19,26,13,32,15,6,6,11,20,0.56,0.519,0.117,0.338,33.3,59.3,48.4,38.5,7.1,8.2,11.1,100.0,117.1,91.1,99,0
2011-2012,MILWAUKEE BUCKS,2012-01-07,240,29,80,6,20,22,27,13,29,18,7,2,14,31,0.468,0.4,0.25,0.338,31.0,78.4,53.2,62.1,7.9,4.0,13.2,100.0,97.1,103.9,86,0
2011-2012,LOS ANGELES CLIPPERS,2012-01-07,240,31,69,4,19,26,40,8,29,17,10,9,13,23,0.531,0.478,0.275,0.58,21.6,69.0,46.8,54.8,11.3,15.0,13.1,100.0,103.9,97.1,92,0
2011-2012,MIAMI HEAT,2012-01-07,240,38,76,5,15,20,24,10,35,27,12,8,22,27,0.583,0.5329999999999999,0.197,0.316,28.6,66.0,51.1,71.1,12.4,16.0,20.3,100.0,104.8,93.4,101,0
2011-2012,NEW JERSEY NETS,2012-01-07,240,28,83,10,33,24,32,18,25,24,14,3,21,21,0.464,0.398,0.398,0.386,34.0,71.4,48.9,85.7,14.5,4.9,17.8,100.0,93.4,104.8,90,0
2011-2012,TORONTO RAPTORS,2012-01-07,240,27,85,1,12,7,12,15,33,15,4,5,17,20,0.343,0.324,0.141,0.141,27.3,75.0,48.5,55.6,4.5,8.1,15.8,100.0,69.2,108.3,62,0
2011-2012,PHILADELPHIA 76ERS,2012-01-07,240,36,83,5,21,20,27,11,40,20,13,8,8,10,0.511,0.464,0.253,0.325,25.0,72.7,51.5,55.6,14.5,11.0,7.8,100.0,108.3,69.2,97,0
2011-2012,DENVER NUGGETS,2012-01-07,240,46,81,8,16,17,26,10,23,25,9,4,14,17,0.633,0.617,0.198,0.321,30.3,60.5,46.5,54.3,9.6,5.8,13.2,100.0,124.2,128.5,117,0
2011-2012,SAN ANTONIO SPURS,2012-01-07,240,49,89,9,20,14,18,15,23,27,6,5,15,19,0.624,0.601,0.225,0.202,39.5,69.7,53.5,55.1,6.4,7.7,13.4,100.0,128.5,124.2,121,0
2011-2012,MEMPHIS GRIZZLIES,2012-01-08,240,38,93,1,9,5,10,9,25,23,18,4,9,18,0.421,0.414,0.097,0.108,18.4,65.8,39.1,60.5,18.9,7.3,8.5,100.0,86.2,94.6,82,0
2011-2012,LOS ANGELES LAKERS,2012-01-08,240,35,74,6,19,14,21,13,40,24,6,5,27,11,0.541,0.514,0.257,0.284,34.2,81.6,60.9,68.6,6.3,6.0,24.5,100.0,94.6,86.2,90,0
2011-2012,SAN ANTONIO SPURS,2012-01-08,240,35,84,7,12,19,25,10,32,20,9,2,11,22,0.505,0.458,0.14300000000000002,0.298,19.6,82.1,46.7,57.1,9.6,3.6,10.4,100.0,102.0,114.8,96,0
2011-2012,OKLAHOMA CITY THUNDER,2012-01-08,240,38,75,7,19,25,29,7,41,25,10,8,14,19,0.615,0.5529999999999999,0.253,0.387,17.9,80.4,53.3,65.8,10.6,11.1,13.8,100.0,114.8,102.0,108,0
2011-2012,MILWAUKEE BUCKS,2012-01-08,240,37,86,3,15,16,24,15,25,23,9,1,13,13,0.482,0.448,0.174,0.279,32.6,78.1,51.3,62.2,9.9,1.8,11.9,100.0,102.6,120.2,93,0
2011-2012,PHOENIX SUNS,2012-01-08,240,43,77,10,22,13,17,7,31,30,10,5,14,20,0.645,0.623,0.28600000000000003,0.221,21.9,67.4,48.7,69.8,11.0,7.0,14.2,100.0,120.2,102.6,109,0
2011-2012,CLEVELAND CAVALIERS,2012-01-08,240,29,79,3,24,17,24,10,36,17,8,5,24,20,0.435,0.386,0.304,0.304,23.3,80.0,52.3,58.6,7.9,7.2,21.1,100.0,77.3,97.1,78,0
2011-2012,PORTLAND TRAIL BLAZERS,2012-01-08,240,38,92,6,23,16,18,9,33,27,14,6,14,20,0.49,0.446,0.25,0.196,20.0,76.7,47.7,71.1,13.9,10.9,12.3,100.0,97.1,77.3,98,0
2011-2012,ORLANDO MAGIC,2012-01-08,240,37,87,10,32,20,31,17,26,24,10,1,10,20,0.517,0.483,0.368,0.35600000000000004,32.7,72.2,48.9,64.9,11.0,1.9,9.0,100.0,114.8,107.1,104,0
2011-2012,SACRAMENTO KINGS,2012-01-08,240,38,73,3,20,18,24,10,35,16,4,5,17,24,0.58,0.541,0.274,0.329,27.8,67.3,51.1,42.1,4.4,9.1,16.9,100.0,107.1,114.8,97,0
2011-2012,MINNESOTA TIMBERWOLVES,2012-01-08,240,36,80,10,26,11,15,10,34,22,8,7,16,18,0.537,0.513,0.325,0.188,25.6,68.0,49.4,61.1,8.9,9.1,15.6,100.0,104.0,80.5,93,0
2011-2012,WASHINGTON WIZARDS,2012-01-08,240,30,87,3,10,9,16,16,29,15,9,10,15,17,0.383,0.362,0.115,0.184,32.0,74.4,50.6,50.0,10.1,18.5,13.8,100.0,80.5,104.0,72,0
2011-2012,DETROIT PISTONS,2012-01-09,240,28,71,1,4,11,14,10,27,14,2,5,18,21,0.441,0.401,0.056,0.197,25.6,69.2,47.4,50.0,2.4,8.6,18.9,100.0,83.1,112.4,68,0
2011-2012,CHICAGO BULLS,2012-01-09,240,34,74,3,16,21,25,12,29,19,5,6,10,15,0.541,0.48,0.21600000000000005,0.338,30.8,74.4,52.6,55.9,6.1,9.0,10.5,100.0,112.4,83.1,92,0
2011-2012,NEW ORLEANS HORNETS,2012-01-09,240,39,75,6,10,10,14,9,31,26,8,5,16,23,0.579,0.56,0.133,0.187,25.0,79.5,53.3,66.7,9.2,10.4,16.5,100.0,108.0,93.0,94,0
2011-2012,DENVER NUGGETS,2012-01-09,240,29,71,8,23,15,21,8,27,19,4,5,17,19,0.505,0.465,0.324,0.29600000000000004,20.5,75.0,46.7,65.5,4.6,7.7,17.5,100.0,93.0,108.0,81,0
2011-2012,ATLANTA HAWKS,2012-01-09,240,42,78,9,21,13,19,9,24,26,8,2,10,17,0.614,0.596,0.269,0.244,23.1,70.6,45.2,61.9,9.1,3.6,10.4,100.0,121.0,115.3,106,0
2011-2012,NEW JERSEY NETS,2012-01-09,240,36,77,11,22,18,21,10,30,24,5,3,16,20,0.586,0.539,0.28600000000000003,0.273,29.4,76.9,54.8,66.7,5.7,5.3,15.6,100.0,115.3,121.0,101,0
2011-2012,CHARLOTTE BOBCATS,2012-01-09,240,34,82,7,19,12,15,10,39,21,4,3,17,24,0.491,0.457,0.232,0.183,21.7,73.6,49.5,61.8,4.3,4.3,16.1,100.0,93.1,97.3,87,0
2011-2012,NEW YORK KNICKS,2012-01-09,240,30,79,1,10,30,40,14,36,16,11,4,12,22,0.471,0.386,0.127,0.506,26.4,78.3,50.5,53.3,11.8,6.3,11.0,100.0,97.3,93.1,91,0
2011-2012,INDIANA PACERS,2012-01-09,240,30,82,4,13,22,30,13,30,18,11,2,16,21,0.452,0.39,0.159,0.366,25.0,76.9,47.3,60.0,11.7,3.4,14.4,100.0,91.3,102.0,86,0
2011-2012,PHILADELPHIA 76ERS,2012-01-09,240,38,76,6,17,14,19,9,39,19,7,5,18,24,0.569,0.539,0.224,0.25,23.1,75.0,52.7,50.0,7.4,7.2,17.6,100.0,102.0,91.3,96,0
2011-2012,MINNESOTA TIMBERWOLVES,2012-01-09,240,27,80,7,24,26,33,15,24,14,8,4,15,26,0.46,0.381,0.3,0.413,33.3,63.2,47.0,51.9,9.2,6.9,13.7,100.0,100.3,111.8,87,0
2011-2012,TORONTO RAPTORS,2012-01-09,240,34,77,3,19,26,28,14,30,16,7,9,13,28,0.5429999999999999,0.461,0.247,0.364,36.8,66.7,53.0,47.1,8.1,16.1,12.7,100.0,111.8,100.3,97,0
2011-2012,HOUSTON ROCKETS,2012-01-10,240,32,83,6,17,12,16,14,43,18,4,9,22,17,0.455,0.422,0.205,0.193,30.4,78.2,56.4,56.3,4.3,12.0,19.6,100.0,87.4,74.6,82,0
2011-2012,CHARLOTTE BOBCATS,2012-01-10,240,30,88,1,13,9,11,12,32,16,6,7,14,19,0.377,0.34700000000000003,0.14800000000000002,0.125,21.8,69.6,43.6,53.3,6.4,10.6,13.1,100.0,74.6,87.4,70,0
2011-2012,DALLAS MAVERICKS,2012-01-10,240,38,69,4,15,20,27,5,31,28,13,4,14,23,0.618,0.58,0.217,0.391,17.2,86.1,55.4,73.7,14.3,7.1,14.8,100.0,110.3,94.9,100,0
2011-2012,DETROIT PISTONS,2012-01-10,240,30,69,6,13,20,25,5,24,17,7,2,20,18,0.5379999999999999,0.478,0.188,0.362,13.9,82.8,44.6,56.7,7.7,3.7,20.0,100.0,94.9,110.3,86,0
2011-2012,MIAMI HEAT,2012-01-10,265,39,85,2,11,26,40,14,34,16,14,5,22,23,0.517,0.471,0.129,0.471,29.2,65.4,48.0,41.0,13.1,7.4,17.7,100.0,98.8,103.5,106,0
2011-2012,GOLDEN STATE WARRIORS,2012-01-10,265,38,95,9,27,26,30,18,34,23,14,9,20,26,0.513,0.447,0.284,0.316,34.6,70.8,52.0,60.5,13.1,12.2,15.6,100.0,103.5,98.8,111,0
2011-2012,PHOENIX SUNS,2012-01-10,240,34,80,7,20,8,12,9,26,18,9,1,11,16,0.487,0.469,0.25,0.15,20.5,65.0,41.7,52.9,10.4,1.6,11.4,100.0,95.6,114.1,83,0
2011-2012,LOS ANGELES LAKERS,2012-01-10,240,39,80,2,17,19,23,14,35,27,5,2,14,18,0.5489999999999999,0.5,0.213,0.28800000000000003,35.0,79.5,58.3,69.2,5.8,3.3,13.4,100.0,114.1,95.6,99,0
2011-2012,OKLAHOMA CITY THUNDER,2012-01-10,240,34,74,6,15,26,32,14,37,14,4,6,14,23,0.568,0.5,0.203,0.4320000000000001,32.6,78.7,56.7,41.2,4.5,8.2,13.7,100.0,112.1,106.5,100,0
2011-2012,MEMPHIS GRIZZLIES,2012-01-10,240,39,85,5,12,12,20,10,29,16,6,6,9,21,0.506,0.488,0.141,0.235,21.3,67.4,43.3,41.0,6.7,10.2,8.8,100.0,106.5,112.1,95,0
2011-2012,SAN ANTONIO SPURS,2012-01-10,240,45,75,4,14,9,16,5,30,29,6,6,16,16,0.628,0.627,0.187,0.213,17.9,81.1,53.8,64.4,6.5,8.5,16.3,100.0,112.3,115.6,103,0
2011-2012,MILWAUKEE BUCKS,2012-01-10,240,44,85,9,14,9,10,7,23,31,7,4,11,15,0.593,0.5710000000000001,0.165,0.118,18.9,82.1,46.2,70.5,7.6,6.6,11.0,100.0,115.6,112.3,106,0
2011-2012,CHICAGO BULLS,2012-01-10,240,43,81,11,20,14,21,10,37,24,4,9,18,23,0.615,0.599,0.247,0.259,30.3,84.1,61.0,55.8,4.2,16.1,16.6,100.0,117.3,105.7,111,0
