Season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
2016-2017,NEW YORK KNICKS,2016-10-25,240,32,87,9,27,15,20,13,29,17,6,6,18,22,0.45899999999999996,0.42,0.31,0.23,24.5,72.5,45.2,53.1,6.0,10.2,15.8,100,88.1,117.1
2016-2017,CLEVELAND CAVALIERS,2016-10-25,240,45,94,13,35,14,19,11,40,31,12,5,14,22,0.5720000000000001,0.5479999999999999,0.37200000000000005,0.20199999999999999,27.5,75.5,54.8,68.9,12.0,8.3,12.0,100,117.1,88.1
2016-2017,SAN ANTONIO SPURS,2016-10-25,240,47,98,12,24,23,26,21,34,25,13,3,13,19,0.589,0.541,0.245,0.265,43.8,81.0,61.1,53.2,13.2,5.8,10.6,100,131.3,101.8
2016-2017,GOLDEN STATE WARRIORS,2016-10-25,240,40,85,7,33,13,18,8,27,24,11,6,16,19,0.5379999999999999,0.512,0.38799999999999996,0.212,19.0,56.3,38.9,60.0,11.2,8.1,14.7,100,101.8,131.3
2016-2017,UTAH JAZZ,2016-10-25,240,40,82,8,24,16,16,6,25,19,9,5,11,19,0.584,0.537,0.293,0.195,17.1,83.3,47.7,47.5,9.9,8.9,11.0,100,114.9,124.8
2016-2017,PORTLAND TRAIL BLAZERS,2016-10-25,240,39,75,13,19,22,22,5,29,22,5,3,12,18,0.667,0.607,0.253,0.293,16.7,82.9,52.3,56.4,5.5,5.2,12.4,100,124.8,114.9
2016-2017,BROOKLYN NETS,2016-10-26,240,43,97,15,44,16,20,15,29,22,8,3,16,19,0.5529999999999999,0.521,0.45399999999999996,0.20600000000000002,30.0,70.7,48.4,51.2,7.8,5.3,13.1,100,113.6,118.4
2016-2017,BOSTON CELTICS,2016-10-26,240,48,89,11,32,15,18,12,35,36,13,9,19,20,0.629,0.601,0.36,0.20199999999999999,29.3,70.0,51.6,75.0,12.6,17.0,16.4,100,118.4,113.6
2016-2017,DALLAS MAVERICKS,2016-10-26,265,45,104,18,48,13,18,10,39,26,8,8,15,27,0.541,0.519,0.462,0.17300000000000001,18.5,83.0,48.5,57.8,7.0,10.8,11.8,100,105.8,113.7
2016-2017,INDIANA PACERS,2016-10-26,265,47,93,10,19,26,34,8,44,30,11,6,16,23,0.602,0.5589999999999999,0.204,0.366,17.0,81.5,51.5,63.8,9.6,10.7,12.9,100,113.7,105.8
2016-2017,HOUSTON ROCKETS,2016-10-26,240,44,86,7,29,19,27,10,29,29,10,1,14,23,0.5820000000000001,0.552,0.337,0.314,26.3,72.5,50.0,65.9,10.1,1.9,12.5,100,114.7,120.7
2016-2017,LOS ANGELES LAKERS,2016-10-26,240,45,89,12,35,18,22,11,28,21,10,4,15,24,0.608,0.573,0.39299999999999996,0.247,27.5,73.7,50.0,46.7,10.1,7.0,13.2,100,120.7,114.7
2016-2017,MINNESOTA TIMBERWOLVES,2016-10-26,240,36,86,6,18,20,29,15,30,20,6,5,10,23,0.496,0.45299999999999996,0.209,0.337,30.6,73.2,50.0,55.6,6.6,8.9,9.2,100,107.5,111.8
2016-2017,MEMPHIS GRIZZLIES,2016-10-26,240,36,80,11,24,19,27,11,34,19,6,11,13,25,0.555,0.519,0.3,0.33799999999999997,26.8,69.4,50.0,52.8,6.6,16.2,12.4,100,111.8,107.5
2016-2017,CHARLOTTE HORNETS,2016-10-26,240,40,89,7,23,20,24,11,40,27,5,10,10,22,0.537,0.489,0.258,0.27,23.4,80.0,52.6,67.5,5.2,13.2,9.1,100,110.9,99.5
2016-2017,MILWAUKEE BUCKS,2016-10-26,240,39,92,3,16,15,20,10,36,23,4,5,8,22,0.47600000000000003,0.44,0.174,0.217,20.0,76.6,47.4,59.0,4.1,7.6,7.4,100,99.5,110.9
2016-2017,DENVER NUGGETS,2016-10-26,240,37,83,8,24,25,33,11,47,18,7,4,24,22,0.5489999999999999,0.494,0.289,0.39799999999999996,28.2,90.4,63.7,48.6,6.5,5.5,19.7,100,99.9,95.3
2016-2017,NEW ORLEANS PELICANS,2016-10-26,240,38,92,3,19,23,26,5,28,31,16,5,11,29,0.493,0.429,0.207,0.28300000000000003,9.6,71.8,36.3,81.6,14.9,8.5,9.6,100,95.3,99.9
2016-2017,MIAMI HEAT,2016-10-26,240,47,97,4,16,10,16,16,36,27,5,7,10,22,0.519,0.505,0.165,0.165,34.8,70.6,53.6,57.4,5.3,9.9,8.8,100,114.5,101.8
2016-2017,ORLANDO MAGIC,2016-10-26,240,34,89,6,18,22,28,15,30,20,5,4,11,15,0.474,0.41600000000000004,0.20199999999999999,0.315,29.4,65.2,46.4,58.8,5.3,4.9,9.8,100,101.8,114.5
2016-2017,OKLAHOMA CITY THUNDER,2016-10-26,240,39,94,6,22,19,26,13,40,19,7,3,10,23,0.488,0.447,0.23399999999999999,0.27699999999999997,25.5,88.9,55.2,48.7,7.0,5.0,8.7,100,102.6,96.7
2016-2017,PHILADELPHIA 76ERS,2016-10-26,240,36,84,7,24,18,25,5,38,21,5,10,13,22,0.511,0.47,0.28600000000000003,0.298,11.1,74.5,44.8,58.3,5.0,13.9,12.0,100,96.7,102.6
2016-2017,SACRAMENTO KINGS,2016-10-26,240,44,86,6,21,19,26,10,31,24,5,5,13,20,0.58,0.547,0.244,0.302,24.4,75.6,50.0,54.5,5.2,8.2,11.8,100,116.8,97.1
2016-2017,PHOENIX SUNS,2016-10-26,240,36,77,4,16,18,27,10,31,20,6,3,18,29,0.529,0.494,0.20800000000000002,0.35100000000000003,24.4,75.6,50.0,55.6,6.2,4.6,16.8,100,97.1,116.8
2016-2017,DETROIT PISTONS,2016-10-26,240,35,84,4,22,17,22,8,32,17,8,0,13,24,0.486,0.44,0.262,0.262,17.8,69.6,44.0,48.6,8.4,0.0,12.2,100,95.6,114.5
2016-2017,TORONTO RAPTORS,2016-10-26,240,41,86,3,18,24,29,14,37,17,8,0,11,22,0.552,0.494,0.209,0.337,30.4,82.2,56.0,41.5,8.4,0.0,10.0,100,114.5,95.6
2016-2017,WASHINGTON WIZARDS,2016-10-27,240,40,94,6,20,13,18,12,28,25,14,4,19,20,0.486,0.457,0.213,0.191,24.0,66.7,43.5,62.5,13.5,6.5,15.7,100,95.7,110.2
2016-2017,ATLANTA HAWKS,2016-10-27,240,44,88,12,26,14,18,14,38,28,13,7,21,19,0.594,0.568,0.295,0.205,33.3,76.0,56.5,63.6,12.6,9.5,18.0,100,110.2,95.7
2016-2017,BOSTON CELTICS,2016-10-27,240,38,76,8,23,15,24,3,33,22,6,6,11,25,0.5720000000000001,0.5529999999999999,0.303,0.316,7.5,64.7,39.6,57.9,6.4,9.0,11.3,100,105.1,111.5
2016-2017,CHICAGO BULLS,2016-10-27,240,36,92,11,25,22,30,18,37,25,5,1,12,21,0.499,0.451,0.272,0.326,35.3,92.5,60.4,69.4,5.3,1.9,10.2,100,111.5,105.1
2016-2017,LOS ANGELES CLIPPERS,2016-10-27,240,37,91,8,29,32,46,15,33,12,10,4,7,25,0.512,0.451,0.319,0.505,27.8,78.6,50.0,32.4,9.9,6.0,5.9,100,113.1,105.2
2016-2017,PORTLAND TRAIL BLAZERS,2016-10-27,240,39,85,4,18,24,32,9,39,18,4,4,14,34,0.535,0.48200000000000004,0.212,0.376,21.4,72.2,50.0,46.2,4.0,6.5,12.4,100,105.2,113.1
