season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,during_playoffs
2017-2018,DETROIT PISTONS,2017-10-20,240,43,87,10,23,15,20,10,23,19,12,1,19,32,0.579,0.552,0.264,0.23,25.0,76.7,47.1,44.2,12.1,1.7,16.6,100,111.8,115.9,0
2017-2018,WASHINGTON WIZARDS,2017-10-20,240,40,75,6,17,29,35,7,30,25,12,7,16,18,0.636,0.573,0.227,0.467,23.3,75.0,52.9,62.5,12.1,10.9,15.0,100,115.9,111.8,0
2017-2018,SAN ANTONIO SPURS,2017-10-21,240,38,93,1,12,10,16,14,38,25,8,3,11,14,0.435,0.414,0.129,0.172,25.9,82.6,52.0,65.8,8.4,5.6,9.9,100,91.5,80.9,0
2017-2018,CHICAGO BULLS,2017-10-21,240,31,82,8,28,7,9,8,40,18,3,5,19,15,0.448,0.4270000000000001,0.341,0.11,17.4,74.1,48.0,58.1,3.2,6.2,18.1,100,80.9,91.5,0
2017-2018,ORLANDO MAGIC,2017-10-21,240,40,90,17,35,17,20,12,38,28,7,6,12,28,0.5770000000000001,0.539,0.389,0.222,26.7,77.6,53.2,70.0,7.2,9.8,10.8,100,116.4,95.0,0
2017-2018,CLEVELAND CAVALIERS,2017-10-21,240,33,86,7,25,20,27,11,33,15,4,7,16,14,0.475,0.424,0.29100000000000004,0.314,22.4,73.3,46.8,45.5,4.1,12.7,14.0,100,95.0,116.4,0
2017-2018,SACRAMENTO KINGS,2017-10-21,240,31,85,8,22,9,13,12,27,15,6,3,13,21,0.435,0.412,0.259,0.153,23.1,60.0,40.2,48.4,6.7,5.5,12.5,100,88.6,107.7,0
2017-2018,DENVER NUGGETS,2017-10-21,240,37,85,10,30,12,20,18,40,25,7,2,16,19,0.512,0.494,0.353,0.235,40.0,76.9,59.8,67.6,7.9,3.2,14.6,100,107.7,88.6,0
2017-2018,DALLAS MAVERICKS,2017-10-21,240,31,84,13,31,16,21,8,33,19,6,0,14,19,0.488,0.446,0.369,0.25,14.8,80.5,43.2,61.3,6.2,0.0,13.1,100,94.4,111.0,0
2017-2018,HOUSTON ROCKETS,2017-10-21,240,39,82,11,47,18,22,8,46,17,12,4,13,24,0.584,0.5429999999999999,0.573,0.268,19.5,85.2,56.8,43.6,12.4,7.5,12.4,100,111.0,94.4,0
2017-2018,PHOENIX SUNS,2017-10-21,240,27,71,6,24,28,38,4,32,19,8,3,19,27,0.502,0.423,0.338,0.535,8.7,76.2,40.9,70.4,7.9,4.8,17.8,100,86.7,128.1,0
2017-2018,LOS ANGELES CLIPPERS,2017-10-21,240,48,88,12,26,22,30,10,42,26,12,2,12,32,0.642,0.614,0.295,0.341,23.8,91.3,59.1,54.2,11.8,4.3,10.6,100,128.1,86.7,0
2017-2018,GOLDEN STATE WARRIORS,2017-10-21,240,33,84,12,38,23,27,12,34,20,10,7,17,28,0.527,0.464,0.452,0.321,26.1,85.0,53.5,60.6,10.2,14.0,15.1,100,102.7,112.8,0
2017-2018,MEMPHIS GRIZZLIES,2017-10-21,240,36,77,10,27,29,37,6,34,20,8,4,14,25,0.595,0.532,0.35100000000000003,0.481,15.0,73.9,46.5,55.6,8.1,8.7,13.0,100,112.8,102.7,0
2017-2018,INDIANA PACERS,2017-10-21,240,43,96,7,19,15,21,13,32,18,9,4,10,18,0.513,0.484,0.198,0.219,25.0,84.2,50.0,41.9,9.0,7.5,8.7,100,108.1,112.2,0
2017-2018,MIAMI HEAT,2017-10-21,240,45,87,14,34,8,14,6,39,24,6,11,14,19,0.601,0.598,0.391,0.161,15.8,75.0,50.0,53.3,6.0,14.3,13.1,100,112.2,108.1,0
2017-2018,PORTLAND TRAIL BLAZERS,2017-10-21,240,34,81,11,28,31,35,13,29,18,10,6,16,22,0.5710000000000001,0.488,0.34600000000000003,0.4320000000000001,31.7,80.6,54.5,52.9,10.4,9.7,14.2,100,113.9,117.0,0
2017-2018,MILWAUKEE BUCKS,2017-10-21,240,42,80,7,18,22,30,7,28,22,9,8,14,23,0.606,0.569,0.225,0.375,19.4,68.3,45.5,52.4,9.3,15.1,13.1,100,117.0,113.9,0
2017-2018,DETROIT PISTONS,2017-10-21,240,44,91,9,30,14,15,15,28,21,5,2,12,25,0.569,0.5329999999999999,0.33,0.165,35.7,70.0,52.4,47.7,5.5,3.9,10.9,100,121.8,117.4,0
2017-2018,NEW YORK KNICKS,2017-10-21,240,37,81,8,30,25,31,12,27,20,6,2,12,21,0.565,0.506,0.37,0.383,30.0,64.3,47.6,54.1,6.6,3.3,11.3,100,117.4,121.8,0
2017-2018,PHILADELPHIA 76ERS,2017-10-21,240,32,82,8,24,22,36,8,33,18,5,4,20,26,0.48,0.439,0.293,0.439,15.7,80.5,44.6,56.3,4.7,8.9,17.0,100,87.4,119.1,0
2017-2018,TORONTO RAPTORS,2017-10-21,240,42,89,13,44,31,37,8,43,23,5,10,13,29,0.608,0.545,0.494,0.416,19.5,84.3,55.4,54.8,4.7,17.2,11.0,100,119.1,87.4,0
2017-2018,OKLAHOMA CITY THUNDER,2017-10-21,240,32,78,11,33,12,19,8,30,15,14,4,17,16,0.504,0.481,0.423,0.244,19.0,81.1,48.1,46.9,15.1,8.3,16.4,100,93.6,103.3,0
2017-2018,UTAH JAZZ,2017-10-21,240,38,77,9,29,11,14,7,34,22,11,4,18,21,0.5770000000000001,0.552,0.377,0.182,18.9,81.0,51.9,57.9,11.8,8.9,17.8,100,103.3,93.6,0
2017-2018,ATLANTA HAWKS,2017-10-22,240,32,94,7,27,33,36,16,32,21,6,2,16,25,0.473,0.378,0.287,0.383,29.6,71.1,48.5,65.6,5.7,3.3,12.7,100,99.5,110.9,0
2017-2018,BROOKLYN NETS,2017-10-22,240,41,87,11,27,23,34,13,38,27,12,8,18,27,0.569,0.534,0.31,0.391,28.9,70.4,51.5,65.9,11.5,11.9,15.0,100,110.9,99.5,0
2017-2018,NEW ORLEANS PELICANS,2017-10-22,240,47,83,10,32,15,21,6,36,26,14,5,18,20,0.645,0.627,0.386,0.253,17.1,80.0,52.5,55.3,13.5,7.9,16.3,100,114.4,107.7,0
2017-2018,LOS ANGELES LAKERS,2017-10-22,240,44,90,9,27,15,20,9,29,27,7,6,17,24,0.5670000000000001,0.539,0.3,0.222,20.0,82.9,47.5,61.4,6.7,11.8,14.7,100,107.7,114.4,0
2017-2018,MINNESOTA TIMBERWOLVES,2017-10-22,240,43,86,10,25,19,23,10,35,25,5,1,17,17,0.598,0.5579999999999999,0.29100000000000004,0.267,27.0,79.5,55.6,58.1,4.9,1.5,15.0,100,113.7,111.8,0
2017-2018,OKLAHOMA CITY THUNDER,2017-10-22,240,46,96,11,31,10,16,9,27,26,9,6,11,22,0.5479999999999999,0.536,0.32299999999999995,0.16699999999999998,20.5,73.0,44.4,56.5,8.9,9.8,9.6,100,111.8,113.7,0
2017-2018,GOLDEN STATE WARRIORS,2017-10-23,240,48,86,15,39,22,26,10,40,33,6,8,16,23,0.682,0.645,0.453,0.302,26.3,74.1,54.3,68.8,5.8,11.9,14.1,100,129.4,100.2,0
2017-2018,DALLAS MAVERICKS,2017-10-23,240,38,96,9,29,18,30,14,28,21,11,0,12,20,0.472,0.443,0.302,0.313,25.9,73.7,45.7,55.3,10.7,0.0,9.9,100,100.2,129.4,0
2017-2018,WASHINGTON WIZARDS,2017-10-23,240,37,84,9,30,26,28,10,28,24,13,3,15,24,0.5660000000000001,0.494,0.35700000000000004,0.333,22.2,75.7,46.3,64.9,13.0,5.3,13.5,100,108.7,103.7,0
2017-2018,DENVER NUGGETS,2017-10-23,240,39,80,8,23,18,23,9,35,27,5,2,23,22,0.5770000000000001,0.5379999999999999,0.28800000000000003,0.28800000000000003,24.3,77.8,53.7,69.2,5.0,3.7,20.3,100,103.7,108.7,0
2017-2018,PHILADELPHIA 76ERS,2017-10-23,240,35,75,9,24,18,24,8,41,25,11,0,21,24,0.5670000000000001,0.527,0.32,0.32,21.1,82.0,55.7,71.4,11.4,0.0,19.7,100,100.4,89.0,0
2017-2018,DETROIT PISTONS,2017-10-23,240,33,85,6,30,14,19,9,30,14,5,2,14,21,0.461,0.424,0.353,0.224,18.0,78.9,44.3,42.4,5.2,3.9,13.0,100,89.0,100.4,0
2017-2018,MEMPHIS GRIZZLIES,2017-10-23,240,29,68,6,19,34,37,3,35,16,5,2,12,21,0.581,0.471,0.279,0.544,9.1,79.5,49.4,55.2,5.5,5.1,12.5,100,106.9,98.2,0
2017-2018,HOUSTON ROCKETS,2017-10-23,240,32,77,9,38,17,23,9,30,25,5,2,16,31,0.517,0.474,0.494,0.299,20.5,90.9,50.6,78.1,5.5,4.1,15.5,100,98.2,106.9,0
2017-2018,ATLANTA HAWKS,2017-10-23,240,36,76,7,17,14,18,6,35,14,9,1,20,17,0.5539999999999999,0.52,0.224,0.237,16.2,77.8,50.0,38.9,9.2,2.1,19.2,100,94.6,105.8,0
2017-2018,MIAMI HEAT,2017-10-23,240,39,85,14,37,12,18,10,31,21,12,6,19,19,0.56,0.541,0.435,0.212,22.2,83.8,50.0,53.8,12.2,10.2,17.0,100,105.8,94.6,0
2017-2018,CHARLOTTE HORNETS,2017-10-23,240,33,78,7,26,21,36,10,38,17,3,5,14,21,0.501,0.468,0.333,0.462,21.3,88.4,53.3,51.5,3.1,8.5,13.0,100,96.4,105.7,0
2017-2018,MILWAUKEE BUCKS,2017-10-23,240,40,85,9,26,14,16,5,37,24,8,4,13,27,0.56,0.524,0.306,0.188,11.6,78.7,46.7,60.0,8.2,7.7,12.4,100,105.7,96.4,0
2017-2018,SACRAMENTO KINGS,2017-10-23,240,43,99,9,22,20,29,13,24,19,13,2,9,25,0.514,0.48,0.222,0.293,25.0,80.0,45.1,44.2,12.7,4.3,7.5,100,112.2,114.2,0
2017-2018,PHOENIX SUNS,2017-10-23,240,42,77,10,30,23,27,6,39,20,6,5,20,25,0.6579999999999999,0.61,0.39,0.35100000000000003,20.0,75.0,54.9,47.6,5.9,6.5,18.4,100,114.2,112.2,0
2017-2018,TORONTO RAPTORS,2017-10-23,240,34,80,10,37,19,24,5,29,17,11,4,14,30,0.536,0.488,0.463,0.3,11.9,61.7,38.2,50.0,11.2,5.7,13.4,100,98.8,102.8,0
2017-2018,SAN ANTONIO SPURS,2017-10-23,240,40,90,5,20,16,23,18,37,19,4,12,20,22,0.504,0.472,0.222,0.256,38.3,88.1,61.8,47.5,4.1,27.9,16.7,100,102.8,98.8,0
2017-2018,NEW YORK KNICKS,2017-10-24,240,36,85,1,12,16,25,11,32,20,8,2,14,17,0.464,0.429,0.141,0.294,23.4,86.5,51.2,55.6,8.5,4.3,12.7,100,94.2,116.4,0
2017-2018,BOSTON CELTICS,2017-10-24,240,37,75,14,29,22,27,5,36,26,11,7,12,24,0.633,0.5870000000000001,0.387,0.36,13.5,76.6,48.8,70.3,11.6,9.6,12.1,100,116.4,94.2,0
2017-2018,CHICAGO BULLS,2017-10-24,240,42,88,17,33,11,13,8,31,28,3,3,9,20,0.598,0.574,0.375,0.14800000000000002,20.5,79.5,50.0,66.7,3.3,6.7,8.8,100,121.7,129.3,0
2017-2018,CLEVELAND CAVALIERS,2017-10-24,240,43,83,16,38,17,22,8,31,28,5,3,9,14,0.642,0.614,0.458,0.265,20.5,79.5,50.0,65.1,5.4,5.5,8.9,100,129.3,121.7,0
2017-2018,UTAH JAZZ,2017-10-24,240,34,79,7,28,9,11,8,33,20,7,7,18,23,0.501,0.475,0.354,0.139,19.5,75.0,48.2,58.8,7.6,13.0,17.7,100,91.0,110.5,0
2017-2018,LOS ANGELES CLIPPERS,2017-10-24,240,39,83,10,29,14,21,11,33,21,12,4,13,16,0.5529999999999999,0.53,0.349,0.253,25.0,80.5,51.8,53.8,13.0,7.8,12.4,100,110.5,91.0,0
2017-2018,INDIANA PACERS,2017-10-24,240,56,84,10,22,8,11,8,34,31,8,2,17,21,0.732,0.726,0.262,0.131,30.8,79.1,60.9,55.4,8.2,3.2,16.1,100,133.2,109.7,0
2017-2018,MINNESOTA TIMBERWOLVES,2017-10-24,240,42,86,9,24,14,22,9,18,27,9,4,14,14,0.5589999999999999,0.541,0.279,0.256,20.9,69.2,39.1,64.3,9.2,6.5,12.8,100,109.7,133.2,0
2017-2018,BROOKLYN NETS,2017-10-24,240,40,96,11,35,30,34,14,35,21,8,4,15,27,0.545,0.474,0.365,0.354,26.9,85.4,52.7,52.5,7.6,6.7,11.9,100,114.2,118.0,0
2017-2018,ORLANDO MAGIC,2017-10-24,240,41,83,8,23,35,40,6,38,20,8,5,11,23,0.621,0.542,0.277,0.482,14.6,73.1,47.3,48.8,7.6,8.2,9.9,100,118.0,114.2,0
2017-2018,NEW ORLEANS PELICANS,2017-10-24,240,30,76,9,30,24,32,4,38,17,5,7,17,26,0.516,0.454,0.395,0.421,8.2,67.9,40.0,56.7,4.9,11.9,15.9,100,92.0,101.9,0
2017-2018,PORTLAND TRAIL BLAZERS,2017-10-24,240,33,88,10,29,27,33,18,45,17,7,7,18,22,0.502,0.4320000000000001,0.33,0.375,32.1,91.8,60.0,51.5,6.9,15.2,14.9,100,101.9,92.0,0
2017-2018,CLEVELAND CAVALIERS,2017-10-25,240,39,81,12,35,17,26,9,38,21,5,7,21,17,0.579,0.556,0.4320000000000001,0.321,24.3,79.2,55.3,53.8,4.9,14.9,18.5,100,105.4,110.3,0
2017-2018,BROOKLYN NETS,2017-10-25,240,40,93,17,46,15,21,10,28,22,11,3,12,22,0.5479999999999999,0.522,0.495,0.226,20.8,75.7,44.7,55.0,10.8,6.5,10.5,100,110.3,105.4,0
2017-2018,DENVER NUGGETS,2017-10-25,240,38,100,8,31,9,15,18,33,18,6,1,13,23,0.436,0.42,0.31,0.15,31.0,76.7,50.5,47.4,6.2,2.0,10.9,100,96.3,113.9,0
2017-2018,CHARLOTTE HORNETS,2017-10-25,240,38,81,13,31,21,26,10,40,17,5,5,14,16,0.595,0.5489999999999999,0.383,0.321,23.3,69.0,49.5,44.7,5.2,7.2,13.2,100,113.9,96.3,0
2017-2018,MEMPHIS GRIZZLIES,2017-10-25,240,33,72,12,31,16,24,6,30,14,7,2,17,22,0.569,0.542,0.431,0.333,16.2,88.2,50.7,42.4,7.6,4.2,17.1,100,102.4,112.2,0
2017-2018,DALLAS MAVERICKS,2017-10-25,240,36,74,11,26,20,29,4,31,20,6,4,11,20,0.594,0.561,0.35100000000000003,0.392,11.8,83.8,49.3,55.6,6.5,9.8,11.3,100,112.2,102.4,0
2017-2018,MINNESOTA TIMBERWOLVES,2017-10-25,240,37,85,9,25,18,21,7,30,19,5,4,14,19,0.536,0.488,0.294,0.247,16.7,71.4,44.0,51.4,5.0,6.9,12.9,100,101.9,123.1,0
2017-2018,DETROIT PISTONS,2017-10-25,240,48,92,15,34,11,17,12,35,32,7,3,14,22,0.613,0.603,0.37,0.185,28.6,83.3,56.0,66.7,7.1,5.0,12.3,100,123.1,101.9,0
2017-2018,TORONTO RAPTORS,2017-10-25,240,43,94,8,34,18,19,17,25,30,10,6,16,16,0.547,0.5,0.362,0.202,35.4,80.6,53.2,69.8,10.3,11.8,13.5,100,115.4,120.6,0
2017-2018,GOLDEN STATE WARRIORS,2017-10-25,240,43,77,12,26,19,22,6,31,32,10,7,17,15,0.675,0.636,0.338,0.28600000000000003,19.4,64.6,46.8,74.4,10.3,11.7,16.4,100,120.6,115.4,0
2017-2018,WASHINGTON WIZARDS,2017-10-25,265,39,95,6,26,15,23,7,38,20,11,5,13,19,0.471,0.442,0.274,0.242,13.0,86.4,45.9,51.3,9.9,8.1,11.0,100,89.4,92.1,0
