season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,during_playoffs
2017-2018,BOSTON CELTICS,2017-10-17,240,36,88,8,32,19,25,9,37,24,11,4,10,24,0.5,0.455,0.364,0.284,18.0,80.4,47.9,66.7,11.1,6.6,9.2,100,99.7,102.7,0
2017-2018,CLEVELAND CAVALIERS,2017-10-17,240,38,83,5,22,21,25,9,41,19,3,4,17,25,0.5429999999999999,0.488,0.265,0.301,19.6,82.0,52.1,50.0,3.0,7.1,15.3,100,102.7,99.7,0
2017-2018,HOUSTON ROCKETS,2017-10-17,240,47,97,15,41,13,19,10,33,28,9,5,12,16,0.579,0.562,0.423,0.196,22.2,84.6,51.2,59.6,8.8,10.0,10.2,100,119.6,118.6,0
2017-2018,GOLDEN STATE WARRIORS,2017-10-17,240,43,80,16,30,19,21,6,35,34,5,9,17,25,0.6779999999999999,0.638,0.375,0.263,15.4,77.8,48.8,79.1,4.9,16.1,16.0,100,118.6,119.6,0
2017-2018,MILWAUKEE BUCKS,2017-10-18,240,38,76,7,21,25,30,6,39,19,6,4,15,22,0.605,0.546,0.276,0.395,15.8,78.0,51.1,50.0,6.1,6.3,14.4,100,110.4,102.2,0
2017-2018,BOSTON CELTICS,2017-10-18,240,39,91,11,28,11,21,11,32,23,12,2,12,27,0.499,0.489,0.308,0.231,22.0,84.2,48.9,59.0,12.3,3.6,10.7,100,102.2,110.4,0
2017-2018,ATLANTA HAWKS,2017-10-18,240,48,94,9,18,12,15,14,36,20,11,6,13,18,0.5820000000000001,0.5589999999999999,0.191,0.16,30.4,80.0,54.9,41.7,11.2,14.6,11.4,100,118.7,112.6,0
2017-2018,DALLAS MAVERICKS,2017-10-18,240,38,86,17,45,18,21,9,32,27,5,4,15,19,0.583,0.541,0.523,0.244,20.0,69.6,45.1,71.1,5.1,5.3,13.6,100,112.6,118.7,0
2017-2018,CHARLOTTE HORNETS,2017-10-18,240,29,73,9,30,23,29,3,44,16,4,3,17,15,0.525,0.459,0.411,0.397,7.3,83.0,50.0,55.2,4.1,4.3,16.5,100,91.4,103.6,0
2017-2018,DETROIT PISTONS,2017-10-18,240,41,96,9,26,11,12,9,38,24,14,3,8,21,0.504,0.474,0.271,0.125,17.0,92.7,50.0,58.5,14.2,7.0,7.3,100,103.6,91.4,0
2017-2018,BROOKLYN NETS,2017-10-18,240,45,94,12,30,29,32,11,32,22,7,2,20,25,0.606,0.5429999999999999,0.319,0.34,25.0,69.6,47.8,48.9,6.2,2.9,15.6,100,115.7,123.6,0
2017-2018,INDIANA PACERS,2017-10-18,240,53,102,9,34,25,32,14,33,29,12,9,14,25,0.603,0.564,0.333,0.314,30.4,75.0,52.2,54.7,10.6,14.1,10.8,100,123.6,115.7,0
2017-2018,NEW ORLEANS PELICANS,2017-10-18,240,30,79,7,25,24,29,16,35,15,4,12,17,31,0.496,0.424,0.316,0.3670000000000001,34.8,70.0,53.1,50.0,4.3,19.0,15.6,100,97.6,110.4,0
2017-2018,MEMPHIS GRIZZLIES,2017-10-18,240,39,92,9,29,16,28,15,30,19,9,8,11,29,0.494,0.473,0.315,0.304,30.0,65.2,46.9,48.7,9.6,14.8,9.5,100,110.4,97.6,0
2017-2018,MIAMI HEAT,2017-10-18,240,44,101,8,30,13,17,11,33,27,6,4,13,20,0.502,0.475,0.297,0.168,22.0,75.0,46.8,61.4,5.7,5.8,10.7,100,103.6,110.3,0
2017-2018,ORLANDO MAGIC,2017-10-18,240,43,90,8,21,22,29,11,39,22,8,9,14,18,0.564,0.522,0.233,0.322,25.0,78.0,53.2,51.2,7.6,12.7,12.0,100,110.3,103.6,0
2017-2018,PORTLAND TRAIL BLAZERS,2017-10-18,240,44,90,14,24,22,28,15,42,22,8,7,16,20,0.606,0.5670000000000001,0.267,0.311,39.5,80.8,63.3,50.0,8.1,11.3,13.5,100,125.6,77.0,0
2017-2018,PHOENIX SUNS,2017-10-18,240,28,89,7,27,13,18,10,23,10,9,8,16,22,0.392,0.354,0.303,0.202,19.2,60.5,36.7,35.7,9.1,12.1,14.2,100,77.0,125.6,0
2017-2018,HOUSTON ROCKETS,2017-10-18,240,33,83,12,45,27,29,12,32,19,7,3,14,14,0.5479999999999999,0.47,0.542,0.349,26.7,78.0,51.2,57.6,7.3,4.6,12.8,100,109.1,103.9,0
2017-2018,SACRAMENTO KINGS,2017-10-18,240,42,88,8,23,8,10,9,33,19,5,4,17,20,0.541,0.523,0.261,0.114,22.0,73.3,48.8,45.2,5.2,10.5,15.5,100,103.9,109.1,0
2017-2018,MINNESOTA TIMBERWOLVES,2017-10-18,240,37,85,8,19,17,23,11,31,23,7,4,13,16,0.52,0.482,0.224,0.271,22.4,72.1,45.7,62.2,7.4,5.9,12.0,100,104.8,113.3,0
2017-2018,SAN ANTONIO SPURS,2017-10-18,240,41,89,8,21,17,19,12,38,22,8,11,11,18,0.55,0.506,0.236,0.213,27.9,77.6,54.3,53.7,8.5,16.7,10.2,100,113.3,104.8,0
2017-2018,DENVER NUGGETS,2017-10-18,240,36,77,13,27,11,12,7,31,21,4,3,20,18,0.583,0.552,0.35100000000000003,0.156,18.9,83.8,51.4,58.3,4.2,5.3,19.6,100,101.6,112.2,0
2017-2018,UTAH JAZZ,2017-10-18,240,41,81,9,24,15,16,6,30,28,9,5,15,18,0.602,0.562,0.29600000000000004,0.198,16.2,81.1,48.6,68.3,9.5,10.0,14.6,100,112.2,101.6,0
2017-2018,PHILADELPHIA 76ERS,2017-10-18,240,43,93,15,35,14,19,11,37,25,6,6,17,28,0.5670000000000001,0.5429999999999999,0.376,0.204,23.4,69.8,48.0,58.1,5.8,8.0,14.4,100,110.3,115.1,0
2017-2018,WASHINGTON WIZARDS,2017-10-18,240,42,97,6,22,30,38,16,36,21,8,10,9,20,0.528,0.464,0.227,0.392,30.2,76.6,52.0,50.0,7.7,17.2,7.3,100,115.1,110.3,0
2017-2018,LOS ANGELES CLIPPERS,2017-10-19,240,42,107,12,33,12,13,17,42,23,12,3,14,20,0.479,0.449,0.308,0.121,29.8,77.8,53.2,54.8,11.3,4.0,11.0,100,102.0,86.9,0
2017-2018,LOS ANGELES LAKERS,2017-10-19,240,37,91,4,16,14,23,12,40,21,8,7,19,15,0.455,0.429,0.17600000000000002,0.253,22.2,70.2,46.8,56.8,7.6,9.5,15.8,100,86.9,102.0,0
2017-2018,NEW YORK KNICKS,2017-10-19,240,32,79,7,24,13,19,11,30,19,8,4,25,23,0.481,0.449,0.304,0.241,28.2,69.8,50.0,59.4,8.1,7.7,22.2,100,85.0,106.2,0
2017-2018,OKLAHOMA CITY THUNDER,2017-10-19,240,39,90,11,38,16,22,13,28,26,14,7,18,22,0.527,0.494,0.422,0.244,30.2,71.8,50.0,66.7,14.2,12.7,15.3,100,106.2,85.0,0
2017-2018,CHICAGO BULLS,2017-10-19,240,37,89,10,32,16,18,10,29,22,7,2,19,23,0.516,0.472,0.36,0.202,21.7,69.0,44.3,59.5,7.0,3.7,16.4,100,100.1,117.2,0
2017-2018,TORONTO RAPTORS,2017-10-19,240,39,83,13,29,26,28,13,36,26,10,4,17,19,0.614,0.5479999999999999,0.349,0.337,31.0,78.3,55.7,66.7,10.0,7.0,15.1,100,117.2,100.1,0
2017-2018,ORLANDO MAGIC,2017-10-20,240,45,89,18,33,13,15,9,31,30,9,3,22,27,0.633,0.607,0.371,0.16899999999999998,21.4,67.4,45.5,66.7,8.4,4.6,18.7,100,112.6,117.3,0
2017-2018,BROOKLYN NETS,2017-10-20,240,46,92,9,27,25,35,15,33,22,13,6,18,17,0.5870000000000001,0.5489999999999999,0.293,0.38,32.6,78.6,54.5,47.8,12.1,10.7,14.4,100,117.3,112.6,0
2017-2018,ATLANTA HAWKS,2017-10-20,240,36,95,7,30,12,14,6,32,19,11,4,13,29,0.45,0.416,0.316,0.147,11.8,72.7,40.0,52.8,10.4,8.0,11.4,100,86.3,103.4,0
2017-2018,CHARLOTTE HORNETS,2017-10-20,240,37,86,11,36,24,30,12,45,17,5,4,21,18,0.5489999999999999,0.494,0.419,0.349,27.3,88.2,60.0,45.9,4.7,6.2,17.5,100,103.4,86.3,0
2017-2018,SACRAMENTO KINGS,2017-10-20,240,37,87,10,23,9,13,16,41,20,8,3,14,18,0.502,0.483,0.264,0.149,35.6,85.4,61.3,54.1,9.1,7.1,13.1,100,105.9,100.2,0
2017-2018,DALLAS MAVERICKS,2017-10-20,240,31,75,11,33,15,21,7,29,19,8,7,12,13,0.522,0.487,0.44,0.28,14.6,64.4,38.7,61.3,9.1,10.9,12.5,100,100.2,105.9,0
2017-2018,PORTLAND TRAIL BLAZERS,2017-10-20,240,46,95,9,19,13,17,11,40,19,5,6,9,26,0.556,0.532,0.2,0.179,25.0,87.0,56.7,41.3,5.1,10.0,8.1,100,117.0,98.5,0
2017-2018,INDIANA PACERS,2017-10-20,240,35,78,4,18,22,33,6,33,15,1,4,12,17,0.519,0.474,0.231,0.423,13.0,75.0,43.3,42.9,1.0,5.3,11.5,100,98.5,117.0,0
2017-2018,CLEVELAND CAVALIERS,2017-10-20,240,44,81,11,26,17,17,9,35,25,8,3,17,11,0.6559999999999999,0.611,0.321,0.21,29.0,81.4,59.5,56.8,8.6,6.4,16.1,100,125.2,104.7,0
2017-2018,MILWAUKEE BUCKS,2017-10-20,240,38,82,11,35,10,12,8,22,23,9,2,14,17,0.556,0.53,0.4270000000000001,0.146,18.6,71.0,40.5,60.5,9.7,3.6,13.8,100,104.7,125.2,0
2017-2018,UTAH JAZZ,2017-10-20,240,37,77,9,22,14,17,7,31,23,10,8,19,21,0.574,0.539,0.28600000000000003,0.221,17.1,75.6,46.3,62.2,10.5,13.6,18.4,100,102.0,105.2,0
2017-2018,MINNESOTA TIMBERWOLVES,2017-10-20,240,36,81,7,22,21,26,10,34,17,11,2,15,17,0.541,0.488,0.272,0.321,24.4,82.9,53.7,47.2,11.6,3.6,14.0,100,105.2,102.0,0
2017-2018,GOLDEN STATE WARRIORS,2017-10-20,240,47,92,18,41,16,20,10,39,29,6,8,18,23,0.635,0.609,0.446,0.217,22.2,70.9,49.0,61.7,5.6,12.9,15.2,100,119.3,111.8,0
2017-2018,NEW ORLEANS PELICANS,2017-10-20,240,45,98,16,36,14,22,16,35,26,8,4,17,19,0.557,0.541,0.3670000000000001,0.224,29.1,77.8,51.0,57.8,7.5,7.8,13.6,100,111.8,119.3,0
2017-2018,BOSTON CELTICS,2017-10-20,240,35,84,10,29,22,32,14,41,16,4,5,19,24,0.52,0.476,0.345,0.381,29.8,74.5,53.9,45.7,4.0,8.3,16.2,100,102.5,92.4,0
2017-2018,PHILADELPHIA 76ERS,2017-10-20,240,35,92,10,32,12,16,14,33,20,7,4,16,30,0.464,0.435,0.348,0.174,25.5,70.2,46.1,57.1,7.0,7.3,13.9,100,92.4,102.5,0
2017-2018,LOS ANGELES LAKERS,2017-10-20,240,48,93,12,26,24,33,5,37,22,8,3,18,31,0.614,0.581,0.28,0.355,11.1,78.7,45.7,45.8,6.8,4.8,14.3,100,112.7,110.9,0
2017-2018,PHOENIX SUNS,2017-10-20,240,45,92,14,29,26,38,10,40,17,8,9,19,25,0.598,0.565,0.315,0.413,21.3,88.9,54.3,37.8,6.8,13.4,14.9,100,110.9,112.7,0
