Season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
2013-2014,ORLANDO MAGIC,2013-10-29,240,36,93,9,19,6,10,13,26,17,10,6,17,26,0.447,0.435,0.204,0.10800000000000001,27.7,72.2,47.0,47.2,10.5,11.1,14.9,100,91.6,102.1
2013-2014,INDIANA PACERS,2013-10-29,240,34,71,7,17,22,32,10,34,17,4,18,20,13,0.57,0.528,0.239,0.451,27.8,72.3,53.0,50.0,4.2,24.3,19.0,100,102.1,91.6
2013-2014,LOS ANGELES CLIPPERS,2013-10-29,240,41,83,8,21,13,23,10,30,27,11,4,16,21,0.5529999999999999,0.542,0.253,0.27699999999999997,22.7,62.5,43.5,65.9,11.0,6.3,14.7,100,102.6,115.6
2013-2014,LOS ANGELES LAKERS,2013-10-29,240,42,93,14,29,18,28,18,34,23,8,6,19,23,0.551,0.527,0.312,0.301,37.5,77.3,56.5,54.8,8.0,9.7,15.3,100,115.6,102.6
2013-2014,CHICAGO BULLS,2013-10-29,240,35,83,7,26,18,23,11,30,23,11,4,18,27,0.51,0.46399999999999997,0.313,0.27699999999999997,23.9,85.7,50.6,65.7,11.3,7.7,16.2,100,97.9,110.2
2013-2014,MIAMI HEAT,2013-10-29,240,37,72,11,20,22,29,5,35,26,10,7,18,21,0.631,0.59,0.278,0.40299999999999997,14.3,76.1,49.4,70.3,10.3,12.3,17.5,100,110.2,97.9
2013-2014,BROOKLYN NETS,2013-10-30,240,33,82,9,24,19,24,9,28,24,8,8,15,27,0.508,0.457,0.293,0.293,22.0,63.6,43.5,72.7,8.7,11.6,13.9,100,101.8,106.2
2013-2014,CLEVELAND CAVALIERS,2013-10-30,240,35,84,5,15,23,34,16,32,21,7,3,11,20,0.495,0.446,0.179,0.405,36.4,78.0,56.5,60.0,7.6,5.2,10.0,100,106.2,101.8
2013-2014,ATLANTA HAWKS,2013-10-30,240,37,76,8,24,27,35,5,28,27,16,5,17,20,0.596,0.539,0.316,0.461,12.5,80.0,44.0,73.0,15.9,9.4,15.7,100,108.3,117.2
2013-2014,DALLAS MAVERICKS,2013-10-30,240,44,77,11,24,19,24,7,35,31,7,2,20,22,0.674,0.643,0.312,0.312,20.0,87.5,56.0,70.5,7.0,3.8,18.6,100,117.2,108.3
2013-2014,WASHINGTON WIZARDS,2013-10-30,240,34,78,10,25,24,32,13,25,23,5,3,16,30,0.5539999999999999,0.5,0.321,0.41,28.9,67.6,46.3,67.6,5.3,5.6,14.8,100,108.0,119.7
2013-2014,DETROIT PISTONS,2013-10-30,240,39,78,9,24,26,33,12,32,24,6,4,18,27,0.611,0.5579999999999999,0.308,0.423,32.4,71.1,53.7,61.5,6.4,7.5,16.3,100,119.7,108.0
2013-2014,LOS ANGELES LAKERS,2013-10-30,240,35,89,8,18,16,21,9,30,19,5,4,16,22,0.478,0.43799999999999994,0.20199999999999999,0.23600000000000002,18.0,81.1,44.8,54.3,4.9,6.8,14.0,100,91.7,121.9
2013-2014,GOLDEN STATE WARRIORS,2013-10-30,240,46,86,15,27,18,23,7,41,34,8,9,15,22,0.65,0.622,0.314,0.267,18.9,82.0,55.2,73.9,7.8,12.7,13.5,100,121.9,91.7
2013-2014,CHARLOTTE BOBCATS,2013-10-30,240,33,90,4,10,13,20,12,25,14,8,6,7,21,0.42,0.389,0.111,0.222,23.1,64.1,40.7,42.4,8.9,11.8,6.6,100,92.7,107.2
2013-2014,HOUSTON ROCKETS,2013-10-30,240,36,76,9,25,15,24,14,40,17,4,6,18,16,0.555,0.5329999999999999,0.32899999999999996,0.316,35.9,76.9,59.3,47.2,4.5,7.5,17.2,100,107.2,92.7
2013-2014,ORLANDO MAGIC,2013-10-30,265,47,100,10,27,11,18,14,40,21,7,6,18,29,0.5329999999999999,0.52,0.27,0.18,28.6,74.1,52.4,44.7,6.3,8.0,14.3,100,104.3,108.8
2013-2014,MINNESOTA TIMBERWOLVES,2013-10-30,265,42,100,8,25,28,34,14,35,27,7,3,14,19,0.522,0.46,0.25,0.34,25.9,71.4,47.6,64.3,6.3,4.1,10.9,100,108.8,104.3
2013-2014,INDIANA PACERS,2013-10-30,240,30,70,10,23,25,30,6,31,19,5,12,16,18,0.5710000000000001,0.5,0.32899999999999996,0.429,17.6,67.4,46.3,63.3,5.5,16.2,16.1,100,104.9,99.4
2013-2014,NEW ORLEANS PELICANS,2013-10-30,240,34,85,5,11,17,21,15,28,17,7,5,15,29,0.478,0.429,0.129,0.247,32.6,82.4,53.8,50.0,7.7,10.6,13.7,100,99.4,104.9
2013-2014,MILWAUKEE BUCKS,2013-10-30,240,34,74,5,16,10,12,5,26,19,10,4,23,22,0.523,0.493,0.21600000000000003,0.162,15.2,81.3,47.7,55.9,10.6,6.9,22.5,100,88.3,95.7
2013-2014,NEW YORK KNICKS,2013-10-30,240,36,71,3,13,15,17,6,28,17,12,6,22,16,0.573,0.528,0.183,0.239,18.8,84.8,52.3,47.2,12.8,10.3,21.9,100,95.7,88.3
2013-2014,MIAMI HEAT,2013-10-30,240,42,85,16,40,10,13,7,24,30,7,0,19,25,0.606,0.588,0.47100000000000003,0.153,17.9,75.0,43.7,71.4,7.0,0.0,17.3,100,110.8,114.8
2013-2014,PHILADELPHIA 76ERS,2013-10-30,240,43,80,8,21,20,24,8,32,24,16,1,18,21,0.629,0.588,0.263,0.3,25.0,82.1,56.3,55.8,16.1,2.2,16.6,100,114.8,110.8
2013-2014,PORTLAND TRAIL BLAZERS,2013-10-30,240,33,81,8,26,17,24,11,28,19,5,5,13,14,0.49700000000000005,0.457,0.321,0.29600000000000004,23.4,71.8,45.3,57.6,5.4,7.8,12.4,100,98.5,112.6
2013-2014,PHOENIX SUNS,2013-10-30,240,43,83,4,19,14,18,11,36,18,8,5,15,17,0.5720000000000001,0.542,0.22899999999999998,0.217,28.2,76.6,54.7,41.9,8.7,9.1,14.2,100,112.6,98.5
2013-2014,DENVER NUGGETS,2013-10-30,240,34,79,5,15,15,17,8,33,19,3,11,18,21,0.509,0.462,0.19,0.215,21.1,75.0,50.0,55.9,3.2,18.3,17.2,100,95.1,97.3
2013-2014,SACRAMENTO KINGS,2013-10-30,240,33,81,8,21,16,23,11,30,13,8,7,14,26,0.494,0.457,0.259,0.284,25.0,78.9,50.0,39.4,8.6,10.9,13.3,100,97.3,95.1
2013-2014,MEMPHIS GRIZZLIES,2013-10-30,240,39,93,8,15,8,15,11,33,24,6,3,14,15,0.47200000000000003,0.462,0.161,0.161,23.4,89.2,52.4,61.5,6.2,5.4,12.3,100,97.6,104.8
2013-2014,SAN ANTONIO SPURS,2013-10-30,240,40,76,11,20,10,16,4,36,25,3,6,15,18,0.608,0.599,0.263,0.21100000000000002,10.8,76.6,47.6,62.5,3.1,7.7,15.3,100,104.8,97.6
2013-2014,BOSTON CELTICS,2013-10-30,240,32,66,3,13,20,29,7,26,15,10,7,22,27,0.552,0.508,0.19699999999999998,0.439,19.4,57.8,40.7,46.9,10.9,10.1,21.8,100,95.1,101.6
2013-2014,TORONTO RAPTORS,2013-10-30,240,38,86,5,17,12,23,19,29,15,9,6,17,25,0.484,0.47100000000000003,0.198,0.267,42.2,80.6,59.3,39.5,9.8,11.3,15.0,100,101.6,95.1
2013-2014,OKLAHOMA CITY THUNDER,2013-10-30,240,33,81,6,19,29,33,10,35,9,15,4,13,24,0.529,0.444,0.235,0.40700000000000003,22.7,77.8,50.6,27.3,15.1,7.0,12.0,100,101.9,98.8
2013-2014,UTAH JAZZ,2013-10-30,240,36,79,6,22,20,30,10,34,25,6,5,22,28,0.531,0.494,0.278,0.38,22.2,77.3,49.4,69.4,6.1,8.1,19.3,100,98.8,101.9
2013-2014,NEW YORK KNICKS,2013-10-31,240,31,86,9,24,10,14,13,29,20,12,8,15,24,0.439,0.413,0.27899999999999997,0.163,27.1,69.0,46.7,64.5,13.5,13.3,14.0,100,91.3,92.5
2013-2014,CHICAGO BULLS,2013-10-31,240,31,76,3,16,17,19,13,35,20,5,3,18,16,0.486,0.428,0.21100000000000002,0.25,31.0,72.9,53.3,64.5,5.6,4.8,17.6,100,92.5,91.3
2013-2014,GOLDEN STATE WARRIORS,2013-10-31,240,40,76,12,21,23,33,10,23,26,7,2,24,35,0.635,0.605,0.276,0.434,26.3,59.0,42.9,65.0,6.8,3.5,21.0,100,111.0,121.6
2013-2014,LOS ANGELES CLIPPERS,2013-10-31,240,42,85,9,28,33,50,16,28,27,15,4,18,30,0.589,0.547,0.32899999999999996,0.588,41.0,73.7,57.1,64.3,14.5,7.3,14.4,100,121.6,111.0
2013-2014,TORONTO RAPTORS,2013-11-01,240,40,88,7,23,8,14,10,32,15,5,6,12,25,0.504,0.494,0.261,0.159,25.0,82.1,53.2,37.5,5.3,11.1,11.3,100,101.4,108.9
2013-2014,ATLANTA HAWKS,2013-11-01,240,36,77,10,23,20,31,7,30,24,7,3,13,12,0.563,0.532,0.299,0.40299999999999997,17.9,75.0,46.8,66.7,7.5,4.6,12.5,100,108.9,101.4
2013-2014,MILWAUKEE BUCKS,2013-11-01,240,35,84,6,15,29,34,17,24,18,10,7,7,24,0.531,0.452,0.179,0.405,33.3,57.1,44.1,51.4,11.4,11.7,6.6,100,119.3,111.3
2013-2014,BOSTON CELTICS,2013-11-01,240,34,76,4,16,26,38,18,34,13,5,7,17,29,0.528,0.474,0.21100000000000002,0.5,42.9,66.7,55.9,38.2,5.7,10.1,15.5,100,111.3,119.3
2013-2014,MIAMI HEAT,2013-11-01,240,32,67,7,14,29,36,4,26,24,10,2,15,29,0.604,0.53,0.209,0.537,10.8,78.8,42.9,75.0,10.8,3.8,15.3,100,107.5,108.6
2013-2014,BROOKLYN NETS,2013-11-01,240,33,68,8,16,27,39,7,33,21,5,5,18,29,0.593,0.544,0.235,0.574,21.2,89.2,57.1,63.6,5.4,9.4,17.4,100,108.6,107.5
2013-2014,CLEVELAND CAVALIERS,2013-11-01,240,32,84,4,18,16,22,11,31,14,9,1,17,29,0.44799999999999995,0.405,0.214,0.262,25.6,86.1,53.2,43.8,9.4,1.6,15.4,100,87.9,94.1
2013-2014,CHARLOTTE BOBCATS,2013-11-01,240,33,73,3,12,21,34,5,32,21,7,8,15,20,0.512,0.473,0.16399999999999998,0.466,13.9,74.4,46.8,63.6,7.3,12.1,14.6,100,94.1,87.9
2013-2014,PORTLAND TRAIL BLAZERS,2013-11-01,240,44,103,14,22,11,15,16,39,25,3,5,7,25,0.516,0.495,0.214,0.146,31.4,66.1,50.0,56.8,3.2,6.2,6.0,100,119.0,103.2
2013-2014,DENVER NUGGETS,2013-11-01,240,36,99,6,18,20,34,20,35,14,6,5,4,19,0.43,0.39399999999999996,0.182,0.34299999999999997,33.9,68.6,50.0,38.9,6.3,6.2,3.4,100,103.2,119.0
2013-2014,DALLAS MAVERICKS,2013-11-01,240,38,100,9,27,20,25,16,27,20,9,7,14,37,0.473,0.425,0.27,0.25,29.6,67.5,45.7,52.6,8.7,15.9,11.2,100,101.9,109.6
2013-2014,HOUSTON ROCKETS,2013-11-01,240,34,73,11,29,34,51,13,38,17,11,4,22,20,0.5920000000000001,0.541,0.397,0.6990000000000001,32.5,70.4,54.3,50.0,10.7,5.5,18.7,100,109.6,101.9
2013-2014,SAN ANTONIO SPURS,2013-11-01,240,38,94,5,21,10,14,12,38,20,7,0,12,18,0.45399999999999996,0.431,0.223,0.149,24.0,82.6,52.1,52.6,7.3,0.0,10.7,100,95.2,88.9
2013-2014,LOS ANGELES LAKERS,2013-11-01,240,30,82,8,27,17,24,8,38,22,4,7,12,19,0.45899999999999996,0.415,0.32899999999999996,0.293,17.4,76.0,47.9,73.3,4.2,9.6,11.5,100,88.9,95.2
2013-2014,DETROIT PISTONS,2013-11-01,265,42,89,7,21,17,24,15,26,21,10,6,19,26,0.542,0.511,0.23600000000000002,0.27,31.9,81.3,51.9,50.0,9.8,10.2,16.0,100,106.3,109.3
2013-2014,MEMPHIS GRIZZLIES,2013-11-01,265,40,77,6,18,25,30,6,32,25,13,4,20,21,0.615,0.5579999999999999,0.23399999999999999,0.39,18.8,68.1,48.1,62.5,12.8,5.9,18.1,100,109.3,106.3
2013-2014,OKLAHOMA CITY THUNDER,2013-11-01,240,29,83,7,31,16,19,14,28,16,5,6,21,28,0.44299999999999995,0.392,0.373,0.22899999999999998,28.6,75.7,48.8,55.2,5.3,10.5,18.7,100,85.8,105.9
2013-2014,MINNESOTA TIMBERWOLVES,2013-11-01,240,33,77,8,20,26,33,9,35,21,14,2,15,21,0.546,0.48100000000000004,0.26,0.429,24.3,71.4,51.2,63.6,14.8,3.8,14.1,100,105.9,85.8
2013-2014,NEW ORLEANS PELICANS,2013-11-01,240,32,92,6,12,20,26,17,27,16,7,5,12,21,0.435,0.38,0.13,0.28300000000000003,30.4,84.4,50.0,50.0,7.4,10.4,10.4,100,95.5,116.7
2013-2014,ORLANDO MAGIC,2013-11-01,240,39,70,11,22,21,27,5,39,22,11,7,18,19,0.672,0.636,0.314,0.386,15.6,69.6,50.0,56.4,11.7,8.8,18.0,100,116.7,95.5
2013-2014,UTAH JAZZ,2013-11-01,240,31,85,5,17,17,27,22,31,20,3,1,20,20,0.434,0.39399999999999996,0.2,0.318,42.3,66.0,53.5,64.5,3.3,1.6,17.1,100,92.8,96.1
2013-2014,PHOENIX SUNS,2013-11-01,240,31,83,6,22,19,24,16,30,15,10,10,16,24,0.465,0.41,0.265,0.289,34.0,57.7,46.5,48.4,11.0,14.7,14.6,100,96.1,92.8
2013-2014,LOS ANGELES CLIPPERS,2013-11-01,240,35,70,12,24,28,34,10,29,26,4,5,15,29,0.647,0.586,0.34299999999999997,0.486,28.6,74.4,52.7,74.3,4.5,8.1,15.0,100,124.4,114.2
2013-2014,SACRAMENTO KINGS,2013-11-01,240,36,79,6,17,23,32,10,25,21,7,5,9,27,0.5429999999999999,0.494,0.215,0.405,25.6,71.4,47.3,58.3,7.9,10.9,8.8,100,114.2,124.4
2013-2014,PHILADELPHIA 76ERS,2013-11-01,240,48,94,6,23,7,14,9,37,26,8,6,19,17,0.544,0.5429999999999999,0.245,0.149,22.5,71.2,50.0,54.2,7.7,8.8,15.9,100,104.3,97.6
2013-2014,WASHINGTON WIZARDS,2013-11-01,240,41,94,9,26,11,17,15,31,23,14,6,17,16,0.503,0.484,0.27699999999999997,0.18100000000000002,28.8,77.5,50.0,56.1,13.4,8.5,14.3,100,97.6,104.3
2013-2014,MEMPHIS GRIZZLIES,2013-11-02,240,37,87,3,16,22,26,17,34,20,6,2,17,34,0.503,0.44299999999999995,0.184,0.299,35.4,70.8,53.1,54.1,6.3,3.3,14.7,100,104.3,116.9
2013-2014,DALLAS MAVERICKS,2013-11-02,240,32,80,7,19,40,46,14,31,18,12,4,11,20,0.5539999999999999,0.444,0.23800000000000002,0.575,29.2,64.6,46.9,56.3,12.6,5.6,9.9,100,116.9,104.3
2013-2014,SACRAMENTO KINGS,2013-11-02,240,30,87,6,26,21,24,16,32,16,9,1,14,18,0.446,0.379,0.299,0.276,29.1,86.5,52.2,53.3,9.7,2.0,12.5,100,93.4,105.2
2013-2014,GOLDEN STATE WARRIORS,2013-11-02,240,39,76,11,27,9,12,5,39,28,8,7,18,22,0.603,0.586,0.355,0.158,13.5,70.9,47.8,71.8,8.6,11.5,18.1,100,105.2,93.4
2013-2014,CLEVELAND CAVALIERS,2013-11-02,240,29,83,3,15,13,15,6,31,11,15,1,16,25,0.413,0.36700000000000005,0.18100000000000002,0.18100000000000002,12.8,75.6,42.0,37.9,15.7,2.0,15.2,100,77.5,93.3
2013-2014,INDIANA PACERS,2013-11-02,240,32,77,10,28,15,20,10,41,24,6,6,20,16,0.519,0.48100000000000004,0.364,0.26,24.4,87.2,58.0,75.0,6.3,8.8,18.9,100,93.3,77.5
2013-2014,TORONTO RAPTORS,2013-11-02,240,31,78,7,23,28,38,18,42,19,6,0,17,22,0.512,0.442,0.295,0.48700000000000004,36.0,87.5,61.2,61.3,6.3,0.0,15.2,100,102.1,94.7
2013-2014,MILWAUKEE BUCKS,2013-11-02,240,37,84,6,17,10,18,6,32,25,7,5,13,26,0.49,0.47600000000000003,0.20199999999999999,0.214,12.5,64.0,38.8,67.6,7.4,9.1,12.4,100,94.7,102.1
2013-2014,CHARLOTTE BOBCATS,2013-11-02,240,30,80,3,21,21,36,14,27,13,8,4,13,22,0.43799999999999994,0.39399999999999996,0.263,0.45,28.6,77.1,48.8,43.3,8.6,6.5,11.9,100,90.3,112.9
2013-2014,NEW ORLEANS PELICANS,2013-11-02,240,37,75,7,13,24,28,8,35,30,10,18,17,26,0.601,0.54,0.17300000000000001,0.373,22.9,71.4,51.2,81.1,10.8,30.5,16.3,100,112.9,90.3
2013-2014,CHICAGO BULLS,2013-11-02,240,42,93,3,14,17,19,17,34,28,8,5,18,14,0.513,0.46799999999999997,0.151,0.204,37.0,77.3,56.7,66.7,8.2,7.8,15.1,100,106.2,109.2
2013-2014,PHILADELPHIA 76ERS,2013-11-02,240,42,86,11,22,12,18,10,29,24,8,6,15,18,0.57,0.552,0.256,0.209,22.7,63.0,43.3,57.1,8.2,7.6,13.8,100,109.2,106.2
2013-2014,SAN ANTONIO SPURS,2013-11-02,240,47,94,6,12,5,8,12,23,24,6,2,12,25,0.5379999999999999,0.532,0.128,0.085,27.3,76.7,47.3,51.1,6.3,3.3,11.0,100,109.9,120.4
2013-2014,PORTLAND TRAIL BLAZERS,2013-11-02,240,45,81,8,20,17,19,7,32,29,3,7,16,15,0.643,0.605,0.247,0.235,23.3,72.7,52.7,64.4,3.1,8.5,15.2,100,120.4,109.9
2013-2014,HOUSTON ROCKETS,2013-11-02,240,34,67,9,22,27,35,9,31,16,6,7,18,23,0.631,0.575,0.32799999999999996,0.522,27.3,67.4,50.6,47.1,6.7,11.9,17.9,100,115.7,103.5
2013-2014,UTAH JAZZ,2013-11-02,240,34,81,4,22,21,27,15,24,12,9,6,15,25,0.501,0.444,0.272,0.33299999999999996,32.6,72.7,49.4,35.3,10.0,13.3,13.9,100,103.5,115.7
2013-2014,BOSTON CELTICS,2013-11-03,240,31,74,3,16,12,12,8,29,15,15,3,23,22,0.486,0.439,0.21600000000000003,0.162,21.6,65.9,45.7,48.4,16.2,4.8,22.5,100,83.2,94.0
2013-2014,DETROIT PISTONS,2013-11-03,240,34,76,2,13,17,29,15,29,16,15,7,21,15,0.49,0.461,0.171,0.382,34.1,78.4,54.3,47.1,16.2,12.1,19.1,100,94.0,83.2
2013-2014,ATLANTA HAWKS,2013-11-03,240,40,90,9,22,14,26,10,42,26,9,3,11,22,0.508,0.494,0.244,0.289,17.5,87.5,49.5,65.0,8.7,4.7,9.8,100,99.6,101.6
2013-2014,LOS ANGELES LAKERS,2013-11-03,240,38,89,9,25,20,24,6,47,27,5,7,13,24,0.527,0.478,0.281,0.27,12.5,82.5,50.5,71.1,4.8,10.3,11.5,100,101.6,99.6
2013-2014,WASHINGTON WIZARDS,2013-11-03,240,35,82,12,30,11,16,17,24,22,8,2,20,26,0.522,0.5,0.366,0.195,41.5,75.0,56.2,62.9,9.1,4.7,18.3,100,106.0,117.4
2013-2014,MIAMI HEAT,2013-11-03,240,37,70,11,27,18,27,8,24,32,9,6,16,18,0.629,0.607,0.386,0.386,25.0,58.5,43.8,86.5,10.3,11.5,16.3,100,117.4,106.0
