season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,during_playoffs
2008-2009,MEMPHIS GRIZZLIES,2008-10-29,240,31,81,0,13,9,13,15,34,11,7,6,16,22,0.409,0.38299999999999995,0.16,0.16,31.3,75.6,52.7,35.5,8.2,10.0,15.6,100.0,83.1,95.9,0
2008-2009,HOUSTON ROCKETS,2008-10-29,240,28,76,5,16,21,25,11,33,10,9,2,12,15,0.47100000000000003,0.401,0.21100000000000002,0.32899999999999996,24.4,68.8,47.3,35.7,10.5,2.9,12.1,100.0,95.9,83.1,0
2008-2009,LOS ANGELES LAKERS,2008-10-29,240,41,80,10,19,25,33,14,37,28,7,3,16,19,0.619,0.575,0.23800000000000002,0.413,38.9,78.7,61.4,68.3,7.5,5.4,14.5,100.0,125.0,84.4,0
2008-2009,LOS ANGELES CLIPPERS,2008-10-29,240,30,78,5,22,14,23,10,22,24,9,5,18,29,0.44799999999999995,0.41700000000000004,0.282,0.295,21.3,61.1,38.6,80.0,9.6,8.2,17.0,100.0,84.4,125.0,0
2008-2009,SACRAMENTO KINGS,2008-10-29,240,36,80,5,17,19,25,9,36,22,2,8,15,20,0.527,0.48100000000000004,0.213,0.313,23.7,76.6,52.9,61.1,2.1,10.5,14.2,100.0,101.4,103.5,0
2008-2009,MINNESOTA TIMBERWOLVES,2008-10-29,240,42,87,3,11,11,22,11,29,25,10,7,11,23,0.507,0.5,0.126,0.253,23.4,76.3,47.1,59.5,10.6,11.1,10.2,100.0,103.5,101.4,0
2008-2009,MIAMI HEAT,2008-10-29,240,42,92,6,23,25,33,13,34,22,8,2,14,26,0.54,0.489,0.25,0.359,28.9,70.8,50.5,52.4,7.7,3.2,11.6,100.0,111.4,116.2,0
2008-2009,NEW YORK KNICKS,2008-10-29,240,42,87,9,25,27,37,14,32,27,7,0,15,28,0.581,0.534,0.287,0.425,29.2,71.1,49.5,64.3,6.8,0.0,12.7,100.0,116.2,111.4,0
2008-2009,MILWAUKEE BUCKS,2008-10-29,240,35,76,7,18,21,26,14,29,17,7,4,19,22,0.56,0.507,0.237,0.342,38.9,69.0,55.1,48.6,7.8,6.0,17.9,100.0,109.4,97.1,0
2008-2009,OKLAHOMA CITY THUNDER,2008-10-29,240,32,73,1,6,22,31,13,22,16,9,3,19,23,0.502,0.445,0.08199999999999999,0.425,31.0,61.1,44.9,50.0,10.0,5.2,18.0,100.0,97.1,109.4,0
2008-2009,ATLANTA HAWKS,2008-10-29,240,38,86,5,20,18,31,18,35,17,10,7,14,23,0.4970000000000001,0.47100000000000003,0.233,0.36,39.1,67.3,54.1,44.7,10.8,11.3,12.3,100.0,106.5,91.5,0
2008-2009,ORLANDO MAGIC,2008-10-29,240,32,87,4,25,17,27,17,28,10,9,11,15,28,0.43,0.391,0.287,0.31,32.7,60.9,45.9,31.3,9.7,16.7,13.2,100.0,91.5,106.5,0
2008-2009,TORONTO RAPTORS,2008-10-29,240,36,81,10,16,13,17,10,23,24,8,5,9,23,0.537,0.506,0.198,0.21,23.3,50.0,37.1,66.7,9.5,7.8,9.2,100.0,112.8,99.8,0
2008-2009,PHILADELPHIA 76ERS,2008-10-29,240,29,84,5,20,21,28,23,33,15,3,8,17,16,0.436,0.375,0.23800000000000002,0.33299999999999996,50.0,76.7,62.9,51.7,3.6,12.3,15.0,100.0,99.8,112.8,0
2008-2009,PHOENIX SUNS,2008-10-29,240,39,79,6,15,19,27,9,30,24,5,5,10,20,0.5670000000000001,0.532,0.19,0.342,22.5,81.1,50.6,61.5,5.7,7.7,9.9,100.0,116.6,110.9,0
2008-2009,SAN ANTONIO SPURS,2008-10-29,240,40,80,5,15,13,19,7,31,18,4,3,7,24,0.555,0.531,0.188,0.23800000000000002,18.9,77.5,49.4,45.0,4.5,4.7,7.3,100.0,110.9,116.6,0
2008-2009,DENVER NUGGETS,2008-10-29,240,36,77,4,13,18,28,7,28,17,12,3,13,27,0.526,0.494,0.16899999999999998,0.364,17.1,70.0,43.2,47.2,12.9,4.2,12.7,100.0,100.8,105.1,0
2008-2009,UTAH JAZZ,2008-10-29,240,37,79,2,8,22,28,12,34,17,5,5,16,20,0.537,0.48100000000000004,0.10099999999999999,0.354,30.0,82.9,56.8,45.9,5.4,7.8,14.9,100.0,105.1,100.8,0
2008-2009,NEW JERSEY NETS,2008-10-29,240,37,78,6,19,15,18,5,32,22,7,9,9,23,0.5529999999999999,0.513,0.244,0.231,15.2,71.1,47.4,59.5,7.8,15.0,9.5,100.0,105.7,94.6,0
2008-2009,WASHINGTON WIZARDS,2008-10-29,240,30,81,5,21,20,30,13,28,18,4,5,15,19,0.451,0.401,0.259,0.37,28.9,84.8,52.6,60.0,4.4,8.5,13.7,100.0,94.6,105.7,0
2008-2009,CHARLOTTE BOBCATS,2008-10-30,240,25,74,3,12,26,31,14,20,16,6,4,13,24,0.451,0.358,0.162,0.419,29.8,60.6,42.5,64.0,7.2,8.0,12.9,100.0,94.7,115.1,0
2008-2009,CLEVELAND CAVALIERS,2008-10-30,240,35,72,7,22,19,29,13,33,23,7,11,15,23,0.5660000000000001,0.535,0.306,0.40299999999999997,39.4,70.2,57.5,65.7,8.4,17.7,15.0,100.0,115.1,94.7,0
2008-2009,HOUSTON ROCKETS,2008-10-30,240,38,79,7,14,29,32,8,37,23,5,3,10,23,0.602,0.525,0.177,0.405,21.1,78.7,52.9,60.5,5.3,4.4,9.7,100.0,119.8,109.1,0
2008-2009,DALLAS MAVERICKS,2008-10-30,240,35,84,4,16,28,34,10,30,23,7,5,8,22,0.515,0.44,0.19,0.405,21.3,78.9,47.1,65.7,7.5,7.7,7.5,100.0,109.1,119.8,0
2008-2009,NEW ORLEANS HORNETS,2008-10-30,240,37,78,13,24,21,28,10,23,16,10,5,10,15,0.598,0.5579999999999999,0.308,0.359,24.4,76.7,46.5,43.2,11.0,10.0,10.0,100.0,119.2,104.9,0
2008-2009,PHOENIX SUNS,2008-10-30,240,37,68,7,18,14,21,7,31,16,2,3,24,24,0.615,0.596,0.265,0.309,23.3,75.6,53.5,43.2,2.2,5.6,23.7,100.0,104.9,119.2,0
2008-2009,CHICAGO BULLS,2008-10-31,240,25,84,2,8,28,30,13,31,11,8,6,20,30,0.41200000000000003,0.31,0.095,0.35700000000000004,24.5,77.5,47.3,44.0,8.0,9.2,17.1,100.0,80.3,96.4,0
2008-2009,BOSTON CELTICS,2008-10-31,240,32,73,2,8,30,39,9,40,15,8,7,20,27,0.532,0.452,0.11,0.534,22.5,75.5,52.7,46.9,8.0,9.2,18.2,100.0,96.4,80.3,0
2008-2009,DENVER NUGGETS,2008-10-31,265,38,85,3,13,34,40,15,45,19,6,10,18,24,0.551,0.465,0.153,0.47100000000000003,31.9,71.4,54.5,50.0,5.7,12.3,14.9,100.0,108.0,98.5,0
2008-2009,LOS ANGELES CLIPPERS,2008-10-31,265,37,97,3,16,26,34,18,32,17,11,6,14,28,0.46,0.397,0.165,0.35100000000000003,28.6,68.1,45.5,45.9,10.5,8.3,11.1,100.0,98.5,108.0,0
2008-2009,ORLANDO MAGIC,2008-10-31,240,29,69,10,29,16,26,6,38,16,7,5,17,24,0.522,0.493,0.42,0.377,15.0,82.6,51.2,55.2,7.8,7.9,17.4,100.0,93.6,95.9,0
2008-2009,MEMPHIS GRIZZLIES,2008-10-31,240,30,76,2,13,24,30,8,34,11,6,7,10,23,0.48200000000000004,0.408,0.171,0.395,17.4,85.0,48.8,36.7,6.7,17.5,10.1,100.0,95.9,93.6,0
2008-2009,SACRAMENTO KINGS,2008-10-31,240,29,76,2,19,17,20,10,32,10,7,2,25,23,0.45399999999999996,0.395,0.25,0.263,25.6,71.1,50.0,34.5,7.3,3.1,22.8,100.0,80.8,108.1,0
2008-2009,MIAMI HEAT,2008-10-31,240,38,81,8,17,19,32,13,29,21,15,8,14,18,0.542,0.519,0.21,0.395,28.9,74.4,50.0,55.3,15.7,14.0,12.8,100.0,108.1,80.8,0
2008-2009,NEW YORK KNICKS,2008-10-31,240,32,98,7,28,16,21,16,27,19,13,1,10,15,0.406,0.36200000000000004,0.28600000000000003,0.214,24.6,67.5,41.0,59.4,12.9,1.2,8.5,100.0,86.2,115.0,0
2008-2009,PHILADELPHIA 76ERS,2008-10-31,240,52,89,2,5,10,19,13,49,24,4,7,19,17,0.596,0.596,0.055999999999999994,0.213,32.5,75.4,59.0,46.2,4.0,10.0,16.3,100.0,115.0,86.2,0
2008-2009,SAN ANTONIO SPURS,2008-10-31,240,38,68,9,16,14,15,5,26,24,1,0,14,21,0.664,0.625,0.235,0.221,17.2,66.7,45.6,63.2,1.2,0.0,15.8,100.0,120.5,121.7,0
2008-2009,PORTLAND TRAIL BLAZERS,2008-10-31,240,38,82,6,17,18,24,13,24,17,11,5,6,18,0.54,0.5,0.207,0.293,33.3,82.8,54.4,44.7,13.4,9.6,6.1,100.0,121.7,120.5,0
2008-2009,GOLDEN STATE WARRIORS,2008-10-31,265,42,94,11,29,13,19,17,29,20,6,6,18,25,0.528,0.505,0.309,0.20199999999999999,36.2,82.9,56.1,47.6,6.1,9.1,15.0,100.0,110.5,114.6,0
2008-2009,TORONTO RAPTORS,2008-10-31,265,40,78,6,12,26,30,6,30,24,9,9,13,18,0.614,0.551,0.154,0.385,17.1,63.8,43.9,60.0,9.2,13.8,12.5,100.0,114.6,110.5,0
2008-2009,PHILADELPHIA 76ERS,2008-11-01,240,35,85,6,16,12,14,15,33,21,6,2,18,16,0.483,0.447,0.188,0.165,35.7,70.2,53.9,60.0,6.8,3.0,16.5,100.0,99.3,107.2,0
2008-2009,ATLANTA HAWKS,2008-11-01,240,39,91,8,25,9,11,14,27,21,11,5,9,13,0.496,0.473,0.275,0.121,29.8,64.3,46.1,53.8,12.4,7.2,8.6,100.0,107.2,99.3,0
2008-2009,MIAMI HEAT,2008-11-01,240,32,72,5,21,18,27,11,16,17,6,6,11,26,0.519,0.479,0.292,0.375,27.5,57.1,39.7,53.1,7.1,10.2,11.6,100.0,102.9,118.2,0
2008-2009,CHARLOTTE BOBCATS,2008-11-01,240,37,69,5,10,21,32,12,29,25,4,5,20,24,0.602,0.5720000000000001,0.145,0.46399999999999997,42.9,72.5,60.3,67.6,4.7,9.8,19.4,100.0,118.2,102.9,0
2008-2009,MEMPHIS GRIZZLIES,2008-11-01,240,32,75,3,6,19,26,10,33,13,6,4,16,26,0.4970000000000001,0.447,0.08,0.34700000000000003,23.3,64.7,45.7,40.6,6.7,6.2,15.6,100.0,96.1,107.2,0
2008-2009,CHICAGO BULLS,2008-11-01,240,32,84,8,19,24,30,18,33,19,7,11,12,15,0.494,0.429,0.226,0.35700000000000004,35.3,76.7,54.3,59.4,7.8,15.9,11.0,100.0,107.2,96.1,0
2008-2009,LOS ANGELES LAKERS,2008-11-01,240,33,87,6,17,32,43,15,38,18,8,5,15,25,0.491,0.414,0.195,0.494,30.0,92.7,58.2,54.5,7.9,9.6,12.4,100.0,102.1,95.2,0
2008-2009,DENVER NUGGETS,2008-11-01,240,34,74,8,22,21,30,3,35,30,9,5,19,26,0.556,0.514,0.297,0.405,7.3,70.0,41.8,88.2,8.8,7.1,17.9,100.0,95.2,102.1,0
2008-2009,WASHINGTON WIZARDS,2008-11-01,240,41,79,4,13,23,25,5,19,22,7,2,8,23,0.606,0.544,0.165,0.316,13.2,54.3,32.9,53.7,7.7,3.1,8.2,100.0,119.5,128.3,0
2008-2009,DETROIT PISTONS,2008-11-01,240,42,79,6,14,27,32,16,33,24,5,7,17,24,0.628,0.57,0.177,0.405,45.7,86.8,67.1,57.1,5.5,10.6,15.4,100.0,128.3,119.5,0
2008-2009,OKLAHOMA CITY THUNDER,2008-11-01,240,34,85,0,4,9,12,5,34,18,9,8,14,23,0.426,0.4,0.047,0.141,11.4,77.3,44.3,52.9,9.4,14.3,13.4,100.0,80.6,93.2,0
2008-2009,HOUSTON ROCKETS,2008-11-01,240,28,77,6,21,27,31,10,39,18,8,2,16,10,0.491,0.40299999999999997,0.273,0.40299999999999997,22.7,88.6,55.7,64.3,8.4,2.5,15.0,100.0,93.2,80.6,0
2008-2009,BOSTON CELTICS,2008-11-01,240,27,78,4,20,21,35,17,35,15,8,5,24,25,0.423,0.3720000000000001,0.256,0.449,32.1,74.5,52.0,55.6,8.5,8.5,20.4,100.0,83.5,100.4,0
2008-2009,INDIANA PACERS,2008-11-01,240,33,81,6,22,23,27,12,36,20,9,8,12,27,0.511,0.444,0.272,0.33299999999999996,25.5,67.9,48.0,60.6,9.5,13.8,11.4,100.0,100.4,83.5,0
2008-2009,TORONTO RAPTORS,2008-11-01,240,30,63,8,16,23,26,3,32,22,6,6,18,19,0.611,0.54,0.254,0.413,9.1,78.0,47.3,73.3,6.7,8.8,19.5,100.0,101.0,96.5,0
2008-2009,MILWAUKEE BUCKS,2008-11-01,240,36,81,3,13,12,19,9,30,24,7,4,14,27,0.48700000000000004,0.46299999999999997,0.16,0.235,22.0,90.9,52.7,66.7,7.8,8.5,13.5,100.0,96.5,101.0,0
2008-2009,DALLAS MAVERICKS,2008-11-01,240,37,83,5,16,16,20,7,31,18,10,4,11,20,0.517,0.47600000000000003,0.193,0.24100000000000002,17.9,75.6,47.5,48.6,10.9,6.0,10.7,100.0,103.1,92.3,0
2008-2009,MINNESOTA TIMBERWOLVES,2008-11-01,240,31,79,1,12,22,24,10,32,15,4,4,15,20,0.475,0.39899999999999997,0.152,0.304,24.4,82.1,52.5,48.4,4.3,6.0,14.3,100.0,92.3,103.1,0
2008-2009,GOLDEN STATE WARRIORS,2008-11-01,240,32,76,7,19,34,52,14,27,18,8,5,16,21,0.531,0.467,0.25,0.684,32.6,62.8,47.7,56.3,8.4,7.9,13.9,100.0,110.8,102.3,0
2008-2009,NEW JERSEY NETS,2008-11-01,240,35,83,6,20,21,28,16,29,22,7,7,17,39,0.509,0.45799999999999996,0.24100000000000002,0.337,37.2,67.4,52.3,62.9,7.4,12.3,15.1,100.0,102.3,110.8,0
2008-2009,CLEVELAND CAVALIERS,2008-11-01,240,36,75,9,22,11,19,7,29,21,5,4,17,24,0.552,0.54,0.293,0.253,20.6,76.3,50.0,58.3,5.5,6.3,16.9,100.0,100.8,114.0,0
2008-2009,NEW ORLEANS HORNETS,2008-11-01,240,36,76,7,13,25,29,9,27,25,9,2,14,19,0.586,0.52,0.171,0.382,23.7,79.4,50.0,69.4,9.9,3.8,13.6,100.0,114.0,100.8,0
2008-2009,SACRAMENTO KINGS,2008-11-01,240,39,74,5,15,20,24,6,22,21,5,5,12,24,0.609,0.561,0.203,0.324,19.4,59.5,41.2,53.8,5.6,8.6,12.4,100.0,116.3,136.6,0
2008-2009,ORLANDO MAGIC,2008-11-01,240,44,80,8,22,25,31,15,25,25,6,5,12,18,0.6459999999999999,0.6,0.275,0.38799999999999996,40.5,80.6,58.8,56.8,6.8,8.5,11.4,100.0,136.6,116.3,0
2008-2009,PORTLAND TRAIL BLAZERS,2008-11-01,240,37,81,9,22,13,14,9,19,18,7,3,10,25,0.551,0.512,0.272,0.17300000000000001,22.0,82.6,43.8,48.6,8.1,5.8,10.3,100.0,111.3,124.1,0
2008-2009,PHOENIX SUNS,2008-11-01,240,38,69,6,17,25,30,4,32,17,7,3,11,12,0.6509999999999999,0.594,0.24600000000000002,0.435,17.4,78.0,56.3,44.7,8.1,5.1,11.8,100.0,124.1,111.3,0
2008-2009,LOS ANGELES CLIPPERS,2008-11-01,240,29,73,3,9,18,20,11,32,12,1,8,18,20,0.483,0.418,0.12300000000000001,0.27399999999999997,28.2,68.1,50.0,41.4,1.2,10.1,18.0,100.0,92.3,118.0,0
2008-2009,UTAH JAZZ,2008-11-01,240,43,88,2,9,13,22,15,28,29,9,5,4,21,0.517,0.5,0.102,0.25,31.9,71.8,50.0,67.4,10.5,7.8,3.9,100.0,118.0,92.3,0
2008-2009,MILWAUKEE BUCKS,2008-11-02,240,36,81,4,11,18,30,10,38,21,8,3,14,15,0.499,0.469,0.136,0.37,25.0,77.6,53.9,58.3,8.6,6.7,12.9,100.0,100.6,92.0,0
2008-2009,NEW YORK KNICKS,2008-11-02,240,30,81,12,36,14,18,11,30,19,9,1,16,26,0.484,0.444,0.444,0.222,22.4,75.0,46.1,63.3,9.6,1.4,15.2,100.0,92.0,100.6,0
2008-2009,MINNESOTA TIMBERWOLVES,2008-11-02,240,33,77,3,12,16,16,9,29,20,5,4,14,19,0.506,0.44799999999999995,0.156,0.20800000000000002,22.5,60.4,43.2,60.6,5.7,4.7,14.3,100.0,97.6,101.0,0
2008-2009,OKLAHOMA CITY THUNDER,2008-11-02,240,37,88,1,3,13,20,19,31,15,9,6,13,15,0.455,0.426,0.034,0.22699999999999998,39.6,77.5,56.8,40.5,10.3,9.2,11.8,100.0,101.0,97.6,0
2008-2009,DETROIT PISTONS,2008-11-03,240,42,84,8,16,9,11,16,26,23,4,4,8,22,0.568,0.5479999999999999,0.19,0.131,41.0,76.5,57.5,54.8,5.1,8.3,8.3,100.0,129.8,106.6,0
2008-2009,CHARLOTTE BOBCATS,2008-11-03,240,26,59,3,11,28,35,8,23,13,6,4,13,17,0.5579999999999999,0.466,0.18600000000000005,0.593,23.5,59.0,42.5,50.0,7.7,5.9,14.9,100.0,106.6,129.8,0
2008-2009,CLEVELAND CAVALIERS,2008-11-03,240,35,79,5,14,25,32,18,34,19,11,6,10,23,0.537,0.475,0.177,0.405,40.9,79.1,59.8,54.3,13.1,10.7,9.7,100.0,118.7,96.1,0
2008-2009,DALLAS MAVERICKS,2008-11-03,240,29,71,3,15,20,26,9,26,16,5,3,14,20,0.491,0.43,0.21100000000000002,0.366,20.9,59.1,40.2,55.2,5.9,4.6,14.5,100.0,96.1,118.7,0
2008-2009,UTAH JAZZ,2008-11-03,240,32,77,0,10,25,31,11,33,19,14,1,9,20,0.491,0.41600000000000004,0.13,0.40299999999999997,28.2,76.7,53.7,59.4,16.3,1.9,9.0,100.0,103.4,84.8,0
2008-2009,LOS ANGELES CLIPPERS,2008-11-03,240,29,72,6,19,9,20,10,28,16,4,6,18,24,0.452,0.444,0.264,0.278,23.3,71.8,46.3,55.2,4.6,9.0,18.2,100.0,84.8,103.4,0
2008-2009,GOLDEN STATE WARRIORS,2008-11-03,240,33,96,3,20,10,14,17,31,15,7,4,12,22,0.387,0.359,0.20800000000000002,0.146,32.1,73.8,50.5,45.5,7.7,5.8,10.5,100.0,87.0,99.1,0
2008-2009,MEMPHIS GRIZZLIES,2008-11-03,240,36,78,4,9,14,21,11,36,22,7,5,15,15,0.516,0.48700000000000004,0.115,0.26899999999999996,26.2,67.9,49.5,61.1,7.7,6.6,14.7,100.0,99.1,87.0,0
2008-2009,CHICAGO BULLS,2008-11-03,240,38,86,5,13,12,18,11,35,13,7,3,17,26,0.495,0.47100000000000003,0.151,0.209,25.0,68.6,48.4,34.2,7.3,5.7,15.3,100.0,96.4,99.5,0
2008-2009,ORLANDO MAGIC,2008-11-03,240,33,80,9,27,21,31,16,33,16,12,8,19,19,0.513,0.469,0.33799999999999997,0.38799999999999996,31.4,75.0,51.6,48.5,12.4,11.0,16.9,100.0,99.5,96.4,0
2008-2009,SACRAMENTO KINGS,2008-11-03,240,36,76,4,15,15,18,7,21,25,8,3,19,25,0.542,0.5,0.19699999999999998,0.237,23.3,65.6,45.2,69.4,8.7,4.8,18.5,100.0,98.5,135.3,0
2008-2009,PHILADELPHIA 76ERS,2008-11-03,240,45,76,10,13,25,35,11,23,24,8,4,14,19,0.684,0.6579999999999999,0.171,0.461,34.4,76.7,54.8,53.3,8.7,6.6,13.3,100.0,135.3,98.5,0
2008-2009,BOSTON CELTICS,2008-11-04,240,40,77,3,12,20,27,14,32,21,10,5,16,24,0.579,0.539,0.156,0.35100000000000003,35.0,68.1,52.9,52.5,11.0,7.9,15.3,100.0,113.8,109.4,0
2008-2009,HOUSTON ROCKETS,2008-11-04,240,34,87,7,24,24,28,15,26,19,9,1,11,24,0.498,0.431,0.276,0.322,31.9,65.0,47.1,55.9,9.9,1.5,10.0,100.0,109.4,113.8,0
2008-2009,PHOENIX SUNS,2008-11-04,240,43,68,12,18,16,23,4,36,31,7,9,19,19,0.73,0.721,0.265,0.33799999999999997,14.8,75.0,53.3,72.1,7.5,14.8,19.6,100.0,122.6,92.5,0
2008-2009,NEW JERSEY NETS,2008-11-04,240,28,83,7,22,23,26,12,23,16,10,4,15,18,0.455,0.38,0.265,0.313,25.0,85.2,46.7,57.1,10.8,8.0,13.7,100.0,92.5,122.6,0
2008-2009,DALLAS MAVERICKS,2008-11-04,240,43,81,7,17,5,5,9,36,22,4,1,7,15,0.589,0.574,0.21,0.062,25.7,81.8,57.0,51.2,5.1,1.9,7.8,100.0,123.8,102.3,0
2008-2009,SAN ANTONIO SPURS,2008-11-04,240,30,72,7,20,14,20,8,26,12,5,2,7,12,0.501,0.465,0.278,0.278,18.2,74.3,43.0,40.0,6.3,3.1,8.0,100.0,102.3,123.8,0
2008-2009,CHICAGO BULLS,2008-11-05,240,31,79,8,21,23,27,8,27,21,7,4,12,21,0.512,0.44299999999999995,0.266,0.342,18.6,71.1,43.2,67.7,7.5,6.0,11.7,100.0,100.3,115.4,0
2008-2009,CLEVELAND CAVALIERS,2008-11-05,240,37,82,5,15,28,33,11,35,17,9,5,12,20,0.5539999999999999,0.48200000000000004,0.183,0.402,28.9,81.4,56.8,45.9,9.7,8.6,11.1,100.0,115.4,100.3,0
2008-2009,DENVER NUGGETS,2008-11-05,240,39,88,2,15,21,25,14,34,25,10,6,20,28,0.51,0.455,0.17,0.284,32.6,66.7,51.1,64.1,10.1,8.1,16.8,100.0,101.9,112.0,0
2008-2009,GOLDEN STATE WARRIORS,2008-11-05,240,42,90,2,16,25,36,17,29,21,8,11,10,22,0.524,0.478,0.17800000000000002,0.4,33.3,67.4,48.9,50.0,8.1,15.1,8.6,100.0,112.0,101.9,0
2008-2009,PHOENIX SUNS,2008-11-05,240,43,77,5,16,22,29,8,35,30,14,9,16,23,0.629,0.591,0.20800000000000002,0.377,22.2,81.4,54.4,69.8,14.3,15.5,15.1,100.0,115.2,105.0,0
2008-2009,INDIANA PACERS,2008-11-05,240,37,83,9,25,20,27,8,28,16,8,3,15,23,0.5429999999999999,0.5,0.301,0.325,18.6,77.8,45.6,43.2,8.2,4.9,13.7,100.0,105.0,115.2,0
2008-2009,LOS ANGELES CLIPPERS,2008-11-05,240,35,90,8,23,10,15,12,32,20,8,6,16,32,0.455,0.433,0.256,0.16699999999999998,23.5,68.1,44.9,57.1,8.2,9.5,14.2,100.0,90.1,108.5,0
2008-2009,LOS ANGELES LAKERS,2008-11-05,240,33,85,8,22,32,45,15,39,14,12,9,12,17,0.506,0.435,0.259,0.529,31.9,76.5,55.1,42.4,12.3,13.4,10.3,100.0,108.5,90.1,0
2008-2009,PHILADELPHIA 76ERS,2008-11-05,240,27,72,5,15,24,26,11,33,11,8,4,25,21,0.4970000000000001,0.41,0.20800000000000002,0.361,27.5,73.3,51.8,40.7,8.4,6.3,23.1,100.0,87.5,111.7,0
2008-2009,MIAMI HEAT,2008-11-05,240,39,83,6,20,22,28,12,29,21,18,8,14,19,0.556,0.506,0.24100000000000002,0.337,26.7,72.5,48.2,53.8,19.0,14.0,12.8,100.0,111.7,87.5,0
2008-2009,WASHINGTON WIZARDS,2008-11-05,265,34,78,2,18,34,51,14,30,19,12,5,19,27,0.518,0.449,0.231,0.654,29.8,71.4,49.4,55.9,11.6,6.8,15.9,100.0,100.1,107.8,0
2008-2009,MILWAUKEE BUCKS,2008-11-05,265,45,91,5,17,17,26,12,33,37,8,5,17,34,0.547,0.522,0.187,0.28600000000000003,28.6,70.2,50.6,82.2,7.7,8.3,14.2,100.0,107.8,100.1,0
2008-2009,SAN ANTONIO SPURS,2008-11-05,290,50,97,6,13,23,28,9,38,25,3,2,12,25,0.59,0.546,0.134,0.289,20.5,77.6,50.5,50.0,2.7,2.3,9.9,100.0,115.7,112.1,0
2008-2009,MINNESOTA TIMBERWOLVES,2008-11-05,290,47,106,8,19,23,28,11,35,35,5,8,10,26,0.528,0.48100000000000004,0.179,0.264,22.4,79.5,49.5,74.5,4.5,9.5,7.8,100.0,112.1,115.7,0
2008-2009,ATLANTA HAWKS,2008-11-05,240,34,79,12,30,7,13,13,32,19,7,4,14,20,0.513,0.506,0.38,0.165,32.5,80.0,56.3,55.9,8.5,7.8,14.2,100.0,105.6,95.9,0
