season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,during_playoffs
2008-2009,CLEVELAND CAVALIERS,2008-10-28,240,29,68,3,15,24,33,8,33,16,8,2,21,26,0.515,0.449,0.221,0.485,23.5,76.7,53.2,55.2,8.6,3.3,20.3,100.0,91.5,96.9,0
2008-2009,BOSTON CELTICS,2008-10-28,240,33,74,3,14,21,34,10,26,16,10,0,16,28,0.506,0.466,0.18899999999999997,0.45899999999999996,23.3,76.5,46.8,48.5,10.8,0.0,15.2,100.0,96.9,91.5,0
2008-2009,MILWAUKEE BUCKS,2008-10-28,240,37,78,6,14,15,20,13,19,21,5,3,19,30,0.547,0.513,0.179,0.256,33.3,57.6,44.4,56.8,5.6,5.3,18.0,100.0,105.8,120.3,0
2008-2009,CHICAGO BULLS,2008-10-28,240,35,69,5,12,33,44,14,26,27,9,6,18,18,0.611,0.5429999999999999,0.174,0.638,42.4,66.7,55.6,77.1,10.0,9.4,16.9,100.0,120.3,105.8,0
2008-2009,PORTLAND TRAIL BLAZERS,2008-10-28,240,29,84,10,24,8,14,13,31,19,8,3,12,17,0.42100000000000004,0.405,0.28600000000000003,0.16699999999999998,24.5,77.5,47.3,65.5,9.0,4.3,11.7,100.0,85.3,107.7,0
2008-2009,LOS ANGELES LAKERS,2008-10-28,240,37,79,7,10,15,18,9,40,19,8,7,15,17,0.552,0.513,0.127,0.228,22.5,75.5,52.7,51.4,9.0,11.7,14.7,100.0,107.7,85.3,0
2008-2009,INDIANA PACERS,2008-10-29,240,33,67,4,12,24,29,5,33,18,7,8,21,20,0.589,0.522,0.179,0.433,15.6,70.2,48.1,54.5,7.4,10.3,20.8,100.0,99.4,105.8,0
2008-2009,DETROIT PISTONS,2008-10-29,240,40,91,6,13,14,16,14,27,23,11,8,14,21,0.51,0.473,0.14300000000000002,0.17600000000000002,29.8,84.4,51.9,57.5,11.6,14.5,12.5,100.0,105.8,99.4,0
2008-2009,NEW ORLEANS HORNETS,2008-10-29,240,41,82,7,17,19,27,8,34,23,8,6,13,24,0.575,0.5429999999999999,0.207,0.32899999999999996,22.2,75.6,51.9,56.1,8.3,10.2,12.2,100.0,112.6,107.4,0
2008-2009,GOLDEN STATE WARRIORS,2008-10-29,240,36,82,9,23,22,32,11,28,18,10,5,13,26,0.536,0.494,0.28,0.39,24.4,77.8,48.1,50.0,10.4,7.7,11.9,100.0,107.4,112.6,0
