season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,during_playoffs
2012-2013,WASHINGTON WIZARDS,2012-10-30,240,32,90,8,32,12,20,18,21,26,11,10,12,19,0.425,0.4,0.35600000000000004,0.222,33.3,53.8,41.9,81.3,12.5,16.9,10.8,100.0,95.5,106.9,0
2012-2013,CLEVELAND CAVALIERS,2012-10-30,240,36,79,7,20,15,22,18,36,22,7,5,20,21,0.53,0.5,0.253,0.278,46.2,66.7,58.1,61.1,8.0,8.6,18.4,100.0,106.9,95.5,0
2012-2013,DALLAS MAVERICKS,2012-10-30,240,40,85,5,15,14,18,9,31,22,9,5,11,25,0.5329999999999999,0.5,0.17600000000000002,0.212,22.5,67.4,46.5,55.0,9.9,7.8,10.6,100.0,108.7,99.9,0
2012-2013,LOS ANGELES LAKERS,2012-10-30,240,38,77,3,13,12,31,15,31,24,6,5,14,21,0.502,0.513,0.16899999999999998,0.40299999999999997,32.6,77.5,53.5,63.2,6.6,7.1,13.4,100.0,99.9,108.7,0
2012-2013,BOSTON CELTICS,2012-10-30,240,39,75,6,13,23,28,7,34,24,4,2,15,23,0.613,0.56,0.17300000000000001,0.373,18.4,87.2,53.2,61.5,4.2,3.2,14.7,100.0,113.2,127.0,0
2012-2013,MIAMI HEAT,2012-10-30,240,43,79,8,16,26,32,5,31,25,8,5,8,20,0.645,0.595,0.203,0.405,12.8,81.6,46.8,58.1,8.5,8.1,7.9,100.0,127.0,113.2,0
2012-2013,SACRAMENTO KINGS,2012-10-31,240,34,84,6,17,13,16,11,29,14,10,5,19,29,0.478,0.44,0.20199999999999999,0.19,25.6,67.4,46.5,41.2,10.5,7.1,17.3,100.0,91.6,98.0,0
2012-2013,CHICAGO BULLS,2012-10-31,240,33,79,2,9,25,33,14,32,21,8,10,18,19,0.4970000000000001,0.43,0.114,0.418,32.6,74.4,53.5,63.6,8.4,14.9,16.1,100.0,98.0,91.6,0
2012-2013,HOUSTON ROCKETS,2012-10-31,240,39,79,10,27,17,23,12,33,28,12,3,20,24,0.589,0.557,0.342,0.29100000000000004,31.6,76.7,55.6,71.8,12.7,4.8,18.3,100.0,111.0,101.5,0
2012-2013,DETROIT PISTONS,2012-10-31,240,35,79,6,16,20,26,10,26,21,12,4,16,15,0.531,0.48100000000000004,0.203,0.32899999999999996,23.3,68.4,44.4,60.0,12.7,7.7,15.0,100.0,101.5,111.0,0
2012-2013,MEMPHIS GRIZZLIES,2012-10-31,240,33,86,2,14,24,30,17,27,24,14,4,18,25,0.46399999999999997,0.395,0.163,0.349,35.4,77.1,53.0,72.7,14.4,6.8,15.4,100.0,94.5,103.7,0
2012-2013,LOS ANGELES CLIPPERS,2012-10-31,240,38,74,5,15,20,29,8,31,25,12,9,22,27,0.5820000000000001,0.547,0.203,0.392,22.9,64.6,47.0,65.8,12.3,12.5,20.2,100.0,103.7,94.5,0
2012-2013,SAN ANTONIO SPURS,2012-10-31,240,38,80,6,20,17,26,10,33,22,9,8,15,21,0.541,0.513,0.25,0.325,22.7,78.6,50.0,57.9,9.6,12.7,14.1,100.0,105.8,101.6,0
2012-2013,NEW ORLEANS HORNETS,2012-10-31,240,35,80,4,17,21,23,9,34,26,7,6,13,20,0.527,0.46299999999999997,0.213,0.28800000000000003,21.4,77.3,50.0,74.3,7.5,10.0,12.6,100.0,101.6,105.8,0
2012-2013,DENVER NUGGETS,2012-10-31,240,33,88,4,18,5,11,16,38,19,9,5,20,22,0.40399999999999997,0.39799999999999996,0.205,0.125,32.7,73.1,53.5,57.6,9.7,8.3,17.7,100.0,80.8,90.4,0
2012-2013,PHILADELPHIA 76ERS,2012-10-31,240,30,85,7,25,17,21,14,33,18,13,11,15,14,0.446,0.39399999999999996,0.294,0.247,26.9,67.3,46.5,60.0,14.0,15.7,13.7,100.0,90.4,80.8,0
2012-2013,GOLDEN STATE WARRIORS,2012-10-31,240,33,86,5,17,16,23,17,32,19,9,3,18,20,0.45299999999999996,0.413,0.198,0.267,34.0,74.4,52.7,57.6,9.6,5.1,15.8,100.0,92.8,90.6,0
2012-2013,PHOENIX SUNS,2012-10-31,240,32,80,4,21,17,22,11,33,16,10,12,18,23,0.474,0.425,0.263,0.275,25.6,66.0,47.3,50.0,10.7,17.4,16.7,100.0,90.6,92.8,0
2012-2013,LOS ANGELES LAKERS,2012-10-31,240,36,72,8,18,26,32,15,30,21,6,2,24,29,0.616,0.556,0.25,0.444,42.9,75.0,60.0,58.3,6.4,3.2,21.8,100.0,113.1,123.7,0
2012-2013,PORTLAND TRAIL BLAZERS,2012-10-31,240,42,83,9,20,23,28,10,20,19,10,5,12,20,0.608,0.56,0.24100000000000002,0.337,25.0,57.1,40.0,45.2,10.7,9.3,11.2,100.0,123.7,113.1,0
2012-2013,INDIANA PACERS,2012-10-31,240,37,78,5,11,11,16,9,37,22,3,10,18,16,0.529,0.506,0.141,0.205,25.0,71.2,52.3,59.5,3.3,13.5,17.5,100.0,98.8,96.6,0
2012-2013,TORONTO RAPTORS,2012-10-31,240,33,91,6,17,16,19,15,27,18,12,8,10,18,0.44299999999999995,0.396,0.187,0.209,28.8,75.0,47.7,54.5,13.2,11.9,9.1,100.0,96.6,98.8,0
2012-2013,DALLAS MAVERICKS,2012-10-31,240,32,85,11,22,19,26,8,32,20,8,5,16,32,0.48700000000000004,0.441,0.259,0.306,16.3,61.5,39.6,62.5,8.0,6.7,14.2,100.0,93.6,112.5,0
2012-2013,UTAH JAZZ,2012-10-31,240,38,89,6,14,31,42,20,41,24,10,8,14,25,0.526,0.461,0.157,0.47200000000000003,38.5,83.7,60.4,63.2,10.0,12.7,11.5,100.0,112.5,93.6,0
2012-2013,OKLAHOMA CITY THUNDER,2012-11-01,240,29,77,7,17,19,23,12,36,18,6,5,18,20,0.48200000000000004,0.42200000000000004,0.221,0.299,26.7,85.7,55.2,62.1,6.6,8.3,17.1,100.0,92.2,94.4,0
2012-2013,SAN ANTONIO SPURS,2012-11-01,240,35,79,5,19,11,16,6,33,27,9,4,13,21,0.5,0.475,0.24100000000000002,0.203,14.3,73.3,44.8,77.1,9.9,6.7,13.1,100.0,94.4,92.2,0
2012-2013,HOUSTON ROCKETS,2012-11-02,240,38,90,8,30,25,29,23,35,22,8,2,21,18,0.53,0.467,0.33299999999999996,0.322,44.2,83.3,61.7,57.9,8.2,3.2,17.0,100.0,111.9,104.7,0
2012-2013,ATLANTA HAWKS,2012-11-02,240,40,85,7,22,15,17,7,29,23,12,4,13,26,0.551,0.512,0.259,0.2,16.7,55.8,38.3,57.5,12.3,6.7,12.3,100.0,104.7,111.9,0
2012-2013,MILWAUKEE BUCKS,2012-11-02,240,40,86,8,18,11,12,11,35,26,12,5,18,17,0.542,0.512,0.209,0.14,26.8,85.4,56.1,65.0,12.7,8.3,16.5,100.0,104.4,92.8,0
2012-2013,BOSTON CELTICS,2012-11-02,240,33,74,5,14,17,21,6,30,22,9,4,18,18,0.529,0.48,0.18899999999999997,0.284,14.6,73.2,43.9,66.7,9.5,5.9,17.8,100.0,92.8,104.4,0
2012-2013,INDIANA PACERS,2012-11-02,240,33,83,7,26,16,27,14,38,19,5,5,17,16,0.469,0.44,0.313,0.325,31.1,79.2,55.9,57.6,5.4,7.6,15.2,100.0,95.3,96.4,0
2012-2013,CHARLOTTE BOBCATS,2012-11-02,240,31,85,7,19,21,24,10,31,18,10,9,10,22,0.47100000000000003,0.406,0.22399999999999998,0.282,20.8,68.9,44.1,58.1,10.7,15.8,9.5,100.0,96.4,95.3,0
2012-2013,CHICAGO BULLS,2012-11-02,240,44,69,4,10,23,30,5,36,34,7,4,17,21,0.7,0.667,0.145,0.435,18.5,76.6,55.4,77.3,7.4,6.8,17.1,100.0,122.3,91.5,0
2012-2013,CLEVELAND CAVALIERS,2012-11-02,240,32,79,8,20,14,27,11,22,23,7,1,17,25,0.473,0.456,0.253,0.342,23.4,81.5,44.6,71.9,7.4,1.7,15.8,100.0,91.5,122.3,0
2012-2013,MEMPHIS GRIZZLIES,2012-11-02,240,35,77,6,13,28,34,9,31,22,9,4,13,22,0.565,0.494,0.16899999999999998,0.442,25.0,77.5,52.6,62.9,9.6,6.7,12.4,100.0,111.5,100.8,0
2012-2013,GOLDEN STATE WARRIORS,2012-11-02,240,36,80,10,20,12,17,9,27,21,5,5,18,24,0.537,0.513,0.25,0.213,22.5,75.0,47.4,58.3,5.4,7.8,17.1,100.0,100.8,111.5,0
2012-2013,LOS ANGELES CLIPPERS,2012-11-02,240,38,84,8,22,21,27,9,28,24,12,4,11,26,0.5479999999999999,0.5,0.262,0.321,22.5,80.0,49.3,63.2,12.9,7.7,10.3,100.0,112.5,101.8,0
2012-2013,LOS ANGELES LAKERS,2012-11-02,240,34,68,7,16,20,28,7,31,15,7,7,20,23,0.591,0.551,0.235,0.41200000000000003,20.0,77.5,50.7,44.1,7.5,11.3,19.9,100.0,101.8,112.5,0
2012-2013,SACRAMENTO KINGS,2012-11-02,240,32,89,3,16,13,16,11,32,17,7,4,11,34,0.41600000000000004,0.376,0.18,0.18,23.4,65.3,44.8,53.1,7.6,5.7,10.3,100.0,86.9,99.9,0
2012-2013,MINNESOTA TIMBERWOLVES,2012-11-02,240,32,87,2,17,26,36,17,36,17,4,10,11,17,0.447,0.379,0.195,0.414,34.7,76.6,55.2,53.1,4.3,13.7,9.7,100.0,99.9,86.9,0
2012-2013,UTAH JAZZ,2012-11-02,240,35,85,10,28,6,12,16,28,19,7,6,14,21,0.47600000000000003,0.47100000000000003,0.32899999999999996,0.141,34.8,70.0,51.2,54.3,8.3,9.0,13.4,100.0,101.4,103.7,0
2012-2013,NEW ORLEANS HORNETS,2012-11-02,240,37,81,5,14,9,14,12,30,23,7,4,12,16,0.505,0.488,0.17300000000000001,0.17300000000000001,30.0,65.2,48.8,62.2,8.3,7.0,12.1,100.0,103.7,101.4,0
2012-2013,MIAMI HEAT,2012-11-02,240,33,71,7,20,11,13,7,34,18,4,5,21,18,0.547,0.514,0.282,0.183,20.0,72.3,50.0,54.5,4.5,10.4,21.5,100.0,95.0,117.6,0
2012-2013,NEW YORK KNICKS,2012-11-02,240,36,84,19,36,13,15,13,28,27,10,0,12,22,0.574,0.542,0.429,0.179,27.7,80.0,50.0,75.0,11.3,0.0,11.7,100.0,117.6,95.0,0
2012-2013,PORTLAND TRAIL BLAZERS,2012-11-02,240,32,89,9,26,19,24,11,33,17,4,0,11,25,0.462,0.41,0.292,0.27,22.0,80.5,48.4,53.1,4.2,0.0,9.9,100.0,97.2,112.0,0
